date,adj_close,close,high,low,open,volume
2007-12-31,6.44011,20.9,20.9,20.3,20.3,150300
2008-01-02,6.34767,20.59999,21.5,20.39998,20.39998,37000
2008-01-03,6.4093,20.8,20.8,20.1,20.59999,39300
2008-01-04,6.47093,21.0,21.19999,20.3,20.3,34600
2008-01-07,6.1627800000000015,20.0,20.14999,20.0,20.14999,25400
2008-01-08,6.47093,21.0,21.0,20.04999,20.04999,55500
2008-01-09,6.22441,20.2,20.69999,20.04999,20.49999,152600
2008-01-10,6.22441,20.2,20.59999,20.2,20.59999,34600
2008-01-11,6.30145,20.45,20.49999,20.45,20.49999,23100
2008-01-14,6.655810000000002,21.6,21.6,20.49999,20.59999,154900
2008-01-15,6.77906,21.99999,22.60001,21.45,21.45,647700
2008-01-16,6.93314,22.5,22.89999,21.89998,21.89998,721700
2008-01-17,7.11802,23.1,23.30005,22.05,23.0,754100
2008-01-18,7.39536,24.00005,24.59988,23.0,23.1,677700
2008-01-21,7.42615,24.09998,24.49995,24.09998,24.49995,141100
2008-01-22,7.61106,24.70005,24.89992,23.49992,23.60008,973800
2008-01-23,7.7343,25.10001,25.14998,24.19992,24.70005,1857500
2008-01-24,7.5494,24.49995,25.10001,23.39999,24.49995,744800
2008-01-25,7.5186,24.40002,24.79998,23.74998,24.79998,157300
2008-01-28,7.5494,24.49995,24.49995,23.55012,24.00005,148000
2008-01-29,7.61106,24.70005,24.95011,23.49992,24.44998,159600
2008-01-30,7.580189999999999,24.59988,24.70005,23.74998,24.49995,108700
2008-01-31,7.580189999999999,24.59988,24.59988,23.60008,24.49995,333100
2008-02-01,7.70351,25.00008,25.00008,24.14995,24.59988,358500
2008-02-12,7.65725,24.84995,25.00008,24.54992,25.00008,92500
2008-02-13,7.3183,23.74998,24.49995,23.14992,23.14992,71700
2008-02-14,7.39536,24.00005,24.25011,23.74998,24.25011,30000
2008-02-15,7.70351,25.00008,25.05005,24.09998,24.09998,439500
2008-02-18,8.10404,26.29991,26.59995,25.49998,26.50001,631500
2008-02-19,8.10404,26.29991,26.80005,26.00011,26.59995,596800
2008-02-20,8.05785,26.15001,26.45004,25.80001,26.29991,365400
2008-02-21,8.04245,26.10004,26.29991,25.89995,26.00011,580600
2008-02-22,8.5663,27.80008,27.90001,26.50001,26.50001,1737200
2008-02-25,7.98079,25.89995,27.50004,25.89995,27.50004,1182000
2008-02-26,7.64185,24.79998,25.40005,24.30008,25.19995,397800
2008-02-27,7.61106,24.70005,24.79998,23.49992,24.49995,150300
2008-02-29,7.76509,25.19995,26.19998,24.30008,24.30008,316900
2008-03-03,7.688110000000001,24.95011,25.49998,24.89992,25.29988,173400
2008-03-04,7.672639999999999,24.89992,25.40005,24.65008,24.89992,372400
2008-03-05,7.9192,25.70008,25.70008,24.89992,25.00008,178100
2008-03-06,8.08864,26.24995,26.24995,25.40005,25.49998,927600
2008-03-07,7.7343,25.10001,26.24995,24.89992,26.24995,115600
2008-03-10,7.62645,24.75001,25.35008,24.70005,25.35008,150300
2008-03-11,7.7189,25.05005,25.19995,25.00008,25.00008,293700
2008-03-12,7.7497,25.14998,25.89995,24.89992,25.89995,124900
2008-03-13,7.61106,24.70005,25.14998,24.70005,24.84995,76300
2008-03-14,7.688110000000001,24.95011,25.00008,24.70005,24.70005,113300
2008-03-17,7.62645,24.75001,25.40005,24.70005,24.95011,108700
2008-03-18,7.62645,24.75001,25.00008,24.75001,25.00008,43900
2008-03-19,7.64185,24.79998,25.00008,24.75001,24.75001,182700
2008-03-20,7.672639999999999,24.89992,25.19995,24.79998,24.79998,55500
2008-03-21,7.76509,25.19995,25.19995,24.89992,24.89992,69300
2008-03-24,7.888339999999999,25.59991,26.00011,25.24992,25.49998,351600
2008-03-25,7.903810000000001,25.65011,25.89995,25.54995,25.80001,173400
2008-03-26,7.85755,25.49998,25.89995,25.49998,25.89995,57800
2008-03-27,7.70351,25.00008,25.80001,23.79995,25.70008,175800
2008-03-28,7.9192,25.70008,25.70008,24.25011,25.00008,328400
2008-03-31,7.888339999999999,25.59991,25.59991,25.00008,25.00008,23100
2008-04-01,7.780489999999999,25.24992,25.40005,25.14998,25.19995,129500
2008-04-02,7.85755,25.49998,25.59991,25.29988,25.29988,124900
2008-04-03,7.70351,25.00008,25.80001,25.00008,25.80001,168800
2008-04-07,7.996189999999999,25.94991,26.00011,25.00008,25.10001,335400
2008-04-08,7.84215,25.45001,25.80001,25.45001,25.70008,131800
2008-04-09,7.84215,25.45001,26.00011,25.40005,25.94991,97100
2008-04-10,8.011660000000001,26.00011,26.19998,25.54995,25.94991,180400
2008-04-11,7.82675,25.40005,26.00011,25.35008,26.00011,333100
2008-04-14,7.888339999999999,25.59991,26.00011,25.40005,25.59991,379300
2008-04-15,7.9192,25.70008,26.00011,25.70008,26.00011,124900
2008-04-16,7.70351,25.00008,25.70008,24.59988,25.70008,603700
2008-04-17,7.70351,25.00008,25.29988,24.49995,25.29988,291400
2008-04-18,7.7497,25.14998,25.59991,25.10001,25.29988,439500
2008-04-21,7.903810000000001,25.65011,25.65011,24.75001,25.00008,846600
2008-04-22,7.85755,25.49998,25.89995,25.49998,25.75005,784200
2008-04-23,7.70351,25.00008,25.54995,24.84995,25.10001,64700
2008-04-24,7.82675,25.40005,25.49998,25.00008,25.00008,154900
2008-04-25,7.996189999999999,25.94991,26.00011,25.00008,25.80001,1341700
2008-04-28,7.9192,25.70008,25.94991,25.00008,25.94991,166500
2008-04-29,7.64185,24.79998,25.89995,24.79998,25.49998,393200
2008-04-30,7.61106,24.70005,24.79998,24.00005,24.79998,231300
2008-05-02,7.76509,25.19995,25.19995,24.40002,24.40002,76300
2008-05-05,7.5494,24.49995,24.84995,24.49995,24.84995,57800
2008-05-06,7.472410000000001,24.25011,24.59988,24.25011,24.59988,32300
2008-05-07,7.5494,24.49995,24.89992,24.40002,24.40002,74000
2008-05-08,7.45695,24.19992,24.89992,24.19992,24.49995,85500
2008-05-09,7.5186,24.40002,24.40002,24.30008,24.30008,9200
2008-05-12,7.64185,24.79998,24.79998,24.40002,24.40002,27700
2008-05-13,7.580189999999999,24.59988,24.79998,24.00005,24.40002,55500
2008-05-14,7.534,24.44998,24.49995,24.00005,24.19992,171100
2008-05-15,7.534,24.44998,24.49995,24.00005,24.19992,131800
2008-05-16,7.48781,24.30008,24.30008,23.79995,24.09998,175800
2008-05-19,7.3491,23.84992,24.09998,23.84992,24.09998,113300
2008-05-20,7.364489999999999,23.89989,24.19992,23.79995,24.19992,23100
2008-05-21,7.1488,23.19989,23.25008,23.1,23.1,37000
2008-05-22,7.45695,24.19992,24.25011,21.99999,23.14992,534300
2008-05-23,7.672639999999999,24.89992,24.89992,23.79995,24.09998,608300
2008-05-26,7.5494,24.49995,25.00008,24.49995,24.89992,57800
2008-05-27,7.44155,24.14995,24.19992,24.14995,24.19992,9200
2008-05-28,7.45695,24.19992,24.19992,23.79995,23.79995,53200
2008-05-29,7.21046,23.39999,24.49995,23.39999,24.35005,224300
2008-05-30,7.0872,23.0,23.04999,23.0,23.04999,55500
2008-06-02,7.3337,23.79995,23.79995,23.79995,23.79995,2300
2008-06-03,7.3337,23.79995,23.79995,23.79995,23.79995,4600
2008-06-04,7.302910000000002,23.70002,23.70002,22.19999,23.04999,25400
2008-06-05,7.0872,23.0,23.60008,23.0,23.0,27700
2008-06-06,7.17966,23.30005,23.60008,23.30005,23.60008,4600
2008-06-09,7.22585,23.44995,24.89992,23.25008,24.89992,94800
2008-06-10,6.97935,22.65,23.79995,21.95,22.15,41600
2008-06-11,6.93314,22.5,22.5,22.5,22.5,16100
2008-06-12,6.77906,21.99999,21.99999,20.94999,21.35,85500
2008-06-13,6.34767,20.59999,21.19999,20.49999,21.19999,97100
2008-06-16,6.4863300000000015,21.04999,21.04999,20.69999,20.69999,16100
2008-06-17,6.73284,21.85,21.99999,21.19999,21.8,37000
2008-06-18,6.79447,22.05,22.05,21.19999,21.19999,20800
2008-06-19,6.77906,21.99999,21.99999,21.99999,21.99999,25400
2008-06-20,6.91772,22.44999,22.44999,20.59999,20.59999,20800
2008-06-23,6.62499,21.5,21.5,21.5,21.5,6900
2008-06-24,6.62499,21.5,21.5,21.5,21.5,6900
2008-06-26,6.62499,21.5,21.5,20.35,20.35,552800
2008-06-27,6.31685,20.49999,20.69999,20.0,20.69999,39300
2008-06-30,5.88546,19.09999,20.0,19.09999,19.5,78600
2008-07-01,6.0087199999999985,19.5,19.95,18.04999,18.80001,777200
2008-07-02,6.13197,19.89999,20.0,19.19999,19.5,1175100
2008-07-03,6.28604,20.39998,20.39998,19.69999,19.69999,606000
2008-07-04,6.50174,21.10001,21.10001,20.49999,20.9,462600
2008-07-07,6.47093,21.0,21.10001,20.3,21.10001,117900
