date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,因合併產生之現金流入,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付公司債匯率影響數,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,預付款項（增加）減少
2013-05-10,1,2013,206846.0,,-1623758,-601207,90901,,8530,-18109,643891,110024.0,85279,-25288.0,,,,-16916,58796,416373,-286570,-504709,0.0,-9488,,,-9022,53078.0,,-582753,0.0,,494673,32625,,-83805.0,79664,30074,-407606,-118335,-51211,75103,-7189,-308735,313108,,29487,-6045,-58796,17014,,,2013年01月01日至2013年03月31日,13178775,12830071,-348704,1225994,1084884,1213544,,,-70546.0,,-1541226,1225994,,840281,-1059577,-219296,100000,9053,501088,4217,-141477,,-12450,159087,12830071,-86878,4185,,,-181240
2013-08-14,2,2013,370653.0,,-3116435,-602146,80885,,72118,16479,527087,134020.0,63819,,-14708.0,,129637.0,-40472,117212,698742,-498765,-706255,-45000.0,-12577,,,-16077,250611.0,,-91016,65792.0,,1193765,-23673,,-106323.0,-96176,5244,-1522202,101208,804,-47516,-30426,-462798,689262,,-66682,-63765,-98223,40472,115244.0,,2013年01月01日至2013年06月30日,13178775,14423676,1244901,2797231,2256409,2746728,,1457100.0,,-38728.0,-1247452,2797231,,1192316,-1613472,-421156,200000,13883,600448,6879,-423081,117905.0,-50503,230719,14423676,-547812,-28942,,,-244665
2013-11-14,3,2013,783415.0,,-3294741,-55277,5825,,-1830,-86392,548241,82694.0,25954,,-203145.0,,94387.0,-75191,191161,378265,-628060,-859228,-49200.0,-33590,,,-8810,85904.0,,-281677,46290.0,,834328,-73069,,-1452.0,-189619,10363,-667576,-96774,75828,-12833,-2213,-363137,1065013,,-141347,-118520,-191837,75191,428521.0,,2013年01月01日至2013年09月30日,13178775,14356932,1178157,4148349,3957431,4969224,-1922095.0,1457100.0,,-320570.0,-2794402,4148349,,1270679,-1233219,37460,1200000,37455,850112,2876,-345131,134100.0,820875,171210,14356932,-895147,-22370,,,-193316
2014-03-24,4,2013,1067253.0,,-5496288,344859,41253,,-16220,-23609,1253160,-177725.0,-551623,,,132319.0,171276.0,-137926,251706,-410600,-797726,-1288137,-164200.0,-33590,174300.0,,-53383,134144.0,,-217862,46290.0,,45827,-127301,,-70274.0,-14916,15743,-860674,201004,186711,236440,-31737,-144928,1442378,0.0,-127162,-167914,-252382,137926,543221.0,,2013年01月01日至2013年12月31日,13178775,14908571,1729796,5403484,6241135,6804379,-1922095.0,1457100.0,,-128672.0,-3955811,5403484,,1143108,-809466,333642,2000000,142695,1666730,-60187,-308907,,1400895,247633,14908571,-992009,-69790,,,-43494
2014-05-14,1,2014,245224.0,,-764323,-291481,-41701,,-70623,25453,-16720,-119217.0,14916,,-658165.0,,16922.0,-30348,58281,323708,-172023,-100596,,-20389,2695.0,,49959,0.0,,39015,,,-389561,73253,13043.0,,-220018,-13334,-106864,-95817,-73414,3071,-17015,-659490,341069,,97103,-88327,-58281,30348,551.0,,2014年01月01日至2014年03月31日,14908571,14520253,-388318,1323639,120158,249999,,,,-98371.0,-172694,1323639,-551.0,-857763,-461101,-1318864,690000,39737,223798,-5999,-95613,,-1073640,-27861,14520253,-102459,-169,,,-75639
2014-08-14,2,2014,-414737.0,,-1962211,158647,-22136,,-48958,-9483,-31886,,35540,-162300.0,-9613.0,,-101798.0,-84320,113193,-222641,-971609,-167429,-27121.0,-50266,-4806.0,,-1452,0.0,0.0,203054,,-32400.0,969354,40042,21930.0,,-190477,-12317,-889014,-166993,-86541,-70395,-12841,-600341,718275,,-14316,-143686,-113193,84320,231823.0,,2014年01月01日至2014年06月30日,14908571,15434733,526162,3327440,2040413,2459298,,0.0,,-229058.0,-691269,3327440,-101284.0,934509,-1387914,-453405,1500000,239763,400223,-809458,-171552,,-868142,-56324,15434733,-621835,-3305,,203050.0,-117474
2014-11-14,3,2014,-359585.0,,-2330746,-184846,-20387,,-34846,-15323,-29428,55460.0,51602,,-310625.0,,-114507.0,-116384,179596,-64792,-1741148,-543568,-32559.0,-50266,-13011.0,,13470,0.0,0.0,-182808,,4500.0,583524,30451,187502.0,,-157046,-14109,-99271,-63569,-36554,33148,-4321,-685643,983320,,-40164,-249870,-179596,116384,551460.0,,2014年01月01日至2014年09月30日,14908571,15844900,936329,4746969,3863383,4337908,-2202962.0,0.0,,-142911.0,-2176619,4746969,-385227.0,444483,-493959,-49476,2500000,1266804,754053,-798117,-59463,,-409061,-23167,15844900,-962773,-35031,,218128.0,-100647
2015-03-20,4,2014,130864.0,,-577500,206201,-54855,-183000.0,-47497,103097,-865868,78331.0,193552,,,-401211.0,-156281.0,-151561,234712,-95285,-1935081,-371327,-86242.0,-50266,-15910.0,,5644,0.0,0.0,-205962,,51900.0,-81892,7979,47905.0,,-233039,-8073,378193,-9897,34797,125556,-60267,-770357,1349115,,99229,-215438,-235668,151561,558510.0,,2014年度,14908571,17206411,2297840,5703935,4784127,5507180,-2202962.0,0.0,,-394063.0,-1620645,5703935,-392277.0,-754094,426475,-327619,1553880,1219435,950148,-646332,-139044,,-196755,-20859,17206411,-1197456,-70336,,260762.0,88847
2015-05-13,1,2015,,,-6401486,-895360,-9093,,-64014,-360788,118034,6386.0,5998,,,175993.0,14873.0,-45244,43910,-341055,-393174,77171,-10800.0,-5715,,4994.0,11512,,-3108.0,178822,,-14400.0,-1185309,-4380,-27022.0,,38130,1380,134267,404359,-147277,-13009,88914,-210281,307962,,31506,-46811,-44162,45244,0.0,127895.0,2015年01月01日至2015年03月31日,17201690,15089115,-2112575,1108947,-307772,-291951,,,,-111981.0,-1253467,1108947,0.0,-1944391,415598,-1528793,5260000,2602,302544,3353,-110887,,-1400898,4138,15089115,-16903,-36373,,,-195263
2015-08-12,2,2015,,,-11691094,-275818,17861,,-127289,-281826,-183800,-1225.0,10410,,,105796.0,65281.0,-85757,94184,-686779,-880649,-299352,-78004.0,-31331,,4994.0,20125,,-3108.0,110525,,-35700.0,-608779,15483,-60309.0,,-20067,-1042,-182846,426746,-117158,-101014,87206,-770642,630080,,102601,-95342,-87321,85757,332711.0,186680.0,2015年01月01日至2015年06月30日,17201690,15435742,-1765948,2389373,1431787,1493839,,3000000.0,,-649220.0,-1740314,2389373,-202479.0,-1114304,32090,-1082214,7600000,16314,676524,6018,-186555,,-895534,9618,15435742,-393199,-27175,,4000.0,-183317
