date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款－關係人增加,其他應收款－關係人減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,員工執行認股權,因合併產生之現金流入,存貨（增加）減少,庫藏股票買回成本,應付公司債匯率影響數,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,處分無形資產損失（利益）,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失
2013-05-07,1,2013,12890.0,36275,,,,,0.0,110070.0,-1288346,85270,7191,0.0,15537.0,40325.0,-77641,192792,747799,-57240,,,,-73272,0.0,0.0,3474942,,223637,-8770211,8589,1496205,-5158,,632618,232743,,,-2994,499118,-108582,77327,,,2013年01月01日至2013年03月31日,50612564,47373516,-3239048,449997,-5680753,-5261422,,,,1061288.0,,1061288,449997,102236,,-9409143,3684834,-5724309,,478770,232548,-75081,,-187208.0,,,,,-5711419,-842861,,47373516,-388076,-935037.0,
2013-08-07,2,2013,160325.0,82900,0.0,,,,0.0,3010282.0,-751584,159346,17771,0.0,8275.0,,-173711,386077,683504,-164231,,,,-79939,0.0,0.0,-6801454,,298763,-2007326,-1900,2264993,14346,,687282,466142,,,-5136,913510,-186426,173840,,,2013年01月01日至2013年06月30日,50612564,52046266,1433702,-83445,-5657110,-5074827,,,6000000.0,,-279974.0,5720026,-83445,184181,,104221,-5255928,-5151707,,607729,232548,-100393,,-187208.0,,0.0,,,-4991382,-1056181,0.0,52046266,-569697,-1621900.0,
2013-11-05,3,2013,12258955.0,85817,-6669074.0,,1027028.0,,6.0,,-1066623,214928,17771,0.0,157461.0,5976.0,-256361,531453,367673,-298649,,,,-146635,0.0,0.0,1299401,0.0,208191,-19184716,-406,3967905,14304,,720091,698662,,,-4673,1349393,-231536,256632,,,2013年01月01日至2013年09月30日,50612564,33948980,-16663584,-12708846,-16797300,-16000487,,,6000000.0,,-284974.0,-954048,-12708846,255148,,-19783354,4232758,-15550596,,658046,264045,-106792,,-218705.0,,0.0,,,-3291641,-1840188,73972.0,33948980,-821909,-220659.0,9943350.0
2014-03-27,4,2013,12967891.0,147743,-6669074.0,,2481522.0,,0.0,,-111992,197756,16569,-21743.0,,38995.0,-324821,909476,1319876,-377087,,,0.0,-191985,0.0,0.0,7710531,0.0,236923,-16421367,-593,6737926,18571,,728066,947566,,,-5175,1751961,-396800,324568,213269.0,,2013年01月01日至2013年12月31日,50612564,42983663,-7628901,-21063736,-8650984,-8011270,,,6000000.0,40015.0,,-1025859,-21063736,306597,-205303.0,-14287030,14371605,84575,,684807,273062,-105317,,-227722.0,,0.0,,,13052466,-544348,73972.0,42983663,-964282,-517236.0,10087975.0
2014-05-08,1,2014,853461.0,0,,,-1440831.0,,,,238344,-71320,727,-150743.0,,20422.0,-56518,153739,489766,-67395,-70000.0,,,-10753,,,7329232,,59994,-9228477,767,1571372,-1665,,-126672,221141,,,-1592,328038,-62943,56191,868.0,,2014年01月01日至2014年03月31日,42983663,42746540,-237123,145944,-1227023,-1155079,,,,689749.0,,626806,145944,50242,-868.0,-11292494,9138010,-2154484,,171351,0,-32709,,0.0,,,,,-1301023,-552633,,42746540,-128135,111572.0,
2014-08-07,2,2014,3645667.0,19950,,,1725493.0,,,,215755,-72570,-1716,-126169.0,,2187563.0,-124410,480691,-227192,-101951,-70000.0,,-6000.0,-11521,,,2172977,,-5436,-4582655,-532,-4707937,-6576,0.0,53755,429528,,,-5486,657394,-150400,123086,6528.0,,2014年01月01日至2014年06月30日,42983663,40545933,-2437730,673717,-2098237,-1902794,,,0.0,,-15656.0,-166056,673717,100154,-868.0,-3894681,-2327497,-6222178,,301423,0,-64168,,0.0,41495.0,-41495.0,,,-2576511,-964417,,40545933,-318529,32200.0,
2014-11-06,3,2014,2183741.0,90568,0.0,,-270198.0,,-9.0,,162150,-88134,-1256,,136000.0,2187563.0,-187138,502599,-762964,-153399,-70000.0,,-6000.0,-11521,,,-4270829,,53297,3706460,-512,-4678697,-29229,0.0,729259,607343,,,-7800,942823,-208031,187166,133545.0,,2014年01月01日至2014年09月30日,42983663,39245209,-3738454,1723925,-3316721,-2953968,,,0.0,,-179997.0,-388028,1723925,164821,-124831.0,1956227,-8817861,-6861634,,568580,0,-64938,0.0,0.0,41495.0,-41495.0,,,-4677893,-1391389,0.0,39245209,-549919,-1848503.0,0.0
2015-03-25,4,2014,2754652.0,80109,0.0,-1800000.0,153180.0,,8.0,,533462,103911,-45523,177098.0,,2195273.0,-283592,651206,306367,-228752,-70000.0,,-20462.0,-103873,,,-1087115,,200218,-392949,13428,2913298,-1125,,778261,791209,,172130.0,-125629,1202555,-260250,283326,139854.0,,2014年度,42983663,47558651,4574988,2614419,5623599,6011319,,,0.0,0.0,-72989.0,-2133239,2614419,350285,-131140.0,-1670749,2312997,642248,,590954,0,-65727,,0.0,41195.0,-41495.0,,,3396900,-1548319,0.0,47558651,-671046,-1988511.0,0.0
2015-05-07,1,2015,,33699,,,-3184043.0,,-6.0,,118913,-110969,45075,-170573.0,,-11948.0,-72529,130304,-1742574,-33687,-110591.0,,,-2390,,,-1401461,,-36617,-10601869,-957,9403920,175,,-269642,177918,,,3413,253633,-73877,68388,60.0,499721.0,2015年01月01日至2015年03月31日,47558651,44199214,-3359437,333728,-6386344,-6294190,5400000.0,,,-287000.0,,5039123,333728,72059,-60.0,-15294261,8166622,-7127639,,1898,11948,172,,,,0.0,,,-6627918,-1396423,,44199214,-160542,-16624.0,
2015-08-06,2,2015,,113287,-3196658.0,-1800000.0,-6191791.0,,9.0,,354858,-122372,45065,-80331.0,,-41317.0,-153672,230422,-1802852,-74687,-187755.0,,0.0,-19353,,,-2342241,,-45126,-12598492,-2181,10783692,-16997,,-231188,349876,,,2294,501985,-117437,145767,60.0,2749247.0,2015年01月01日至2015年06月30日,47558651,36400657,-11157994,367830,-9092859,-9056998,5400000.0,,,,-317000.0,-31095,367830,124401,-60.0,-20998452,8824377,-12174075,,5634,11948,3506,,,0.0,0.0,,,-9424828,-2083616,-385706.0,36400657,-181628,2162644.0,
2015-11-05,3,2015,,110635,-3677046.0,-1800000.0,14013.0,,-29.0,,286827,-130754,45894,-50635.0,0.0,0.0,-207998,293479,156888,-172761,-335640.0,,0.0,-55302,,,-741020,,-103634,-12552700,-11171,1433995,-20431,-21801.0,-194826,524343,,,1855,751626,-144359,196276,240181.0,2051582.0,2015年01月01日至2015年09月30日,47558651,36374829,-11183822,695320,-11099483,-11080860,5400000.0,,,175004.0,0.0,-46401,695320,149697,-240181.0,-14833027,1005265,-13827762,,56777,11948,3714,,0.0,0.0,0.0,,,-11776180,-2152415,-446429.0,36374829,-214899,1346911.0,
