date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動
2013-05-13,1,2013,2898.0,,0.0,11401,,17449,-20336,-188,,0.0,-1473.0,,,-1458,,743,-495,,,,-2,-6.0,0.0,-36472,108661,-4861,,-1974,4396,,,197,,1274,,,2013年01月01日至2013年03月31日,1112952,1361285,248333,171506,249564,250058,,,0,171506,,,137511,-61857,75654,,0.0,,,,78552,1361285,-1768,-235,,
2013-08-09,2,2013,9791.0,7500.0,0.0,50953,,3560,-12612,-389,,0.0,-2806.0,,,-3350,,840,-12429,,0.0,,3091,0.0,907.0,-125798,132367,-43020,,-6828,9059,,,421,,3216,,,2013年01月01日至2013年06月30日,1112952,1416484,303532,357914,309520,372766,,,0,357914,,,186880,-181819,5061,,0.0,737.0,,,14852,1416484,-66462,-167,,
2013-11-07,3,2013,12401.0,15000.0,0.0,45389,,100,-18306,-590,,0.0,-2806.0,,-1500.0,-5006,,545,-17526,,0.0,,3090,887.0,,-339309,213444,-46910,-9729.0,-4401,14672,,,683,,4933,44.0,,2013年01月01日至2013年09月30日,1112952,998275,-114677,537998,276576,394488,-387492.0,,-387397,537998,,-44.0,258933,-414844,-155911,0.0,0.0,737.0,,,-143510,998275,-122845,-231,,95.0
2014-03-20,4,2013,16628.0,15000.0,0.0,44839,,5072,-3593,-793,,0.0,-5996.0,,-1500.0,-6290,,-265,-22620,,0.0,,3092,0.0,888.0,-434948,98497,-13304,-9950.0,-12684,20115,,,956,,6356,44.0,,2013年01月01日至2013年12月31日,1112952,999528,-113424,701235,286922,403683,-387492.0,,-387397,701235,,-44.0,148408,-462588,-314180,0.0,0.0,776.0,,,-297552,999528,-123117,-477,0.0,95.0
2014-05-12,1,2014,3225.0,,0.0,-2406,,-4472,-17015,-200,,,-711.0,,,-1295,,535,-2057,,,,366,0.0,,-14427,-56373,-6928,-9950.0,-2768,3871,,,287,,1125,,,2014年01月01日至2014年03月31日,999528,1064951,65423,175246,67656,66700,0.0,,0,175246,,,-63251,-48520,-111771,,,,,,-108546,1064951,-169,-4,,0.0
2014-08-12,2,2014,2307.0,4500.0,0.0,12347,,-7394,1714,-423,,0.0,-3931.0,,-4500.0,-3139,,-74,-4729,,0.0,,2726,0.0,337.0,28293,-37692,-31363,0.0,-3823,7657,,,727,,3080,,,2014年01月01日至2014年06月30日,999528,1195801,196273,300828,200170,268617,0.0,,0,300828,,-1129.0,-32739,-1779,-34518,0.0,0.0,0.0,,,-32211,1195801,-72656,-35,0.0,0.0
2014-11-07,3,2014,5181.0,4500.0,0.0,-5047,,-10571,-5360,-593,,,-5898.0,,-4500.0,-4252,,2041,-21761,,,,2571,0.0,703.0,47647,-34438,-20248,0.0,-21282,11350,,,1194,,4374,1174.0,,2014年01月01日至2014年09月30日,999528,803544,-195984,432694,276406,409265,-458049.0,,-453149,432694,,-1174.0,-50056,21446,-28610,,,0.0,,,-23429,803544,-137233,-8,,4900.0
2015-03-20,4,2014,8555.0,4500.0,,-3291,,1536,2782,-616,,,-5754.0,,-4500.0,-5208,,9002,-34086,,,,2280,,923.0,102942,-59031,13152,1913.0,-33243,15588,,,1700,,5335,1174.0,,2014年度,999528,1046917,47389,588829,524779,656771,-458049.0,,-453149,588829,,-1174.0,-60786,120173,59387,,,0.0,,,67942,1046917,-137327,-131,,4900.0
2015-04-27,1,2015,,0.0,0.0,-6882,,-2100,-6050,-198,-1000.0,,-725.0,,0.0,-1206,,-6034,-5327,,0.0,,-1499,-64.0,,53511,2680,-35792,1303.0,-7116,4548,,,721,,1069,,2586.0,2015年01月01日至2015年03月31日,1046917,1137389,90472,93652,103622,102710,0.0,,0,93652,,0.0,-6302,12774,6472,0.0,0.0,3.0,,,9058,1137389,-157,19,,0.0
2015-08-03,2,2015,,0.0,0.0,6713,,-3581,-6938,-397,-1100.0,,-1047.0,,0.0,-2860,,-8516,-17555,,0.0,,-1543,,599.0,55158,39698,-29506,-216.0,-14957,10680,,,1483,,2776,4141.0,3690.0,2015年01月01日至2015年06月30日,1046917,1253673,206756,193539,230229,258160,0.0,,0,193539,,-4141.0,42830,18101,60931,5.0,0.0,28.0,,,64621,1253673,-30707,43,,0.0
2015-10-28,3,2015,,0.0,,-7005,,-802,-17162,-595,,,-825.0,,0.0,-3808,,4579,-19704,,0.0,-30000.0,-1591,,765.0,92291,1540,-52612,1765.0,-45572,15942,,2084.0,2274,,3741,4187.0,13017.0,2015年01月01日至2015年09月30日,1046917,1318431,271514,351379,312507,381816,0.0,,0,351379,1582.0,-4187.0,-6267,23687,17420,5.0,0.0,28.0,,,30437,1318431,-73050,693,,0.0
2016-03-23,4,2015,,0.0,,-16972,-41.0,-2331,-11046,1158,,,-744.0,,0.0,-5353,17.0,2093,-24460,,,-30000.0,-3351,586.0,,133424,18562,-42057,-2342.0,-50426,21425,,6872.0,3084,,5352,4187.0,25339.0,2015年度,1046917,1146890,99973,429923,460403,533617,-377890.0,50000.0,-312097,429923,6330.0,-4187.0,-741,79096,78355,5.0,,28.0,,,103694,1146890,-78566,474,,15793.0
2016-05-03,1,2016,,,,-5568,,-5868,-11230,-192,-170.0,,,94.0,,-700,163.0,-5493,-468,-9200.0,,,-311,-59.0,,-95639,96202,3491,6670.0,-4659,4865,,5624.0,823,-180.0,701,,15504.0,2016年01月01日至2016年03月31日,1146890,1293869,146979,53356,57131,56726,,100000.0,100000,53356,4748.0,,84766,-96900,-12134,,,0.0,,5144.0,3370,1293869,-116,292,,
2016-08-08,2,2016,,489.0,,-2373,,-4979,2715,-376,-170.0,,151.0,,-489.0,-3117,701.0,-5445,-1256,-9200.0,,,-43,,-1029.0,-113279,28628,-10675,3190.0,-10526,9503,5144.0,9639.0,1642,-632.0,3116,489.0,27036.0,2016年01月01日至2016年06月30日,1146890,1440591,293701,120123,34672,55154,,275000.0,275000,120123,9495.0,-489.0,21276,-113281,-92005,0.0,,0.0,0.0,,-64969,1440591,-22966,194,,
2016-11-04,3,2016,,489.0,,-16951,,-5575,-117,-557,-235415.0,,-844.0,,-489.0,-4529,1760.0,-1313,-4909,-9200.0,,0.0,511,,3336.0,-103340,-9616,-3432,2552.0,-246005,13624,5144.0,13497.0,2459,-1513.0,4152,538.0,42779.0,2016年01月01日至2016年09月30日,1146890,1353779,206889,132563,-22882,43450,-307911.0,785000.0,477089,132563,16249.0,-538.0,-32142,-99750,-131892,0.0,,112.0,,,-89113,1353779,-68971,123,,
