date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款增加,其他應收款減少,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,原始認列時指定為透過損益按公允價值衡量之金融負債增加,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,取得無形資產,取得避險之衍生金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付款項減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產,處分投資損失（利益）,處分避險之衍生金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,非控制權益變動,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-14,1,2013,74018.0,,,-59444.0,-171354,,,70322,,36685,-156821,21335.0,,,,-68395,-10217,78471,45256,,-54652,,,-10104,-7677.0,,2344.0,,,-586403,,-233084.0,,65598.0,0.0,,-30000.0,,,0.0,-143446,-361205,-31194,3078.0,-96320,83333,-14079,3212,-78402,10217,,,2013年01月01日至2013年03月31日,2076340,1503558,-572782,-2759,,-1167864,-1149257,,727520.0,,646146,-2759,,-276736,-943780,-1220516,0,142,,,-1693.0,0,,,,,-1146498,0,1503558,49578,1693.0,,,5726.0,243632,-22336,22341
2013-08-12,2,2013,-272125.0,,,,335343,,,42081,0.0,20358,-62023,-10919.0,,,,-384220,-19491,163669,14621,,-85381,,,-20145,0.0,,2512.0,,,-1058591,,71176.0,,500533.0,0.0,345000.0,,,0.0,,-352671,-671660,-7297,6163.0,-117524,180659,-135994,9944,-163228,19469,,,2013年01月01日至2013年06月30日,2076340,1403277,-673063,19038,,-1295109,-1070476,-420579.0,637290.0,,724949,19038,-88211.0,1221791,-2039180,-817389,155000,7944,0.0,,-1693.0,-174,,,0.0,12095.0,-1089514,-6214,1403277,-80874,1693.0,,,5726.0,81900,-30344,294432
2013-11-12,3,2013,-353292.0,,,,-49217,,,4112,0.0,-5322,41901,79328.0,,,,-593229,-27252,249624,51176,,-135976,,,-35080,0.0,,6968.0,,,-1535701,,299344.0,,375940.0,0.0,0.0,-5000.0,,0.0,,-750178,-938867,41407,9275.0,-220394,262534,-261206,14712,-249093,27252,,,2013年01月01日至2013年09月30日,2076340,1195930,-880410,347936,,-1938752,-1699683,-420579.0,1370953.0,,1227560,347936,,1384724,-3079051,-1694327,344797,24051,0.0,,-1693.0,-168,,,0.0,18609.0,-2047619,-8263,1195930,-17228,1693.0,,,-69579.0,-21053,-90305,762967
2014-03-25,4,2013,-286269.0,0.0,,,85491,,,-224193,,23010,33025,89827.0,,,,-648150,-38559,327494,-35036,0.0,-178393,,,-48115,0.0,,10218.0,,,-1293403,,762720.0,,480060.0,0.0,84000.0,,,0.0,,-1857180,-1061631,-33755,-2843.0,-199964,385756,-408578,25694,-326554,38559,,,2013年01月01日至2013年12月31日,2076340,1444219,-632121,1124988,,-2142924,-1759314,-420579.0,0.0,-306868.0,1745803,1124988,88211.0,1767067,-4365100,-2598033,2448609,39770,,,-1637.0,-251,0.0,,,,-2884302,-20583,1444219,-95615,1637.0,0.0,-19523.0,-69577.0,-17790,-11589,439212
2014-05-14,1,2014,244999.0,,,-610262.0,-151503,,,48202,,104684,-289068,-32170.0,,,,100,-5251,69369,-32191,,-98923,,,-21793,0.0,,3717.0,,289.0,-258471,,-469280.0,295022.0,,,0.0,-850000.0,,,,762977,-610605,21463,-2838.0,-104784,79819,96622,3667,-69369,5251,,,2014年01月01日至2014年03月31日,1444219,1363804,-80415,-88783,,1423124,1493091,,6424471.0,-7337797.0,-1366564,-88783,,1679927,-343052,1336875,1144000,2560,,,,-87,,,,25904.0,1581874,-3247,1363804,-5849,760.0,,,-140693.0,14620,-12821,1907089
2014-08-14,2,2014,215544.0,,,-2399917.0,-36817,,,104686,,-1862,57851,-50509.0,,,,-6029,-12193,134377,-17235,,-192309,,,-37939,,,1642.0,,289.0,320639,,-99352.0,76521.0,,,4700000.0,-6200000.0,,,,944690,-716787,-86745,-3949.0,-207991,136922,47987,7334,-179623,14498,,,2014年01月01日至2014年06月30日,1444219,1046390,-397829,952013,,2817579,3145264,0.0,10573558.0,-12501600.0,-2990182,952013,-88196.0,1421690,556017,1977707,2963000,7392,,,,-4713,,,,46504.0,2193251,-4015,1046390,-162560,55.0,,,-126865.0,-17808,-31928,1491164
2014-11-13,3,2014,287219.0,,,-4801529.0,-166551,,,53216,,-43319,45744,-128860.0,0.0,,,4972,-18738,177499,-23310,,-369932,,,-59231,,,3428.0,,,515591,,-264261.0,128370.0,,0.0,6750000.0,-8200000.0,,0.0,,589607,-895398,90071,-852.0,-378705,201449,-73769,11001,-177499,18738,,,2014年01月01日至2014年09月30日,1444219,616496,-827723,1280091,,2867799,3202437,-420579.0,15472738.0,-17846587.0,-3293507,1280091,,1253794,381333,1635127,5876000,21806,,,0.0,-15250,,,,42959.0,1922346,-4713,616496,-175877,55.0,,,-126978.0,111362,-14307,1605120
2015-03-26,4,2014,3057481.0,14500.0,,,81114,,,-81608,,13801,814751,738.0,0.0,-174473.0,,12076,-32883,227597,15953,,-498372,,-6298.0,-75751,,142715.0,0.0,-5328.0,,885015,,29788.0,141185.0,,,0.0,-1450000.0,,,,577711,-530124,9167,2294.0,-750131,341519,202937,14668,-352698,36001,88196.0,,2014年度,1444219,1135015,-309204,-825208,,5070212,5507720,-420579.0,,-3447656.0,-4645238,-825208,-88196.0,1513420,1762027,3275447,805291,26001,,,-7367.0,-21714,,,-302.0,66920.0,6332928,-13732,1135015,-120811,55.0,2259009.0,0.0,-126966.0,86377,-183487,1258970
2015-05-14,1,2015,,,,-3100792.0,-224780,,,55575,,13836,-251234,,,-75255.0,0.0,-9838,-5605,49630,-10276,,-115849,,,-21428,,,0.0,-6215.0,,808721,,-148502.0,141010.0,,,2750000.0,-2050000.0,,,,-63328,-317328,21139,,-208035,76237,-8352,4412,-87811,5497,,106449.0,2015年01月01日至2015年03月31日,1581758,1414485,-167273,528283,-7416.0,-2440517,-2261054,,7671212.0,-5069400.0,2491555,528283,,-3020396,124610,-2895786,2296750,632,,,,-35,,,,7124.0,-2789337,-2201,1414485,-97149,0.0,,,0.0,-128935,-3259,-2792343
2015-08-07,2,2015,,,,-6354917.0,-280016,,,58881,,52700,-240346,0.0,,-145698.0,,4704,-11348,106124,-29436,,-130412,,,-42824,-18292.0,,0.0,-5052.0,,344409,,,-343654.0,,,5050000.0,-4550000.0,29647.0,,,116848,-256134,-20287,,-244869,128362,-10829,8825,-184263,9438,88196.0,126325.0,2015年01月01日至2015年06月30日,1581758,1634209,52451,510444,-4417.0,-2935200,-2650351,,15035410.0,-12062897.0,3261956,510444,-88196.0,-3066062,-221058,-3287120,6149412,16086,,14330.0,,-9374,,,-1943.0,7124.0,-3160795,-4779,1634209,-110024,0.0,,,0.0,-224429,-33379,-2515543
