date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付款項增加,應付款項減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付投資款增加,預付款項（增加）減少
2013-05-02,1,2013,0.0,-56965.0,400.0,-57811,,127.0,,1543,-5,10844,-1445,-7369,1385,,,562,-6560,70,15171,-17374,,,,,-180.0,-1950,329,0.0,-3160,0.0,125254,30618,56,,-475.0,,,-35521,53.0,104907,-6996,-22752,9750,426.0,108980,19839,,4789,278,-70,5469,,,2013年01月01日至2013年03月31日,1765020,2335378,15,570358,385270,,451483,471506,,0.0,-5605.0,-5276,385270,,-51683,194884,143201,105,129189.0,0.0,254,-75038.0,,86236,,2335378,-25422,776,,,,-9388
2013-08-08,2,2013,0.0,-48376.0,400.0,8093,1950.0,274.0,0.0,3396,5,14923,-5965,1109,-292258,,,1133,-14482,183,21734,-39098,,,-350000.0,,-180.0,-3395,522,,-3257,0.0,74320,14826,-80,,-475.0,893.0,,-62284,4193.0,87611,4191,-54992,166229,-337.0,-243631,39856,,15991,551,-183,10479,,,2013年01月01日至2013年06月30日,1579978,1825818,178,245840,648532,,464372,549778,,0.0,,3365,648532,,-20867,-29511,-50378,167,148337.0,0.0,484,-86288.0,,-98754,,1825818,-95702,-2587,,,,-13157
2013-11-11,3,2013,0.0,-56821.0,1500.0,64516,,287.0,,2599,9,2621,-8908,1082,-267734,3003.0,0.0,1706,-22934,258,18685,-78258,,,-201184.0,,-180.0,-3658,1015,,-7095,0.0,-42920,17798,-214,,-475.0,,,-135510,4133.0,48155,16024,-77156,182911,-2175.0,-136635,60125,39977.0,17769,822,-249,16652,12423.0,,2013年01月01日至2013年09月30日,1579978,1441170,301,-138808,942061,,541924,706360,-567000.0,200.0,,-562782,942061,-12423.0,-49019,-129861,-178880,242,148340.0,0.0,490,-86291.0,,-235701,,1441170,-193262,-12986,,,,-23900
2013-11-11,3,2014,,68809.0,0.0,-78682,,-1467.0,,-482,97,-4575,-2332,-9340,-359764,0.0,-440.0,1957,-29886,713,2245,-130116,,,51495.0,,-1561.0,17964,0,-152.0,0,674.0,-29818,-10962,101,-2550.0,,,,-11431,-4252.0,38519,9045,3930,11394,-1726.0,-42651,58262,0.0,9019,1169,-713,22735,10108.0,,2014年01月01日至2014年09月30日,1682956,1370359,-123,-312597,959094,,399353,583057,-680400.0,627.0,,-671544,959094,-10108.0,-115544,-329302,-444846,306,0.0,36551.0,-42,-7187.0,,-376037,,1370359,-215834,2201,24870.0,8821.0,,9449
2014-03-26,4,2013,0.0,-43305.0,1100.0,77250,,344.0,0.0,6154,28,1207,107,1520,-290170,,,2274,-30913,504,33229,-86964,,,-250884.0,,-873.0,968,2056,,-5585,0.0,-59572,69623,54,,3034.0,180.0,,-116574,4166.0,-45442,-21284,-67985,233627,-4648.0,-194625,79493,39977.0,16026,1105,-504,29214,12423.0,,2013年01月01日至2013年12月31日,1579978,1682956,325,102978,1259519,,829947,1021276,-567000.0,-809.0,,-565573,1259519,-12423.0,34456,-229394,-194938,242,148339.0,0.0,631,-86291.0,,-238243,,1682956,-232462,-15004,0.0,0.0,,-26354
2014-05-08,1,2014,,4070.0,0.0,-106737,,0.0,,-3320,102,808,-1426,-1108,-58553,,,585,-9191,291,1164,-10776,,,,,-100.0,-3188,0,-903.0,-2345,,62324,-83020,-458,-3020.0,,2100.0,,-23462,-4259.0,191161,8362,-5106,-86499,-658.0,269915,19487,,2111,309,-191,5739,,,2014年01月01日至2014年03月31日,1682956,2183099,2008,500143,345945,,215082,237950,,3964.0,0.0,13982,345945,,-220806,108741,-112065,0,0.0,32252.0,35,-6359.0,250884.0,-107995,,2183099,-28416,-2018,,8821.0,,2804
2014-08-12,2,2014,,27582.0,0.0,-93270,0.0,91.0,,-6330,-5,-3339,-1035,-9791,-259710,,,1308,-19076,499,-11622,-75120,,,250884.0,,-361.0,9002,-657,,-175,,69058,-50859,410,-2818.0,,-285.0,,-1531,-4174.0,3723,12291,30542,13014,-1237.0,211856,38744,,10290,624,-499,13938,,,2014年01月01日至2014年06月30日,1682956,2182228,-293,499272,673308,,291574,401850,,-415.0,,7464,673308,,-156727,-142313,-299040,77,0.0,36551.0,91,-7187.0,,-271458,,2182228,-123715,-6420,,8821.0,,5930
2015-03-24,4,2014,,94039.0,3350.0,32788,,-5826.0,,-4297,296,-4514,-26,-11336,138998,0.0,-619.0,2620,-40528,872,32112,-196012,,,250884.0,,-1560.0,25687,0,-263.0,0,321.0,-19709,-26010,1201,493.0,,,,20509,-4424.0,-62436,10413,87330,-61468,4357.0,93959,77696,0.0,9953,1688,-872,37861,10108.0,,2014年度,1682956,2365226,611,682270,1241476,,1241932,1432330,-680400.0,,-13272.0,-685733,1241476,-10108.0,18574,78241,96815,425,0.0,36551.0,-22,-7187.0,,190854,,2365226,-237495,7887,24870.0,8821.0,,476
2015-05-05,1,2015,,,,-74038,,,,109,3,860,68,2986,5878,,,673,-10104,176,-28925,-103653,,-10780.0,,,0.0,-1183,2225,0.0,-103,,96555,3895,-132,-829.0,,0.0,-162.0,60219,0.0,-16349,-18103,-16951,20038,,-114346,20507,,-163,520,-176,12949,,5866.0,2015年01月01日至2015年03月31日,2723627,2916339,-523,192712,312234,-463.0,328149,378707,,5771.0,,7834,312234,,-10488,71095,60607,190,,0.0,-185,0.0,0.0,66473,,2916339,-63331,-3852,,0.0,,-3139
2015-08-11,2,2015,,,,-14607,0.0,253.0,,974,5,-2430,-1039,4861,10859,,,1327,-18600,242,-47078,-130893,,-49083.0,0.0,,-97.0,3967,2278,0.0,-296,,42745,-9794,-198,-1147.0,,,-2330.0,-21564,0.0,-53876,-229,21481,67367,,-165979,38852,,3688,1055,-242,20492,,30906.0,2015年01月01日至2015年06月30日,2723627,3053804,178,330177,632441,-896.0,541305,704410,,1981.0,0.0,1929,632441,,-50383,91446,41063,25190,,0.0,-170,0.0,,71969,,3053804,-183355,367,,0.0,-10800.0,-1702
2015-11-06,3,2015,,,2863.0,-39338,,-97.0,,5511,13,-1418,-2415,-21688,11741,,-2661.0,1990,-27948,280,-51936,-185236,-10800.0,-53199.0,0.0,,-107.0,17650,3134,0.0,0,70.0,66168,-70869,2329,3376.0,,,,-57554,0.0,195952,27448,82773,17775,,-221218,54274,0.0,-75,1412,-280,25444,13056.0,44939.0,2015年01月01日至2015年09月30日,2723627,2803191,309,79564,949232,-1282.0,969766,1215441,-615600.0,0.0,-1921.0,-617048,949232,-13056.0,-164853,386123,221270,25191,,0.0,-169,0.0,0.0,266209,,2803191,-283895,10272,0.0,0.0,,2845
2016-03-24,4,2015,,,2863.0,7119,,61.0,,850,13,20334,77,-24056,63416,0.0,-2841.0,2650,-35219,304,-69927,-224743,-10800.0,-53199.0,,,-105.0,27514,2329,0.0,-7736,0.0,192496,-96287,-1858,3055.0,,,,-36025,0.0,77386,41793,162543,58774,,-268415,71876,,-4787,1769,-304,36911,13056.0,102941.0,2015年度,2723627,3330602,-47,606975,1229061,1499.0,1561847,1822138,-615600.0,,-418.0,-616530,1229061,-13056.0,-85278,575414,490136,25305,,0.0,216,0.0,0.0,593077,16824.0,3330602,-309954,14124,37597.0,0.0,,2122
2016-05-06,1,2016,,,,-102828,,44.0,,467,218,-1819,3,-6444,2334,,,664,-7768,56,-6249,-37371,,0.0,,,,-2932,0,-45.0,5218,,38571,-2044,1140,-1247.0,,,-184.0,-17804,,101348,-19959,1686,68597,,-32153,17670,,-775,355,-56,6724,,-1948.0,2016年01月01日至2016年03月31日,3330602,3581799,-110,251197,277519,-15492.0,282848,307417,,6980.0,,6751,277519,,-140050,171896,31846,0,,,63,,,29898,,3581799,-31237,-9171,,0.0,,-14925
2016-08-03,2,2016,,,,-77653,0.0,-1743.0,,-540,-1,-3514,7,-5080,2552,,,1318,-16750,79,-36971,-73912,,-49731.0,,,0.0,-2756,73,0.0,0,8827.0,67181,63567,1140,-7060.0,,869.0,0.0,-43484,,112893,-15281,6390,-41138,,-113974,35441,,-1796,694,-79,16057,,1656.0,2016年01月01日至2016年06月30日,3330602,3746786,-177,416184,636884,-15913.0,561654,681712,,4533.0,,5475,636884,241.0,-84660,127832,43172,842,,,-732,,,44828,,3746786,-136036,-17426,3520.0,0.0,0.0,849
2016-11-09,3,2016,,,0.0,-61884,,-1951.0,,205,-1,-3440,-483,-5365,2273,687.0,0.0,1948,-26127,102,-90662,-111045,0.0,-49732.0,,-15062.0,-1134.0,-5315,294,,0,8554.0,13276,114739,1140,-547.0,,,,-47644,,123155,-19970,-3906,52644,,-167434,53079,,2175,1062,-102,22720,8159.0,-13172.0,2016年01月01日至2016年09月30日,3330602,3350348,449,19746,961875,-16261.0,883988,1086812,-615600.0,8473.0,0.0,-606146,961875,-8159.0,-15848,153957,138109,985,,,-872,,,124937,,3350348,-233601,-35034,3520.0,,,-7871
