date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他非流動負債增加,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得投資性不動產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付款項增加,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,處分無形資產損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,預付款項（增加）減少
2013-05-13,1,2013,24752.0,-7500,10044,,,1721,,0.0,,9047,-1641,-555,-1452.0,,,,-612,3345,3660,-3116,,,,,0,551.0,,,,,-125878,,46939,479,,200146,-220108.0,-73469,-1805,-156804,295,54811,-51,-2990,17205,,,3038,1421,-3408,612,,,2013年01月01日至2013年03月31日,470584,325724,-144860,10725,-217942,-215145,,693510,-593636,72412,10725,,-9320,-241302,-250622,0,126,,,,,-126,0.0,0,,,,-225870,325724,-1,-70.0,,,-12303
2013-08-09,2,2013,54243.0,-21250,25876,,,1787,0.0,,,3728,-113,-1101,,,,,-829,7132,-1582,-8516,,,,,0,,0.0,,,277.0,-141740,-14733.0,107238,398,,460254,-480210.0,-78339,-3831,-64663,-1836,45528,0,-8035,38663,,,6590,2816,-7464,829,,,2013年01月01日至2013年06月30日,470584,367350,-103234,16184,-43040,-36394,,1187361,-1181999,-50577,16184,,53969,-160790,-106821,0,204,,,,,-161,,0,0.0,,,-52578,367350,-11,,32.0,,247
2013-11-12,3,2013,68695.0,-35000,25175,,-200.0,-10205,0.0,,,21649,-1933,-1134,-12656.0,,,,-864,10549,4473,-10080,,,,,0,-5938.0,,0.0,,275.0,-201812,-20531.0,21099,761,,9879,,-72653,-7106,-90794,3070,57866,-125,-5851,52650,,,7908,6382,-10658,864,0.0,,2013年01月01日至2013年09月30日,470584,338368,-132216,28664,-216927,-204063,-13272.0,1988934,-1843721,86089,28664,0.0,-12209,-289213,-301422,0,242,,,,3712.0,-199,-1068.0,0,0.0,,,-232727,338368,-3070,-725.0,0.0,,-32624
2014-03-21,4,2013,104994.0,-48750,55352,,-200.0,65425,0.0,,,7032,1892,-2219,-10784.0,,,0.0,-1891,14488,3055,-171585,,,,,0,7276.0,,0.0,,315.0,-171516,-20531.0,647,-142,,-30003,,-78512,-8524,-87178,3100,62340,-493,-161798,69088,,,10046,8344,-14539,1370,0.0,,2013年01月01日至2013年12月31日,470584,403340,-67244,82522,-815,15444,-13272.0,2771726,-2566656,92314,82522,0.0,-26366,-145706,-172072,0,289,2393.0,,,6790.0,-246,-858.0,0,0.0,,,-67078,403340,-3090,-1323.0,0.0,70.0,-8492
2014-05-09,1,2014,30125.0,-13750,-52007,,0.0,-19713,0.0,,,724,-990,-577,-560.0,,,0.0,-511,3739,9541,-2370,,,,,0,0.0,,0.0,-250.0,0.0,-52073,0.0,5032,-2950,,19902,,39070,1866,642,-954,20980,258,963,25279,-256.0,,484,1151,-3772,665,0.0,,2014年01月01日至2014年03月31日,403340,354575,-48765,7491,-29546,-26437,0.0,686710,-722585,-29723,7491,0.0,-9098,-54955,-64053,0,19,0.0,,,3564.0,-19,,0,0.0,,,-33928,354575,-2,2.0,0.0,0.0,-2545
2014-08-08,2,2014,54013.0,-27500,-30497,,0.0,-11167,0.0,,,3242,-1050,-1144,-2336.0,,,0.0,-977,7432,5939,-4676,,,-1444.0,,0,,,0.0,,-1213.0,8389,0.0,-90008,-59,,510396,-490331.0,8209,2320,83711,-297,28263,-290,-1331,47101,-256.0,,455,2438,-7501,1250,0.0,,2014年01月01日至2014年06月30日,403340,400644,-2696,16332,60508,73742,,1263543,-1353920,-67812,16332,0.0,-108193,111590,3397,30000,2438,0.0,,,3564.0,-2438,,0,0.0,,,57410,400644,-6983,2.0,0.0,0.0,6367
2014-11-07,3,2014,79433.0,-41250,-27216,,0.0,-27983,0.0,,,5907,2726,-2161,-4687.0,,,0.0,-1498,11122,3972,-13705,,,-2444.0,,-100,-1039.0,,0.0,-252.0,0.0,27907,0.0,4190,-1061,,850480,-830547.0,20412,1311,17409,-857,9742,-743,-10413,69071,-256.0,,379,3924,-11149,1631,0.0,,2014年01月01日至2014年09月30日,403340,397845,-5495,29519,121200,142740,-38969.0,1747694,-1837662,-120254,29519,0.0,1126,32662,33788,30000,2524,,,,3564.0,-2524,0.0,0,0.0,,,113221,397845,-12022,-2.0,0.0,0.0,9148
2015-03-19,4,2014,95023.0,-55000,-14967,,-250.0,16186,0.0,,,8572,1487,-2270,-3784.0,,,0.0,-1454,14853,12746,-47465,-1000.0,,,0.0,-100,-12359.0,,0.0,,3.0,58720,0.0,44441,4339,,1050696,-1030633.0,37704,2093,-30355,-6928,-48020,-500,-45588,92055,864.0,,457,5416,-14900,1975,1320.0,,2014年度,403340,370830,-32510,73756,194940,219557,-38969.0,2311049,-2461501,-194608,73756,-1320.0,80776,-29998,50778,30000,2524,450.0,,-61.0,,-2524,,0,0.0,,,145801,370830,-13012,-564.0,524.0,0.0,-16804
2015-05-12,1,2015,,-13750,-14773,,0.0,-31899,0.0,,,6462,-1073,0,-1331.0,,-20507.0,0.0,-172,3820,-1616,-275,,-6083.0,,,0,,,0.0,-794.0,0.0,-40801,0.0,-57,-2864,,350086,-350202.0,-3511,12764,9338,-8781,34816,-4023,-27659,22786,0.0,1022.0,0,1424,-3753,172,0.0,27845.0,2015年01月01日至2015年03月31日,370830,443170,72340,22448,-37435,-33854,,851214,-728298,139050,22448,0.0,-1979,-82168,-84147,30000,0,0.0,,-22.0,,0,,0,0.0,,,-56302,443170,0,9.0,0.0,0.0,-39436
2015-08-11,2,2015,,-27500,17527,,0.0,-25302,0.0,,,-730,-2830,-1123,-1110.0,,-8312.0,0.0,-733,7914,-909,-11914,,-6083.0,,,0,,,0.0,,-1053.0,-67691,0.0,-11475,-372,,550288,-550284.0,-12753,549,-45687,4530,54087,-581,-11567,45043,0.0,-8183.0,0,3703,-7772,733,0.0,49468.0,2015年01月01日至2015年06月30日,370830,505043,134213,58149,-8361,7296,,1501632,-1349086,155050,58149,0.0,-8377,-91944,-100321,30000,49,0.0,,,,0,-22.0,0,0.0,15746.0,-6498.0,-50853,505043,-8618,61.0,0.0,0.0,823
