date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預收款項增加（減少）
2013-05-13,1,2013,15213.0,1492,-572,,1570,1899,,,0.0,,,0.0,11284.0,-551,499,-13608.0,0,,-927,,,11821,-5626,-610,32090,1776,210.0,0,4909,,31,-579,754.0,,,2013年01月01日至2013年03月31日,595686,593110,-2576,39024,,111032,110931,,0.0,-100000.0,-100000,39024,9680,47014,56694,,71907,0,593110,-74,-32,12644.0
2013-08-12,2,2013,27231.0,2279,12,,-48,-1815,,0.0,,,,,19588.0,-1231,531,-19588.0,0,,-1571,,6.0,80583,14589,-1424,41977,-488,448.0,6,9920,,56,-579,1166.0,,,2013年01月01日至2013年06月30日,595686,683597,87911,74080,,257493,265026,,-150000.0,,-150000,74080,43446,120269,163715,0.0,190946,-6661,683597,-8120,-62,34263.0
2013-11-13,3,2013,802.0,2617,707,,-2038,2452,,,,,4009.0,,-9040.0,-2205,837,9040.0,-350,,-3575,,-226.0,58241,8423,9306,42702,-1538,-522.0,-576,14757,,84,-824,2097.0,,,2013年01月01日至2013年09月30日,595686,828259,232573,89144,,233481,240420,-79372.0,70000.0,,-9372,89144,43901,106573,150474,0.0,151276,-8335,828259,-8212,-56,34450.0
2014-03-26,4,2013,26723.0,14682,169,-119187.0,58250,-6663,,-219.0,,,,,15356.0,-3531,1758,-15356.0,-2557,,-6483,-10.0,,91567,26255,6283,27841,1693,-5924.0,-121754,19582,4010.0,120,-1775,,3461.0,,2013年01月01日至2013年12月31日,595686,715289,119603,136979,,356085,371302,-79372.0,-20000.0,,-99372,136979,89202,118398,207600,0.0,234323,-10344,715289,-16903,-79,
2014-05-14,1,2014,14022.0,2191,-19,119187.0,4717,-141,,-228000.0,,,,,10713.0,-765,46,-10713.0,-1912,,260,25.0,,1850,-5969,-3478,-27141,1334,45.0,117300,3929,,36,-149,645.0,,,2014年01月01日至2014年03月31日,715289,510438,-204851,59055,,-181438,-181870,,0.0,-130000.0,-130000,59055,-2830,-252117,-254947,,-240925,-336,510438,-64,-197,
2014-08-12,2,2014,9913.0,13711,-1140,,3263,3361,,,,119187.0,,,4548.0,-2450,67,-4548.0,-2508,,28,,36.0,-34190,15360,26,-14638,3713,41.0,116715,7943,-77707.0,72,-76,1428.0,,,2014年01月01日至2014年06月30日,715289,691607,-23682,95116,,-5849,852,,,-130000.0,-130000,95116,16424,-120601,-104177,,-94264,-966,691607,-8053,-295,-15011.0
2014-11-12,3,2014,-4168.0,-6556,-1901,,5253,4166,,,,121187.0,,,-12039.0,-3690,84,12039.0,-3675,,29,,62.0,-42352,32951,2106,-18049,5167,40.0,117574,11857,455.0,108,-84,2390.0,,,2014年01月01日至2014年09月30日,715289,692625,-22664,134018,,80904,95142,-103181.0,,-130000.0,-233181,134018,17806,-52514,-34708,,-38876,550,692625,-16544,-517,-16538.0
2015-03-27,4,2014,45069.0,-18846,-1299,,-5490,6248,,-83.0,0.0,121187.0,,,34654.0,-5751,152,-34654.0,-3675,,11,62.0,,-7329,16031,8288,-45142,5468,-488.0,117574,15674,15000.0,138,-250,,3984.0,,2014年度,715289,852904,137615,232124,,237877,250846,-103182.0,,-80000.0,-183182,232124,790,-27137,-26347,0.0,18722,1295,852904,-16703,191,
2015-05-08,1,2015,,-5498,847,,-154,-8010,,,,0.0,,,8842.0,-1600,107,-8842.0,-692,,72,-33.0,0.0,-20161,3156,6682,-21581,-201,,-725,3798,-20000.0,31,-65,928.0,,11243.0,2015年01月01日至2015年03月31日,852904,859425,6521,48994,1.0,-3912,-4682,,20000.0,0.0,20000,48994,4187,-69106,-64919,,-53676,0,859425,-93,-7,
2015-08-12,2,2015,,-5859,2160,,2265,1816,,,,0.0,,,8842.0,-6671,918,-8842.0,-932,,72,,-153.0,5845,-40974,4762,-1082,-53,,-1085,7633,-20000.0,62,-532,6563.0,,10821.0,2015年01月01日至2015年06月30日,852904,1040557,187653,63154,-7.0,-2420,17691,,200000.0,0.0,200000,63154,-44970,-11314,-56284,,-45463,-3567,1040557,-26142,-35,-1590.0
