date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,其他投資活動,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融負債增加（減少）,其他金融資產增加,其他金融資產（增加）減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之付現類別合計,營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,金融資產減損損失,非控制權益變動,預付款項（增加）減少,預收款項增加（減少）
2013-05-14,1,2013,2141.0,,,,,,,53697,-136312.0,9630,-6717.0,,-1688,745.0,1405.0,-18766,-437,,6408,,,,-34883,-9864.0,,-16165.0,,-617.0,-160337,12884,,-745.0,1688.0,,,2013年01月01日至2013年03月31日,602469,591079,-11390,-681,,,,145542,144599,,2000,,2000,-681,,184557,-41418,143139,1895,,-848.0,,145280,591079,,-15360.0,,,,,141341
2013-08-12,2,2013,25137.0,,,,,,,20243,,-86722,-7423.0,0.0,-3521,1551.0,986.0,-57789,-657,,11497,0.0,,,-119150,85090.0,,-34560.0,,-1259.0,-63854,33754,,,3521.0,,,2013年01月01日至2013年06月30日,602469,579916,-22553,-4914,,,,38315,36503,,2000,,2000,-4914,,256712,-240432,16280,2015,,-968.0,,41417,579916,-1709.0,-24776.0,,7600.0,0.0,,152638
2013-11-12,3,2013,22783.0,,,,,,0.0,99261,,-153747,-7419.0,0.0,-5327,1609.0,548.0,-76566,-900,0.0,14747,1876.0,,,-133441,23162.0,,-34158.0,,-1901.0,-82532,52320,,,5327.0,4402.0,,2013年01月01日至2013年09月30日,602469,584070,-18399,-4293,,,,51956,43936,,9753,,11629,-4293,-4402.0,346792,-321346,25446,2353,,-844.0,,48229,584070,-1709.0,-42920.0,,7600.0,,,226270
2014-03-21,4,2013,31383.0,,,,,,,42949,,-12868,,0.0,-20183,2390.0,1151.0,-94870,-900,0.0,7267,1831.0,-8950.0,,-248408,37527.0,,-39430.0,,-2543.0,-100821,71067,,-2390.0,20183.0,5026.0,,2013年01月01日至2013年12月31日,602469,651138,48669,59983,,,,126896,105951,,19612,,21443,59983,-5026.0,315291,-300706,14585,3899,0.0,-2343.0,,45968,651138,-1874.0,-29389.0,,7600.0,0.0,,237358
2014-05-13,1,2014,10566.0,,,,,,,-80596,,7873,3943.0,,-1725,491.0,1692.0,-7054,-6510,,-347,,,,-17084,-33380.0,,-23001.0,,-1893.0,-9516,19335,,-491.0,1725.0,,,2014年01月01日至2014年03月31日,651138,641667,-9471,5701,,-91340.0,,-91340,-91514,,31651,,89693,5701,,-75569,-32212,-107781,105,,-105.0,,-97215,641667,-1060.0,-7083.0,,,58042.0,,40300
2014-08-14,2,2014,27583.0,,,,2922.0,,,-78252,,16494,3844.0,,-3870,1047.0,-711.0,-37764,-13084,,-6580,548.0,,,-97043,5087.0,,-3617.0,,-2568.0,-40156,38718,,-1047.0,,3870.0,,2014年01月01日至2014年06月30日,651138,738522,87384,20569,,,,-25402,-23099,,37143,,153653,20569,,29270,-100521,-71251,337,6511.0,-335.0,-1397.0,-43668,738522,-5126.0,,,0.0,115962.0,-19277.0,105003
2014-11-12,3,2014,43611.0,,,,-73427.0,,,-85768,,36013,,,-5715,1780.0,1138.0,-98467,-13084,,-4562,1029.0,,3698.0,-159778,,-16010.0,,-17358.0,-3244.0,-100557,58528,,-1780.0,5715.0,4922.0,,2014年01月01日至2014年09月30日,651138,551047,-100091,31737,,,,-127050,-130741,-48546.0,41662,,126378,31737,-4922.0,47015,-253104,-206089,785,6511.0,18.0,-1516.0,-162478,551047,-5166.0,,,0.0,132233.0,-38554.0,152037
2015-03-23,4,2014,-852.0,3817.0,40342.0,-12102.0,-72241.0,,,-70422,,21467,0.0,-67235.0,-8512,2281.0,-4.0,-135525,-13084,,-5731,1029.0,1186.0,,-264968,90444.0,,-60943.0,,-3927.0,-148846,75617,-3126.0,-2281.0,8512.0,5588.0,,2014年度,651138,555415,-95723,103425,,,-69894.0,-69894,-76009,-48546.0,97274,,123021,63083,-5588.0,247811,-426393,-178582,351,6511.0,-351.0,-3207.0,-179434,555415,-5704.0,,,15000.0,73264.0,-49708.0,231716
2015-05-12,1,2015,,,0.0,,-18013.0,,,-33867,,58479,,-365.0,-1662,0.0,0.0,-1500,0,,66,,-1180.0,,-75557,-7302.0,,-14597.0,,,-2490,9837,-7934.0,0.0,1662.0,,-58.0,2015年01月01日至2015年03月31日,555415,536183,-19232,24278,-713.0,,,-46742,-46364,,30000,,30000,24278,,-12659,-57925,-70584,190,,,,-70642,536183,-2040.0,,,,0.0,-8237.0,29223
2015-08-11,2,2015,,1045.0,0.0,,-12415.0,,,-38406,,48799,,-809.0,-3434,0.0,0.0,-5474,0,,-669,0.0,-2219.0,,-149872,2942.0,,1459.0,,,-6458,19362,-6649.0,0.0,3434.0,,7801.0,2015年01月01日至2015年06月30日,555415,574814,19399,31088,-1467.0,,,-75943,-75973,,101800,,101800,31088,,5404,-120266,-114862,190,0.0,,,-107061,574814,-3404.0,,,,0.0,-8237.0,42335
