date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得子公司股權,取得採用權益法之投資,取得無形資產,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非控制權益變動,非金融資產減損損失
2013-05-13,1,2013,311870.0,,-754407,-332866,36009,,-198,104764,1153,,-495.0,,-354.0,,,,-4571,18816,70226,-215343,,,-8898,,,-272573,-98882,40448,42511.0,-190207,296540,-9788,11905,-23340,4603,2765.0,,2013年01月01日至2013年03月31日,1807928,1728979,-78949,600296,,318464,432532,-5091.0,371450.0,,-277432,600296,,-388282,-91352,-479634,250020,34883,-1100,,,,-167764,1728979,-98096,-139404,68
2013-08-12,2,2013,616879.0,119.0,-1511788,-171224,43748,,3869,-2092,-700,,0.0,5836.0,0.0,3640.0,,,-10502,37835,7528,-507518,-730490.0,,-9103,,,71525,-161072,93205,93367.0,-448632,592923,-22095,12004,-37779,10631,,,2013年01月01日至2013年06月30日,1807928,1124010,-683918,1529624,,1795279,2117129,,,-269468.0,-2038093,1529624,,-235760,206386,-29374,750038,58394,6573,,,,587505,1124010,-294702,-276385,141
2013-11-11,3,2013,966044.0,352.0,-2121210,-53799,106713,,-4220,-3020,-700,,,,0.0,12108.0,,11008.0,-11806,52677,-26322,-796200,-729470.0,0.0,-13755,0.0,8191.0,47065,-83276,-54333,75649.0,-441095,920429,-47423,17479,-54130,12361,,,2013年01月01日至2013年09月30日,1807928,1574198,-233730,2526340,,3013818,3522463,-1177710.0,773330.0,,-2780131,2526340,,-66346,96425,30079,750059,337201,34547,,0.0,,996123,1574198,-466876,-275130,141
2014-03-17,4,2013,1277061.0,1.0,-2190320,212634,25104,13423.0,26531,-132542,-699,,,,18150.0,,,,-17153,67768,-35224,-1015714,-730027.0,,-22314,,,-150035,122799,-288055,43941.0,-635300,1209129,-57520,23633,-69922,17155,,,2013年01月01日至2013年12月31日,1807928,1582742,-225186,3393063,,3890716,4529802,-1177710.0,11482730.0,-11231528.0,-3445378,3393063,,405206,-545528,-140322,750070,371154,41370,0.0,0.0,,1136739,1582742,-586319,-348593,9834
2014-05-13,1,2014,340174.0,,-50752,-317876,-76409,,12198,61210,-687,,148.0,,-12818.0,,,,-4550,15111,-53003,-304085,0.0,,-4743,,,-606602,296225,18470,57380.0,-296279,309094,16368,5750,-14711,3578,,,2014年01月01日至2014年03月31日,1582742,1506126,-76616,989414,,563108,773497,,-238239.0,,-290442,989414,,47240,-603331,-556091,0,25219,-1710,,,,-215917,1506126,-199256,-1451,111
2014-08-12,2,2014,729067.0,1.0,-506973,-64310,-64764,,-21833,37263,-2563,,,,-13875.0,0.0,,,-8905,29427,-59005,-845161,-739771.0,,-9778,-4588.0,0.0,-321453,389347,-166429,58479.0,-835284,623673,60133,11221,-30386,9011,,,2014年01月01日至2014年06月30日,1582742,1598175,15433,2301399,,2242649,2874203,,141846.0,0.0,-1332927,2301399,,359120,-515383,-156263,0,38117,13408,,,,572804,1598175,-610179,-228029,110
2014-11-10,3,2014,1074909.0,1.0,-507625,227353,-109175,,-8607,-17380,-2586,-44.0,,,,41748.0,,5944.0,-14265,43899,-45651,-1376465,-739771.0,,-19224,-6786.0,0.0,-613146,620263,-315353,97709.0,-1297279,962577,41053,17237,-42585,14675,,,2014年01月01日至2014年09月30日,1582742,1828755,246013,3626838,,3259635,4580825,-1837227.0,194679.0,,-1670692,3626838,,934132,-1055054,-120922,1446893,57503,20076,,,768.0,953987,1828755,-1293280,-227597,3564
2015-03-20,4,2014,1438312.0,1.0,-508351,894269,-56617,9629.0,-3273,-23810,26667,-42.0,,18646.0,,45554.0,,,-20265,60006,-99508,-2054012,-739771.0,,-26596,,,-897337,349493,-703710,112589.0,-1924671,1292589,28583,26340,-58676,20069,,,2014年度,1582742,1891230,308488,5054959,,4652637,6191542,-1837227.0,9761807.0,-9269362.0,-2319970,5054959,,1379745,-1681474,-301729,500000,82107,42585,,,768.0,1136583,1891230,-1500298,-227024,7706
2015-05-11,1,2015,,,-28217,-1101823,-43305,,-5224,-82499,2059,,-8641.0,,5711.0,,,,-6715,16858,24767,-555663,,-32261.0,-16166,,,-379381,443989,441965,,-566777,360683,10657,7157,-16627,4780,,397595.0,2015年01月01日至2015年03月31日,1891230,2353639,462409,1226701,19752.0,674252,919829,,180731.0,,330167,1226701,,-641247,-63220,-704467,240180,40243,3218,,,,-306872,2353639,-233730,-62527,5737
2015-08-10,2,2015,,0.0,-667911,-527690,-140392,,-28426,-136427,5327,,15485.0,,4199.0,,,,-11736,36590,-15250,-1338604,0.0,,-33791,,,226708,81093,802397,,-1336745,673368,-11420,14585,-37430,11919,,724544.0,2015年01月01日至2015年06月30日,1891230,2173214,281984,2665443,43334.0,3207367,3715911,,-984299.0,,-1573388,2665443,,-426362,752286,325924,237287,47878,11761,,-31912.0,,1050468,2173214,-483033,-158465,11396
