date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得子公司股權,取得採用權益法之投資,呆帳費用提列（轉列收入）數,因合併產生之現金流入,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預收款項增加（減少）
2013-05-13,1,2013,606087.0,-5250.0,-746569,1094,115935,-90245,-69024.0,,-145207,-31485,,,0.0,154859,92493,-580653,0.0,0.0,-43734,,-448073,-11315,-20645,,,1616249,20825,,,-14692.0,-668912,496745,-2,-12500,13051,-173137,,,2013年01月01日至2013年03月31日,3444634,4848593,1403959,476200,,973784,1236952,,1011844.0,,1006594,476200,,-882372,1037037,154665,,12250,-2334,,,,,,760752,4848593,-90031,,,,-122690,0
2013-08-13,2,2013,1243960.0,-557242.0,-548399,-185488,369559,-24933,-90796.0,0.0,-131307,-1181,,,0.0,294601,23858,-1102198,0.0,0.0,-41648,0.0,284464,-962250,-216545,,,1962131,47713,,,21810.0,-1065402,1005140,-6,-31129,26263,-324036,,,2013年01月01日至2013年06月30日,3444634,3945077,500443,878641,,2019440,2567377,,79789.0,0.0,-477453,878641,,-1915805,2360581,444776,0.0,123469,-9177,,0.0,,5304.0,-90.0,1688736,3945077,-223901,0.0,,,-171973,0
2013-11-12,3,2013,1885688.0,-752753.0,-288233,-267610,374399,-22520,-75671.0,0.0,-30125,0,80982.0,,-27302.0,433448,111163,-1784000,0.0,0.0,-28198,0.0,229495,-757502,-94138,0.0,,2034456,63131,,,18033.0,-1653897,1515328,-8,-56005,42053,-467096,49446.0,,2013年01月01日至2013年09月30日,3444634,4802216,1357582,990929,,3247599,3943120,-644021.0,1055023.0,0.0,-347283,990929,-14420.0,-1348662,2415165,1066503,0.0,146790,-6428,,0.0,,5304.0,-90.0,2952191,4802216,-277871,-5532.0,,,-256183,63308
2014-03-20,4,2013,2518473.0,-1816312.0,-119165,-62683,350343,35460,-35788.0,0.0,-117910,-14457,,,0.0,569471,159477,-2434227,0.0,0.0,-19596,0.0,683496,-100747,100339,-9807.0,-9201.0,302035,-36067,-101804.0,1666.0,-69088.0,-2249482,2006211,-19,-66302,53319,-568470,49446.0,,2013年01月01日至2013年12月31日,3444634,3612358,167724,1443156,,3888407,4701961,-644021.0,835187.0,0.0,-1630678,1443156,-14420.0,-146792,887124,740332,,229686,-10120,,0.0,,5304.0,-90.0,3258805,3612358,-294530,-5532.0,,,-194616,88100
2014-05-12,1,2014,1077572.0,0.0,-486025,-54211,82537,-11974,-20417.0,,-179579,-18588,,,,137411,50124,-554842,,,421835,,-347207,234203,-63472,,,1202998,-10284,,,-23099.0,-589105,520585,2,-15644,14586,-133868,,,2014年01月01日至2014年03月31日,3612358,4799037,1186679,-495747,,900733,1021234,,722784.0,,824927,-495747,,-344595,784004,439409,102143.0,4742,-1201,,,,,,1516981,4799037,13367,,,,35537,59983
2014-08-12,2,2014,1931070.0,0.0,-495265,120129,96264,-13746,-266286.0,,-135331,-18249,,,,272670,-181556,-1107689,,,616397,,572982,-898269,-184105,,,2255588,-90040,,,-28369.0,-1384490,1050291,-2,-35703,29416,-270930,,,2014年01月01日至2014年06月30日,3612358,5485767,1873409,-198341,,2560024,2931180,,420623.0,,879431,-198341,,-1560069,2758520,1198451,458808.0,7734,-2001,,,,0.0,0.0,3129521,5485767,-100226,,,,59059,-60444
2014-11-12,3,2014,2738488.0,0.0,-471976,-82355,82706,-20568,-47044.0,,79925,-32116,0.0,,0.0,389365,-333852,-1734285,,,818255,,-19194,-20864,-160020,,,1608617,-223085,,,-49761.0,-1780832,1571527,-3,-67198,43848,-405477,57809.0,,2014年01月01日至2014年09月30日,3612358,3279886,-332472,17324,,3052875,3494226,-644021.0,0.0,-1012930.0,-1270663,17324,-14026.0,-799138,1537552,738414,390898.0,32613,-3283,,,,0.0,0.0,3476902,3279886,-93683,-4610.0,,,8586,6406
2015-03-19,4,2014,3494855.0,-183062.0,75596,-1681,305219,-79364,-40903.0,,18660,-18579,,,,521562,-344238,-2531353,,,860522,,-186481,238684,-171154,-9318.0,0.0,709467,-191855,-441211.0,0.0,9937.0,-2546345,2106404,1,-74333,58166,-556343,57899.0,,2014年度,3612358,3621374,9016,597468,,3557110,4151820,-644021.0,174182.0,,-657511,597468,-14116.0,130995,-71498,59497,,44490,4702,,,,0.0,0.0,3554352,3621374,-96266,-4610.0,31948.0,,-285298,68295
2015-05-12,1,2015,,-82037.0,-727335,42549,-270788,-16211,-12598.0,,77426,0,20953.0,-435731.0,,125698,912,-534369,,,3309,40079.0,24017,-696223,-29023,-59376.0,,790970,154214,-545684.0,0.0,,-464601,554473,4,-13545,14672,-114426,,253525.0,2015年01月01日至2015年03月31日,3621374,3873881,252507,728837,-17000.0,-29235,98203,,827468.0,,745431,728837,,-1406429,522270,-884159,0.0,21334,19525,,,-14876.0,,,-630634,3873881,-13012,,,,292111,96190
2015-08-11,2,2015,,-194620.0,-715747,333583,-292053,-20245,0.0,20456.0,-6789,-55645,,-134405.0,,254358,-217482,-1515450,,,7508,40079.0,228260,-676803,-36525,-1340.0,,1635144,219003,-673026.0,0.0,,-1464098,1104263,5,-21406,29827,-275125,,1263145.0,2015年01月01日至2015年06月30日,3621374,3712837,91463,976018,-24171.0,1978592,2543928,,0.0,-10929.0,-205549,976018,,-1011769,1316534,304765,0.0,46462,37876,,,-14876.0,,,1567910,3712837,-290211,,,,205990,129479
