date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得子公司股權,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,生物資產（增加）減少,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分無活絡市場之債務工具投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預付設備款減少,預付費用（增加）減少,預收款項增加（減少）
2013-05-13,1,2013,4769.0,,-14651,,-167,-58,0.0,,-176.0,0.0,,-295.0,,109,,-704,424,2018,-5438,,,-338,-24015.0,,,956,-24,,176,-14,,7651,,-29343,,,-29378,6682,258,-419,704,,2013年01月01日至2013年03月31日,301709,293355,-8354,65007,16353,19387,,-185,,1721.0,,2653,65007,-4959,-45430,-50389,,4.0,,37,,,-45620,293355,-2615,,,,-2037.0,-15830,,,,2208
2013-08-09,2,2013,8969.0,,9969,-334.0,-119,-21,,,-8923.0,0.0,0.0,-5810.0,,221,,-1769,849,6591,-29034,,,-342,-24440.0,,0.0,4343,-182,-133.0,176,-2131,,67142,,-63884,,-11465.0,-66733,13657,531,-906,1769,,2013年01月01日至2013年06月30日,301709,326141,24432,151766,108964,144780,,-94,,,-28551.0,-24390,151766,84221,-100176,-15955,,4.0,,86,,,-6986,326141,-34910,,,,-4606.0,-22247,,,,7229
2013-11-08,3,2013,21444.0,0.0,39485,-798.0,-166,-89,,,-6338.0,0.0,,-6593.0,,334,,-3212,1293,-306,-65324,,,-621,,,768.0,9870,-1186,-134.0,177,-14189,,94534,,-56141,,-21749.0,-115628,21283,828,-1270,3212,,2013年01月01日至2013年09月30日,301709,423590,121881,261281,258777,311586,0.0,-143,-35280.0,36012.0,-30378.0,-20962,261281,139022,-110161,28861,,10.0,,150,,,50305,423590,-51539,,,0.0,,-17052,,-40017.0,,5169
2014-03-14,4,2013,28450.0,0.0,53101,-806.0,-167,-49,,,-9676.0,,,-6489.0,,445,,-4429,2033,4974,-84588,-147570.0,,-951,,,650.0,12115,-1510,-134.0,190,-15473,,2604,,-27133,,-10598.0,-276159,29314,1172,-1752,4429,,2013年01月01日至2013年12月31日,301709,278068,-23641,319013,255742,338080,0.0,-406,-35280.0,91722.0,-75245.0,-8198,319013,62847,-72230,-9383,,10.0,,155,,,19067,278068,-80586,-890.0,,0.0,,-8480,,-31380.0,-9285.0,7309
2014-05-06,1,2014,6683.0,,-28859,-95.0,1105,-91,,,,,2049.0,-1088.0,0.0,115,,-500,576,-1375,-26236,,,-593,0.0,,-1437.0,20041,-17722,,0,-14705,,6570,,-10762,,3003.0,-32891,8857,410,-557,500,,2014年01月01日至2014年03月31日,278068,315631,37563,86331,31506,63269,,-88,,,38004.0,40323,86331,-23993,-5752,-29745,,0.0,,510,,,-23062,315631,-31206,-1848.0,,,0.0,11814,-5474.0,,3123.0,-2809
2014-08-08,2,2014,14665.0,,-15164,-1769.0,4648,-110,,,-884.0,,,-2800.0,,226,,-1170,1423,-6077,-61089,-48110.0,,-950,0.0,,-1413.0,8510,-72,-6358.0,9,-18253,,53164,,-51213,,3141.0,-142473,18677,785,-1351,1170,,2014年01月01日至2014年06月30日,278068,311262,33194,215165,137920,201949,,66,,35386.0,0.0,43824,215165,41273,-69154,-27881,,0.0,,502,,,-13216,311262,-62678,-4365.0,,,,-1016,-23461.0,,,-1375
2014-11-07,3,2014,27773.0,,14768,-594.0,391,-156,,,0.0,4800.0,,-585.0,,112,,-1773,2368,-135,-107505,-49340.0,,-1564,,,440.0,10622,-73,-8025.0,9,-38342,,38994,,-62592,,10598.0,-165892,30822,1182,-2162,1773,,2014年01月01日至2014年09月30日,278068,345973,67905,335939,212785,311057,,-65,-88200.0,98798.0,0.0,21147,335939,48279,-100934,-52655,,14.0,,690,,,-24882,345973,-96110,-6068.0,,,,-9783,-5469.0,,,-5874
2015-03-02,4,2014,40055.0,,38134,-1810.0,619,-471,,,0.0,2461.0,,-312.0,,452,-7339.0,-2578,3579,6482,-124408,-50920.0,,-1847,-30552.0,,86.0,14565,-2954,-54050.0,9,-51089,,11758,,-24754,,10598.0,-262936,44395,1582,-3357,2578,,2014年度,278068,319280,41212,386360,268530,400560,,-355,-88200.0,105910.0,0.0,29136,386360,49319,-75174,-25855,,13589.0,,1084,,,14200,319280,-128673,-8545.0,-185.0,,,-7277,,-12145.0,-16.0,-1192
2015-05-08,1,2015,,,-37058,-376.0,-619,261,,,-8002.0,,397.0,0.0,,378,-70881.0,-675,1701,-1094,-25480,,,-304,,,0.0,3114,-724,-923.0,38805,-10584,,-2099,,3927,-18867.0,-1614.0,24924,15804,411,-1602,675,18313.0,2015年01月01日至2015年03月31日,319280,454368,135088,72264,9950,28137,,48,,98918.0,,101308,72264,-41336,-21104,-62440,,,100469.0,0,,,-44127,454368,-16585,-2426.0,,3120.0,,5419,-9435.0,,285.0,-1560
2015-08-07,2,2015,,,-26325,-2362.0,3852,253,,0.0,-40321.0,,,0.0,989.0,1025,-76304.0,-1725,4706,-4722,-45419,-29435.0,,-302,,-60197.0,0.0,6985,-1043,-917.0,932,-45478,21130.0,40901,,-75372,,-845.0,-133681,31031,822,-3694,1725,33939.0,2015年01月01日至2015年06月30日,319280,335528,16248,194491,70223,108507,,207,,78486.0,,84428,194491,19032,-138955,-119923,,193.0,100469.0,-67,,,-85984,335528,-34590,-3609.0,,1756.0,,-15358,-6224.0,,,604
