date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融負債增加（減少）,停業單位稅前淨利（淨損）,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他現金流入（出）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融負債增加（減少）,其他金融資產（增加）減少,其他非流動負債增加,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得投資性不動產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,已實現銷貨損失（利益）,庫藏股票買回成本,應付公司債匯率影響數,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之付現類別合計,營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,生物資產（增加）減少,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產損失（利益）,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,處分無形資產損失（利益）,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,退還（支付）所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,逾期未領股利及董監酬勞轉列其他收入,遞延借項（增加）減少,遞延貸項增加（減少）,避險之衍生金融負債增加（減少）,避險之衍生金融資產（增加）減少,金融資產減損損失,金融資產減損迴轉利益,金融資產重分類淨損失（利益）,除列按攤銷後成本衡量金融資產淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付費用（增加）減少,預收款項增加（減少）
2013-05-08,1,2013,0.0,8897.0,0.0,,,,-16820,,0.0,5632,0.0,,2385,0.0,-176,0.0,,,,0.0,0.0,,,,1934,-892,0.0,418,-6674,-9625,,-810,4,245.0,,-5292.0,,-6327,0.0,0.0,0.0,-19373,-449,,0.0,-41756,0.0,-5150,-855,0.0,8434,336.0,0.0,-14933,14018.0,0.0,0.0,-6158,428,,,892.0,,,2013年01月01日至2013年03月31日,721993,690579,0.0,0.0,-31414,48532,,,-17364,-17263,0.0,,,,465,48532,0.0,0.0,-75420,728,-74692,,0.0,,7468,0.0,0,0.0,0.0,-437.0,0,0.0,,0.0,-65795,769,0.0,690579,-993,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220,0.0,0.0,,-1342.0,0.0,0.0
2013-08-09,2,2013,0.0,12961.0,,0.0,,,212,,,5102,,,15210,,612,0.0,,,,,,-282.0,-7385.0,,4136,-2025,0.0,408,-13270,-21266,-47967.0,-1090,1,,,,,-5827,0.0,0.0,0.0,25181,-4852,,,-45421,,-12087,-2290,,7782,88.0,,-43886,26451.0,,,-7784,865,0.0,,2025.0,0.0,,2013年01月01日至2013年06月30日,721993,721007,0.0,0.0,-986,100250,,,45714,66353,,,1472.0,,-3222,100250,0.0,0.0,-8070,-38788,-46858,,0.0,25124.0,18643,0.0,0,0.0,0.0,-8683.0,3325,0.0,,0.0,-33897,988,0.0,721007,-22664,,0,0.0,,,,,0.0,0.0,0.0,0.0,-4412,0.0,0.0,,-31556.0,,
2013-11-08,3,2013,,23689.0,,,,,-13568,,,14289,,,6358,,916,0.0,,0.0,,,,-131.0,-4743.0,,5252,-2777,,215,-19931,-27336,-47967.0,-1239,-92,,,,,-14098,,0.0,,40674,-5313,,,-38664,,-12083,-8203,,9246,158.0,,-49239,38231.0,,-30110.0,-11418,1301,,,2777.0,12564.0,,2013年01月01日至2013年09月30日,721993,694417,,,-27576,149181,,,104680,128330,,-86207.0,8000.0,-472.0,-83232,149181,,,-8756,-35784,-44540,,0.0,25124.0,23528,,2363,,,-9046.0,3325,,,,-20851,841,,694417,-38991,,-125,,,,,,,,,,-4422,,,0.0,5017.0,,
2014-03-21,4,2013,,32214.0,,0.0,627.0,-1250.0,-6190,,,19750,,,5601,,-2133,0.0,,0.0,,,,-294.0,-5510.0,,10414,-3742,,1362,-32389,-55431,-47967.0,-2311,452,,,,,-11850,,0.0,,17673,-6194,,,-43707,,67989,-7629,,8928,1430.0,,-85120,49624.0,,-59665.0,-16548,2834,,,3742.0,12564.0,,2013年01月01日至2013年12月31日,721993,718517,,,-3476,178473,,,182535,207507,,-86207.0,0.0,,-102253,178473,,,-34453,31273,-3180,10000.0,0.0,25124.0,29412,,3042,,-9892.0,,3325,,,,29034,497,,718517,-41278,,-3970,,,,,,,,,,-24502,,,,12320.0,,
2014-05-09,1,2014,0.0,-2443.0,0.0,,,-834.0,-2148,,0.0,-21672,0.0,,6256,0.0,343,0.0,,,,0.0,0.0,,-38300.0,,3638,-997,0.0,-449,-5801,-511,,-523,-422,231.0,,4394.0,,-12813,0.0,0.0,0.0,42848,184,0.0,,-20171,0.0,-27075,-2911,0.0,-299,0.0,0.0,-28477,10790.0,0.0,8921.0,-4199,750,,,997.0,,,2014年01月01日至2014年03月31日,718517,728091,0.0,0.0,9574,77466,,,39098,41607,0.0,,,,-598,77466,0.0,0.0,27181,-60597,-33416,,0.0,,7485,0.0,0,0.0,0.0,-1851.0,4779,0.0,,0.0,-35859,-131,0.0,728091,-3506,,-10152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,,-4748.0,0.0,0.0
2014-08-08,2,2014,,6746.0,,0.0,,-8750.0,24055,,,-4830,,,-1005,,462,,0.0,,,,,,,3796.0,7382,-1972,,-2183,-138431,-9320,0.0,-1244,-494,127.0,,,,-13512,,,,130500,1205,,,-19898,,-139699,-4468,,1803,0.0,,-109720,20663.0,,18827.0,-8101,1557,0.0,,,0.0,,2014年01月01日至2014年06月30日,718517,711511,,,-7006,147047,0.0,125772.0,107326,125772,,,,,-2429,147047,,,135787,-163808,-28021,0.0,514.0,0.0,30179,,53,,,-6907.0,4786,,,,-21275,468,,711511,-20418,-20418.0,-5435,,,,,,,,,,6194,,,,,-21929.0,
2014-11-07,3,2014,,-28469.0,,,,-8750.0,16561,,,3503,,,3735,,954,,,,,,,,,3242.0,5931,-3669,235.0,1328,-139654,-9320,0.0,-2470,1730,113.0,,,,-15718,,,,84490,2350,,,-13433,,-81726,2833,,2085,0.0,,-65793,30382.0,,4725.0,-14126,2475,-235.0,,3121.0,12513.0,,2014年01月01日至2014年09月30日,718517,824645,,,106128,249170,,,175795,199275,,-107759.0,105000.0,,-5202,249170,,-1001.0,95449,-116875,-21426,0.0,514.0,0.0,77109,,193,,,-37504.0,4786,,,,-49895,792,,824645,-38879,,-13115,,,,,,,,,,6194,,,,-32577.0,,
2015-03-20,4,2014,,-22364.0,,,0.0,-8750.0,26571,,,-30092,,,3778,,364,,,,,,,,,1174.0,6115,-5299,676.0,5786,-141751,-9320,0.0,-3045,2025,17.0,,,,2567,,,,101112,1072,,,-11578,,-118865,-2721,,-524,0.0,,-70349,38389.0,,26225.0,-19591,3405,-676.0,,4751.0,11513.0,,2014年度,718517,776751,,,58234,328897,,,232550,259446,,-107759.0,,,-109753,328897,,,122913,-170000,-47087,0.0,698.0,0.0,77109,,226,,,-37504.0,4786,,,,-69451,1594,,776751,-42484,,-26173,,,,,,,,,,6739,15367.0,,,-46590.0,,
2015-05-08,1,2015,,,,,,0.0,-30128,,,29211,,,266,,169,,,,,,,,0.0,,1117,-430,,3182,-10248,-3046,,-932,-57,-19.0,,829.0,,-7540,,,,-42415,5715,,,-5386,,111088,-5342,,1779,,,-7168,7108.0,,176.0,-3021,557,,,430.0,,4783.0,2015年01月01日至2015年03月31日,776751,873233,,,96482,58190,,,107630,111372,,,,,-7162,58190,,,-72374,120773,48399,,,,0,,16,,,-2863.0,6229,,,,53182,-595,,873233,-4172,,2356,,,,,,,,,,-7143,,,,-8599.0,,
2015-08-07,2,2015,,,,0.0,,0.0,-27533,,,11073,,,-3367,,117,,0.0,,,,,,,0.0,4822,-1811,,7913,-13962,-6660,0.0,-910,-45,-155.0,,,288.0,11625,,,,-134731,4363,,,-2687,,180385,643,,3718,0.0,,25037,13037.0,,-1705.0,-8987,1107,0.0,,,0.0,-14273.0,2015年01月01日至2015年06月30日,776751,902068,,,125317,107951,0.0,134989.0,99619,134989,,,,,-7252,107951,,,-164543,205854,41311,0.0,0.0,0.0,12961,,1763,,,-24695.0,33320,,,,27038,-705,,902068,-37181,-37181.0,536,,,,,,,,,,-7097,,,,,115.0,
