date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無活絡市場之債券投資,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付款項（增加）減少,預付費用（增加）減少
2013-05-08,1,2013,9063.0,,,-28896,-80.0,-5157,,3303,-1455.0,,,-546,,-1993,7296,50096,-49899,0.0,,0.0,-722.0,,,,,163023,,69863,-71846,-493.0,38300,-51162,4274,2300.0,53,1012,-5821,1993,,,2013年01月01日至2013年03月31日,1060895,1361472,300577,-26201,163004,166832,,90094,,138639,-26201,,,44190,139780,183970,50000,5,,76,,,,193033,,17.0,1361472,,-1672,0.0,,13653.0
2013-08-07,2,2013,23484.0,-1455.0,,-15674,,-10783,-383.0,-17626,,,,-2517,,-4049,15484,74249,-52276,0.0,,0.0,-887.0,,,,,108239,,273493,-206706,-99.0,-59161,-55675,8834,2300.0,25,2144,-11979,4049,,,2013年01月01日至2013年06月30日,1060895,1178720,117825,13936,55178,81047,,-4472,,44073,13936,,,240193,-196566,43627,50000,5,,79,,,,67111,,17.0,1178720,-17939.0,950,0.0,,-29973.0
2013-11-13,3,2013,38105.0,-1455.0,,-15457,,-2832,,-11646,,-534.0,,-2851,,-5818,27278,54433,-59662,0.0,,0.0,,0.0,,,,98007,,72479,-94812,-568.0,-132229,-62914,13213,-10045.0,33,3210,-22072,5818,414.0,,2013年01月01日至2013年09月30日,1060895,1102442,41547,12663,-110820,-65873,-26283.0,138586,,160848,12663,,-414.0,45376,-162017,-116641,50000,133,,53,,,,-78536,,17.0,1102442,-29107.0,533,0.0,,-19538.0
2014-03-26,4,2013,38945.0,-1455.0,,14305,,-16518,,-7205,,-739.0,,-2384,,-7598,37341,76440,-66193,0.0,,,,0.0,-13145.0,-212021.0,,6798,0.0,326194,13732,-1121.0,-151520,-280470,17758,5000.0,41,4168,-29671,7598,414.0,,2013年01月01日至2013年12月31日,1060895,960619,-100276,2272,221243,244006,-26283.0,-110080,,-117489,2272,,-414.0,333294,-130505,202789,50000,867,,-325,,,,241734,,17.0,960619,-30775.0,1102,0.0,13124.0,
2014-05-13,1,2014,19691.0,0.0,-596.0,-50839,,-6028,,5624,,-596.0,,-3954,,-698,7557,177,-21665,,,,,,5918.0,,624.0,-52054,,-62038,22293,735.0,117101,-25590,4885,0.0,0,961,-6262,698,,,2014年01月01日至2014年03月31日,960619,1089664,129045,-28939,-34147,-34427,,195463,,188605,-28939,,,-107253,82074,-25179,0,1,,4,,,,-5488,,0.0,1089664,-418.0,1064,,27.0,
2014-08-13,2,2014,52265.0,-382310.0,-1489.0,-7619,,-625,,3473,,-9698.0,,-59388,,-1862,17451,-29311,-59498,,,,,,14324.0,-13530.0,,107660,,-117747,-166668,,80107,-137188,9690,0.0,118,1770,-14515,1862,,,2014年01月01日至2014年06月30日,960619,582821,-377798,-29315,-87609,-79374,,174624,0.0,-123690,-29315,,,-121893,19569,-102324,100000,23,,92,4903.0,,-590.0,-50059,,6633.0,582821,-10097.0,4639,,,-905.0
2014-11-12,3,2014,53437.0,-382310.0,-7381.0,-13258,,-1138,,-3819,,-10434.0,,2653,,-2318,25715,6154,-115263,,,,,,1073.0,-82893.0,,-36318,,152392,-302878,,93285,-200757,14432,0.0,828,2531,-22772,2318,464.0,,2014年01月01日至2014年09月30日,960619,489277,-471342,-6280,-93268,-75815,-26283.0,155275,,-183471,-6280,891.0,-464.0,135315,-258287,-122972,100000,277,,67,4903.0,,-590.0,-69535,,6633.0,489277,-20235.0,4639,,,-11238.0
2015-03-25,4,2014,82023.0,-383510.0,-13274.0,28467,,12565,,-9153,,-1710.0,,1646,,-4012,37559,50945,-182307,,,,,,9456.0,-99827.0,,-222257,,428138,-292921,,-45568,-276991,20351,0.0,2182,3326,-32398,4012,464.0,,2014年度,960619,534679,-425940,-115180,-90718,-74511,-26283.0,246289,,-109176,-115180,2875.0,-464.0,535315,-576669,-41354,100000,304,,68,4903.0,,-590.0,40669,87863.0,6633.0,534679,-20683.0,4639,,-28488.0,
2015-05-12,1,2015,,0.0,-5893.0,-57951,,5333,,1280,,-16477.0,,-110,,-2381,7724,-14776,-3211,,,,,,25146.0,,707.0,-11726,,59673,38836,0.0,92371,-19091,4912,0.0,187,812,-9846,2381,,38384.0,2015年01月01日至2015年03月31日,534679,712205,177526,-46975,116590,114525,,110542,,94803,-46975,1984.0,,3002,120114,123116,0,0,,0,,,,161500,,0.0,712205,-316.0,0,,-4700.0,
2015-08-13,2,2015,,0.0,-11786.0,-45950,,-6308,,3917,,-15846.0,,0,3373.0,-2470,15944,-26711,-3614,,,,,,37227.0,,,199292,,-4301,-127878,,255210,-10979,10183,,756,1581,-16575,2470,,63544.0,2015年01月01日至2015年06月30日,534679,515734,-18945,-28098,325664,332054,,0,-278558.0,-306919,-28098,3968.0,,-46334,342942,296608,0,48,5060.0,117,0.0,-3762.0,0.0,360152,,0.0,515734,-8860.0,0,,22626.0,
