date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產（增加）減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無形資產損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,金融資產減損迴轉利益,非金融資產減損損失
2013-05-09,1,2013,330011.0,,,,-485780,,,,9528,-291.0,12943,-35591,-34523,4495,321,-9207,43771,,2759,3223,-312424,,,-19923,27178,143.0,0.0,,2441.0,866811,,-1353887.0,,584740,,,-302821,259895,12984,-1019,20602,-2716,,,2013年01月01日至2013年03月31日,2413438,2976768,563330,303962,178357,214995,,,657250.0,,684571,303962,4247,-1848263,1429285,-418978,,16660,,,18555,,105.0,-88967,2976768,-33922,,,
2013-08-13,2,2013,611136.0,,,,-287688,,,,126341,0.0,128797,-11238,-34309,-14483,522,-10100,102889,-85992.0,9195,-3106,-450929,,,-1456,27178,23324.0,0.0,-2489.0,,602409,,-739964.0,,-394804,,,-450248,524382,31969,-30886,41362,-9137,85992.0,,2013年01月01日至2013年06月30日,2413438,4345669,1932231,641108,588123,628910,,,1746960.0,,1797462,641108,8410,-901195,277861,-623334,,13270,,,12346,,,-12198,4345669,-117642,,,
2013-11-12,3,2013,979910.0,,0.0,,-241136,,,,67736,4035.0,-93305,-3908,-38587,-620,9026,-10073,222043,-119375.0,12722,-7414,-645719,,,-4982,33934,43304.0,0.0,-8720.0,0.0,374922,,,-679743.0,-284583,,0.0,-502527,788557,6195,-9664,61316,-12648,119375.0,,2013年01月01日至2013年09月30日,2413438,4926690,2513252,928831,982014,1015074,,-647019.0,2610960.0,,2041179,928831,6524,-1046576,152909,-893667,,157950,,,13105,0.0,,86243,4926690,-139787,0.0,,
2014-03-27,4,2013,1464475.0,,0.0,,-137237,,,,107575,4803.0,-133746,61262,-1875,-47782,9261,-16666,351093,-161252.0,17382,17063,-865411,,,-5741,37731,38020.0,0.0,-9885.0,0.0,522118,,904247.0,,-671547,,,-722280,1032902,7932,4778,80400,-17292,161252.0,,2013年01月01日至2013年12月31日,2413438,4786865,2373427,910752,2991012,3000213,0.0,-647019.0,658900.0,,87632,910752,10048,639321,-14335,624986,,164879,,,18695,0.0,,2089461,4786865,-153161,,,120948.0
2014-05-13,1,2014,127659.0,,,-80278.0,-308973,,,,203487,0.0,-86084,-170596,-3768,32921,804,-5312,-121955,-79093.0,20343,30655,-144104,,-1120.0,1290,571,0.0,-2003.0,,3983.0,601265,-2329526.0,-1972653.0,,1375170,,,-2474466,250818,71744,20013,44165,-20327,79093.0,,2014年01月01日至2014年03月31日,4786865,6264198,1477333,446482,341780,337471,,,1861074.0,,3579364,446482,8605,-2299734,2063064,-236670,1800000.0,1613,,,-1044,,0.0,-109011,6264198,-54457,4530.0,,
2014-08-13,2,2014,437323.0,,4616.0,-80278.0,9343,,,,149922,0.0,10718,-158973,-9111,43126,1181,-10195,-62313,-175062.0,42450,-16270,-325032,,-1136.0,858,1026,-18309.0,0.0,4964.0,,301866,-2329526.0,-1011126.0,,-134626,,,-2654202,509902,-33611,24285,90329,-42418,175062.0,,2014年01月01日至2014年06月30日,4786865,6458486,1671621,994498,545465,624815,,,2094189.0,,3796628,994498,17449,-1033787,226781,-807006,1800000.0,2107,,,5680,,,-369683,6458486,-211994,8030.0,,
2014-11-12,3,2014,658681.0,,4616.0,,296964,,,,243574,0.0,41899,-169369,22459,55495,1444,-11761,-90298,-244621.0,57562,35942,-552912,,-1136.0,932,9685,62117.0,0.0,4826.0,0.0,344813,-2329526.0,,-156470.0,-1193168,-36373.0,0.0,-2883529,762689,4652,-51639,132854,-57515,244621.0,,2014年01月01日至2014年09月30日,4786865,6779377,1992512,1622148,1552561,1685110,,-347105.0,2143119.0,,3287538,1622148,25113,209504,-805223,-595719,1419722.0,2364,,,6420,0.0,,62962,6779377,-319655,8030.0,,
2015-03-24,4,2014,1035340.0,,4616.0,,663041,,,,159723,0.0,-60316,-94880,159969,60757,-31788,-77700,229,-275451.0,66560,150140,-1131498,-245600.0,-1306.0,2835,48589,74431.0,0.0,-12583.0,0.0,111714,-2329526.0,953446.0,,-1400687,-60581.0,,-3756779,1018214,42609,-61430,174671,-66497,275451.0,,2014年度,4786865,6814023,2027158,2047581,3354195,3524498,0.0,-347105.0,1083965.0,,2279602,2047581,30974,1758749,-1317172,441577,1419722.0,36818,,,-15870,0.0,,1476917,6814023,-379257,,,33178.0
2015-05-13,1,2015,,,,,-677076,5064.0,,,-152163,0.0,7220,22707,93382,11822,15935,-5002,35055,-51775.0,16956,-23636,-561262,,-17.0,1497,14093,0.0,35998.0,,3610.0,-310202,-39099.0,-1306890.0,,759119,39795.0,,-580105,291967,-74723,-343232,47630,-16940,51775.0,349689.0,2015年01月01日至2015年03月31日,6814023,6863699,49676,491597,-1149475,-1073020,,,1754271.0,,1802892,491597,5545,-1958087,43781,-1914306,-6534.0,21665,,,2814,,0.0,-1564617,6863699,-111290,0.0,,
2015-08-13,2,2015,,,0.0,0.0,-563206,,,,-42038,0.0,77743,55091,1787,9859,15861,-22408,93752,-91290.0,34704,-55391,-631956,,-17.0,1892,14093,-24136.0,,,20559.0,-616675,-39041.0,-919090.0,,-376402,-8333.0,,-666062,583232,-51073,-275397,103331,-34672,91290.0,748545.0,2015年01月01日至2015年06月30日,6814023,6871180,57157,976345,-1133425,-966983,,,1917861.0,,1912035,976345,19992,-1453839,-1238034,-2691873,4217.0,6801,,,1992,,,-1943328,6871180,-223060,940.0,,
