date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人減少,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付投資款增加,預付款項（增加）減少,預付設備款增加,預付設備款減少,預付費用（增加）減少
2013-05-07,1,2013,,22901.0,-3954,-62835,,,-656,,-40697,-3099,1458,-36.0,,672.0,,-1155,3483,-539,-5179,,271,-18.0,,29,,-28640,19786,3555,-22339,0.0,2799,,681.0,-3081,24321,-1484,-79670,-3953,143.0,-3483,1155,,,2013年01月01日至2013年03月31日,850608,800267,-50341,203951,,,-41974,-26743,,2708.0,,-4747,203951,,-79536,-174059,-253595,,354,,-209,,,-230694,,800267,-15231,,,,,-42454,-76.0,,
2013-08-14,2,2013,0.0,46463.0,-7845,-463,,,2636,,-27725,-5649,2458,153.0,,512.0,,-1842,7389,9738,-15382,-5000.0,194,-880.0,,-87,,-74438,63668,9767,-122955,0.0,-832,,1584.0,-11930,48922,-250,-434399,-3953,303.0,-7389,1842,,,2013年01月01日至2013年06月30日,850608,600233,-250375,435868,,,-202776,-141102,-11446.0,-17847.0,,-45407,435868,,49039,-672472,-623433,,361,0.0,-189,-4361.0,5720.0,-576970,,600233,-61674,,,,,-36835,-49.0,,
2013-11-05,3,2013,0.0,71287.0,-12007,-47015,,,215,,-32801,-15818,3902,153.0,,365.0,,-2504,10953,12431,-22678,-5000.0,192,-1033.0,,-146,,-118107,58649,-1179,-69318,0.0,645,,2233.0,-18568,74396,275,-104688,-7650,483.0,-10953,2504,10444.0,,2013年01月01日至2013年09月30日,850608,693044,-157564,672181,,299069.0,299069,382696,-405701.0,-20802.0,,-450496,672181,-85.0,-15936,-344836,-360772,,524,0.0,-136,-4362.0,5720.0,-289485,,693044,-94071,,,,,-37765,-10.0,,
2014-03-18,4,2013,0.0,130225.0,-19659,-66784,,,-11642,,-21027,-240,-2062,-7647.0,,-1865.0,,-3503,14499,26587,-31478,-5000.0,865,-1018.0,,201,,-97288,119633,-1321,-64078,0.0,4181,,-6769.0,-39882,94140,1294,-447181,-15477,0.0,-14499,3503,10561.0,,2013年01月01日至2013年12月31日,850608,852231,1623,939432,,,335760,459523,-405701.0,120035.0,,-320842,939432,-202.0,26211,-636345,-610134,0.0,463,0.0,-39,-4362.0,5720.0,-479909,3247.0,852231,-134324,,,44304.0,,-20097,-3779.0,,
2014-05-06,1,2014,,21387.0,-4099,-50821,,,763,,-12637,-1951,3727,-200.0,,,2692.0,-867,3868,8928,-5482,,0,325.0,,-569,,-36121,4171,1960,-36738,0.0,-1037,,882.0,-7551,23306,-3187,-216734,-4664,0.0,-3868,867,,,2014年01月01日至2014年03月31日,852231,749348,-102883,226558,,,-122022,-102863,,25404.0,,17762,226558,,-55905,-294903,-350808,,607,,-256,,,-329421,,749348,-19159,,,,,-3085,-5466.0,,
2014-08-05,2,2014,,42310.0,-11989,5993,,,-869,,3435,-1022,5335,,15367.0,,2693.0,-1406,7981,-2782,-27223,0.0,0,357.0,0.0,-741,,-3424,-40003,7083,-33831,,-1023,,1771.0,-11753,46297,-3787,-559221,-10306,0.0,-7981,1406,,,2014年01月01日至2014年06月30日,852231,740657,-111574,496881,,,-182566,-71882,-12844.0,117984.0,0.0,85527,496881,,-20659,-590414,-611073,,619,,-256,0.0,0.0,-568763,-486.0,740657,-110684,,,,,8976,-3874.0,,
2014-11-11,3,2014,,58176.0,-14181,-36855,13000.0,,3052,,-13262,-14505,8072,,-34733.0,,2692.0,-1802,11850,-11747,-51308,0.0,0,328.0,,-736,,-37662,7126,2215,-53268,,-8480,,2671.0,-77883,66434,-3263,30355,-17746,0.0,-11850,1802,11942.0,,2014年01月01日至2014年09月30日,852231,817981,-34250,789426,,,601114,752120,-610200.0,77169.0,,-545734,789426,-314.0,-33769,-61713,-95482,,621,,-246,0.0,0.0,-37306,-473.0,817981,-162948,,,,,18795,3779.0,,
2015-03-17,4,2014,0.0,72327.0,-21116,15102,21000.0,,-5876,,-6920,-902,3930,0.0,15249.0,0.0,1916.0,-2626,15248,7672,-65284,0.0,48,319.0,0.0,-550,0.0,8860,-18227,1553,-59600,0.0,-27437,,4260.0,-63083,85720,-2901,12155,-24916,0.0,-15248,2626,11941.0,,2014年度,852231,1077281,225050,1052790,,,908342,1100166,-610200.0,0.0,-2636.0,-627881,1052790,-314.0,34144,-59095,-24951,0.0,654,3536.0,-78,-755.0,0.0,47376,37347.0,1077281,-203765,,,0.0,-20000.0,13705,-1230.0,,0.0
2015-05-12,1,2015,,,-4821,-52995,,,3100,,-3884,-8176,2382,,0.0,,776.0,-1174,2678,-28918,-12309,,-608,-29.0,,-1902,,-88799,95587,5607,36914,0.0,18120,,,-11380,20514,-461,-282514,-7014,0.0,-2678,1174,,18753.0,2015年01月01日至2015年03月31日,1077281,936162,-141119,254220,752.0,,-85543,-53762,,-7750.0,,-15278,254220,,10903,-337638,-326735,,942,,-643,0.0,,-307982,-36085.0,936162,-31781,5000.0,,,,-16283,-61.0,,
2015-08-11,2,2015,5.0,,-11874,17029,,,-209,,4204,-9335,1932,,-2883.0,,776.0,-2312,5403,-34452,-30752,,1742,0.0,-45.0,-2164,,-73660,28655,4484,32623,,16458,,,-30365,40847,-70,-535161,-12555,0.0,-5403,2312,,37180.0,2015年01月01日至2015年06月30日,1077281,865247,-212034,436960,1498.0,,-207538,-55081,-15599.0,93242.0,,60321,436960,,21647,-550868,-529221,,1374,,-950,,,-492041,-36085.0,865247,-152457,5000.0,,,,18416,972.0,,
2015-11-10,3,2015,5.0,,-18913,-110381,0.0,,20199,,-1042,-12828,5558,-5915.0,,,776.0,-3278,8445,6799,-54533,,1795,-35.0,,-2234,,-158732,73897,-2569,13148,,23470,,,-56207,61442,3271,26714,-22938,,-8445,3278,16518.0,49279.0,2015年01月01日至2015年09月30日,1077281,784448,-292833,689037,2257.0,,387596,607075,-696584.0,92956.0,,-631021,689037,-245.0,-65095,-66146,-131241,,1385,,-947,,,-81962,-36086.0,784448,-235997,5000.0,,,,21883,,1036.0,
2016-03-15,4,2015,55.0,,-39083,-14106,0.0,-21000.0,20693,0.0,-4656,390,6278,-2817.0,0.0,-870.0,0.0,-4175,11279,12945,-69761,0.0,-583,0.0,0.0,-2042,0.0,-126390,42149,-3339,44677,0.0,15498,,,-69420,82199,637,139390,-30052,0.0,-11279,4175,16518.0,66532.0,2015年度,1077281,1086101,8820,931502,-61247.0,,788535,1045139,-696584.0,44706.0,0.0,-723240,931502,-245.0,-68799,115904,47105,0.0,2206,0.0,-1646,0.0,0.0,113637,-34515.0,1086101,-273122,9700.0,,0.0,0.0,21646,-311.0,,0.0
2016-05-10,1,2016,,,-2641,-46337,,,-180,,-89,-5148,1218,,0.0,,1646.0,-815,2959,-11242,-14414,,333,,-31.0,-385,,-70049,-5154,864,9886,0.0,-20282,,,-11091,21090,1218,-207014,-7822,0.0,-2959,815,,15878.0,2016年01月01日至2016年03月31日,1086101,892856,-193245,287244,472.0,,-72922,-44893,,,-92359.0,-97990,287244,,-47808,-300207,-348015,,1251,,133,0.0,,-332137,0.0,892856,-28029,0.0,,,,-7420,-4.0,,
2016-08-09,2,2016,0.0,,-9064,21848,,,-1930,,5153,-673,3697,-33.0,,,1646.0,-1346,5994,-27064,-34964,,208,,-46.0,0,179.0,-27594,-48116,2928,37652,-6998.0,-30570,-2675.0,,-30190,38722,-270,-552813,-16408,,-5994,1346,40.0,34109.0,2016年01月01日至2016年06月30日,1086101,774681,-311420,494670,930.0,,-170382,-81407,-14305.0,0.0,-69075.0,-83784,494670,-40.0,-13830,-596356,-610186,,2205,,-821,,,-576077,0.0,774681,-89015,7800.0,14700.0,,,-10755,-569.0,0.0,
