date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無形資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-10,1,2013,,29191.0,,,-5005.0,79254,-6702.0,-179560,-37442,146555,-259364,,-1908518,,,91721,691,-10622,0.0,,0,5670236,,,-276813,,260094.0,2089927.0,-2959000.0,-70113,-38173,-27211,33848,-2.0,-268156,8989,0.0,1406.0,4102,-106305,,,,2013年01月01日至2013年03月31日,4915758,4941882,26124,4447652,,6768385,7613904,,,,2434950,-8035668,-6474796,4447652,,-777663,3914724,3137061,,2,,7,,1828.0,3166252,9542,4941882,-739214,-77034,,0.0,228686,,-746620
2013-08-13,2,2013,,109562.0,,,-9370.0,2186,-37780.0,-270643,-40659,182121,239925,,-2355224,,-13234.0,184741,719,-22492,0.0,,0,2181373,-9000.0,,378478,,216658.0,2682036.0,-3858051.0,-92677,71435,-54577,65525,56.0,232881,18307,0.0,1632.0,8220,-187584,13234.0,,,2013年01月01日至2013年06月30日,4915758,4980156,64398,5603727,,6195132,7405551,,,,5931456,-10922821,-6364334,5603727,,2300451,-608189,1692262,,2,,7,,11212.0,1801824,26892,4980156,-1210419,-90111,,0.0,-438282,,1857380
2013-11-13,3,2013,,167247.0,,,-15878.0,4109,37023.0,-173081,-43803,-117434,0,231925.0,-3146780,0.0,-16929.0,269774,630,-29889,0.0,,-6770,-452326,5219.0,,-1018802,,102227.0,2779349.0,-3936311.0,-113530,313153,-73346,-6598,73.0,217916,27549,0.0,1315.0,12646,-270476,16929.0,500.0,,2013年01月01日至2013年09月30日,4915758,3940194,-975564,6585706,,3802041,5075485,,-2161740.0,1495000.0,10500858,-13386953,-4996151,6585706,-500.0,2733898,-4411366,-1677468,,2,,7,,,-1510221,26809,3940194,-1273444,-126615,,,-1038689,,4023527
2014-03-25,4,2013,,154750.0,0.0,,-20537.0,-43423,,-163249,-25991,-142700,232405,,-3041938,0.0,-30276.0,334093,752,-45462,0.0,0.0,-8321,-8037816,5219.0,,153374,,-158082.0,0.0,-461137.0,-102758,253544,-177031,9240,78.0,213578,39282,0.0,1315.0,17363,-1063461,29235.0,500.0,,2013年01月01日至2013年12月31日,4915758,5927758,1012000,7815796,,189360,1498104,0.0,-2161740.0,1495000.0,21474618,-18654433,608310,7815796,-500.0,6056966,-12529408,-6472442,,2,,8,,,-6317692,30326,5927758,-1308744,-206535,,,-1509416,,6483400
2014-05-06,1,2014,,82677.0,,,-4670.0,116807,,-2793,35779,2964,0,7986.0,-54176,,-5549.0,82542,614,-4684,,,-280,-4495054,,,-1194328,-16173.0,,216974.0,0.0,-17779,-206,141767,46960,-15.0,-5408,10018,,0.0,3189,-313475,5119.0,,,2014年01月01日至2014年03月31日,5927758,4977714,-950044,698727,,-3994808,-3961354,,,,5582996,-2432267,3049558,698727,,-225342,-4517416,-4742758,,0,,1,,0.0,-4660081,4744,4977714,-33454,-7524,,,-192486,-13549.0,881231
2014-08-06,2,2014,,176015.0,,,-9339.0,45405,0.0,46172,7858,3855,0,-374338.0,199325,,-19364.0,163758,-515,-21377,,,-4820,-4352810,0.0,,-350201,-102793.0,,1652674.0,0.0,-30305,-260686,125556,68373,58.0,-397991,20358,,0.0,6567,-640190,18832.0,,,2014年01月01日至2014年06月30日,5927758,9719005,3791247,3197195,,-666056,-70549,,,1500000.0,9742065,-7389401,4855809,3197195,,867021,-4310780,-3443759,,1733,,-851,,0.0,-3267744,27450,9719005,-595507,5547,,,-98396,-18021.0,1227380
2014-11-11,3,2014,,241065.0,,,-14012.0,303521,,24550,-34267,4485,-500687,0.0,-334542,,-31048.0,240167,211,-33119,,,-12220,1974832,0.0,,-362226,26450.0,,,-192035.0,-56125,-86230,118619,-148462,144.0,-546250,31828,,0.0,9968,-990108,28758.0,0.0,,2014年01月01日至2014年09月30日,5927758,9530945,3603187,9570767,,8152449,9000819,,-1232473.0,2000000.0,13402353,-16976948,-4003223,9570767,0.0,-2890999,2079986,-811013,,1732,,-847,,,-569948,37692,9530945,-848370,-9003,,,590036,-30714.0,-2869490
2015-03-20,4,2014,,256219.0,,-700.0,-18697.0,-2736,,-32464,82891,91458,-503202,0.0,139295,,-52666.0,316370,543,-52740,,,-11988,137859,0.0,,852374,-92133.0,,228075.0,0.0,17894,-527990,85866,-367268,291.0,-554228,45552,,0.0,13089,-1269003,42222.0,0.0,,2014年度,5927758,10722689,4794931,11172002,,10253463,11164654,,-1232473.0,2000000.0,18708858,-23320907,-4904847,11172002,0.0,-253311,-10256,-263567,,1734,,-843,,,-7348,31485,10722689,-911191,-65283,,,439091,-30254.0,-1119480
2015-05-13,1,2015,,,,,-4693.0,-107363,,58055,-41389,969,-397,0.0,-190218,,-11739.0,43241,-152,-9245,,,-842,-455434,,,-1532671,15321.0,,75831.0,,38157,518178,53126,28528,,3324,12703,,,3149,-292240,16619.0,,-41459.0,2015年01月01日至2015年03月31日,10722689,9132451,-1590238,3003467,7674.0,118189,295776,,,,2116991,-4339160,-1711599,3003467,,-2835460,169228,-2666232,,82,,-26,,,-2707691,-9206,9132451,-177587,-88787,731672.0,,256437,-2893.0,-1306396
2015-08-11,2,2015,,,,,,-180559,,194084,-7302,-24642,-1980,,-213488,,-32755.0,75390,-218,-21790,,,-2367,-5288220,,,-1684131,-68588.0,,1788002.0,,-59711,444737,68996,121361,,8456,29412,,,6171,-593894,37576.0,,70875.0,2015年01月01日至2015年06月30日,10722689,8564312,-2158377,2945968,7707.0,-3655469,-3458489,,,0.0,5467416,-5894956,1488854,2945968,,-1697607,-4777725,-6475332,-9386.0,197,,217,,,-6404457,-32430,8564312,-196980,-7560,731672.0,,96191,-3180.0,150663
