date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,處分無形資產,處分無形資產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失
2013-04-25,1,2013,15582.0,-18652,2450,-5743,,,-1528,307,514,-732,,-810.0,-47800.0,,-300,-35232.0,,2919,-59,0.0,17878,-266738,,212285,77397,-199.0,-83398,2800,,-23656,,921,-287,1535,,,2013年01月01日至2013年03月31日,16609,64189,3048,47580,6300,,16751,16904,,,114000.0,0.0,113713,6300,,,-283139,278161,-4978,0.0,,0,0.0,,0,,,,,,10604,,64189,-153,,,,,7115
2013-08-08,2,2013,11399.0,-1423,18649,2460,,,-3453,989,259,-1002,0.0,-858.0,-47800.0,,-510,-5620.0,,1456,-59,0.0,23429,-259323,,-20229,-5522,-317.0,-49991,5434,,-41795,,1918,-917,3410,864.0,,2013年01月01日至2013年06月30日,16609,163298,715,146689,31908,,-252462,-240764,,,448300.0,0.0,448883,31908,,-864.0,-242414,-41657,-284071,0.0,,1584,0.0,,-899,,,,,,-272672,,163298,-11698,,,,1500.0,6103
2013-10-31,3,2013,21627.0,50040,14731,-514,,,-5412,2551,-725,-1820,0.0,-858.0,-47800.0,,-510,37570.0,,-1558,-449,0.0,-45455,-252006,,288,39264,-362.0,-5584,8049,,-26857,,2928,-2412,4641,1574.0,,2013年01月01日至2013年09月30日,16609,154974,-1419,138365,50790,,-164329,-148454,-75795.0,,385710.0,,309003,50790,,-1574.0,-187597,-33274,-220871,0.0,,2068,0.0,,-1177,,,,,,-199244,,154974,-15875,,,,1500.0,19239
2014-03-13,4,2013,22397.0,17684,18810,-4553,,,-7484,4447,501,-2686,0.0,-857.0,-47800.0,,-1718,84959.0,,-537,-540,0.0,-68415,-141588,,-202379,-2062,-420.0,57836,10723,,-104784,,3968,-4354,6413,1574.0,,2013年01月01日至2013年12月31日,16609,142048,1693,125439,98352,,-382972,-366958,-75795.0,,528723.0,,450074,98352,,-1574.0,-105514,-382193,-487707,0.0,,18491,0.0,,-8315,,,,,,-465310,,142048,-16014,,,5000.0,1500.0,14476
2014-04-23,1,2014,11219.0,-16805,10082,7473,,,-2084,1746,2162,0,-250.0,0.0,0.0,-10000.0,-529,0.0,,1144,-582,,30132,-102178,,311037,-14071,-261.0,822,1777,14.0,-181992,491.0,1025,-1747,3151,,,2014年01月01日至2014年03月31日,142048,180657,-989,38609,20549,,74895,75199,,,0.0,-37523.0,-39270,20549,,,-109148,152579,43431,695.0,,5335,-9.0,,-2919,,12.0,,2990.0,,54650,,180657,-304,,,,,11037
2014-08-07,2,2014,4748.0,-2084,15562,1460,,-2148.0,-4372,3923,1022,-785,-250.0,-544.0,0.0,-10000.0,-529,37916.0,,-466,-582,,-134861,42048,,196726,35029,-356.0,36295,2996,264.0,-120798,1504.0,1938,-2943,5023,0.0,,2014年01月01日至2014年06月30日,142048,196598,-4396,54550,49265,,77054,87003,,495645.0,0.0,-552523.0,-59821,49265,,-200.0,55434,-22444,32990,699.0,,5335,-13.0,,-2919,,12.0,,,,37738,,196598,-9949,,,,0.0,8901
2014-10-30,3,2014,32836.0,41615,31485,18690,-9505.0,-2075.0,-6403,6480,1804,-4686,-250.0,-706.0,0.0,-10000.0,-1812,,,1061,-1053,,-186316,186473,,126690,77715,-407.0,92427,4652,,-255954,1801.0,2808,-3150,6681,1206.0,,2014年01月01日至2014年09月30日,142048,240260,7721,98212,80237,,133846,153064,-80532.0,495645.0,0.0,-535323.0,-129865,80237,,-1206.0,259166,-219175,39991,1644.0,,5335,-226.0,,-2919,,112.0,,95956.0,,72827,-2.0,240260,-19218,,1427.0,250.0,3000.0,19467
2015-03-20,4,2014,46310.0,14887,22804,18328,-51143.0,,-8646,9402,6525,-6151,-250.0,-5174.0,0.0,-10000.0,-2186,79363.0,,4644,-1076,,-137950,320060,,-357711,8635,-467.0,72868,6584,,-128175,2422.0,3701,-3796,8205,1206.0,,2014年度,143689,162005,5998,18316,134702,,-77928,-58577,-80532.0,495645.0,0.0,-351323.0,16851,134702,,-1206.0,357284,-596873,-239589,3596.0,,5335,-804.0,986.0,-2919,,,62.0,,,-193279,388.0,162005,-19351,,,3807.0,8000.0,21891
2015-04-28,1,2015,,-31880,11813,-18541,,,-1683,3241,-1218,-339,-2000.0,,,0.0,-291,,,-1248,-71,,137889,-381251,,380666,74913,,4879,1753,0.0,-103529,153.0,551,-1132,2853,,-7101.0,2015年01月01日至2015年03月31日,162005,111132,617,-50873,62035,-174.0,124598,124840,,,,-178000.0,-179132,62035,,,-401492,471398,69906,0.0,,0,0.0,-624.0,0,,0.0,,,14552.0,62805,,111132,-242,-9825.0,,,,-9861
2015-07-28,2,2015,,-31099,-2985,-7417,,0.0,-4496,5356,-2727,-2741,-2000.0,-11148.0,,0.0,-290,,0.0,1654,-1069,,34836,-210168,,401873,-36001,,3608,3560,-3161.0,122363,335.0,893,-1363,5206,,13347.0,2015年01月01日至2015年06月30日,162005,346413,1808,184408,104788,-4907.0,361490,381469,,0.0,,-176600.0,-177963,104788,,-390.0,-252320,515654,263334,0.0,,0,0.0,,0,,0.0,,,15650.0,276681,,346413,-19979,,,7243.0,,-2616
