date,season,year,不影響現金流量之收益費損項目合計,償還特別股負債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付投資款減少,預付設備款增加
2013-05-14,1,2013,72835.0,,-56151,23509,-19031,,-11393,-45212,-5175.0,-70173.0,,,,,,,,-7,17865,7393,-29464,,-90.0,-4971,6653,,,,,-33300,-21071,,,-18445,100292,-5731,,-34171,52163,,-1406,12950,-12534,14,,,2013年01月01日至2013年03月31日,417316,518106,100790,122746,76458,89851,,92855.0,,51110,122746,,-32575,-73155,-105730,14406,314,,40.0,,-225,,-4.0,,,,,-32895,518106,-873,-15000,-154.0,,,,,,
2013-08-13,2,2013,168818.0,,-254013,47945,30221,14254.0,-28060,2360,-10370.0,7766.0,,,0.0,,,,0.0,-199,35816,8793,-246232,,-21624.0,-4971,34,,,,,-58932,-74443,,,-72346,102954,-1234,,-254908,114047,-15000.0,-8110,28814,-28153,220,,,2013年01月01日至2013年06月30日,417316,380192,-37124,213684,284557,313363,,800400.0,-692370.0,-75566,213684,,-137274,68135,-69139,70417,314,,3351.0,,-225,,-1020.0,,,,,99679,380192,-873,-339,,,,,,,
2013-11-12,3,2013,218504.0,-51285.0,-1462832,29180,-18509,43421.0,42218,-120594,-22910.0,-172265.0,,,0.0,,,,0.0,-244,43245,158,-222259,,-3697.0,-4971,-15839,,0.0,-1229.0,,3683,-26995,,,-314425,130350,6279,,-180873,163523,-14790.0,-16046,41264,-40544,327,,,2013年01月01日至2013年09月30日,417316,273566,-143750,347573,25648,87299,,1055283.0,-1119821.0,11317,347573,,-292932,-185846,-478778,1589972,3106,,4174.0,,327,,992.0,582.0,,,,-260274,273566,-21434,-155,,,1437.0,,0.0,0.0,
2014-03-28,4,2013,295787.0,-51285.0,-1462832,-46863,-20657,30996.0,-351578,6137,-35691.0,86644.0,,,,,,,0.0,-311,53872,7382,-273611,2453.0,-3697.0,-1983,-37011,148.0,0.0,-18378.0,,-12427,4015,0.0,-20000.0,-275479,53606,861,,-258777,222688,11004.0,-21851,48982,-40544,332,,,2013年01月01日至2013年12月31日,417316,352023,-65293,513970,155522,229329,-47490.0,1421389.0,-1399322.0,30580,513970,,-705596,125168,-580428,1589972,10172,,4202.0,,642,,25490.0,582.0,,,-9513.0,-284641,352023,-33595,1370,,,1916.0,,,,
2014-05-14,1,2014,82448.0,,-382104,-1336,-31147,,13070,54666,142.0,-17965.0,,-28670.0,0.0,,,,,-44,12323,3357,-109852,-310.0,-1425.0,-392,-3987,2.0,,,14841.0,-17795,-54451,20000.0,,0,76147,-2088,,-156895,68595,0.0,-8466,13036,-12154,44,,,2014年01月01日至2014年03月31日,352023,413243,61220,180728,270307,282419,,295632.0,-398406.0,-55549,180728,,-42575,61818,19243,409327,0,,323.0,,1287,,-23.0,,0.0,389.0,,101691,413243,-2,-273,,,,,,,-31799.0
2014-08-13,2,2014,111044.0,,-774,30103,16911,-7044.0,-51350,27248,-490.0,,,,,38046.0,,,-23000.0,-339,23833,-6121,-150603,,-1425.0,-512,-16948,,0.0,,13511.0,-41438,272422,20000.0,,-274439,22945,-5257,,-266946,136991,185.0,-13026,4259,-24121,339,,,2014年01月01日至2014年06月30日,352023,522076,170053,373760,432412,519690,-2725.0,-41446.0,0.0,10708,373760,,-23754,58640,34886,35653,150,,40.0,,2402,,-7.0,,0.0,,,145930,522076,-63496,-459,4000.0,,,-6662.0,,,-121063.0
2014-11-10,3,2014,202975.0,,-1638161,55358,3599,,-28742,19319,-21953.0,,0.0,,,,,39337.0,-8159.0,-809,37350,36011,-174198,-104742.0,-2487.0,-452,-25467,,0.0,13680.0,,-81918,268279,,,-211423,-34896,-3253,,-431260,203643,185.0,-18702,5958,-36365,592,,,2014年01月01日至2014年09月30日,352023,639901,287878,600226,625791,767756,6779.0,37516.0,0.0,57336,600226,,61519,-96964,-35445,1651202,2224,,20178.0,,3924,,12358.0,0.0,,,,167530,639901,-106192,-459,,,,-6662.0,,,-224800.0
2015-03-26,4,2014,266719.0,,-2166285,68399,-69987,,12383,25439,-5263.0,-7712.0,0.0,,,,,-273198.0,6895.0,-1899,48879,15397,-233799,-104742.0,-29914.0,-452,-27562,,0.0,14321.0,,-118663,329262,0.0,,-221992,-38562,455,,-604522,270762,185.0,-27852,6592,-48740,1669,,,2014年度,352023,552882,200859,865626,960985,1106289,-294228.0,25778.0,0.0,-171001,865626,,182789,-208845,-26056,2263734,3084,,20178.0,-17760.0,3426,,12359.0,0.0,,,0.0,240663,552882,-98233,-459,,,0.0,-6662.0,,,
2015-05-08,1,2015,,,-62005,254399,63033,,23067,-36061,,,,,,802.0,-130250.0,,12557.0,-1576,13235,-13546,-193902,0.0,0.0,-198,3378,,0.0,0.0,,-13345,-272536,0.0,,-24461,-227808,162,,-253699,68800,-97585.0,-12118,733,-13209,1294,,77214.0,2015年01月01日至2015年03月31日,552882,747903,195021,240711,-26163,-12408,0.0,-32566.0,0.0,488429,240711,,-19531,-310802,-330333,583000,1190,,0.0,4539.0,-425,69461.0,0.0,,0.0,0.0,,-253119,747903,-1840,-790,0.0,0.0,,-11119.0,,,
2015-08-10,2,2015,,,-108832,231489,55786,-188919.0,17311,-23730,30333.0,4596.0,0.0,,,,,-16356.0,-11119.0,-2371,27530,-2212,-452305,0.0,0.0,-198,3323,,0.0,0.0,,-83093,-124400,0.0,,-13902,-241579,-597,,-654740,135124,-172767.0,-17699,1955,-27412,2150,,144546.0,2015年01月01日至2015年06月30日,552882,867216,314334,545673,238522,369666,0.0,58163.0,0.0,732764,545673,,140831,-461384,-320553,783433,2780,258.0,0.0,4539.0,-1604,,0.0,,0.0,,,-176007,867216,-105882,4868,0.0,0.0,,,,,
2015-11-06,3,2015,,,-166728,210197,45554,67968.0,30556,-42547,31734.0,,0.0,,,,,-37049.0,,-3134,43794,3080,-616668,0.0,-732.0,-598,10742,,0.0,0.0,,-117039,-107735,0.0,,2500,-384671,4681,-11119.0,-952252,207703,-184697.0,-27485,4947,-43300,3326,20986.0,239032.0,2015年01月01日至2015年09月30日,552882,463935,-88947,962869,481726,690434,-493410.0,247269.0,0.0,378499,962869,,167252,-678719,-511467,791368,9970,258.0,0.0,4539.0,-2740,,0.0,,0.0,,,-272435,463935,-168734,11785,0.0,,,,,,-396387.0
2016-03-25,4,2015,,,-3059392,217264,12214,,-8109,-24389,35000.0,54999.0,,,,,,-572769.0,,-3771,47176,318,-704665,-3421.0,-15785.0,-2246,19981,,,,890.0,-78740,-132700,,-30000.0,-35188,-269542,1402,,-1278910,278328,-181575.0,-20738,7744,-46893,3999,,360083.0,2015年度,552882,684584,131702,1331402,1067503,1282121,-493410.0,144313.0,,342791,1331402,20985.0,76267,-485631,-409364,3781280,7454,10122.0,0.0,0.0,-157,,-2855.0,1510.0,,,,-49281,684584,-171724,13390,0.0,,,0.0,,,
2016-05-13,1,2016,,,-346955,-18674,634,-317696.0,5226,-22863,-55141.0,0.0,,-39891.0,,,,987.0,,-849,16158,-1622,-100643,,,-2617,7423,,,,,33819,-22983,30000.0,,-28666,-24505,3974,0.0,-459637,72360,0.0,-886,1300,-15124,1359,,97823.0,2016年01月01日至2016年03月31日,684584,1136832,452248,320966,266058,289610,,181630.0,0.0,647449,320966,,-120238,-8941,-129179,782774,0,223.0,,0.0,0,0.0,,,,,,-31356,1136832,-9787,2317,,,,,,,
2016-08-11,2,2016,,,-1332837,37533,12874,,10432,-74043,-54050.0,0.0,,,,,-120753.0,39021.0,,-1356,34995,2873,-512650,,,-3541,-10504,,,,,78802,-2702,30000.0,,-32308,132869,449,0.0,-627562,147988,0.0,-4900,1716,-34436,1865,0.0,165042.0,2016年01月01日至2016年06月30日,684584,1360880,676296,709967,751461,984865,,,-56259.0,549524,709967,,-41095,150951,109856,1908620,138,-29777.0,,0.0,-101,0.0,,,,,,274898,1360880,-200833,-2796,,,,,,,
2016-11-07,3,2016,,,-3049177,-19383,-15429,0.0,-8140,-28948,-58923.0,0.0,,0.0,,0.0,-4157.0,-37862.0,,-1745,38650,-1759,-1028897,0.0,0.0,-3719,-11525,,0.0,0.0,,57828,8064,50000.0,,-12891,242424,-543,0.0,-1089851,225841,5780.0,-11536,2561,-38432,2256,13931.0,234075.0,2016年01月01日至2016年09月30日,684584,899059,214475,987127,1041894,1391041,-753492.0,0.0,69931.0,264191,987127,,-91273,261112,169839,3946929,942,-30089.0,0.0,0.0,115,0.0,0.0,,0.0,,,403914,899059,-312971,-8286,0.0,,,,,,
