date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票處分,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-10,1,2013,30154.0,,,-921,,-5549,,-377,-4,,,,-582,1963,-555,-5637,-282.0,125,,,,,44.0,,-6491,0.0,4708,,-630.0,5491,,-646,-511.0,-5875,25495,,34238,1774,380,-174,582,,,2013年01月01日至2013年03月31日,257837,322828,64991,-5862,,,61421,61254,,10000.0,10000,-5862,1161,,2269,34693,36962,,,,,,67116,,322828,-241.0,-162,,7654,,
2013-08-09,2,2013,57244.0,,,1755,,1942,,-776,-6,,,,-1210,3925,-976,-6403,-854.0,93,,,,0.0,,76.0,-15518,0.0,21469,,-630.0,-33911,,-638,-889.0,-7181,49895,,46791,2984,773,-340,1210,,,2013年01月01日至2013年06月30日,257837,324805,66968,-747,,,75125,74518,0.0,,0,-747,2322,,20929,-2908,18021,,,,,,75265,,324805,-263.0,-1538,,-1568,,
2013-11-06,3,2013,81629.0,,,-3944,,-5213,,-19,-10,,,,-1854,6065,-1013,-7983,-4035.0,152,,,2324.0,0.0,,79.0,1850,0.0,-1455,,-630.0,-14275,,-114,-1272.0,-14452,71941,79.0,24688,4961,1389,-646,1854,,,2013年01月01日至2013年09月30日,257837,342472,84635,8843,,,97776,97048,0.0,,2324,8843,3483,,-7241,13817,6576,,,,259.0,,88205,,342472,-480.0,-4767,,6891,-2513.0,
2014-03-18,4,2013,110022.0,,,-2510,,1422,,-335,-10,,,,-2524,8146,-1582,-16986,-4233.0,-229,,,2277.0,0.0,,122.0,29441,0.0,-8023,,,25270,,-118,-1507.0,-21097,93920,,17923,7164,2155,-893,2524,,,2013年01月01日至2013年12月31日,257837,390029,132192,-26386,,,152594,151584,0.0,,2277,-26386,4644,,-12375,80323,67948,,,,259.0,,177970,,390029,-621.0,-9513,6000.0,6395,,
2014-05-09,1,2014,24859.0,,,3848,,-6548,,-572,-4,,,,-817,2035,390,-23375,0.0,44,,,,,-29.0,0.0,-4887,,19194,,-630.0,-9232,,-585,-389.0,-23404,22540,,-25425,834,772,-201,817,,,2014年01月01日至2014年03月31日,390029,394073,4044,20977,,,27058,26982,,0.0,0,20977,1161,,21451,-40305,-18854,,,,,,6005,,394073,-540.0,-1710,,6376,,
2014-08-07,2,2014,53763.0,,-299000.0,13595,,1074,,-975,-6,,,,-1550,3746,345,-29123,0.0,44,2024.0,,253.0,,-26.0,0.0,-9747,,35931,,-630.0,-80327,,-111,-781.0,-29149,45286,,94730,1906,1467,-399,1550,,,2014年01月01日至2014年06月30日,390029,216025,-174004,35815,,,151523,150854,,,-296723,35815,1212,,47140,14136,61276,,,,,-255.0,115039,,216025,-482.0,-3973,5880.0,8523,,
2014-11-06,3,2014,71990.0,10950.0,-299000.0,11159,,-6048,,-1222,-10,-3031.0,,,-1866,4168,-244,-30339,-521.0,-370,2864.0,,270.0,,,13.0,-8041,,42123,,1395.0,-37998,,118,-2321.0,-21083,67998,0.0,48160,2892,2016,-820,1866,,,2014年01月01日至2014年09月30日,390029,220528,-169501,26933,,,147692,147570,,,-295866,26933,1212,,51134,-2487,48647,,,,0.0,-255.0,120637,,220528,-924.0,-9685,5880.0,4363,-1186.0,
2015-03-20,4,2014,88914.0,10950.0,-299000.0,11831,,-112,,-445,-10,-2533.0,,,-2376,4548,-765,-76104,-1082.0,-643,3104.0,,3987.0,,,45.0,7989,,22539,,18.0,-21993,,-346,-3237.0,-64991,89511,,37696,3820,2577,-1201,2376,,,2014年度,390029,187843,-202186,17856,,,155479,155212,,,-291909,17856,1212,,30706,17736,48442,1200.0,,,2018.0,-254.0,137356,,187843,-908.0,-17379,5880.0,-2955,,
2015-05-13,1,2015,,,,-9834,,-14317,,-582,-3,-172.0,,,-154,337,-161,-28199,,0,,,,-146.0,0.0,9.0,-44089,,-1369,,-648.0,4579,,464,,-29930,21813,163.0,21679,1731,591,-337,154,,21284.0,2015年01月01日至2015年03月31日,187843,197594,9751,-8079,0.0,,39988,40975,,,-146,-8079,0,,-12270,40040,27770,,,,,,49054,,197594,-804.0,-3034,,71899,-1740.0,
2015-08-06,2,2015,,,0.0,395,,-2701,,-872,-6,-185.0,,,-366,658,-476,-34972,,0,0.0,,0.0,-723.0,0.0,28.0,-51102,,12263,,-648.0,-15314,,464,,-34944,44132,199.0,54973,4598,1154,-658,366,,45062.0,2015年01月01日至2015年06月30日,187843,261653,73810,874,0.0,,109953,110998,,,-723,874,0,,11337,53725,65062,,,,,0.0,110124,,261653,-753.0,-5114,0.0,67596,,
