date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,附買回票券及債券負債增加,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加
2013-05-08,1,2013,0.0,985671.0,,0.0,-273570,,124858,89490,-16448,,,,,,1832,-24443.0,-33031,18039,191891,-209847,,,-6876,-56716,23134.0,,0.0,9513.0,-46158,412955,,18.0,,160505,-127.0,-202947,399.0,-758898,901803,-5611,14901,1342.0,14710,-17471,22694,,2013年01月01日至2013年03月31日,10113697,11388409,4191,1274712,710906,,1955948,1973533,,,-172363.0,-114229,710906,255579,21377,276956,33863,,,527,,,,1262627,31898,11388409,-22808,-20902,35000.0,,153876,,,-13207,-561108
2013-08-08,2,2013,0.0,1855641.0,0.0,0.0,-232527,24681.0,144108,26224,10668,0.0,,,4012.0,,2668,-24748.0,-79708,39767,248510,-670575,,,-16851,-96323,39781.0,0.0,,10498.0,-215739,38634,,-5.0,0.0,-273547,-1265.0,-130330,808.0,-1161853,1826207,-9709,29956,8062.0,31688,-39930,64029,,2013年01月01日至2013年06月30日,10113697,7909415,7995,-2204282,1432082,,682154,2829029,,0.0,-2010426.0,-1973093,1432082,-31876,-426818,-458694,131494,,,391,,,,1396947,120018,7909415,-2170974,-48881,0.0,-2448.0,163775,,,5319,-591671
2013-11-08,3,2013,0.0,2727630.0,,0.0,-453423,,217346,5228,10905,,0.0,28128.0,,,3503,-24888.0,-114916,54306,154376,-711139,,,-22352,-124917,52236.0,0.0,,10554.0,-170205,209671,0.0,7.0,,-636276,854.0,13299,1232.0,-1601242,2768894,-11167,143431,14238.0,48597,-53659,97064,,2013年01月01日至2013年09月30日,10113697,10015125,10150,-98572,2138333,,2126862,4286137,-1314015.0,485576.0,,-778568,2138333,-203439,-376387,-579826,9132,,,642,,,,2147804,45013,10015125,-2202680,-96824,,-2365.0,163957,,,44259,-890677
2014-02-25,4,2013,0.0,3489328.0,,0.0,-411914,,167612,168491,4135,,0.0,21979.0,,,4330,-24926.0,-183630,74037,313181,-1094765,,0.0,-26205,-125862,38285.0,0.0,-30901.0,,-110531,282250,0.0,-7.0,,-251215,925.0,-5392,1670.0,-2216907,3572017,-13391,198756,26234.0,65953,-71156,123219,,2013年01月01日至2013年12月31日,10113697,13352906,-2454,3239209,2891717,,4208322,6364698,-1314015.0,2212708.0,,934613,2891717,77897,-94244,-16347,12645,,,3416,,,,3472981,50798,13352906,-2208439,-161904,,-2365.0,331332,-114141.0,,-98534,-1074734
2014-05-06,1,2014,0.0,806768.0,,,-60774,61.0,89551,-200997,12041,,,6186.0,,,842,0.0,-99749,31845,102593,-363327,,,-14473,-709,7206.0,,-900.0,0.0,350176,-573809,,-2.0,,582652,0.0,111117,502.0,-647115,723495,-53118,57460,5583.0,19034,-30084,107471,,2014年01月01日至2014年03月31日,13352906,16839910,63818,3487004,719373,,1882802,1809609,,2141518.0,0.0,2148724,719373,-890005,1173473,283468,20,,,74,,,,1090236,-1868,16839910,-4194,33829,0.0,,28706,,,-29524,-274621
2014-08-08,2,2014,,1427522.0,,,119571,23877.0,28088,-192641,11508,,,6186.0,,,10945,-240382.0,-210985,64644,-170754,-636352,,,-19477,-421,0.0,-19704.0,,1277.0,244721,-148399,,51.0,,-85314,0.0,97180,989.0,-1313152,1395211,-79622,122193,7897.0,38285,-62845,227505,,2014年01月01日至2014年06月30日,13352906,17842020,5982,4489114,1451241,,3023876,3239771,,2968848.0,0.0,2949144,1451241,-272396,633404,361008,6884,,,-3944,-96980.0,,,1788530,3778,17842020,-380555,-36074,,0.0,155982,,,215028,-334308
2014-11-07,3,2014,,1979615.0,,,463344,,29991,-164004,-11428,,-4470.0,0.0,,,13015,-240382.0,-329628,100603,252920,-1061771,,,-19673,-542,0.0,-35618.0,,1573.0,-1078,287998,,21.0,,-719564,0.0,106200,1483.0,-1344895,2055072,-81729,213403,12437.0,57316,-100732,367764,,2014年01月01日至2014年09月30日,13352906,18814551,11966,5461645,2382929,,4291121,4408446,-1182613.0,3480730.0,,2262499,2382929,518307,-472405,45902,22080,56979.0,,-7763,197574.0,171.0,,2025517,11194,18814551,-384357,-155434,,0.0,222402,,,-89929,-296805
2015-03-06,4,2014,0.0,2743221.0,,0.0,837348,,-57346,-129421,17013,,-4540.0,0.0,,,174047,-240382.0,-414017,137154,907265,-2115181,,0.0,-32413,8380,0.0,-9111.0,-7088.0,,-235436,144043,0.0,21.0,,-332123,0.0,146866,-3624.0,-2507886,2738341,-97453,299307,20199.0,77401,-135194,451098,,2014年度,13352906,21500716,16765,8147810,3240021,,6316352,6392001,-1182613.0,4623803.0,,3432079,3240021,761738,-352979,408759,22244,56979.0,,-5152,197574.0,171.0,,3151980,10824,21500716,-391553,-170054,,0.0,159986,0.0,,-191260,-385079
2015-05-04,1,2015,0.0,,,,-134234,0.0,174769,-159686,6476,,-7000.0,0.0,,,2151,,-106384,37093,-181213,-814800,,,-8772,-12316,0.0,-16645.0,-1772.0,,-380313,-546599,,0.0,,1152884,0.0,-25647,,-906867,721736,-34636,32527,0.0,21297,-35422,56337,615056.0,2015年01月01日至2015年03月31日,21500716,22031094,-22214,530378,629578,508.0,1487300,1470740,,147803.0,,131158,629578,-878004,1104110,226106,373,,,858,,,,841162,-3357,22031094,-4355,-96594,,,69429,,,143414,-74896
2015-08-10,2,2015,,,,,-231841,,6712,-294268,5736,,,3927.0,,,4286,-11980.0,-197304,75849,-457097,-1221303,,,-11909,-7357,,-25402.0,,42395.0,-285882,-698421,,0.0,,1048067,,3206,,-1350237,1472727,-41228,110194,0.0,42781,-76499,181436,1290579.0,2015年01月01日至2015年06月30日,21500716,19257165,1928,-2243551,1363328,1017.0,2164668,2537636,,0.0,-2575483.0,-2600885,1363328,-1267403,1151132,-116271,2871,,45578.0,-449,0.0,,,1174308,-2662,19257165,-477905,-184717,,0.0,82835,,,263099,-199816
