date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他現金流入（出）,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得投資性不動產,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付票據增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之付現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分無活絡市場之債券投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,退還（支付）所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少
2013-05-06,1,2013,437508.0,-78535.0,-273121,-1758,50313,-5611,,,0.0,,,,178067.0,32284.0,-9213,,-172221,-1248854,,,-13280,41,7966.0,79.0,,,-363778,,-850531,-122882,,,1699867,4758,-1074810,330999,8308,-32732,9215,,,2013年01月01日至2013年03月31日,1761595,2900044,1138449,-49760,756907.0,669044,756907,1700000.0,,119658,1716436,-49760,26000.0,,-1196221,1565380,369159,,42,,-30,,,,,,806667,2900044,-87863,-87863.0,49119.0,,,231902
2013-08-12,2,2013,830800.0,-606287.0,-213196,-49719,96465,-5078,,,,136.0,,-241280.0,,53322.0,-12933,,14528,-1457812,,,-11745,-2212,7151.0,,,,-434232,,-892117,-224915,,,1485772,8914,-1677703,682595,16086,-56310,12614,,,2013年01月01日至2013年06月30日,1761595,1603290,-158305,-268833,,406293,649418,1700000.0,,53887,1098577,-268833,26000.0,,-1233763,1321214,87451,,20520,,-4319,,,,,,918251,1603290,-243125,,,72261.0,0.0,315557
2013-11-12,3,2013,1177886.0,-606906.0,-119498,29137,83566,-11955,0.0,,,,,-379261.0,,78143.0,-15033,,-8828,-1860315,,-412.0,-30337,-2273,8725.0,101.0,,,-364964,,-411516,-223255,,,452646,7722,-2230473,1051660,25626,-80507,14986,,,2013年01月01日至2013年09月30日,1761595,882795,-878800,-353387,,346810,619615,1700000.0,-199179.0,191457,1013691,-353387,26000.0,,-670703,465819,-204884,0.0,24866,,-11461,,,,0.0,,973002,882795,-272805,,,25224.0,0.0,353233
2014-03-26,4,2013,1598112.0,-607525.0,-173668,69090,-135051,-14790,,-5531.0,,176.0,,-493736.0,,106269.0,-16623,,-27823,-2065273,,-412.0,-24058,375,11921.0,,,,-184264,0.0,-1012178,-221482,,,1457543,6240,-2538806,1416709,34190,-104273,16726,698.0,,2013年01月01日至2013年12月31日,1761595,1498491,-263104,-434574,,1104377,1378896,1700000.0,-199179.0,398028,1199148,-434574,26000.0,-698.0,-1542379,1757737,215358,,27249,,-15294,,,,0.0,,1813470,1498491,-274519,,,47184.0,,429449
2014-05-09,1,2014,396125.0,-620.0,-63735,-39432,34491,-5803,,1242.0,,-2689.0,,-58582.0,,30880.0,-1252,,17373,-273074,,,-1323,-1343,0.0,,,,155955,,-239015,-13490,,,-135218,1570,-324184,349790,8507,-26532,1281,,,2014年01月01日至2014年03月31日,1498491,781844,-716647,-423002,,-342937,-327191,0.0,,-37058,-66899,-423002,0.0,,-281749,-18565,-300314,,7514,,-7540,,,,,,95811,781844,-15746,,,17083.0,,3121
2014-08-12,2,2014,823471.0,-1239.0,39787,-3453,23811,3277,,,,0.0,-2658.0,-162065.0,,,-3020,65952.0,31346,-526832,,,-4503,-1226,0.0,,,,75527,,-184919,18298,,,-422941,1592,-621904,688971,17322,-67204,3049,,,2014年01月01日至2014年06月30日,1498491,859628,-638863,-780875,,-493552,-475900,0.0,,516348,445247,-780875,0.0,,-103023,-415473,-518496,,68447,,-11704,,,,,,304975,859628,-17652,,,67176.0,,-69475
2014-11-12,3,2014,1188997.0,-1858.0,136570,-11751,41265,7707,,,,,,-30680.0,,103539.0,-4721,,6768,-617015,,0.0,-8476,-1273,0.0,-2299.0,,,-186721,,535062,116848,,,-1380576,1775,-474146,1041768,25810,-104999,4750,,,2014年01月01日至2014年09月30日,1498491,727376,-771115,-793187,,-1048327,-1026324,0.0,0.0,853746,744590,-793187,0.0,,829745,-2251879,-1422134,,77005,,-17859,,,100270.0,,,-233137,727376,-22003,,,41733.0,,-682313
2015-03-20,4,2014,1631336.0,397691.0,118006,8366,60956,8166,,579723.0,,-2294.0,,,,139376.0,-6293,,-78570,-1164617,,0.0,-16190,-4585,0.0,,,,152906,,359685,69828,,,-1293628,1614,-941523,1413216,35699,-134818,6321,2095.0,,2014年度,1498491,1153555,-344936,-832503,,-382061,-358174,0.0,0.0,796639,1057218,-832503,0.0,-2095.0,608475,-1765482,-1157007,,130598,,-8208,100270.0,,,,,474329,1153555,-23887,,,64226.0,,-1222629
2015-05-14,1,2015,,-451.0,-166147,-13232,-19670,-9004,,146595.0,,5063.0,,,,37317.0,-1975,,21626,-194205,,,-5977,659,,,,,-382565,,-603500,-63997,,,1519495,-14493,-178377,385856,8465,-35420,1975,,521118.0,2015年01月01日至2015年03月31日,1153555,1133424,-20131,-569116,,70254,70528,,,97174,66366,-569116,,,-853314,971840,118526,,19830,,23042,,,,,,639644,1133424,-274,,,67754.0,,-274956
2015-08-13,2,2015,,99097.0,-215070,12742,-30862,-22579,,-144586.0,,,4990.0,,,,-4419,75528.0,43510,-290567,,,-5982,1408,,,,,-1994,,-736680,7686,,,1056993,-18431,-244936,764782,17062,-83503,4419,,997014.0,2015年01月01日至2015年06月30日,1153555,779384,-374171,-1121468,,-389187,-380899,,,195858,216442,-1121468,,,-974926,718481,-256445,,47194,,25598,,,,,,740569,779384,-8288,,,117055.0,,-163664
