date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他非流動負債增加,其他非流動資產增加,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,已實現銷貨損失（利益）,庫藏股票處分,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收票據（增加）減少,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,生物資產（增加）減少,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,長期應收租賃款增加,非金融資產減損損失,預付款項（增加）減少
2013-05-13,1,2013,354442.0,-533738,-50282,49994,9365,-47890,-1162.0,-59768,11478,,-5592,44423,-78937,-264248,-1007,,,-1291,,-8573,-1970,,14138,,,-8041,168549,,,69,,-199,-256900,5190,,-318826,376836,3768,-45060,5730.0,,,2013年01月01日至2013年03月31日,3553428,3443813,-45903,-109615,-364934,17678.0,17678,17964,,4042963,-3175720,270470,-364934,127701,-99245,28456,,7506,5980,,382898,3443813,-6016,32149,,661,-67406,136223
2013-08-09,2,2013,557867.0,-427615,67505,50295,11102,-15137,-1162.0,-93870,-21378,,-11244,90474,32158,-546258,-2193,0.0,,29550,,-31071,-3113,,-203229,,,-8041,570383,,,-260,,32684,-787863,-44802,,-541489,748601,7506,-98974,,17110.0,,2013年01月01日至2013年06月30日,3553428,2835935,-244852,-717493,-498219,,-236896,-234405,,8128640,-7565727,28734,-498219,648730,-942783,-294053,,101035,15933,,263814,2835935,-19601,23018,,2910,-79741,57953
2013-11-11,3,2013,1016829.0,-1145568,8894,50723,5449,2280,-1162.0,-20515,-32469,,-14791,138514,-49270,-889387,-6938,0.0,,36922,,-44481,-4733,,-174167,,,-8041,499775,,,765,,17282,-1378817,-21951,,-752195,1105552,11490,-146869,14666.0,,,2013年01月01日至2013年09月30日,3553428,1967299,-113878,-1586129,-493213,,-452664,-444723,0.0,17046521,-16049682,-332000,-493213,514883,-1483222,-968339,,159595,23498,,48490,1967299,-22607,-22882,0.0,9783,-115127,38710
2014-03-26,4,2013,1813886.0,-1816269,109434,-109918,17117,-1636,-1162.0,-8767,95549,,-18997,191866,-298476,-1135729,-6451,0.0,,24781,,-45448,-22507,,-230073,29010.0,9085.0,-8041,681580,,-60000.0,4552,,22284,-907526,-12565,,-968691,1465610,13546,-184275,,19286.0,,2013年01月01日至2013年12月31日,3553428,3077003,61370,-476425,-658391,,746931,752701,,23232875,-22676758,43811,-658391,812683,-1215477,-402794,1571520.0,191851,30031,,1411092,3077003,-25056,5502,,12912,-84382,46241
2014-05-12,1,2014,402171.0,-953391,-167103,19758,3499,3281,0.0,11879,13447,,-4804,64471,-59183,-186031,-683,,,-7639,,-15840,-272,,-69838,,,0,-457415,,,-2575,,37955,503204,9687,,-151595,355647,1957,-59717,4221.0,,,2014年01月01日至2014年03月31日,3077003,3033487,-859,-43516,-254979,14237.0,14237,12554,,4841158,-4326070,153025,-254979,-623594,488956,-134638,628930.0,19768,3932,,267533,3033487,-2538,-12008,,3744,-11973,22864
2014-08-12,2,2014,773303.0,-1408586,-260026,5110,-8440,-2549,0.0,14324,-7865,,-10646,129392,-31557,-313419,-763,,,6769,,602,-9565,,-38031,,,0,-321584,,,-583,,23464,-58181,21769,,-250340,705199,3927,-123834,,10621.0,,2014年01月01日至2014年06月30日,3077003,2285552,63523,-791451,-126735,,-25416,8250,,12998030,-12996114,-484138,-126735,-590633,-47685,-638318,1022300.0,46998,7652,,134985,2285552,-44287,-54402,,12085,-70246,24197
2014-11-12,3,2014,1208266.0,-1890289,-76074,3674,3289,2393,0.0,-25604,2921,-12513.0,-14208,191218,-82751,-426943,-4985,-74948.0,,5970,,-4125,-7802,,-277173,,13342.0,0,177508,,,-223,0.0,-27509,-641908,-41683,,-470129,1048597,5762,-189134,14105.0,,,2014年01月01日至2014年09月30日,3077003,2283397,38357,-793606,313786,,639712,698428,,13741567,-13631690,-880438,313786,104500,-928124,-823624,1107400.0,67368,10332,,384642,2283397,-72821,11256,,15298,-91939,26573
2015-03-23,4,2014,1402590.0,-2354738,178203,-61460,-1835,-4063,0.0,22466,27093,-13091.0,-19108,253135,-7143,-629078,-4985,-74758.0,,6041,,-5766,-4083,,-283702,19112.0,13342.0,0,541691,50000.0,0.0,-1057,,19317,-1502935,-60739,-35443.0,-616862,1398041,7893,-249428,,18997.0,,2014年度,3077003,3127895,-214974,50892,860291,,1026147,1099218,,19235036,-18541013,-351250,860291,717002,-1880665,-1163663,1482000.0,71346,14994,,238927,3127895,-92068,-3049,,15321,-51145,32234
2015-05-11,1,2015,,-2013133,-89997,66291,-2258,6213,0.0,5888,24531,,-5174,60913,-11137,-145271,-1031,,,7772,,-9493,3068,,-279737,,27776.0,0,-426952,,,2660,,-16434,799980,-8927,,-120677,354064,2220,-66592,5175.0,,480982.0,2015年01月01日至2015年03月31日,3127895,3699511,73475,571616,236011,784303.0,784303,800799,,2690570,-2711287,-80873,236011,-516547,600353,83806,2017720.0,8878,3760,,564788,3699511,-21671,-65381,,7791,24802,16533
2015-08-10,2,2015,,-2689783,-340800,236395,-12809,5972,0.0,-4562,42691,,-11164,114826,-20350,-309777,-2022,,,-16308,0.0,-5870,-941,,135154,,27776.0,0,-1282424,,,-948,,-29145,1676939,-14613,,-197165,696097,4493,-120428,,11175.0,1015129.0,2015年01月01日至2015年06月30日,3127895,3833233,129515,705338,156246,,1404093,1537327,,8272900,-8694874,-481240,156246,-1636981,2002933,365952,2758184.0,30348,9938,75000.0,1381081,3833233,-144409,-40727,,14789,85768,-36914
