date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他金融負債增加,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非金融資產減損迴轉利益,預付款項（增加）減少,預收款項增加（減少）
2013-05-07,1,2013,57820.0,,24878,,,,6064,-10589,49927,,,,-5939.0,,,31382,,6710,61883,-3446,,16100,,,,,76057,-58278,36791,391,-12742,1758,161,-8105,,,2013年01月01日至2013年03月31日,209426,658430,449004,-115432,56376,64481,357377,,-7951.0,,343487,-115432,1171,16527,105566,122093,,1293,538,179913,658430,0,0.0,-13737,
2013-08-12,2,2013,79122.0,-4241.0,2403,,,,2426,-7514,72135,,,,,-2945.0,,38793,,13304,93193,-3642,0.0,21429,,,,,108102,-162847,119815,-199,-9823,3432,326,-16079,,,2013年01月01日至2013年06月30日,209426,260467,51041,-324056,-147252,-127565,357377,,-235268.0,,114923,-324056,1409,-88309,205678,117369,,1333,429,196491,260467,-3608,0.0,-24466,
2013-11-11,3,2013,182934.0,-4832.0,-9481,,,,2749,0,0,,-327.0,0.0,,,,111083,,19101,72136,-4406,0.0,44741,,-6583.0,-1260.0,,-140,-24765,102236,-80,-4679,4937,492,-21727,,,2013年01月01日至2013年09月30日,209426,226971,17545,-507055,-208235,-182880,357377,0.0,-187639.0,,158323,-507055,1616,28247,112994,141241,,1314,964,324175,226971,-3628,0.0,8229,62493.0
2014-03-26,4,2013,219676.0,-9851.0,-7893,,,,3889,0,0,,,0.0,,,12011.0,127958,,25537,102547,-5493,0.0,56781,,-741.0,-418.0,,39259,-23888,35916,6,7417,6394,800,-26825,,,2013年01月01日至2013年12月31日,209426,250365,40939,-640364,-332802,-302343,357377,0.0,-83008.0,,263777,-640364,990,24303,94042,118345,0.0,1317,1216,338021,250365,-3634,0.0,14972,56084.0
2014-05-12,1,2014,53538.0,0.0,22415,,,,1426,0,0,,2453.0,0.0,,,,32525,,5706,-3014,-6254,-2409.0,13040,,-6773.0,714.0,,140799,-93508,90867,268,-5496,1365,505,-7736,,,2014年01月01日至2014年03月31日,250365,229631,-20734,-176119,23241,30977,0,0.0,-28692.0,,-35465,-176119,161,-71798,225356,153558,,0,236,207096,229631,0,0.0,-8004,-705.0
2014-08-12,2,2014,54760.0,-9635.0,10856,,,,-511,0,0,,2989.0,0.0,,,,20104,,11328,-27952,-6746,-2377.0,18805,,-13319.0,3560.0,,277865,-139359,147103,183,-2572,2492,997,-13517,,,2014年01月01日至2014年06月30日,250365,228045,-22320,-355040,-29690,-16173,0,0.0,60848.0,,37894,-355040,219,-117824,401931,284107,,2,815,338867,228045,0,0.0,-22709,10679.0
2014-11-11,3,2014,85063.0,-188328.0,55592,,,,-1570,0,0,247800.0,3407.0,0.0,,,,40738,-2517.0,18305,4426,-7245,-4527.0,22590,-17166.0,,-262.0,,251981,-91751,165977,202,-8626,3395,1493,-19508,2517.0,,2014年01月01日至2014年09月30日,250365,145955,-104410,-564222,-122654,-105663,0,0.0,,-19862.0,22444,-564222,116,-38975,412471,373496,,1,943,458559,145955,0,0.0,-4119,-2816.0
2015-03-23,4,2014,-209218.0,-193796.0,-1694,30599.0,4296.0,,3487,0,0,,-51739.0,0.0,,,4606.0,37823,-3494.0,21814,31526,-8041,-4724.0,43943,-23927.0,,8066.0,,511547,-107485,91451,957,231928,4286,5154,-22886,3494.0,,2014年度,250365,136438,-113927,-551917,-233773,-214381,0,0.0,,43516.0,-143608,-551917,-2287,-101612,648366,546754,,283760,-316457,337536,136438,0,0.0,40924,3271.0
2015-05-12,1,2015,,0.0,-14747,0.0,527.0,-30599.0,4826,0,0,,60.0,0.0,,,777.0,7296,-948.0,3651,-12726,-123,0.0,-18987,,-4474.0,-7254.0,,184997,-57019,56229,0,-6540,893,153,-3558,948.0,-7921.0,2015年01月01日至2015年03月31日,136438,126282,-10156,-83392,46985,49595,0,0.0,,-2802.0,-37875,-83392,0,-100165,241073,140908,,0,21,132987,126282,0,0.0,-4979,-28926.0
2015-08-11,2,2015,,0.0,-55529,0.0,-489.0,-30599.0,3993,0,0,,20906.0,0.0,,,863.0,-10773,-1418.0,5375,-31190,-175,0.0,-34987,,-6147.0,-7541.0,,346723,-65313,143906,0,433265,1634,304,-6533,1418.0,-40171.0,2015年01月01日至2015年06月30日,136438,121552,-14886,-259714,24858,30007,0,0.0,,-405073.0,-441819,-259714,-354,-167887,497779,329892,,419212,48,289721,121552,-34,0.0,3157,-46556.0
2015-11-10,3,2015,,0.0,-62540,0.0,1396.0,-30599.0,2914,0,0,0.0,19145.0,0.0,,,919.0,-1,-2439.0,5916,6684,-220,0.0,-34234,,68.0,-12596.0,,361770,-19015,143283,0,426460,2360,563,-7076,2439.0,-28000.0,2015年01月01日至2015年09月30日,136438,103945,-32493,-385239,-28651,-23980,0,0.0,,-406455.0,-436986,-385239,-354,-134554,523813,389259,,419212,189,361259,103945,-34,0.0,15846,-54395.0
2016-02-19,4,2015,,0.0,-43146,10112.0,3382.0,-30599.0,2671,0,0,,19872.0,0.0,,,919.0,-2107,-2654.0,6233,-6231,-1647,-207.0,-35205,,8743.0,-7873.0,,391371,-27901,148785,0,430276,3960,998,-7680,2654.0,-28927.0,2015年度,136438,75088,-61350,-464051,-64587,-59527,0,0.0,191307.0,-600371.0,-420808,-464051,-346,-138440,571891,433451,,419212,194,404524,75088,-34,0.0,29064,-70775.0
2016-05-05,1,2016,,0.0,-24488,81691.0,-13547.0,0.0,-451,0,0,,-15614.0,0.0,,,0.0,-8724,-702.0,1030,-10907,-226,0.0,338,,-3586.0,2234.0,,36859,-48005,26792,0,-13606,500,0,-1030,702.0,-7547.0,2016年01月01日至2016年03月31日,75088,102507,27419,-17072,-49070,-48742,0,0.0,29693.0,-6796.0,101002,-17072,0,-84210,60087,-24123,,0,11,-31670,102507,0,0.0,-3113,1830.0
2016-08-09,2,2016,,0.0,-27504,0.0,-13295.0,25408.0,-1107,0,0,,0.0,-15004.0,,,0.0,-21842,-732.0,2549,-31284,-376,0.0,358,,-3884.0,3055.0,,69638,-43840,45168,0,-12325,964,0,-1989,732.0,-18665.0,2016年01月01日至2016年06月30日,75088,40192,-34896,-54540,-40698,-39441,0,0.0,110503.0,-82616.0,49411,-54540,0,-78365,112129,33764,,0,38,15099,40192,0,0.0,-1570,6274.0
2016-11-11,3,2016,,0.0,-29545,40063.0,-13238.0,0.0,257,0,0,,-33177.0,0.0,,,0.0,-20855,-1577.0,3870,-55793,-523,0.0,-6352,3846.0,,0.0,12130.0,99481,-37923,42532,0,-21501,1375,0,-3870,1577.0,-23486.0,2016年01月01日至2016年09月30日,75088,29740,-45348,-88892,-46935,-44642,0,0.0,258500.0,-223528.0,78881,-88892,0,-70641,138377,67736,,69,53,44250,29740,0,,-3893,10065.0
