date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人減少,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得子公司股權,取得無形資產,取得無活絡市場之債券投資,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分無活絡市場之債券投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加
2013-05-13,1,2013,45667.0,-56403,-16507,,,13471,-62.0,,3048,-10795,,,-14009.0,,-263,9963,-8017,-1369,,-146998.0,-872.0,,3976,481.0,-459,,-44535,0.0,-91490,-23628,-28727,181716,,-20236,-298.0,-16582,27689,845,-10033,263,,2013年01月01日至2013年03月31日,425568,397571,2127,-27997,6669,,26991,37983,147022.0,,79398,-30261,-30389,6669,-133974,119621,-14353,,189,,-124,,,,31314,,397571,-1222,,1454.0,,,
2013-08-12,2,2013,98378.0,-56653,-50893,,-71375.0,22237,-62.0,,-6025,46950,,,-597.0,,-2232,20639,42494,-674,,-146998.0,-1783.0,-55383.0,18777,484.0,9786,,-78249,0.0,-91260,-26534,-51316,61227,,9911,530.0,-13350,54065,1364,-20628,2232,,2013年01月01日至2013年06月30日,425568,321045,3440,-104523,41195,,-32557,2685,147022.0,,1158633,-1105689,-101110,41195,-198964,62076,-136888,,190,,-124,,,66681.0,-38510,,321045,-16846,,2449.0,,,-31508.0
2013-11-11,3,2013,143328.0,-56903,-63651,,-365113.0,21165,-62.0,,-12939,61138,,,-386.0,606.0,-2544,30280,9845,-1079,,-146998.0,-1997.0,-76176.0,21945,484.0,9786,,-46922,0.0,-108120,-26611,-11614,-17559,,-7462,1359.0,-39804,80581,1699,-30978,2544,,2013年01月01日至2013年09月30日,425568,232670,8644,-192898,74539,,-29101,33262,147022.0,,2558510,-2388729,-133838,74539,-194965,10360,-184605,144500.0,190,,-124,,0.0,78352.0,-41277,,232670,-33929,,2847.0,0.0,,-49038.0
2014-03-24,4,2013,193269.0,-72153,7224,,-365113.0,12473,-504.0,,15888,52344,,,-442.0,809.0,-3718,45637,17426,-1221,,-146998.0,-2483.0,-96317.0,20686,480.0,12400,,-24705,0.0,-110801,-26592,2193,-66034,,29499,-9442.0,-63520,106412,2687,-45674,3718,,2013年01月01日至2013年12月31日,425568,346806,4450,-78762,95799,,122879,201766,147022.0,-59633.0,3011690,-2788750,-155547,95799,-90879,3577,-87302,144500.0,190,,446,0.0,-81.0,94068.0,105967,4059.0,346806,-36931,,16750.0,0.0,,-70020.0
2014-05-12,1,2014,42731.0,-6000,-50357,35.0,,-1382,0.0,307.0,3449,-1462,,,0.0,294.0,-756,12346,22495,-6016,-28000.0,-59984.0,0.0,-162728.0,2825,12.0,-2112,,-23687,,-61635,9984,-26262,187713,,-50167,102.0,-132587,23788,559,-12356,756,,2014年01月01日至2014年03月31日,346806,200856,3163,-145950,-3274,,-1574,12042,0.0,-18750.0,1544474,-1504055,-34284,-3274,-138430,111015,-27415,,50,19995.0,-28,,,64460.0,15316,-3727.0,200856,-2016,,834.0,,,-18837.0
2014-08-11,2,2014,77207.0,-12000,-44833,,-34.0,11756,-91.0,,11700,10037,-162675.0,87752.0,,411.0,-1873,22310,-714,-14226,-28000.0,-59984.0,0.0,,9632,0.0,-3025,993.0,-22530,,-444,9919,-12013,143103,,-62014,204.0,-119555,48163,1088,-22330,1861,,2014年01月01日至2014年06月30日,346806,278405,-2536,-68401,9797,,78281,118830,0.0,-18750.0,2748832,-2694396,-26413,9797,-48526,80352,31826,,50,23000.0,-19,,,,109033,-3140.0,278405,-20080,,442.0,,,-23744.0
2014-11-13,3,2014,129660.0,-18000,-42256,,644.0,9081,-1307.0,,19382,-28935,-193148.0,139217.0,0.0,616.0,-3207,31973,19620,-29624,-28000.0,-59984.0,0.0,,27990,0.0,-3119,993.0,-76513,,-28788,10014,-64948,215958,,-41555,306.0,-116409,73129,1632,-32002,3207,,2014年01月01日至2014年09月30日,346806,206694,-3886,-140112,35089,,65235,122966,0.0,-49694.0,4229660,-4202448,-108558,35089,-119819,78036,-41783,0.0,82,28025.0,-31,,-25.0,,87877,-3515.0,206694,-28936,-18750.0,2085.0,,,-30144.0
2015-03-23,4,2014,185498.0,-24000,-14568,,-649.0,4841,-1307.0,,2084,-8688,-194648.0,156754.0,0.0,1887.0,-4204,39623,45601,-37664,-28000.0,-59984.0,-1231.0,,37314,0.0,-2176,,-77268,,-92961,9942,-92266,222173,,-76988,-8247.0,-119161,98985,2174,-39659,4204,,2014年度,346806,241564,-3377,-105242,88572,,78746,146545,0.0,-49694.0,5461361,-5428654,-110428,88572,-208922,81397,-127525,0.0,136,28025.0,-81,,-25.0,,57973,-2964.0,241564,-32344,-18750.0,15089.0,,17327.0,-40937.0
2015-05-11,1,2015,,-6000,-38639,,,7029,,510.0,3916,-18647,-70584.0,123939.0,,247.0,-1651,10304,-16964,-49257,0.0,0.0,,,-5955,,144,,54385,,-46325,-9903,-57430,186457,,-24935,,-13911,23903,574,-10311,1651,19189.0,2015年01月01日至2015年03月31日,241564,254160,-702,12596,26196,57.0,107429,120702,,0.0,1209908,-1257963,-63958,26196,-137809,213126,75317,,0,0.0,6,,,,94506,612.0,254160,-4613,,-7290.0,,8837.0,-18910.0
2015-08-10,2,2015,,-12000,-36732,,0.0,54321,,4363.0,-5994,3645,-101209.0,133775.0,,,-2689,15637,-31252,-58183,0.0,0.0,-1732.0,,24673,,0,288.0,67452,,-26490,-4997,-10101,125225,,-4395,,-74250,47416,1172,-15656,2689,67825.0,2015年01月01日至2015年06月30日,241564,279676,-1989,38112,86044,113.0,296864,335199,,0.0,2199223,-2335476,-153250,86044,-80107,261437,181330,,707,0.0,-661,-16983.0,3812.0,,249155,-903.0,279676,-25368,,-19546.0,,15189.0,-35276.0
