date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款減少,其他應收款（增加）減少,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融負債增加（減少）,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,因合併產生之現金流入,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付建造合約款（增加）減少,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,遞延貸項增加（減少）,金融資產減損損失,金融資產重分類淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-13,1,2013,48896.0,-36515.0,0,-96807,,41846,,-6325.0,,-89340,-71109,1389,-42951.0,35538.0,66367,-6778.0,,-33447.0,-1066,50609,-2064,-5193,-18000.0,,,-3563,0.0,-82611,,-94124,0.0,0.0,-33316.0,-23479,-16041.0,1022.0,-26579,40563,218956,-10260,9413,-50571,2105,,,2013年01月01日至2013年03月31日,1062606,822030,-240576,-38325,,-130638,-82120,,,-139226,,-81295,-38325,,-165273,72582,-92691,91973.0,3392,0.0,,,-3353,,,,0.0,,,-43795,,822030,-52,-224.0,,,2473.0,,,,-12071,,,110589
2013-08-13,2,2013,-12655.0,-661702.0,-497336,-135942,,-18612,,,,-80772,25831,8313,-9937.0,,33527,9694.0,,-66532.0,-5062,101520,2913,-19400,,,,-14545,,485954,,-97910,0.0,0.0,-15348.0,29647,-19617.0,1504.0,-90247,83643,256647,-29614,3935,-99651,6101,,,2013年01月01日至2013年06月30日,1062606,1087925,25319,211477,,524867,618492,-12024.0,,363870,-732898.0,-412214,211477,,-406416,826086,419670,1125740.0,21,-18000.0,,,326,-61608.0,,,,,-86326.0,407015,-2662.0,1087925,-75,-448.0,,,2136.0,,,,42646,-954.0,,-83151
2013-11-13,3,2013,14224.0,-661702.0,-377419,-150125,,21139,,,,-26192,-15130,9819,20345.0,,37380,-4606.0,,-97433.0,-9370,151116,54932,-28641,,-2353.0,,-34091,,372364,,-85161,0.0,0.0,-56961.0,36741,0.0,1900.0,-122641,118736,233746,-37209,5523,-153868,10409,,,2013年01月01日至2013年09月30日,1062606,984911,-77695,185745,,486137,654768,-12024.0,,270911,-542000.0,-496123,185745,,-297195,751994,454799,821751.0,0,-17862.0,,,3228,-61608.0,,,,,-86276.0,469023,-2475.0,984911,-25172,,,,4360.0,,,,45409,-7571.0,,12000
2014-03-28,4,2013,-528463.0,-661702.0,-619465,18479,,0,1492087.0,,,-73669,-28323,-24775,34553.0,19529.0,37728,,,,-11839,237561,46671,-89850,-22893.0,,0.0,-785041,,200643,-65725.0,-66204,0.0,0.0,,57040,,-1536.0,1265091,170622,258232,-53930,5602,-240468,10235,,,2013年01月01日至2013年12月31日,1062606,1957082,894476,827013,,509521,816597,-41000.0,,385665,-586302.0,-926807,827013,,-87235,605282,518047,649318.0,69,0.0,,,1243,-61608.0,1471.0,,-86907.0,12035.0,,-10416,53.0,1957082,-76843,-897.0,8236.0,,12404.0,,-14010.0,-67000.0,45409,780.0,,41785
2014-05-05,1,2014,33789.0,0.0,-124655,-105082,,21240,,0.0,,-15406,-64077,-4069,-7658.0,4932.0,3256,-6192.0,,-45460.0,-1785,48371,-21908,-4620,-23000.0,,,18,,-147656,-68677.0,-82194,,,-21207.0,-26766,0.0,249.0,-34342,43110,36635,-20878,1613,-48335,3330,,,2014年01月01日至2014年03月31日,1957082,1504409,-452673,25235,,-298914,-252328,,,131028,-35205.0,-97509,25235,,-126326,-185026,-311352,0.0,2385,,838.0,,-435,-3753.0,,,9507.0,,,-277563,176.0,1504409,-1581,,,-272.0,0.0,,0.0,,0,,,96275
2014-08-08,2,2014,184599.0,0.0,-303386,-82616,,19007,,,,-12133,-30245,9324,-55.0,3233.0,-20183,0.0,,,-4904,95589,-21236,-7596,-23000.0,840.0,,31576,,-403159,-166413.0,-109438,,,37127.0,-29361,0.0,-2744.0,13695,86557,-34378,-50422,2832,-95289,5978,251.0,,2014年01月01日至2014年06月30日,1957082,1345396,-611686,19554,,-529912,-363971,0.0,200000.0,148237,-90985.0,-74233,19554,,-69750,-498374,-568124,144358.0,2875,1137.0,,,-857,-3753.0,49903.0,14778.0,9450.0,,,-383525,337.0,1345396,-76630,,,,-6044.0,,0.0,,0,-6962.0,,87160
2014-11-12,3,2014,71433.0,0.0,-387692,-76862,,35822,,,,-11353,-39534,1610,-128.0,9482.0,-98379,0.0,,,-7482,146046,-20741,-11395,-23000.0,0.0,,31444,,-17419,-166413.0,-366851,,,267294.0,-20230,,-2251.0,38634,128708,-88708,-63509,5631,-144871,9318,,,2014年01月01日至2014年09月30日,1957082,1644748,-312334,448347,,-26476,81914,0.0,200000.0,318999,-407047.0,-303751,448347,-181563.0,-283835,-154031,-437866,144358.0,10526,1137.0,10306.0,,-8450,-3753.0,62840.0,14778.0,8700.0,,,-366433,499.0,1644748,-140121,,,,-5956.0,,-2870.0,,74545,-8278.0,,-105403
2015-03-26,4,2014,149579.0,0.0,-510833,-51581,0.0,75420,,,4066.0,7924,-88433,-9077,,-8946.0,-148967,,5800.0,,-10758,196267,4084,-15516,-23000.0,,,30387,,337001,-166413.0,-37233,,,,-38781,,-24531.0,53808,170901,-93587,-86930,6471,-194093,12183,,,2014年度,1790290,1645723,-144567,604178,,426660,660984,-79400.0,200000.0,461142,-519514.0,-629119,604178,-186668.0,-256880,164107,-92773,0.0,4944,1137.0,20432.0,-926.0,-2567,-3754.0,65581.0,21037.0,15542.0,0.0,,56806,-375.0,1645723,-192061,,3046.0,,-14101.0,,-6223.0,0.0,121454,-6200.0,,-133061
2015-05-13,1,2015,,,-302298,-70546,,-3731,,,213.0,-7911,-49635,396,,-8140.0,-29623,,,-20.0,-1721,44782,54162,-5864,0.0,,,-13,,74638,0.0,-5449,,,-33750.0,10291,,,-2300,42165,2247,-11011,826,-44085,1704,,75233.0,2015年01月01日至2015年03月31日,1645723,1483336,-162387,134712,608.0,-178495,-125689,,,407267,-140723.0,-35754,134712,,-371447,35813,-335634,,6,,1496.0,,54,0.0,,,171.0,,,-260401,126.0,1483336,-10425,,,,,,,,31626,0.0,1849.0,-246781
2015-08-10,2,2015,,,-417022,-57417,,-1875,,,3554.0,-11857,7192,413,,-13447.0,-21281,,,-333.0,-4856,88817,93445,-59160,0.0,,,-93,,-16010,0.0,-87058,,,-62526.0,5421,,,-52713,78066,55542,-53903,1719,-90674,4808,511.0,104161.0,2015年01月01日至2015年06月30日,1645723,1239121,-406602,193643,-2098.0,-270507,-130199,,0.0,417267,-149262.0,-176827,193643,,-492127,64124,-428003,0.0,6,0.0,108.0,,159,-5885.0,0.0,0.0,-5415.0,,,-323842,117.0,1239121,-54442,,,,-27810.0,,,,35135,8153.0,,-258254
2015-11-11,3,2015,,,-488203,-35188,,2772,,,,-21072,-18804,1390,,-23438.0,-62749,,3260.0,-455.0,-6722,129136,156099,-61698,0.0,,,5708,,-26573,0.0,-106095,,,-69365.0,-5711,,,46650,111265,45649,-76816,2499,-131431,6918,102736.0,46599.0,2015年01月01日至2015年09月30日,1645723,1183220,-462503,275451,-1725.0,-405850,-211463,,0.0,632373,-459734.0,-259402,275451,-113077.0,-503232,-30281,-533513,84124.0,6,0.0,108.0,,174,-5885.0,0.0,0.0,-5113.0,,,-486914,80.0,1183220,-69874,,,,-27962.0,,0.0,,35135,8123.0,,-247819
2016-03-25,4,2015,,,-729011,-3794,,-20799,,,-935.0,-21206,-60528,-355,39990.0,-30268.0,-44976,,0.0,,-9414,175453,135016,-71491,0.0,,,11140,,-39398,0.0,-53555,,,-81568.0,713,,,-66755,144492,15832,-86428,3470,-176991,9544,,126653.0,2015年度,1645723,977251,-668472,269565,-6134.0,-279057,-137988,-154800.0,0.0,989946,-598831.0,-457676,269565,-123229.0,-462362,-71844,-534206,84124.0,132,0.0,108.0,0.0,80,-5885.0,0.0,0.0,-4876.0,,,-407553,-3841.0,977251,-85756,,15965.0,,-49104.0,0.0,0.0,,37322,10805.0,,-261641
2016-05-04,1,2016,,,-45783,-101486,,3369,,,-1325.0,2907,-77550,23,,-4740.0,18763,,,-136.0,-1200,37523,-38078,-5279,,,,-135,,-82810,,30284,,,12264.0,-96238,,,-1748,32405,30128,-21101,826,-36832,1244,,44411.0,2016年01月01日至2016年03月31日,977251,903147,-74104,50739,-6656.0,-10375,38920,,,56091,-45577.0,-23903,50739,,145956,-202186,-56230,10797.0,1440,,0.0,,-1434,,3416.0,-2687.0,350.0,,,-11819,47.0,903147,-13707,,,,569.0,,,,2152,0.0,,213313
