date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款增加,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預收款項增加－處分資產
2013-05-14,1,2013,-1060907.0,,-689930,-21060,,6500,2700.0,31047,-8175,,,,,3134.0,,,-12768,7846,145230,-12865,,,,,,,8409,,,182.0,463,13066,0.0,-241606,,-4488.0,0.0,3649,274942,323142,28025,50.0,1078504,42720,-400867,174,1917,-5817,6421,,,2013年01月01日至2013年03月31日,3531470,3975171,,443701,1059003,39427,67050,,,-129712.0,-819460,1059003,-232672,301626,68954,0.0,2232,,2232,1082840.0,-1102762.0,,,-991953,-264.0,3975171,-28227,-8675.0,,,64993,,
2013-08-14,2,2013,-1026884.0,,-950507,-52935,,30341,,-56880,62156,77.0,,,,,0.0,70788.0,-32047,18085,120836,-53141,,,,,,,12539,,79.0,,-4570,-22291,0.0,-87823,,251.0,0.0,-20554,160769,146077,115033,,1188923,81231,-391030,349,4435,-14533,28754,81439.0,,2013年01月01日至2013年06月30日,3531470,3852426,-8113.0,320956,1176279,97863,150695,,0.0,-133515.0,-1086666,1176279,-217864,219164,1300,0.0,11500,867.0,-459,1082040.0,-142.0,-1102762.0,,-1025584,,3852426,-67053,,-2723.0,,118109,,
2013-11-13,3,2013,-1008457.0,,-991219,-369998,,29919,,-113165,21115,-3525.0,,908.0,,,95631.0,,-51025,22159,127951,-115158,,,,,,,-113,1000.0,5486.0,,-24247,-23233,0.0,-86478,,81165.0,0.0,21177,22367,466797,150324,,1243008,119300,-169979,509,6493,-20934,54749,81439.0,,2013年01月01日至2013年09月30日,3531470,3845048,,313578,1074914,64865,120679,,,-133785.0,-1122246,1074914,-470824,525046,54222,0.0,31960,868.0,-2875,1171515.0,-143.0,-1102762.0,,-954235,,3844140,-89629,,-2728.0,,27736,,
2014-03-17,4,2013,-963853.0,,-1012368,60397,,531,,-12459,-21523,-7030.0,,0.0,,,94838.0,,-70852,28426,116762,-152202,,,,,,,-25716,1000.0,10523.0,,-15454,-52434,0.0,-103483,,9730.0,0.0,176355,-666351,364340,28062,,1392214,155452,40844,689,8546,-27321,66627,81439.0,,2013年01月01日至2013年12月31日,3531470,3750457,91531.0,218987,1306321,200382,272897,-355119.0,,-130680.0,-1490371,1306321,123510,-193081,-69571,0.0,96898,867.0,-5203,1284828.0,-142.0,-1149184.0,,-1033424,,3750457,-111821,,-2727.0,2600.0,113450,,
2014-05-14,1,2014,-4122.0,,-101429,-175239,,-23434,,-32153,-85465,190.0,-4748.0,0.0,,,,,-19474,7094,44396,-9062,,-37452.0,,,,,-5464,,6276.0,,68,15204,,-181376,41783.0,,,90080,312326,-239689,639,,-41048,38236,-91,176,1970,-6731,18798,0.0,,2014年01月01日至2014年03月31日,3750457,3355593,-24789.0,-394864,-32039,-485879,-470340,,182820.0,,87667,-32039,-256715,-177464,-434179,,5398,,-1871,0.0,,0.0,,-438301,,3355593,-27606,,,,-152206,,
2014-08-13,2,2014,36630.0,,-216301,-151002,,5940,,-23890,28547,-3459.0,2584.0,0.0,,,,,-40349,13847,-14059,-18497,,-78216.0,,-2305.0,,,4751,,8377.0,,-37,8818,,3575,23954.0,,,-143969,-664496,-91509,81358,,2794,76209,51,426,3888,-9823,43242,0.0,,2014年01月01日至2014年06月30日,3750457,2829239,23778.0,-921218,150076,-935848,-786385,-5141.0,238960.0,,25895,150076,-294791,-678300,-973091,,5842,96860.0,78,0.0,-45998.0,0.0,,-936461,,2829239,-182882,,,,-49593,-853.0,
2014-11-12,3,2014,-804.0,,-718804,-178188,,-3330,,-27027,1940,87.0,-51477.0,0.0,,,,,-59016,20324,42144,-48131,-12048.0,-78216.0,,-2483.0,,,3112,0.0,12518.0,,-8306,11259,,16781,39200.0,,,-37238,-722805,-123636,343626,,-29125,111797,1870,592,5795,-14069,62597,0.0,,2014年01月01日至2014年09月30日,3750457,3161956,-46159.0,-588501,299011,-697423,-527989,-355119.0,442544.0,,95903,299011,-186385,-639811,-826196,720000.0,24621,96860.0,8749,0.0,-45998.0,0.0,,-827000,,3161956,-217962,,-5236.0,,-97258,-1422.0,
2015-03-24,4,2014,141292.0,-500000.0,-756827,-93257,,-847,,-22367,41621,-1247.0,-46802.0,0.0,1250.0,,,,-77489,27928,134839,-79241,-12048.0,-78216.0,,-2846.0,-307661.0,,9276,0.0,16027.0,,-8106,9423,,45897,24724.0,,79826.0,-24177,-755852,-239323,150174,,-371694,151588,2526,1042,7682,-28123,76259,0.0,,2014年度,3750457,2708532,-39588.0,-1041925,349171,-798062,-568349,-355119.0,,313310.0,-7008,349171,-70427,-988385,-1058812,1200000.0,27361,96860.0,60007,-5522.0,-45998.0,29003.0,,-917520,,2708532,-277849,,-5475.0,17841.0,-149305,-2275.0,
2015-05-11,1,2015,,,-71235,-156924,,75329,,24854,128124,-34.0,-2061.0,0.0,,,,,-14324,9053,-23153,-11974,-9456.0,0.0,,-332.0,,-97463.0,-39213,,2825.0,,-42,12526,-13458.0,-186587,46733.0,,-79826.0,-305891,303453,19749,-288042,,-99296,31631,523,86,1831,-9824,10799,,9460.0,2015年01月01日至2015年03月31日,2708532,1883291,100.0,-825241,-47792,-319378,-274689,,-221720.0,,-383414,-47792,-577849,341492,-236357,,19971,,20296,,,,,-226897,,1883291,-45664,,,,91891,,
2015-08-13,2,2015,,,-70467,-143484,,17440,,32882,129229,-74.0,-886.0,0.0,,,,,-28005,16199,-51777,-20157,-9354.0,-188947.0,,-1091.0,,-101751.0,-29843,,1471.0,,8195,15882,-131759.0,-249525,108661.0,,-79826.0,-281649,385750,-31848,-194372,,190530,58402,2924,169,3758,-16930,24594,,17438.0,2015年01月01日至2015年06月30日,2708532,2172426,13718.0,-536106,-16318,-89328,10195,0.0,-304950.0,,-585531,-16318,-533189,542264,9075,,112606,88320.0,20499,,-37459.0,,302709.0,26513,,2172426,-107187,,,,218145,0.0,
