date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,非金融資產減損損失,預付款項（增加）減少,預付設備款增加
2013-04-26,1,2013,-1114394.0,,-115619,237936,-8279,27.0,,,-8949.0,-72937,453,288221,-330523,,0,-432050.0,,24779.0,,-354,-48922,-180238,,,-21591,90356,-84,-589,-2361.0,-723794,123526,-241756,-1157782,1685,-478,21465,,,2013年01月01日至2013年03月31日,4828455,4517047,,-311408,1544578,,124165,124646,,,,,1544578,-358776,53238,-305538,,0.0,0.0,-244,-1419932,,4517047,-3,-146,-3357.0,,-10707,-7465.0
2013-08-08,2,2013,-2485807.0,,-68394,231912,4397,27.0,,,,-159085,1276,304040,-650259,,-3181,416731.0,,-26525.0,,-322,-62652,-174674,,,-33793,138922,-416,414,582.0,-228510,235753,-322310,-2566250,3370,-1276,48549,,,2013年01月01日至2013年06月30日,4828455,5395409,,566954,3688064,,691424,856504,,,-200000.0,-200000.0,3688064,-323180,-22573,-345753,,0.0,0.0,-602,-2831560,-9571.0,5395409,-163804,-269,-12868.0,,-37007,-13825.0
2013-11-08,3,2013,-4053314.0,,-45072,-84333,7635,0.0,,,,-243450,6128,259998,-982420,,-3181,-895368.0,,-19948.0,,-308662,-77941,124148,0.0,,-13047,-42719,-6,-768,225.0,1108132,345962,-259040,-4164259,5056,-4836,187781,2836295.0,,2013年01月01日至2013年09月30日,4828455,6674307,,1845852,6071561,,1037722,1639894,-3990000.0,,2430000.0,-560000.0,6071561,-13015,-365338,-378353,1000000.0,26.0,15.0,-1608,-4431667,-11079.0,6674307,-597336,-1158,-10931.0,,343237,-15053.0
2014-03-24,4,2013,-6552219.0,,107388,227960,-4793,,-1918135.0,-181563.0,,-348901,16994,694621,-1084114,0.0,-3231,,,,,-500,-9825,-268139,,1536.0,-5152,293142,-27,-698,-1253.0,2224746,462132,-429255,-6269191,6713,-15553,217424,5194339.0,,2013年01月01日至2013年12月31日,4828455,8567899,-414495.0,3739444,8806890,,1380077,2521384,-3990000.0,2430000.0,,-560000.0,8806890,-172640,439353,266713,1000000.0,26.0,15.0,-3745,-6285506,13671.0,8567899,-1125754,-1741,-11225.0,0.0,353883,
2014-05-09,1,2014,-1618353.0,,-164104,10083,6179,,,,,-119460,10556,248038,-264243,,-450,1640678.0,,,,-2967,-62034,27442,,-1536.0,-13581,-568467,-1429,-1762,-11535.0,1329059,119044,260863,-1360451,1773,-10408,67233,,,2014年01月01日至2014年03月31日,8567899,9392589,-260613.0,824690,1436346,,-752407,-733197,,,,,1436346,-214314,-336876,-551190,,,,-7274,-2169543,-8723.0,9392589,-8802,-1928,-3.0,,-19616,-114159.0
2014-08-05,2,2014,-3055794.0,,109959,11776,4142,0.0,,,,-225679,21989,161563,-420379,,-898,3653979.0,,,,-2300,-54958,-28253,,-1536.0,-14110,-476328,27,-1967,-11761.0,3007793,242662,215862,-2807122,3208,-22204,162375,,,2014年01月01日至2014年06月30日,8567899,11002744,-277336.0,2434845,3121378,,-734511,-196565,,,0.0,0.0,3121378,10165,-272314,-262149,,4629.0,-1161.0,-7274,-3317943,-5785.0,11002744,-515742,-5081,-1643.0,,-5274,-391913.0
2014-11-10,3,2014,-4152748.0,,177914,11899,1491,,,-403639.0,,-315820,33040,166109,-428847,,-6120,6013882.0,,,,-94127,-55632,-52717,,-1536.0,-32926,-276834,5,203,-8795.0,8659551,348619,-160199,-4107970,4158,-33213,605322,2874315.0,,2014年01月01日至2014年09月30日,8567899,10455700,-102963.0,1887801,4861083,,-1096859,204788,-5841000.0,,0.0,-5841000.0,4861083,53214,-556761,-503547,0.0,4638.0,-1131.0,-6472,-4656295,-5868.0,10455700,-1268434,-4209,-1643.0,,-4782,
2015-03-23,4,2014,-6978478.0,-1000000.0,225026,2765,-1721,,,,,-398147,42689,356793,-486380,,-9913,5433877.0,,,,-692,-5250,-461174,,-1536.0,-28512,66063,-1973,1407,-7780.0,10305698,446629,123705,-6593641,5454,-42794,650394,5057835.0,,2014年度,8567899,12831865,-460335.0,4263966,8026677,,-557525,969540,-5841000.0,1000000.0,,-5841000.0,8026677,-239679,161020,-78659,0.0,4638.0,-1131.0,-5964,-7057137,14399.0,12831865,-1484271,-14032,-1643.0,,-1743,-344753.0
2015-05-11,1,2015,,,-8526,2256,-3135,,,,,-110786,9113,-149916,-58660,,-779,,527911.0,,,-177315,87602,439579,,0.0,3018,-293442,2000,-6368,,595417,101530,-1159619,-902355,1459,-8961,92559,,-804568.0,2015年01月01日至2015年03月31日,12831865,12491929,101942.0,-339936,1238503,672.0,-785437,-768454,,,,,1238503,521003,-1723392,-1202389,,3809.0,324.0,9651,-2006957,4811.0,12491929,-8022,-15446,0.0,,-93922,30577.0
2015-08-03,2,2015,,,198260,7248,9381,,,,,-169876,18172,-259664,-169767,,-1292,,1063405.0,,,-232665,34121,931918,2736.0,0.0,-653,-452125,2000,-491,,1275715,215162,-391536,-2243954,2856,-18515,189474,,-1996798.0,2015年01月01日至2015年06月30日,12831865,13775327,192330.0,943462,2885841,-7541.0,-72589,1010553,,,,,2885841,1240735,-1119225,121510,,5191.0,328.0,5605,-1875288,71860.0,13775327,-1064627,-17421,0.0,,-51003,188704.0
2015-11-06,3,2015,,,-48788,3270,716794,,,117214.0,,-306855,27347,90336,-245155,,-3105,,1291566.0,,,-283638,6344,759665,185000.0,0.0,4511,-231119,2000,-1657,,6022212,324029,-942885,-3177245,4246,-27475,380906,4475590.0,-3102746.0,2015年01月01日至2015年09月30日,12831865,9307690,40017.0,-3524175,3914812,-12476.0,-636723,964910,-9000000.0,,,-9000000.0,3914812,1695472,-1542628,152844,,5196.0,1231.0,-890,-2949902,88933.0,9307690,-1574158,-14626,0.0,,-93110,
2016-03-28,4,2015,,0.0,19507,-22265,12809,,,132614.0,,-344492,36636,-137365,-441433,,-7541,,2198866.0,,,-281,-68271,469293,243000.0,0.0,-936,-258852,2000,-5234,,7597617,431998,-1147312,-4263739,5557,-36814,423931,5284851.0,-3625760.0,2015年度,12831865,10136832,519993.0,-2695033,4999687,-4915.0,-1155285,594671,-9000000.0,0.0,,-9000000.0,4999687,659637,-1438893,-779256,,6329.0,1486.0,-1866,-4405016,-11786.0,10136832,-1713142,-11333,0.0,,-6013,
2016-05-13,1,2016,,,-124226,25852,-16823,,,,,-37772,8863,-108588,-96969,,-12759,,0.0,,23464.0,756,-20256,320427,-34400.0,,-14003,-295841,0,5226,,-67189,115157,-1356169,-1047059,1177,-8863,19075,,-873630.0,2016年01月01日至2016年03月31日,10136832,8570323,73833.0,-1566509,1319386,-151678.0,-1390732,-1380714,,,,,1319386,-18632,-1807838,-1826470,,0.0,0.0,12607,-2700100,8324.0,8570323,-1155,-436,,,-173659,
2016-08-04,2,2016,,,78294,25362,-16085,,,,,-60457,17494,-95910,-131149,,-5313,,0.0,,31265.0,-102813,-14125,6948,-149900.0,,-1189,-364683,0,5191,,-52868,239632,-543054,-2372286,2354,-17619,52329,,-1986967.0,2016年01月01日至2016年06月30日,10136832,8845558,179545.0,-1291274,2901019,-156095.0,-1142496,-377425,,,,,2901019,-225977,-1065500,-1291477,,0.0,0.0,11492,-3278444,24986.0,8845558,-747452,-4741,,,-84314,
2016-11-04,3,2016,,,101661,20454,324245,,,,,-84119,26098,-34655,-247340,,-10723,,0.0,,31262.0,-3499,-18428,231729,-149900.0,2822.0,11829,-377598,0,3038,,4976952,339339,-983054,-3447412,3674,-26179,80449,5123304.0,-3044434.0,2016年01月01日至2016年09月30日,10136832,9901636,109605.0,-235196,4026668,-154278.0,-1465618,-63048,-3711875.0,,,-3711875.0,4026668,359070,-1404352,-1045282,,0.0,88.0,11492,-4089716,21219.0,9901636,-1376391,-3199,,,-75522,
