date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人減少,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付款項減少,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收款項增加,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-13,1,2013,3454987.0,26667,,,-26227972,-609384,,167040,,,,-671499,-554293,-8779259,0.0,-327590.0,-399078,13563,-590101.0,,498057,-464798,-7607716,-44745,-445980,-69740,-94705,-58468,-59930,0.0,-25315.0,,,64659,2076764,0.0,119127,-328728,118273,-1076.0,-58235,,-98604.0,-15874882,3710698,-1366243,21849,-465340,58773,-445249,,,,2013年01月01日至2013年03月31日,43945441,37989129,-5956312,6982144,,6873507,7799169,,2000000,2479323,3509861,6982144,,368549,-3006511,-2637962,24672342,128344,257183,1317384,130116,,,,,37339,,-449276,1194232,,,817025,37989129,-480413,24296,,819946,,-5970.0,-1377712,-767012,
2013-08-12,2,2013,7316892.0,68626,,-700000.0,-49047759,6266739,0.0,-1664225,,595.0,,110709,-526827,-508777,-288929.0,,-2249322,33206,,,1000846,-874481,-16485510,-45000,-911921,-81106,-994059,-123569,154239,,-379652.0,-132714.0,,-1080820,2828505,,805595,261675,-2532325,,116683,,-248313.0,-17936665,7825223,-6105830,21849,-951053,243711,-1049819,,483094.0,,2013年01月01日至2013年06月30日,43945441,45296930,1351489,13778645,,12837048,16549112,,6899840,3879237,7325587,13778645,,7440998,-11987423,-4546425,49145148,587907,352247,1763387,-206647,,,,,48400,,-342389,1554685,-490028.0,,2770467,45296930,-2662245,28381,28987.0,-2987893,,-7584.0,-194079,-1285477,-1778317.0
2013-11-12,3,2013,9714069.0,68213,,-700000.0,-70094745,4026648,0.0,-1298196,,1309.0,,-36819,-318146,-8961083,,-325221.0,-2642905,86952,,,1537472,-78567,-25200834,-94355,-1015436,-142241,-1285134,-264604,8889,98665.0,,-144405.0,,-616397,2516885,,768778,-820072,-2588607,,140589,,-346662.0,-33914025,11597759,-2136626,21849,-1605925,363046,-1447996,,1329063.0,,2013年01月01日至2013年09月30日,43945441,35251467,-8693974,21414289,,21111169,26648830,-6807464.0,6833010,8650071,4187449,21414289,,3990054,-8469582,-4479528,69486107,973113,382183,3966602,56391,,,,,144996,-26702.0,-1758515,1912071,-712802.0,,5234541,35251467,-4089665,116237,29062.0,-3721752,,22205.0,-1652199,-2962427,-1349926.0
2014-03-28,4,2013,14500993.0,81842,184.0,-1450000.0,-99254914,426239,0.0,700321,,1681.0,,-259794,-255489,28283,,-16197.0,-661392,-110367,-3571690.0,-712033.0,2082438,-1937183,-31783690,-223503,-1207517,-485368,-1459880,-457224,-138304,596974.0,,-234514.0,,-2051921,526898,,-492309,20407,-38146,,414659,,-262585.0,-35734617,15723309,-3213168,21849,-2205913,604826,-2025595,712033.0,,,2013年01月01日至2013年12月31日,43945441,40807550,-3137891,25282161,,30345265,36643404,-6807464.0,6918987,5698570,4188644,25282161,1330220.0,3332389,-6472139,-3139750,101769062,1330206,460983,4380367,212398,,92937.0,,,116274,-24572.0,-1836627,1921933,-712653.0,,11361243,40807550,-4984577,-19048,57435.0,-2867002,,249884.0,-2028395,-3993441,2881224.0
2014-05-12,1,2014,2756519.0,0,0.0,0.0,-39259579,-188441,0.0,-531537,-378.0,,2400.0,95086,147903,-8593088,,-133938.0,-67184,9819,-270249.0,-187350.0,613430,402250,-6479932,-6094,-122777,-33434,-549998,-52707,-116011,,-77199.0,,55088.0,2352632,760516,,196115,-514805,-303120,,102220,0.0,-76388.0,-14473973,4438518,-556502,134714,-852161,188058,-511471,171601.0,,,2014年01月01日至2014年03月31日,40807550,40675648,-131902,7717097,,6411244,6960392,0.0,8500277,11049608,7528577,7717097,0.0,-2906583,-606641,-3513224,27446891,161804,0,521978,7956,1445650.0,4009.0,,,1088,-625.0,-1341710,0,0.0,15429.0,-756705,40675648,-209278,-11955,0.0,-197607,,-6879.0,-1818237,-620854,-2982551.0
2014-08-11,2,2014,7383236.0,9333,25000.0,-750000.0,-75342440,7977392,0.0,-736724,,-605.0,8356.0,116703,-338308,-291311,43028.0,,-77146,66142,-452384.0,-432038.0,1229991,577638,-13996008,-252932,-815095,-34048,-834071,-136679,-170508,,-46112.0,,-14104.0,2875870,-406660,,-21540,-99880,-1689085,,490643,0.0,-167195.0,-15728840,8942769,-6120364,132269,-1531432,357898,-1213199,423551.0,,,2014年01月01日至2014年06月30日,40807550,50283950,9476400,13882964,,15499213,18690689,,14300277,7439269,9128389,13882964,306639.0,3429188,-6004699,-2575511,65640677,173340,0,835995,22469,1445650.0,-46323.0,,,1415,-632.0,-1358244,84925,-31326.0,26497.0,4807725,50283950,-2401828,-42231,0.0,-2088447,,-2758.0,-486731,-1540740,-3991172.0
2014-11-11,3,2014,12792113.0,9333,25217.0,-750000.0,-106102196,5951253,0.0,-1913905,,-308.0,-3667.0,68783,-554271,-10988104,39304.0,,-301022,57771,-542516.0,-706613.0,1762775,391068,-20096181,-438610,-1319968,-55470,-835324,-274728,-175325,,-57106.0,,-107565.0,2454190,1953859,,1548785,-376123,-2771666,,455388,0.0,-265207.0,-34196484,13581314,503343,172414,-1980732,493792,-1547954,636647.0,,,2014年01月01日至2014年09月30日,40807550,41650241,842691,18612360,,27264692,32104474,-7731334.0,19268005,9785082,7383415,18612360,1304936.0,3513965,-2813964,700001,93042496,241449,255011,1385106,51245,1445650.0,-256821.0,,,1415,-632.0,-1479285,166908,-62188.0,33224.0,13492114,41650241,-3928475,-96407,0.0,-1402800,8238.0,,-987043,-2935524,-3818600.0
2015-03-26,4,2014,18189255.0,9333,25000.0,-2400000.0,-136870068,1121062,0.0,-436693,,-1643.0,,13627,-583031,-3641209,96857.0,,-562133,1445786,-1054767.0,-955874.0,2384834,20302,-24921941,-451649,-2024572,-83601,-837219,-432620,-209838,,84442.0,,-96124.0,1882408,-68335,,-572900,-413574,437507,,3151,0.0,-363579.0,-34664445,18485182,-2310282,177936,-2452657,674089,-2056012,881832.0,,,2014年度,40807550,44777669,3970119,22261814,,33047214,38811300,-7731334.0,19584021,4461875,5567048,22261814,,496800,-2136569,-1639769,129333679,535219,289406,1650266,161459,1475968.0,-256821.0,14424.0,,1434,-632.0,-1651743,265793,,35083.0,16549486,44777669,-4589906,-123419,34256.0,-162703,,362729.0,-1129629,-5001746,207599.0
2015-05-12,1,2015,,0,0.0,0.0,-55579831,3371658,0.0,688094,,276.0,0.0,5762,44106,-13053889,87097.0,,-51796,64105,-469983.0,-291532.0,598486,80301,-4447586,-38972,-357607,-99155,-128387,-82536,18470,,133523.0,,-248883.0,1472168,-208750,,116953,637084,15131,,-18345,0.0,,-18368995,4808107,-136714,2425,-1117519,173083,-656111,177522.0,,3486554.0,2015年01月01日至2015年03月31日,43858837,42275252,-1583585,8369130,-82785.0,13773676,14907752,0.0,717242,8891810,2931433,8369130,,1683042,1369026,3052068,49031001,78742,65238,798550,18650,0.0,137505.0,275402.0,-452780.0,0,0.0,-297198,32067,,6394.0,6538622,42275252,-655487,-38004,0.0,-603867,,-3708.0,-695414,-642901,-2039927.0
2015-08-11,2,2015,,0,0.0,-2250000.0,-107233121,9477789,0.0,468423,,1011.0,0.0,18450,-53188,-2440447,,-71025.0,-16796,58676,-481897.0,-637352.0,1212024,804418,-8039788,-38972,-773215,-106696,-128387,-200641,30281,195149.0,,-63731.0,,2919916,1469225,,1672038,-66862,-1632899,,247867,0.0,,-11644986,9580325,-5774828,3121,-2437109,356173,-1343050,596958.0,1002225.0,6463128.0,2015年01月01日至2015年06月30日,43858837,53861825,10002988,17248460,-204574.0,24077333,27000368,,717242,8209150,-3233777,17248460,-626976.0,6729454,-3440674,3288780,102246258,214002,75930,1527840,47898,387937.0,175339.0,,,0,0.0,-893271,32067,-175063.0,7232.0,9751908,53861825,-3179168,-45596,0.0,-6894807,,-14114.0,384035,-1596324,-3964574.0
