date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收款項減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益,預付設備款增加
2013-05-07,1,2013,34268.0,,,-25808,-4614,,2214,-8842,,-2360,2435,-9539,2163,72829,-11571,-8931.0,-1660.0,,-420,-288,,5343,,,-61832,252,28925,0.0,-242,-122.0,-289071,35690,-2554,2298,-2094,7261,,,2013年01月01日至2013年03月31日,797536,541400,-256136,67467,,30106,34455,,,,-70000.0,-70000,67467,,-85296,18016,-67280,,0,,4.0,,-258075.0,,-33012,541400,-9516,-1919,,,3556.0,-6186.0
2013-08-07,2,2013,65496.0,,,-1237,-3110,0.0,1170,-31913,,-2387,4946,-19876,3513,101555,-54532,-9886.0,-2179.0,,-367,-265,0.0,-14787,,,-24024,-91,-96106,,-1421,-240.0,-546161,67765,-42559,4726,-3581,15671,,,2013年01月01日至2013年06月30日,797536,321639,-475897,176880,,8709,28058,,,-40000.0,,-40000,176880,,-24422,-189896,-214318,,2004,,-1696.0,,-478916.0,,-148822,321639,-31439,305,175.0,6005.0,,
2013-11-07,3,2013,93455.0,,,3537,-6380,0.0,6128,-53057,,-2401,9332,-31237,5119,58813,-79543,-9922.0,-3475.0,,-316,-266,0.0,-37506,,0.0,-13673,157,-153708,,-2094,-353.0,-193407,97461,-42559,7326,-5147,28269,,,2013年01月01日至2013年09月30日,797536,626774,-170762,299575,,61985,93522,-88153.0,,-10000.0,,-98153,299575,,-4204,-295304,-299508,,2069,,-1614.0,,-99869.0,,-206053,626774,-54659,328,175.0,6881.0,,
2014-03-13,4,2013,127970.0,0.0,,27440,-1673,0.0,954,-48287,619.0,-2406,25934,-43506,6811,151660,-173890,-9932.0,-3475.0,,1187,-198,0.0,-42548,,0.0,-12965,358,-214762,,-5135,-457.0,-698946,125977,-42547,9799,-6830,36258,,,2013年01月01日至2013年12月31日,797536,288433,-509103,402590,,156336,191557,-88153.0,,-30000.0,,-118153,402590,,15330,-354333,-339003,,26872,,2433.0,,-535917.0,,-211033,288433,-64649,-840,175.0,,,
2014-05-07,1,2014,19097.0,2005.0,,-29237,1326,,692,12361,22.0,0,1900,-14902,1516,-11664,-34303,0.0,0.0,,-127,0,192.0,-7529,,,-64989,-49,32308,0.0,-2582,-121.0,140233,29191,15170,2472,-1507,9361,,,2014年01月01日至2014年03月31日,288433,471248,182815,95398,,74246,71867,,,,-20000.0,-20000,95398,,-93704,51076,-42628,,0,,476.0,,172339.0,,-23531,471248,-5475,-1263,,,-166.0,0.0
2014-08-08,2,2014,-33310.0,2005.0,-2203.0,17276,-98,,2760,29674,1846.0,0,-72906,-29890,4586,-76560,-39638,0.0,-358.0,,553,-612,256.0,-58404,-243156.0,,-74175,12544,11948,,3331,-247.0,-394544,62716,9133,4918,-4092,20055,,,2014年01月01日至2014年06月30日,288433,349889,61456,260694,,156442,182972,,,378321.0,,376118,260694,,-41842,-2570,-44412,,1499,,-937.0,-1044.0,-114540.0,,-77722,349889,-42493,-1815,0.0,509.0,,
2014-11-07,3,2014,8732.0,2005.0,-11297.0,42331,-487,,1550,35159,1030.0,3482,-68434,-45459,9775,-2962,-105332,0.0,-358.0,,499,-782,256.0,-98416,-336039.0,,-66771,-13746,-107720,,2171,-386.0,-471517,107644,-6167,7375,-8680,25780,,,2014年01月01日至2014年09月30日,288433,400778,112345,368484,,113686,165764,-235085.0,,158968.0,,473138,368484,,-37022,-174430,-211452,560552.0,1495,,-903.0,-1044.0,-36244.0,,-202720,400778,-69178,-721,0.0,,,
2015-03-12,4,2014,56363.0,8739.0,-16682.0,48929,1209,0.0,2113,37529,-3811.0,-1435,-65254,-61442,14909,105263,-157001,0.0,-410.0,,1606,-900,256.0,-154097,-336039.0,0.0,-39125,-31186,-58804,,150,-424.0,-648393,155111,2837,9850,-13815,39177,,,2014年度,288433,377172,88739,458680,,262229,320363,-235085.0,,3028.0,,369640,458680,,-19693,-174987,-194680,618379.0,1599,,-215.0,-1081.0,-163202.0,,-138317,377172,-83496,2879,0.0,,,
2015-05-11,1,2015,,0.0,-506266.0,-30144,1805,,1936,-26406,7469.0,-10278,8697,-15919,8069,-34742,-41149,,,,-338,0,0.0,51779,,,-101109,-73142,167683,,-69373,,5514,45964,44582,2421,-2941,6699,,44002.0,2015年01月01日至2015年03月31日,377172,691229,314057,86266,-72.0,97586,105276,,1195000.0,,-537544.0,245699,86266,,-202531,177539,-24992,94509.0,0,,,,,56941.0,19010,691229,-11448,-4892,,,,0.0
2015-08-10,2,2015,,0.0,-516031.0,-52994,-12134,,4479,-11413,7470.0,-8482,2991,-32483,12540,-62135,-93555,0.0,-841.0,,-111,-1671,65.0,95209,0.0,,1302,-72579,112653,,-90950,,-186667,92704,28365,4882,-3969,18189,,86086.0,2015年01月01日至2015年06月30日,377172,622116,244944,171877,-151.0,257816,267220,-4.0,1195000.0,-537544.0,,235930,171877,,-119943,129200,9257,94509.0,55,,79.0,0.0,,-59502.0,95343,622116,-23624,-3338,0.0,8822.0,,-22736.0
