date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付款項減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分無活絡市場之債券投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-14,1,2013,91607.0,,,28999,-241701,570797,-4416,0.0,-411.0,,-2056,25698,142939,-234309,-9405.0,,-68720.0,,-3657,,-3984.0,,11078.0,-694841,,-580220,-5072,0.0,,16233,-166286,-53917,-17457.0,-439904,78893,-2705,2106,-6719,5154,-25684,1135,,2013年01月01日至2013年03月31日,886084,814414,-71670,76503,,-870596,-850252,,1025977.0,,1095891,76503,34708,-1053070,-1018362,78970.0,6805,590,0.0,-926755,-5405.0,814414,4205,-6296,,0,,106396,-145353.0,,24466
2013-08-14,2,2013,194771.0,,,6279,-229437,288063,-5,0.0,1144.0,,-5498,55232,-44898,-811651,-9405.0,,-116926.0,,-15149,,-3964.0,,11635.0,98986,0.0,-497280,-5072,49998.0,,18439,-43876,-36726,-17375.0,-735892,162904,7997,-8639,-7586,12184,-58087,5247,,2013年01月01日至2013年06月30日,886084,698698,-187386,-130267,,-404734,-355533,,875777.0,,998138,-130267,-208482,-211555,-420037,44789.0,10498,2738,,-225266,-6414.0,698698,3639,-12894,,36610,2840.0,6998,179957.0,,-8191
2013-08-14,2,2014,194460.0,,,-87885,-40945,-1447,-3806,,551.0,,-4557,52784,23213,-488816,0.0,-1101.0,-39648.0,,-731,,-3638.0,,-350.0,226370,,-127022,-438,-49988.0,,-5652,-81133,15708,59.0,-460780,144471,-3339,32525,-8652,11305,-127845,5160,,2014年01月01日至2014年06月30日,1324377,762275,-562102,66397,,63484,194541,,-386629.0,,-188019,66397,-207362,141046,-66316,291272.0,20060,3258,,128144,-4504.0,762275,-8372,-3418,,-38598,0.0,-8224,49075.0,,22428
2013-11-13,3,2013,345200.0,,,37198,-233991,-10727,-13877,-935.0,,-1011.0,-7009,83415,-36640,-1305590,-9405.0,0.0,-95629.0,,-17750,,-3963.0,11406.0,,850611,0.0,-261204,-5072,50000.0,,-16921,16366,-39678,-17281.0,-1131079,256022,14952,-16983,-12222,21915,-111850,6378,,2013年01月01日至2013年09月30日,886084,1379472,493388,-240185,,427164,530920,300000.0,510091.0,,1233943,-240185,-287559,713464,425905,378730.0,8917,16629,,771105,-6698.0,1379472,1716,1013,,4157,3187.0,151016,260233.0,,-25943
2014-03-18,4,2013,526266.0,,,361574,8118,-11086,12405,0.0,4188.0,-2821.0,-10621,107277,-55035,-2122365,-9405.0,-3288.0,-108251.0,,-18290,1817.0,,10618.0,,888593,0.0,-436358,-644,49988.0,,-41321,-14230,-34097,-18006.0,-1782499,319268,-10210,-12625,-13182,24467,-132195,10517,,2013年01月01日至2013年12月31日,886084,1324377,438293,-523554,,570375,695783,300000.0,362110.0,,1705452,-523554,-216661,909732,693071,978049.0,16711,30615,,1219337,-4625.0,1324377,-3730,2328,,14132,84404.0,57380,436302.0,,-56629
2014-03-30,4,2014,370672.0,,,-251592,-9315,-3140,-29545,0.0,-17279.0,-888.0,-15993,113341,-70633,-1238862,0.0,-3967.0,-118062.0,,2020,-1199.0,,-722.0,,-413828,0.0,263288,-1726,-49988.0,,53594,-251835,15802,3714.0,-1319391,307330,-7195,29179,-12337,19650,-109854,16402,,2014年度,1324377,447926,-876451,51939,,-401709,-294954,0.0,359603.0,,915282,51939,63806,-781371,-717565,576412.0,45240,1659,,-346893,-5529.0,447926,-13303,-44998,,32180,0.0,-104550,-2130.0,,10666
2014-05-15,1,2014,91866.0,,,-333252,-10764,-1089,3026,0.0,-1766.0,,-2374,26408,-25956,-348640,0.0,-999.0,5548.0,,-171,,-4338.0,,-602.0,80168,,494186,-561,,-80.0,11519,-3102,38085,33.0,-308909,74567,-3823,26499,-4263,5350,-35750,1984,,2014年01月01日至2014年03月31日,1324377,1108576,-215801,58240,,479034,517483,,-568037.0,,-359970,58240,196881,170496,367377,221991.0,4492,4201,,459243,-4717.0,1108576,-4683,-11852,,-8945,,38350,31292.0,,34024
2014-11-14,3,2014,283973.0,,,-295380,-39339,-3224,929,0.0,216.0,0.0,-6704,78192,-16679,-766180,0.0,-1385.0,28117.0,,-1352,,-5907.0,-451.0,,-338008,0.0,105607,-1080,-49988.0,,22520,-4517,-6380,104.0,-652118,222431,-4767,11832,-12909,16506,-76516,7063,,2014年01月01日至2014年09月30日,1324377,820864,-503513,68489,,-326908,-245785,0.0,658360.0,,492192,68489,-140214,-458033,-598247,-99429.0,30654,3218,,-314274,-3733.0,820864,-11670,-15409,,-9764,0.0,-82766,57127.0,,38659
2015-05-15,1,2015,,,,-30447,-1083,2533,3665,,15986.0,-49.0,-1646,31334,-64838,-123469,,-15.0,,25036.0,-939,,-4411.0,-212.0,,207088,,-92016,-2702,,0.0,-10932,108963,-31869,,-78275,96231,20558,1319,-4498,5587,-32911,1416,192000.0,2015年01月01日至2015年03月31日,447926,566884,118958,-111975,527.0,263162,296477,,359988.0,,-1091,-111975,-40477,256929,216452,-348210.0,0,3788,,408452,0.0,566884,-1820,20713,41430.0,-5756,,-47140,20434.0,,69300
2015-08-12,2,2015,,,,-19722,-559,7376,4346,,19066.0,-758.0,-3186,59745,172335,-212512,,-4955.0,,51511.0,-2703,,-4421.0,,35.0,534151,,-192453,356,0.0,,-21490,124611,-21620,,-127801,185091,-12206,-3096,-9892,11020,-76285,3427,285287.0,2015年01月01日至2015年06月30日,447926,515615,67689,-232017,185.0,421414,496990,,,-532546.0,-398259,-232017,-183284,627004,443720,252091.0,23313,3013,,729007,0.0,515615,-2718,-12215,,-113739,54414.0,-29895,,15565.0,55026
2015-11-13,3,2015,,,-343975.0,-4058,-23812,6232,5368,8264.0,19625.0,-941.0,-4210,101834,221669,-288741,,-4921.0,,-12749.0,-2913,,-4305.0,492.0,,584158,0.0,-195893,17,239401.0,,-60088,223475,-43418,,-219166,274192,-14023,-26305,-17524,16625,-101765,3938,352167.0,2015年01月01日至2015年09月30日,447926,855330,407404,-458548,541.0,359879,459465,,260915.0,,45022,-458548,-193261,759107,565846,,30098,8226,,918013,0.0,855330,-1759,-81313,,-107031,57250.0,20016,57596.0,,65764
2016-03-18,4,2015,,-265206.0,,-73236,-62368,466,25455,0.0,21556.0,-1667.0,-6067,151305,251366,-528565,0.0,-14828.0,,187703.0,-2253,568.0,,453.0,,1517327,0.0,-233979,3855,69820.0,,-81445,249339,34199,,-353525,378752,-12225,11983,-18212,21777,-125229,6174,638673.0,2015年度,447926,932754,484828,-691093,1167.0,1433806,1556555,300000.0,-1046765.0,,-846819,-691093,-387328,1996303,1608975,262029.0,5191,18913,,2247648,0.0,932754,-3694,-14542,,-171120,109000.0,198812,-1812.0,,11924
2016-05-13,1,2016,,,,30401,21166,12456,-5900,,-99.0,-5.0,-800,42994,8815,-52060,,0.0,,215.0,-1241,,-616.0,502.0,,40437,,77213,-643,,169609.0,1787,13219,-6110,,-62392,121050,47026,-12772,-10450,4242,-40353,643,208385.0,2016年01月01日至2016年03月31日,932754,1061932,129178,3129,574.0,386220,427563,,125506.0,,-203465,3129,243663,-27614,216049,-449351.0,8129,5510,,424434,0.0,1061932,-1633,47080,0.0,-47970,,-77555,-19173.0,,74206
2016-08-11,2,2016,,,,33884,51550,13465,839,,330.0,-52.0,-2061,86660,14834,-187622,,-903.0,,-6873.0,-1987,,-818.0,,685.0,121859,,39362,-874,169915.0,,180,66620,-25539,,-364582,242285,25869,-12593,-17825,11337,-81254,2225,363660.0,2016年01月01日至2016年06月30日,932754,1182313,249559,59221,1134.0,683300,765992,,,286211.0,-83993,59221,173561,169550,343111,-462462.0,19686,3046,,706771,,1182313,-3663,36617,,-75965,5588.0,-33516,,-189503.0,59667
