date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產（增加）減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-04-30,1,2013,,5519.0,,,-3750,-2476,-197,6529,-11.0,4,-2.0,,-3311.0,,,-19,1791,1146,-1462,,,,664,-4280,-6974,-177,4962,12276,1504,6710,-240.0,-812,3659,244,-1531,16.0,,,2013年01月01日至2013年03月31日,63167,101456,216,38289,9316,,23052,25008,,,18653,,14903,9316,-7844,18017,10173,,2.0,-2.0,15692,109,101456,-441,-370,-1398,-16.0,,-2855
2013-08-08,2,2013,,8861.0,,,-367501,-2072,-68,6582,-240.0,22,0.0,0.0,0.0,,,-60,3467,3979,-1970,,,,526,9135,-14830,-890,5271,-386,8153,4933,-476.0,-1644,7203,489,-3464,57.0,,,2013年01月01日至2013年06月30日,63167,83379,-2125,20212,20971,,38116,42544,,,-12738,,-20239,20971,-16063,28775,12712,360000.0,2.0,-2.0,21573,297,83379,-1021,-111,598,-202.0,,-3317
2013-11-08,3,2013,,13046.0,,,-371667,-824,-174,6897,0.0,8,0.0,0.0,-1239.0,,,-82,5021,4469,-3346,,,,610,2057,-5658,-489,-594,-2308,20312,997,-719.0,-2674,10501,734,-4935,76.0,,,2013年01月01日至2013年09月30日,63167,94651,-3006,31484,28081,,52586,58716,,,-41230,,-22897,28081,-8403,25992,17589,390000.0,263.0,-120.0,30635,-631,94651,-1271,-2,-724,-201.0,,678
2014-03-28,4,2013,,15640.0,0.0,,-765417,6458,16,6121,-227.0,3,0.0,,0.0,,,-158,6548,7479,-4124,,,0.0,606,11163,-2166,1755,7724,-14277,5988,5158,-957.0,-3571,13854,933,-6611,138.0,,,2013年01月01日至2013年12月31日,63167,118668,-5743,55501,39040,,76548,84195,,,48642,-88180.0,-24955,39040,14433,15082,29515,780000.0,265.0,-119.0,45155,-857,118668,-1174,325,1156,-318.0,,2457
2014-05-08,1,2014,,1477.0,,,-213750,-5345,-130,1149,227.0,974,0.0,,0.0,,,-195,1423,2895,-2075,,,-152.0,465,4553,4713,-750,-16572,17591,-6630,-375,-201.0,-1726,3288,238,-1204,203.0,,,2014年01月01日至2014年03月31日,118668,120129,-2843,1461,14282,,7236,8888,,,747373,-750567.0,-6944,14282,-20597,13726,-6871,210000.0,5.0,4.0,-5394,1564,120129,-651,-438,-2789,0.0,31.0,-4850
2014-08-08,2,2014,,9541.0,,,-427500,-4656,-75,-5763,227.0,949,,,,,,-299,2796,-456,-4396,,,-367.0,715,10217,851,-1450,-4154,7592,12127,362,-403.0,-3949,6620,473,-2728,320.0,,,2014年01月01日至2014年06月30日,118668,113496,-91,-5172,28780,,45375,49171,,,1430490,-1469132.0,-46142,28780,-12530,23380,10850,420000.0,104.0,-79.0,20391,1025,113496,-1388,121,-1382,-5.0,,-4617
2014-11-08,3,2014,,14254.0,,,-641250,-4461,180,0,227.0,458,,,0.0,,,-525,4052,-1464,-5675,-112.0,,-551.0,734,4224,800,-572,-2819,11379,2575,-1705,-599.0,-15597,9874,716,-3859,629.0,,,2014年01月01日至2014年09月30日,118668,113576,1721,-5092,42676,,56567,61587,,,2072795,-2096143.0,-44598,42676,-7197,11854,4657,620000.0,109.0,-74.0,18911,516,113576,-1790,-1510,-4846,-10102.0,,-700
2015-03-30,4,2014,,11344.0,,-30000.0,-844167,7648,-81,-690,227.0,11,-1086.0,,,,,-750,5267,6611,-7473,-1192.0,,-668.0,743,-6649,23440,246,-577,-17693,-10101,-1555,-798.0,-18806,13166,957,-5279,690.0,,,2014年度,118668,110408,-5165,-8260,61016,,60087,66950,,30000.0,2898136,-2935121.0,-56152,61016,33190,-38600,-5410,825000.0,111.0,-75.0,5934,1978,110408,-2274,-2056,-1053,-10327.0,,1323
2015-05-14,1,2015,5.0,,,,-206250,-8621,163,26,0.0,-16,1086.0,0.0,,,,-258,1396,-9521,-5568,,,-1090.0,12,-24946,-1101,1337,10048,1034,-6486,2920,,-9317,3315,245,-1213,330.0,,15658.0,2015年01月01日至2015年03月31日,110408,167389,9107,56981,6907,-225.0,-7059,-5107,,,889572,-820444.0,82878,6907,1667,-29339,-27672,220000.0,0.0,0.0,-12014,-272,167389,-1069,1848,-2973,-2671.0,0.0,354
2015-08-10,2,2015,14.0,,,,-427500,-7626,457,-1400,0.0,61,1086.0,,-33946.0,,,-546,2963,-10473,-5543,,,-2133.0,72,-45597,17918,397,42213,-20795,-26460,384,,-19501,6813,491,-2933,528.0,,20928.0,2015年01月01日至2015年06月30日,110408,210059,9364,99651,32604,-446.0,-29787,-25110,,,2074035,-1927123.0,159412,32604,48927,-127569,-78642,440000.0,2.0,-2.0,-57714,-843,210059,-2272,1831,-841,-11899.0,,-3204
2015-11-11,3,2015,22.0,,,,-648750,-5231,444,-2234,0.0,27,,,-42731.0,,,-715,4731,21291,-10515,0.0,,-2694.0,72,-87083,2264,341,70346,16253,-56034,85,,-37699,10784,737,-4545,722.0,,-7566.0,2015年01月01日至2015年09月30日,110408,228925,-17313,118517,87477,-695.0,-41968,-35363,,,3326365,-3160722.0,176893,87477,60783,-176057,-115274,660000.0,2.0,-2.0,-122840,-1352,228925,-2782,-5810,-4313,-24564.0,,-5361
2016-03-21,4,2015,44.0,,,0.0,-870000,6520,458,-748,0.0,-2,,,-3000.0,,-26643.0,-976,6429,18677,-15548,0.0,,-3021.0,132,-99511,-1287,2886,38638,-4378,-33381,2124,,-45078,15803,967,-6410,,970.0,3630.0,2015年度,110408,211870,-18517,101462,87141,-923.0,-16778,-7913,,0.0,4613045,-4458404.0,144641,87141,39308,-137992,-98684,860000.0,2.0,-2.0,-95054,-1072,211870,-3425,-118,902,,,-5910
2016-05-03,1,2016,19.0,,,,-201250,-14640,77,952,,-4,,,-21329.0,,,-325,1679,5582,-3641,,1633.0,-2646.0,0,-19885,-4199,785,-31485,17024,-6828,4292,,-6422,5149,198,-1445,233.0,,20241.0,2016年01月01日至2016年03月31日,211870,140670,-6028,-71200,10621,-5110.0,-87445,-85196,,,1042985,-1056283.0,17085,10621,-50235,-65823,-116058,230000.0,,,-95817,-391,140670,-1037,19549,-40049,-135.0,,4732
2016-08-08,2,2016,38.0,,,,-432500,-9749,90,-548,0.0,42,0.0,,-30629.0,,-38358.0,-614,3237,-8530,-8337,,,-2893.0,0,-32051,15080,-2875,-3780,13795,6067,923,,-51570,10408,396,-3296,595.0,,26304.0,2016年01月01日至2016年06月30日,211870,171930,5532,-39940,58526,-5326.0,27868,35312,,,2449075,-2484283.0,-7708,58526,-5413,-44105,-49518,460000.0,0.0,0.0,-23214,-662,171930,-4743,7307,-1662,-1982.0,,1767
