date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款增加,其他應收款減少,其他應收款（增加）減少,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他非流動資產增加,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得投資性不動產,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收款項減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-14,1,2013,-1476.0,-131000,-36432,,,-32750,,45419,-11811,-3057,-251,1515.0,,-803,6087,20628,-28606,,,,,,-413.0,0.0,1979.0,-85324,,-23660,-582,-111.0,129128,-31846,0.0,2046.0,,,83182,34710,,4873,-6410,916,,2013年01月01日至2013年03月31日,588002,643265,55263,21362,,-17038,-17299,,,-44326,,-31509,21362,,-72596,35411,-37185,148000.0,104.0,-28.0,,109956.0,-55204.0,,,0.0,-38661,643265,-655,-126.0,,2640.0,7500,11795,,
2013-08-14,2,2013,48186.0,-338667,-16273,,,-15666,,44507,-11298,-1758,-5834,2828.0,,-1669,15891,14809,-76113,0.0,-2703.0,,-1200.0,,-2413.0,-9330.0,,-303357,,-11433,7134,-111.0,100584,-35218,0.0,604.0,,,16080,73190,,7148,-15444,655,,2013年01月01日至2013年06月30日,588002,446900,-141102,-2797,,-186547,-186229,,,131253,,14556,-2797,,-31981,-199637,-231618,232667.0,104.0,-28.0,,109956.0,-55204.0,,,0.0,-183432,446900,-973,-270.0,,7160.0,7500,10667,,
2013-11-14,3,2013,108128.0,-463000,-26098,,,-41869,,22509,-11512,-936,666,3346.0,,-2389,24679,-5278,-62055,0.0,-13277.0,,-5452.0,,-2413.0,-6948.0,,-138042,,-26186,15901,-111.0,-43842,-7795,-13380.0,,,,-67539,108783,1794.0,12676,-24676,873,,2013年01月01日至2013年09月30日,588002,335649,-252353,-48988,,-220912,-220806,,,183305,,41376,-48988,,-48006,-231940,-279946,341000.0,104.0,-28.0,-4375.0,109956.0,-55204.0,,,7100.0,-171818,335649,-979,-383.0,,7160.0,15000,-23759,-78230.0,
2014-03-18,4,2013,140781.0,-1305859,-12414,,-53580.0,-4070,0.0,31435,371,-1359,-3093,-1330.0,,-4501,34720,10351,-140503,-362.0,-21641.0,,-11673.0,,-2407.0,-14128.0,,-124490,,-55331,-4486,-111.0,87554,-51644,,-7987.0,,,-125155,151468,,13936,-33709,4501,,2013年01月01日至2013年12月31日,588002,406076,-181926,-20136,,-43031,-45969,,,125297,0.0,-24091,-20136,,-87888,-78726,-166614,1180877.0,711.0,-28.0,85.0,109956.0,-55204.0,57335.0,,-17230.0,-25833,406076,-1563,-463.0,6086.0,11710.0,25000,-8165,-59935.0,-15917.0
2014-05-15,1,2014,36888.0,-144000,-770,,,42647,,-7350,12249,535,618,923.0,,-965,10362,20443,-55897,-1186.0,,,,,-6.0,5371.0,0.0,-47757,,-28370,37511,0.0,-5262,6885,,207.0,,,-86469,37208,,839,-9812,965,,2014年01月01日至2014年03月31日,406076,399245,-6831,-18911,,8980,7452,,,77683,,50215,-18911,,20620,-31145,-10525,116000.0,0.0,0.0,,0.0,0.0,,-23455.0,,26363,399245,563,-24.0,,10350.0,12000,-21050,-35375.0,
2014-08-14,2,2014,104993.0,-451500,-7399,,,66032,,-5514,8805,-188,246,0.0,,-3753,21359,-9038,-62248,-1186.0,0.0,,0.0,,-6.0,-3349.0,,-84729,,-18670,56083,0.0,-33186,13272,,-9602.0,294.0,-7797.0,-130797,73853,,1479,-20394,3753,,2014年01月01日至2014年06月30日,406076,301123,-104953,-77315,,-5998,-5521,,,84930,,40880,-77315,,39113,-72312,-33199,417500.0,0.0,0.0,,0.0,0.0,,,,71794,301123,-4230,-89.0,,10350.0,19941,-18397,-64260.0,
2014-11-14,3,2014,160612.0,-463500,-6755,,,57145,,-7702,31045,-2231,1807,0.0,,-2067,29860,23480,-72630,-1494.0,0.0,,0.0,,-6.0,-3964.0,,-6379,,-17700,21802,0.0,-172758,24466,0.0,3679.0,742.0,0.0,-170206,110751,,2216,-28914,2067,,2014年01月01日至2014年09月30日,406076,316505,-89571,-76684,,-27852,-24550,,,149577,,85007,-76684,,29134,-137612,-108478,417500.0,0.0,0.0,0.0,0.0,0.0,,,0.0,52134,316505,-5369,-89.0,,10350.0,19941,-33832,-93925.0,
2015-03-26,4,2014,218884.0,-46000,-17823,,0.0,75648,,-22022,3765,-2282,2266,,,-3148,40387,62335,-106370,0.0,0.0,,1453.0,,-6.0,-4551.0,,-1732,,-9369,22144,0.0,-43409,3732,,9113.0,-190.0,5388.0,-219502,150293,,3355,-38647,3148,,2014年度,406076,498753,92677,-111814,,101915,104066,208600.0,,17072,0.0,147929,-111814,,-1473,-1531,-3004,0.0,1056.0,-301.0,0.0,0.0,0.0,0.0,,0.0,215880,498753,-5299,-89.0,,6910.0,21546,-20579,-111903.0,0.0
2015-05-12,1,2015,,0,690,,,34557,,12931,3346,-1360,-322,,,-946,9015,-17433,-9868,0.0,,,,,13.0,,10745.0,-2211,,-25719,1280,,76055,-9232,,-123.0,,,-23254,37659,,868,-10412,946,45626.0,2015年01月01日至2015年03月31日,498753,565726,66973,-28075,-2017.0,102777,106166,,,15282,,4883,-28075,,-22420,111035,88615,0.0,0.0,,,,,,0.0,,134241,565726,-4335,0.0,,0.0,-970,418,-23809.0,
2015-08-11,2,2015,,-56028,-2837,,,36519,,15414,2712,-3443,717,,-1472.0,-1903,17651,-32849,-20345,0.0,-57.0,,,,13.0,1622.0,,-32208,,-29116,9319,,74803,-11880,,-2904.0,,0.0,-73550,75296,,1732,-19693,1903,100240.0,2015年01月01日至2015年06月30日,498753,473635,-25118,-52509,-2014.0,76200,81788,,,86789,,5081,-52509,,-21936,55993,34057,0.0,0.0,,,,,,,,134297,473635,-7491,0.0,,-6000.0,7464,-20308,-54015.0,
2015-11-10,3,2015,,-56028,-4386,,,70196,,15900,784,-4474,1217,,-1484.0,-2549,26194,26553,-54141,0.0,-76.0,,229.0,,13.0,155.0,,20698,,-30127,-2975,,-60786,-27517,,128.0,,,-111549,113469,,2620,-27377,2549,152312.0,2015年01月01日至2015年09月30日,498753,533790,35037,-27436,-2045.0,83621,88673,,,103804,,36412,-27436,,-38749,2546,-36203,22000.0,,,,,,,,,116109,533790,-7601,0.0,,-6000.0,12349,-11599,-57220.0,
2016-03-24,4,2015,,-112056,3920,,,71429,,18982,-3055,2487,1076,,-1498.0,-3453,34257,12662,-60075,,-76.0,,231.0,,263.0,1105.0,,1502,,-24904,-7808,,123044,-22053,,-1097.0,,7597.0,-138020,153182,,3543,-35798,3453,221390.0,2015年度,498753,699850,201097,-95044,2042.0,297393,303258,312500.0,197036.0,-344303,,29062,-95044,1396.0,-29805,206717,176912,22000.0,0.0,2564.0,,,,,,,398302,699850,-9318,0.0,,-10580.0,22073,12423,-78552.0,
2016-05-11,1,2016,,-46000,-6769,,,-28256,,2110,7438,-498,534,,,-743,7156,-13185,-23401,0.0,,,,,0.0,,9126.0,-22676,60888.0,-49414,-2862,4.0,-14358,2627,,-3957.0,,,47147,40972,,979,-6443,743,52382.0,2016年01月01日至2016年03月31日,699850,661704,-38146,-38926,-287.0,-92758,-89413,,,73093,,20650,-38926,,-51890,-50979,-102869,,0.0,,,,,,,,-50487,661704,-4088,,,,4018,14029,0.0,
2016-08-11,2,2016,,-124028,1602,,,-54293,,3399,-616,-778,611,,0.0,-1693,19784,-20109,-57725,,-117.0,-1330.0,,0.0,,-9912.0,,-56620,60888.0,-77049,20983,2.0,-133768,28755,,-12830.0,,,-7700,84776,,1968,-18207,1693,109926.0,2016年01月01日至2016年06月30日,699850,619537,-80313,-15938,2326.0,-113633,-107263,,,203364,,61129,-15938,,-52752,-148499,-201251,,42.0,73.0,,,,,,,-91325,619537,-8063,,,0.0,5018,77636,-157.0,
2016-11-10,3,2016,,-157028,-29933,-104923.0,,-797,,-8667,-44498,-163,633,,0.0,-1999,29461,-61470,-102185,,-264.0,,0.0,,-250.0,-9052.0,,84246,60888.0,-83866,-2555,2.0,-180168,-15951,,-5714.0,,,-155670,128076,,3098,-26720,1999,171139.0,2016年01月01日至2016年09月30日,699850,593709,-106141,-22971,2433.0,-41063,-29477,,,288338,,152062,-22971,,-158417,-19228,-177645,0.0,42.0,73.0,,,,,,,-6506,593709,-13585,,,47722.0,12430,107986,-809.0,
