date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融負債增加,其他金融資產減少,其他非流動資產減少,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預收款項增加（減少）
2013-05-09,1,2013,83749.0,,,-198108,-9690,603,1344,-1507,,,14057.0,28245,-6467,-6093.0,-731,18312,-2524,-36131,,-1005,-17500,440,1026,175729,-11556,2027,,0.0,17077,-582,-97487,11,71496,257,-3809.0,-9730,89145,-472.0,4569,-18059,680,,,2013年01月01日至2013年03月31日,101033,130408,29375,84611,,304971,322651,,122638.0,-202369.0,-263342,84611,,10246,144045,154291,0.0,12.0,,10683,-12.0,-10123,238040,130408,-301,0.0,,,89.0,,-5057,15907
2013-08-08,2,2013,203781.0,,,-243377,-2602,2212,-14131,-7,,,-17033.0,-28370,-14925,1594.0,-1415,35756,-3138,-54326,,-21008,-17500,2090,1281,59491,130,-1032,,29000.0,44892,1034,-112446,11,75667,123,-12014.0,-92638,174746,-472.0,21841,-36332,1381,,,2013年01月01日至2013年06月30日,101033,146104,45071,137736,,294426,329958,,176024.0,-240283.0,-153579,137736,,43506,-55065,-11559,100000.0,291.0,12142.0,10683,476.0,-10123,192222,146104,-581,0.0,,40000.0,0.0,,-80116,27701
2013-11-08,3,2013,318677.0,,,-239460,5176,3176,-20181,-1507,,,-17033.0,-34681,-28407,2863.0,-1932,52737,-2440,-57525,-1239.0,-51006,-17605,890,1168,33244,22186,-1750,,24000.0,41487,1189,-101888,-27,95043,162,-13400.0,-111596,259235,-472.0,33139,-53246,1880,,,2013年01月01日至2013年09月30日,101033,206989,105956,205238,,437453,489640,,150431.0,-276289.0,-217461,205238,,29344,-63619,-34275,100000.0,291.0,13166.0,43774,476.0,-7373,284402,206989,-821,0.0,,40000.0,,,-91822,-4891
2014-03-25,4,2013,528911.0,,,-332182,28861,522,-26011,4136,,,-17033.0,54,-43473,0.0,-2662,69349,-5196,-84199,-1239.0,-52482,-15293,746,632,38609,20223,-1912,,19000.0,111676,-439,-128584,-3791,14210,176,-12767.0,-96894,341699,-472.0,47810,-70204,2587,6290.0,,2013年01月01日至2013年12月31日,101033,216573,115540,211708,,621452,690165,,-274353.0,,-403822,211708,-6290.0,82173,-132627,-50454,160000.0,296.0,13166.0,64061,471.0,-15647,478457,216573,-1096,0.0,10000.0,40000.0,,99474.0,-57905,-36986
2014-05-08,1,2014,111015.0,,,-163936,-8711,2025,3087,-3081,0.0,,0.0,-76,-11391,-6481.0,-639,15444,4821,-59864,,0,-275,400,-488,58788,17229,3436,,0.0,-95172,989,43359,-384,63383,7,-696.0,-72581,79878,0.0,14003,-15256,1305,,,2014年01月01日至2014年03月31日,216573,269002,52429,86379,,265159,279405,,155166.0,-136600.0,-144970,86379,,-73025,155036,82011,0.0,0.0,,5719,0.0,-22,193026,269002,-295,0.0,,,,2626.0,-9061,6813
2014-08-12,2,2014,167216.0,,,-230487,10939,2757,3516,-3565,,,20041.0,22,-93842,,-1735,30245,6206,-84725,,0,-275,-50,-499,4132,488,7618,,0.0,-9132,107,-6813,3412,68249,91,-5259.0,-120184,154336,0.0,35389,-30612,1831,4265.0,,2014年01月01日至2014年06月30日,216573,258546,41973,262959,,446590,482970,,,-80143.0,-290639,262959,-4265.0,1067,51728,52795,0.0,0.0,0.0,54595,0.0,-46479,220011,258546,-7599,0.0,,0.0,0.0,,-16535,-7210
2014-11-07,3,2014,276792.0,,,-403435,-3423,-2466,1079,-207,0.0,-10000.0,34070.0,-306,-101215,,-2101,44769,4358,-104768,0.0,0,-275,-50,-1129,-19560,31712,2901,,0.0,-62813,4291,-7034,3223,87072,-3243,-15720.0,-144266,233778,0.0,51778,-44800,2144,6536.0,,2014年01月01日至2014年09月30日,216573,217554,981,359317,,581633,634114,-182132.0,0.0,-119197.0,-440744,359317,-6536.0,-13969,11974,-1995,240000.0,0.0,0.0,56616,0.0,-44621,274797,217554,-9825,,,0.0,,,-45811,28004
2015-03-24,4,2014,389988.0,6133.0,,-456217,-8445,1983,8361,-499,0.0,-10000.0,0.0,49010,-71651,,-2894,58351,1774,-192747,0.0,-51653,1737,2050,-2592,57041,6458,4786,,-10000.0,-13689,-105,-15030,3791,2962,-1803,-13547.0,-199779,327333,0.0,56687,-59483,2935,6546.0,,2014年度,216573,261107,44534,438060,,831155,897830,-182132.0,-215317.0,,-588616,438060,-6546.0,9544,60238,69782,268000.0,59.0,0.0,57116,-59.0,-44621,459770,261107,-10127,,0.0,15000.0,,,11793,25725
2015-05-12,1,2015,,,,-131755,1234,-20,-5036,193,,,,144,-9877,,-615,12288,401,-27471,,-47720,0,30,-156,25945,-52303,-1554,,,-78223,1314,4681,-647,68395,1704,,-17135,84417,,6501,-12480,648,,101610.0,2015年01月01日至2015年03月31日,261107,241190,-19917,186946,1637.0,233599,245716,,0.0,-105057.0,-236782,186946,,-126640,83800,-42840,,,,67945,,-4166,58770,241190,-285,,3185.0,,,,-16451,6291
2015-08-11,2,2015,,,,-177442,54218,2414,-13982,-590,0.0,,0.0,-49666,15927,,-1460,23717,675,-83661,,-110617,874,1330,126,12662,-74308,-3700,-4000.0,,-116126,5412,27875,-482,64253,1903,,-128358,168097,0.0,14122,-23704,1405,5453.0,208439.0,2015年01月01日至2015年06月30日,261107,370011,108904,394180,390.0,482358,519013,,,-65659.0,-245771,394180,-5453.0,-174523,90917,-83606,,1205.0,0.0,92875,9647.0,-4290,124833,370011,-14356,0.0,3185.0,,0.0,,-17118,-26427
