date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,保證責任準備淨變動,備供出售金融資產（增加）減少,償還金融債券,其他各項負債準備淨變動,其他負債增加,其他負債減少,其他資產增加,其他資產減少,其他金融負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得持有至到期日金融資產,取得無形資產,取得無活絡市場之債券投資,呆帳費用提列（轉列收入）數,員工福利負債準備增加（減少）,央行及銀行同業存款增加（減少）,存入保證金增加,存入保證金減少,存放央行及拆借金融同業（增加）減少,存款及匯款增加（減少）,應付款項增加（減少）,應收款項（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有至到期日金融資產到期還本,持有至到期日金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,無活絡市場之債務商品投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行金融債券,符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產及設備,處分備供出售金融資產,處分及報廢不動產及設備損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,處分無活絡市場之債券投資,調整項目合計,貼現及放款（增加）減少,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量之金融負債增加（減少）,透過損益按公允價值衡量之金融資產（增加）減少,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,附買回票券及債券負債增加（減少）,非金融資產減損迴轉利益
2013-05-09,1,2013,-463807.0,,5000.0,,,,0.0,-1358,-22001,,-2162,-3167.0,,,-970000,447424,732,-7990,,-8263961.0,0.0,-3039,-7175.0,73463,411,2229208,19857.0,,-965973,-3618647,-237766,-199737,191762,14042,0.0,,4584,-485119,964436,,,2013年01月01日至2013年03月31日,26428457,22155178,-4273279,132724,,-4484272,-4956650,,,16185751,2855036,18499,132724,,-1627829,-2997738,-4625567,,8499095.0,1.0,-57235,0.0,0.0,-5089374,-2267024,3114391,-6939,2298.0,434996,344,18570,-1171,
2013-08-29,2,2013,-804153.0,,16300.0,,,,0.0,-18773,-7256,0.0,-6502,-7222.0,,,-2012304,915245,9863,-28506,,-13092585.0,0.0,-7844,-11905.0,326800,10035,439920,,-524.0,-157089,2081368,-717343,-129648,1756888,28191,0.0,,9651,-981798,2030810,8997.0,,2013年01月01日至2013年06月30日,26428457,24397259,-2031198,234326,,-3778652,-4826452,,,17112247,2793780,-19297,234326,-36097.0,1807489,-6064114,-4256625,,14910273.0,1.0,-56283,0.0,1933.0,-5060778,-5979080,4491232,-10209,1087.0,201703,-14227,18570,-1076,
2013-11-07,3,2013,-1274023.0,25000.0,33300.0,,,,0.0,-32967,-36818,,-9333,-7934.0,,,-3077080,1397236,-4778,-33814,,-17318229.0,0.0,-8141,,451801,17919,-83676,0.0,-954.0,-512395,6192847,-367884,30921,840277,42385,0.0,,14564,-1388961,3113006,40410.0,,2013年01月01日至2013年09月30日,26428457,25162511,-1265946,356933,12082.0,-4053385,-5790909,-14139.0,2000000.0,14910931,6709790,1951940,356933,-39940.0,5750179,-10623998,-4873819,,18208131.0,1.0,-51953,0.0,,-6147842,-9824946,3541790,-26931,1333.0,-317578,-62907,18570,-1027,
2014-03-27,4,2013,-1741212.0,25000.0,36300.0,,,,0.0,-38477,-3608,,-13413,1785.0,,,-4159339,1890012,9475,-39393,,-20833324.0,0.0,-8141,-21588.0,539667,32117,3088986,2289.0,,641988,9234465,-1177782,129534,-215581,56085,0.0,,18990,-1909363,4187992,36097.0,,2013年01月01日至2013年12月31日,26428457,24310989,-2117468,479119,26251.0,-3861035,-6140396,-14139.0,2000000.0,17521290,3460558,1949673,479119,-36097.0,11163478,-16041781,-4878303,0.0,20637437.0,1.0,-58914,0.0,,-6619515,-16743186,3329141,-35365,,-70117,-55854,27937,-895,
2014-05-08,1,2014,-410398.0,,5000.0,-877236.0,,,2996.0,0,-32282,,-7400,0.0,8663.0,7410.0,-1091311,498581,-1308,-54305,,,,-500,,171658,5813,-2223294,570.0,,953695,2964553,-462297,-125348,-78424,14894,,-758017.0,4314,-513872,1072051,,,2014年01月01日至2014年03月31日,24310989,32797928,8486939,155990,,7363105,6814794,,1200000.0,20303139,8117720,1203566,155990,,277447,6791755,7069202,,,0.0,-20115,,,6658804,8227976,4377069,-9868,,-636725,-2971,9552,72,
2014-08-27,2,2014,-781433.0,,10000.0,-1580475.0,,,0.0,-317,-41336,0.0,56876,0.0,7306.0,107313.0,-2229649,1028080,-5404,-61598,,,,-2768,,480319,19735,-3762441,2441.0,0.0,1024057,17809492,-34103,-533047,-98396,28742,,-1642582.0,8822,-1047403,2244832,10980.0,,2014年01月01日至2014年06月30日,23037571,31812873,8775302,247181,,8676978,7489448,,200000.0,19275609,8368138,202124,247181,-51709.0,14082515,-6058815,8023700,,,0.0,-28086,,,7242267,-1867068,4169126,-20879,,-1567013,-53657,25705,-7044,
2014-11-06,3,2014,-1238646.0,0.0,11000.0,-6121219.0,,,0.0,-758,-38251,,56767,0.0,13314.0,208512.0,-3408977,1574486,2007,-83083,-43000.0,0.0,0.0,-5713,,623409,31599,-5520813,8684.0,0.0,976986,28856010,597355,-126853,-156733,42629,0.0,-2248081.0,12315,-1556982,3407499,55669.0,,2014年01月01日至2014年09月30日,23037571,33103116,10065545,375621,0.0,10012345,8141965,0.0,200000.0,16178169,12688162,207926,375621,-55918.0,24013947,-15008957,9004990,,0.0,1.0,-109888,0.0,,7766344,-3362833,4236785,-35806,,-4335469,38455,33842,-6971,
2015-03-26,4,2014,-1652396.0,0.0,29000.0,-6843505.0,,,0.0,-390,-12786,,39705,-5373.0,0.0,202671.0,-4613680,2145799,21592,-101892,-43000.0,0.0,0.0,-37759,0.0,840932,45469,-5505536,5436.0,,76702,38237507,111253,-106659,-200810,57670,0.0,-2746339.0,17119,-2127081,4622776,51537.0,,2014年度,23037571,33768670,10731099,511330,0.0,9919692,7421291,-14421.0,1000000.0,16275436,13385318,990625,511330,-51537.0,32921500,-24359143,8562357,0.0,0.0,0.0,-113001,0.0,,6909961,-5450740,4107916,-48831,,-9491273,123596,101904,-6898,-190198.0
2015-05-07,1,2015,,,0.0,-2700951.0,,,0.0,-5834,-54367,,-362,-13113.0,0.0,-386030.0,-1173546,564751,-23950,-15885,,,,-18930,,110422,7429,-597644,0.0,-2834.0,-458981,-1770389,85554,-126823,-102295,15354,,-463658.0,5049,-594011,1157399,,-559052.0,2015年01月01日至2015年03月31日,33768670,31893627,-1875043,184110,,-1740130,-2291354,,0.0,14090237,14645818,-8668,184110,,-2278351,361939,-1916412,,,0.0,-25635,,,-2475464,3827775,3157572,-12164,,670607,-63328,7881,-2939,
2015-08-27,2,2015,,,0.0,-3617208.0,,,,-14862,-30789,,-2008,-4143.0,0.0,-483141.0,-2375747,1144820,-23834,-21645,,,,-20750,,239816,9061,-559528,0.0,-2005.0,-478503,-6688057,-265584,-56921,-77327,30472,,-5034882.0,10383,-1180381,2341122,7909.0,-1105144.0,2015年01月01日至2015年06月30日,33768670,26604755,-7163915,348530,,-7045887,-8187394,,0.0,11883201,11609697,-16867,348530,-52827.0,-7520610,89830,-7430780,,,,-30460,,,-8535924,5234054,3111857,-27143,,4526431,-87192,15591,-14494,
