date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付設備款增加,預付費用（增加）減少
2013-05-08,1,2013,1327,101443.0,,-14286,-19629,916,-22350,0,-2079,202,,30213,1915,,5931,-3993,-61009,0.0,-174.0,4485,,699,,2830,,0,,-26435,-5496,,-29782,66797,-255274,3671,-5914,,,2013年01月01日至2013年03月31日,481290,821261,22400.0,339971,371101,,130486,136400,,,253061.0,,243260,371101,-70493,-265651,-336144,,489,,-193,,-234701,,821261,0,-405,,-8829
2013-08-07,2,2013,7253,188083.0,,-195619,22646,15839,-31189,-894,1366,-2035,,16272,3830,,12251,-14429,-172094,0.0,-316.0,1322,,-11620,,6834,,-8000,,2493,21338,,-167388,133143,-467239,7255,-12456,,,2013年01月01日至2013年06月30日,481290,629820,25759.0,148530,663708,,253236,402524,,,279408.0,,77111,663708,-4684,-444583,-449267,0.0,370,,-235,,-261184,,629820,-136832,-1173,,-18426
2013-11-07,3,2013,8732,271266.0,,-881458,-9110,23254,-41689,1953,-2473,-2102,,1535,5745,-6187.0,22671,-20836,-287967,0.0,-539.0,898,,-36031,,6541,,9000,,-10379,58544,,-322537,199911,-62312,16248,-17634,6225.0,,2013年01月01日至2013年09月30日,481290,865955,25760.0,384665,931393,,910681,1168083,-849383.0,1499300.0,39000.0,,-182643,931393,-63651,29075,-34576,0.0,465,,-241,,236690,,865955,-245993,-1373,,3197
2014-03-17,4,2013,16965,351387.0,,-895743,126907,24085,30823,5559,-174,-2769,,-82887,7662,-9239.0,31738,-35159,-495756,0.0,-555.0,5497,,-36752,,-887,,-11000,,18583,17155,-8443.0,-615480,267946,-400126,14306,-21252,9354.0,,2013年01月01日至2013年12月31日,481290,886326,25760.0,405036,1356290,,1263504,1521483,-849383.0,1499300.0,43500.0,,-207829,1356290,167696,-353890,-186194,0.0,470,,-427,,165193,,886326,-246081,-3324,,3093
2014-05-07,1,2014,4977,83089.0,,-14286,-162995,2435,-11127,-20,545,-1728,,-8301,1915,-2855.0,9314,7463,-271960,0.0,-262.0,1295,-1812.0,-1189,169.0,2900,,4400,,-12751,22697,-3710.0,-281455,69237,-40566,3580,-3824,2831.0,,2014年01月01日至2014年03月31日,886326,803361,0.0,-82965,359710,,198930,199983,0.0,0.0,2500.0,,-7903,359710,-190038,-52778,-242816,0.0,88,,-12,,-159727,,803361,-60,-3067,,-38496
2014-07-31,2,2014,10061,171971.0,,-28572,-109515,4172,-13077,315,4935,-7042,,74222,3830,-6378.0,18930,19985,-526676,0.0,-255.0,5212,-8042.0,-1186,169.0,2586,,5000,,26519,27365,-3710.0,-451056,144238,-186850,7115,-8011,6330.0,,2014年01月01日至2014年06月30日,886326,816568,0.0,-69758,648396,,390215,522366,0.0,0.0,-2500.0,,-28902,648396,-94848,-203153,-298001,0.0,2670,,-1329,,-126030,,816568,-130470,-4496,,-43699
2014-11-05,3,2014,12186,267075.0,,-42858,-164837,6433,-26237,179,4584,-8218,,118379,5745,-9817.0,29910,18454,-761247,0.0,-241.0,6261,-14192.0,-1319,195.0,-646,,164000,,15804,38940,-3710.0,-641530,224994,301164,10577,-13554,9803.0,,2014年01月01日至2014年09月30日,886326,748717,0.0,-137609,928933,,1064805,1318772,-879049.0,0.0,186500.0,,-579338,928933,-174396,297160,122764,0.0,2703,,-1332,,389839,,748717,-250216,-5188,,-40692
2015-03-25,4,2014,22342,370809.0,,-57143,-75563,-90604,78188,-11375,3449,-9624,,59083,7660,-12739.0,41337,17951,-902543,,-296.0,6847,-17108.0,-1480,203.0,-4379,,21000,,25844,23382,-620.0,-841990,308191,235259,14026,-19424,12729.0,,2014年度,886326,730177,0.0,-156149,1372721,,1632843,1889774,-879049.0,0.0,-39500.0,,-964953,1372721,31298,114946,146244,,3043,,-1513,,517053,,730177,-250236,-8495,,-27713
2015-04-29,1,2015,2734,,,-14286,-159572,2859,-47024,-4549,-311,-2010,,-49193,1915,-2692.0,9661,32315,-163099,,0.0,120,-200.0,-30,390.0,-17061,,2500,,10082,-9079,,-186515,87833,-183489,3437,-4109,2704.0,97199.0,2015年01月01日至2015年03月31日,730177,610427,,-119750,363601,-3713.0,48316,49727,,,-2000.0,,-13866,363601,-200538,-210535,-411073,,264,25153.0,-258,-4594.0,-313874,,610427,-6,-837,,2794
2015-08-06,2,2015,6392,,,-28572,-65256,87972,-89426,11735,-979,-2728,,-29079,3829,-6084.0,19301,-14458,-239350,,0.0,2589,-3089.0,-1959,668.0,-11531,,-4500,,-21906,13967,,-244249,180812,-559279,6867,-8194,6077.0,212108.0,2015年01月01日至2015年06月30日,730177,615192,,-114985,715553,-3713.0,177294,294647,0.0,,0.0,,-33572,715553,-181280,-451734,-633014,,318,25153.0,-303,-4589.0,-420906,,615192,-115236,5883,,8130
