date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工購買庫藏股,存入保證金增加,存入保證金減少,存貨（增加）減少,已實現銷貨損失（利益）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益
2013-05-03,1,2013,-138362.0,,82052,,-1457.0,-19583,-3058,13088,0.0,,,-449637.0,981,,-8620,1506,19441,-28650,0.0,0.0,,-535,476,,0.0,-1479.0,93220,-88,5385,-15667,-30584,22086,-116.0,24593,28052,,0,-131973,3751,-1570,4030,0.0,,2013年01月01日至2013年03月31日,2096167,2573078,-5854,,476911,327518,,-117894,-115115,,699524,-147274,550771,327518,,67139,-371410,-304271,,44112,0.0,8685.0,-9015,,-2698,-442633,2573078,-5239,-922,0.0,,0.0,-12977.0
2013-08-09,2,2013,-299544.0,,137212,76935.0,,142,-33554,27922,,,,-688100.0,-73290,,-32996,7965,36547,-1529,0.0,-15000.0,,-4974,1828,0.0,,-1490.0,203445,-179,78400,-5248,-10220,24548,-364.0,-41618,54837,,-204867,-245310,7704,-2137,18620,135720.0,,2013年01月01日至2013年06月30日,2096167,3156510,-23097,,1060343,643617,,-39576,-126611,,1092070,-87525,1104990,643617,0.0,176446,-647130,-470684,,44491,0.0,8684.0,-9664,,-2913,-770228,3156510,-65168,-4480,0.0,25000.0,,-53239.0
2013-11-04,3,2013,-437508.0,,122871,73342.0,,-649,-51065,6343,,,-354614.0,,-61100,,-114719,18519,22500,-45343,-24164.0,-15000.0,0.0,-8831,-522,0.0,,-1494.0,111800,297,391277,-24642,3759,15468,-447.0,-455795,83733,,-898595,-337568,12687,-9924,74158,135720.0,,2013年01月01日至2013年09月30日,2096167,3628398,-17356,,1532231,1042881,,400100,281493,,1855799,-387221,1565426,1042881,0.0,437994,-761874,-323880,,44573,0.0,8684.0,-10251,,-6743,-761388,3628398,-81347,-21105,0.0,25000.0,,-44480.0
2014-03-31,4,2013,-515915.0,,205475,109495.0,,-1381,305446,-83031,,-3790290.0,,,-105661,,-190793,50820,27245,-52546,-24164.0,-20761.0,0.0,-11091,-838,0.0,,-1451.0,70739,109,105439,-32016,-104434,14727,714.0,-3924795,109881,,-1949237,-450527,18150,-29684,104238,135721.0,,2013年01月01日至2013年12月31日,2096167,2264617,21375,,168450,1372206,,-496744,-611268,-442472.0,5915653,-1328365,4562744,1372206,0.0,585058,-2052617,-1467559,284884.0,56009,0.0,23709.0,-9350,,-8729,-1983474,2264617,-95751,-49464,0.0,25000.0,,-6549.0
2014-05-13,1,2014,-182002.0,,27292,,,-491,320080,-19475,,,-1723330.0,,-22456,,-42289,19108,14115,-8431,-7500.0,-2053.0,,-1992,-1194,,,0.0,-30005,0,-17889,-29985,-255370,4598,91.0,-1452297,27334,,49165,-125573,4194,-15546,26315,,,2014年01月01日至2014年03月31日,2264617,3740619,98344,41.0,1476002,412760,,281353,278769,,5508518,-2875687,2632831,412760,,299589,-251578,48011,,314323,,3021.0,-126351,-3879.0,-22984,-133991,3740619,-8185,-16531,,,3899.0,
2014-08-08,2,2014,-364896.0,,31520,0.0,,440,312624,-17110,,-1565746.0,,,-106207,,-110609,71175,-28487,-44900,-7500.0,-2053.0,-44431.0,-3604,5148,,,0.0,-183680,-140,689905,101526,-442149,-85335,182.0,-1154138,53278,,859415,-238192,8351,-63934,90455,274422.0,,2014年01月01日至2014年06月30日,2264617,4958830,39510,,2694213,794553,,1914880,1696995,,5475439,-3513481,1961958,794553,,1135757,131581,1267338,,401541,10445.0,8960.0,-121237,199357.0,-88596,902442,4958830,-83058,9041,,0.0,7375.0,
2014-11-06,3,2014,-489958.0,,-101749,0.0,,788,398455,-225404,,-1472049.0,,,-145951,,-138454,111120,14504,-49467,-7500.0,-3092.0,-44431.0,-4532,11239,,,0.0,-103421,-1,323394,144362,-510541,-95856,272.0,-1098434,80636,,-402456,-364125,12437,-107442,111996,274422.0,,2014年01月01日至2014年09月30日,2264617,4401415,35522,,2136798,1239223,,331583,177109,,8532901,-5643756,2889145,1239223,,764734,-1336890,-572156,,409826,10445.0,8960.0,-121867,199357.0,-105288,-1062114,4401415,-124502,-19480,,0.0,8303.0,
2015-03-25,4,2014,-675390.0,,-188607,0.0,,-968,318855,-40087,,-1516538.0,,,-167772,,-219116,148960,80287,-72556,-7500.0,-3092.0,-44431.0,-8749,966,,,0.0,-73110,-100,4289,91055,-313110,-33509,116.0,-1166215,107305,,-662311,-452137,16561,-141167,209682,274900.0,,2014年度,2264617,3007440,-7388,,742823,1769679,,395837,196902,-1486707.0,9545811,-6626190,1432914,1769679,,225708,-1123095,-897387,0.0,409877,36229.0,8960.0,-122183,199357.0,-123602,-1572777,3007440,-144480,-33651,,0.0,8995.0,0.0
2015-05-06,1,2015,,,17155,,,1709,178134,-202522,,0.0,389439.0,,-14628,,-60807,25151,-24340,-16138,0.0,0.0,-10000.0,-15735,-3535,,,,-270674,181,439406,-21389,-71228,-10219,,332990,26013,,177373,-86315,4987,-26640,63253,,-102417.0,2015年01月01日至2015年03月31日,3007440,3276288,12662,,268848,409548,-272.0,552225,544604,,1774422,-2366449,-592027,409548,,613034,-375561,237473,,52,,0.0,2445,0.0,-11470,135056,3276288,-28992,-10319,,,-1410.0,
2015-08-10,2,2015,,,17750,,-371687.0,376,-97263,35823,,0.0,836059.0,,-39934,,-92059,54695,-41103,-20735,0.0,0.0,-10000.0,-22369,-3408,,,,24228,0,86002,28065,-116593,-51443,,743237,50139,,-236814,-138182,11394,-43582,91788,0.0,-160206.0,2015年01月01日至2015年06月30日,3007440,3496118,11775,163.0,488678,874589,-546.0,-19744,32281,,2299125,-2492837,-193712,874589,,-337679,-344423,-682102,,216,0.0,0.0,2226,0.0,-22337,-842308,3496118,-100231,-34014,,,-598.0,
