date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融負債增加（減少）,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款增加,其他應收款減少,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得待出售非流動資產,取得投資性不動產,取得持有至到期日金融資產,取得按攤銷後成本衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債務工具投資,取得透過其他綜合損益按公允價值衡量之金融資產,取得避險之衍生金融資產,呆帳費用提列（轉列收入）數,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,已實現銷貨損失（利益）,應付公司債匯率影響數,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付短期票券增加,應付票據增加（減少）,應付票據－關係人增加（減少）,應付租賃款增加,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收款項增加,應收款項減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,持有至到期日金融資產到期還本,按攤銷後成本衡量之金融資產到期還本,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,概括承受他公司之淨現金收取數,概括承受他公司之賠付款,無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,生物資產（增加）減少,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,處分按攤銷後成本衡量之金融資產,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,處分無形資產損失（利益）,處分無活絡市場之債務工具投資,處分透過其他綜合損益按公允價值衡量之金融資產,處分避險之衍生金融資產,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,逾期未領股利及董監酬勞轉列其他收入,遞延借項（增加）減少,遞延貸項增加（減少）,避險之衍生金融負債增加（減少）,避險之衍生金融資產（增加）減少,金融資產減損損失,金融資產減損迴轉利益,金融資產重分類淨損失（利益）,長期應收租賃款增加,長期應收租賃款減少,除列按攤銷後成本衡量金融資產淨損失（利益）,除列避險之衍生金融負債,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付投資款減少,預付款項（增加）減少,預付設備款增加,預付設備款減少,預付費用（增加）減少,預收款項增加（減少）,預收款項增加－處分資產,預收款項減少－處分資產
2013-05-07,1,2013,,-3175.0,,,0.0,,,-453,,,-250000.0,,,400553,,0.0,,,-1209,-3003,,,0.0,,,,0.0,,,,,,,,-16.0,212,-11111.0,0,,,,,,,,,-20,,,,0.0,,,,-149500.0,,-83754,,,,10427,-3307,,,-6264,,,,0.0,,,,5497,,,,-138910,689,,,,,,,210,-3603,,16.0,,,2013年01月01日至2013年03月31日,621907,540542,,,-81365,906,,,,318656,322243,,,-55000.0,-250000,906,,,38716,285796,324512,55000,,10610.0,,,,-4270.0,,,,,,,,,,,,,,,,321337,,,540542,0.0,,,,,,,,,,,,,,,,,,,-33497.0,,,,39522,,
2013-08-12,2,2013,,-2342.0,,,0.0,,,23568,,-188160.0,0.0,,,394134,,0.0,-38459.0,,15328,-236213,,,,,,,-50860.0,,,,,,,,-368.0,509,-4418.0,0,,,,,,,,,-20,,,,0.0,,0.0,,-87392.0,,-292226,0.0,,,18548,-7860,,,-2742,,,,0.0,,,,3449,,,,-76802,1378,,,,,,,409,-40,,368.0,,,2013年01月01日至2013年06月30日,621907,270089,,,-351818,-11088,,,,-320098,-320426,,0.0,-55000.0,49500,-11088,,,-76896,-230100,-306996,104500,,10610.0,,,,-4270.0,0.0,,,,,0.0,,,,,,,,,,-309338,,,270089,0.0,,,,,,,,,,,,,,,,,,,-9925.0,,,,64422,,
2013-11-08,3,2013,,14590.0,,,0.0,,-218660.0,3660,480810.0,-26492.0,0.0,,,393746,,0.0,-249055.0,,16328,-52740,,,,,,,-174140.0,,,,,,,,-368.0,16585,6869.0,0,,,,,,,,,-20,,,,0.0,,0.0,,-306762.0,0.0,-1619670,0.0,,,236422,32943,,,9278,,,,0.0,,,,-46943,,,,-296172,2066,,,,,,,577,-13299,,368.0,,,2013年01月01日至2013年09月30日,621907,153447,,,-468460,-7394,,,,-1446807,-1433837,,0.0,-55000.0,1267650,-7394,,,276137,-1717170,-1441033,1060500,,10610.0,,,,0.0,0.0,,,,,-4270.0,,,,,,,,,,-1426443,,,153447,-39.0,,,,,,,,,,,,,,,,0.0,,,31632.0,,,,3998,,
2014-03-24,4,2013,,5848.0,,,0.0,,-351820.0,46717,,24337.0,133885.0,,,-97,,-162699.0,,,11564,15921,,,,,,,-181843.0,,,,,,,,-548.0,7147,6869.0,-693,,,,,,,,,-152,,,,0.0,,0.0,,-307051.0,,-1169301,-250000.0,,,136382,28804,,,14260,,,,0.0,,,,10285,,,,-315772,2790,,,,,,,729,-26306,,548.0,,,2013年01月01日至2013年12月31日,621907,264674,,,-357233,24108,,,,-1260395,-1234608,,495000.0,,1212065,24108,,,62250,-1326814,-1264564,935000,,10610.0,,,,0.0,394213.0,,,,,-4270.0,,,,,,,,,,-1258716,,,264674,-29.0,,,,,,,,,,,,,,,,0.0,,,-1779.0,,,,-199814,,
2014-05-12,1,2014,,3452.0,,,,,-199261.0,-15041,15091.0,,,,,-2599,,31940.0,,,214,-9925,,,,,,,-2235.0,,,,,,,,0.0,2545,0.0,-231,,,,,,,,,0,,,,,,,,-122.0,,-142833,,,,-26514,1061,,,-22373,,,,,,,,1575,,,,30963,732,,,,,,,175,-6818,,0.0,,,2014年01月01日至2014年03月31日,264674,235949,,,-28725,-11412,,,,-237518,-230700,,100000.0,0.0,177830,-11412,,,-69558,-153182,-222740,262000,,0.0,,,,0.0,,,,,,,,,,,,,,,,-219288,,,235949,,,,,,,,,,,,,,,,,,,,2835.0,-624.0,,,-6905,,
2014-08-08,2,2014,,3822.0,,,,,-200049.0,-13458,,0.0,86386.0,,,-602,,30792.0,0.0,,-12928,-15300,,,0.0,,,,-36349.0,,,,,,,,-171.0,2164,0.0,-721,,,,,,,,,-319,,,,,,,,-1123184.0,1197173.0,-366952,,,,-30363,16711,,,-15857,41.0,,,,,,,-9362,,,,102082,1475,,,,,,,354,-409,,171.0,,,2014年01月01日至2014年06月30日,264674,201291,,,-63383,-25136,,,,-524202,-509818,,168400.0,0.0,358737,-25136,,,-59131,-429373,-488504,304000,,0.0,,,,,,,,,,0.0,,,,,,,,,,-484682,,,201291,-14146.0,,,,,,,,,,,,,,,,,,,-808.0,-1659.0,,,-3277,,
2014-11-07,3,2014,,4681.0,,,,,-254000.0,-16698,,0.0,84710.0,,,0,,30808.0,-7032.0,,-11541,-26263,,,,,,,-8545.0,,,,,,,,-171.0,4269,0.0,-5193,,,,,,,,,-1523,,,,,,,,-1805139.0,1794781.0,-552184,,,,-19193,-16939,,,-16065,,,,,,,,1612,,,,102132,2243,,,,,,,610,-2562,,171.0,,,2014年01月01日至2014年09月30日,264674,165646,,,-99028,-40185,,,,-719730,-703184,,233200.0,0.0,518570,-40185,,,-75704,-591976,-667680,454660,88398.0,0.0,,,,-2270.0,,,,,,0.0,,,,,,,,,,-662999,,,165646,-14155.0,,,,,,,,,,,,,,,,,,,436.0,,,,4732,,
2015-03-24,4,2014,0.0,7268.0,0.0,,0.0,,-351820.0,33976,,119506.0,,,,31985,,0.0,0.0,,-4281,-35396,0.0,0.0,,0.0,,2623.0,0.0,,,,,0.0,,,-298.0,6058,0.0,-5279,,,,,-4538.0,,,,-1778,,,,0.0,,48.0,,25775.0,,-749552,0.0,0.0,0.0,-40618,-24242,0.0,,-14432,0.0,,0.0,0.0,0.0,,,1552,0.0,0.0,0.0,105201,2950,0.0,0.0,,,,0.0,828,-59516,,298.0,,,2014年度,264674,111428,0.0,0.0,-153246,-55204,,,,-785606,-704890,0.0,218641.0,,527159,-55204,0.0,0.0,90737,-747691,-656954,660290,88398.0,0.0,,0.0,,-2270.0,0.0,,0.0,,0.0,0.0,,,,0.0,,0.0,,,,-649686,0.0,0.0,111428,-21498.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,3720.0,,,0.0,20828,,
2015-05-12,1,2015,,,,0.0,,0.0,0.0,24802,,-74385.0,,0.0,0.0,-4911,0.0,0.0,829.0,0.0,2340,12073,,,,,0.0,179220.0,,,,0.0,0.0,,0.0,0.0,,3379,,-120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-497,0.0,0.0,0.0,,0.0,,-60.0,-17.0,0.0,29922,0.0,,,11393,26426,,,8656,,106.0,,-2429.0,,0.0,0.0,-521,,,,178586,712,,,0.0,0.0,0.0,,336,-16623,,0.0,0.0,4427.0,2015年01月01日至2015年03月31日,111428,318430,,,207002,15309,0.0,0.0,0.0,56857,73577,,0.0,-99557.0,-28441,15309,,,19100,34741,53841,71070,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,58268,,,318430,,0.0,,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,-222.0,0.0,0.0,,19868,0.0,0.0
2015-08-10,2,2015,,,,,,,-436000.0,36724,,-269118.0,0.0,,,49,,0.0,110650.0,,-990,27239,,,,,,179220.0,,,,,,,,,-154.0,4646,,-930,,,,,,,,,-592,,,,,,,-60.0,,177528.0,-74953,,,,60115,71047,,,2447,0.0,95.0,,,,,,-78,,,,355226,1431,,,,,,,598,-33464,,154.0,,6521.0,2015年01月01日至2015年06月30日,111428,440205,,,328777,44704,,,,-52346,-18492,,0.0,-404831.0,25897,44704,,,-133512,63795,-69717,866693,,,,,,,,,,,,,,,,,,,,,,-63196,,,440205,-544.0,,,,,,,,,,,,,,,,,,,888.0,0.0,,,-33737,,
