date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融負債增加,其他金融負債增加（減少）,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,除列按攤銷後成本衡量金融資產淨損失（利益）,非控制權益變動,預付投資款增加,預付款項（增加）減少,預收款項增加（減少）
2013-05-09,1,2013,81890.0,,-186254,-15152,-1110,11110,80012,536.0,-76518.0,0.0,13357.0,,,,4655,-5384,24876,129455,-83118,-20000,,,,-129,,,3320.0,0.0,-651.0,0.0,97548,0.0,,-120218.0,70204.0,,-35941.0,-94240.0,-58118.0,-64136.0,-1822.0,-4031.0,137895,66538,-77583.0,3436,4546,-24825,5933,3812,,2013年01月01日至2013年03月31日,2281772,2368330,86558,40848,,-446243,-422069,,,145215.0,0.0,265451,40848,-3812,-334798,-210009,-544807,33573,1605,4888,102169,,,,-276.0,-4003,130429.0,,,,-462917,,2368330,-5282,-8686,,,-218,0.0,,
2013-08-06,2,2013,193799.0,0.0,32950,-84312,-6454,67901,-14330,,,,,15695.0,-8832.0,26621.0,3519,-10628,50325,17866,-306840,-93414,-77583.0,,,-185,,,9012.0,0.0,5232.0,,208656,,,-90768.0,61060.0,,,-85820.0,,,,,-308371,138362,,-2384,6031,-50547,11716,7964,,2013年01月01日至2013年06月30日,2281772,2294957,13185,-140925,,99889,177397,-116037.0,,-748236.0,,203801,-140925,-36664,73708,50815,124523,1015448,14752,40696,107461,-365.0,,,,-7844,,,,,318322,,2294957,-38677,53447,0.0,,-33141,,,72457.0
2013-11-05,3,2013,172859.0,0.0,-109597,-52060,-5685,25928,-100873,,,,13051.0,,-9262.0,28303.0,5471,-16030,79881,20876,-332083,-125768,-77583.0,-480.0,,-1552,,,8952.0,0.0,5130.0,,368419,,0.0,,463204.0,,-35770.0,,,-237375.0,,,-320800,200435,,-8056,12166,-80121,15994,86926,,2013年01月01日至2013年09月30日,2281772,2615538,333766,-65993,,100644,124203,-116037.0,,0.0,-349976.0,533046,-65993,-86926,10923,6414,17337,546844,4855,40101,172265,-704.0,,,,-43094,,0.0,,,190196,,2615538,-46358,29716,0.0,,-32992,,,139624.0
2014-03-28,4,2013,71857.0,,-99292,-28931,750,153453,2595,,,,-415.0,,,-3818.0,-243287,-22863,113825,25341,-525039,-151488,-31525.0,-61.0,-3200.0,-6945,,3517.0,,-9955.0,,26889.0,261569,0.0,0.0,,119939.0,,162158.0,,,498072.0,,,-275997,277475,,-8182,21156,-106808,22863,86124,,2013年01月01日至2013年12月31日,2281772,2894481,612709,150175,,100194,144373,-116037.0,,70846.0,,763171,150175,-86525,287570,-365229,-77659,731585,3205,42464,368953,-586.0,,,,-121394,,0.0,,,-5802,,2894481,-46358,-14808,153529.0,,-32792,,-1094716.0,71251.0
2014-05-08,1,2014,96843.0,,-226433,-34089,-345,116350,129829,,,,155.0,,-2905.0,-29942.0,21114,-7560,33723,46797,-74923,-60600,,,,-451,,,8351.0,,-26616.0,,-155710,,,,0.0,-85735.0,-33833.0,,,304996.0,,-3750.0,-109099,73555,,-8413,4982,-33723,15994,0,,2014年01月01日至2014年03月31日,2894481,3076808,182327,-52892,,84254,108464,,,0.0,-48218.0,160375,-52892,-9381,-150571,215084,64513,285822,696,41101,12039,-330.0,,,,-8604,0.0,,,,161356,,3076808,-6481,-2243,,,0,,,
2014-08-05,2,2014,45992.0,,44941,-38794,-25891,-2795,164103,,,,-35.0,,-5811.0,30304.0,12281,-13690,69260,52199,-128058,-126197,-17294.0,,,-519,,,17861.0,,-16039.0,0.0,-296171,,,,0.0,-178878.0,-120044.0,,,192334.0,,,-196464,142286,,-11114,8329,-69623,13883,12153,,2014年01月01日至2014年06月30日,2894481,3037865,143384,2856,,36326,100370,-116037.0,,136226.0,0.0,251323,2856,-14358,-254,51776,51522,418103,4797,51920,48664,-1408.0,,,,-60044,,,,,97514,,3037865,-8304,-85550,,,-25917,,,83455.0
2014-11-12,3,2014,75403.0,,-112436,-43718,-54556,30115,5490,,,,-26.0,,-8717.0,-60633.0,4721,-24629,103099,256,-145195,-184859,-17294.0,-318.0,,-1874,,,13660.0,,0.0,-16861.0,-112664,,,,0.0,-49735.0,-171828.0,,,62945.0,,,-169003,221993,,-15506,12804,-102046,24569,81352,,2014年01月01日至2014年09月30日,2894481,3250781,356300,19476,,-327778,-235596,-116037.0,500000.0,201126.0,0.0,852825,19476,-81352,-181895,-148580,-330475,323801,5432,52606,112564,-148.0,,,,-91578,,,,,-255072,,3250781,-14705,-54001,,,-19964,,,80971.0
2015-03-27,4,2014,68210.0,,-54364,-14091,-912,22470,-6751,,,,19665.0,,,218985.0,23861,-39380,140864,43643,-330010,-597959,-85969.0,-423.0,-79683.0,-4333,,84.0,12136.0,0.0,,1539.0,-383813,0.0,,,0.0,-69894.0,-92440.0,,,18038.0,,,-402858,302336,,-11815,10568,-145805,39806,85114,,2014年度,2894481,3713711,819230,67358,,-326340,-205636,-116036.0,500000.0,508353.0,0.0,1504785,67358,-85114,-72898,-268306,-341204,652883,19937,67044,336686,-2736.0,,186111.0,-124638.0,-104692,,0.0,,,-272994,,3713711,-14705,-48033,6905.0,,-2322,,-100674.0,51436.0
2015-05-07,1,2015,,,-21727,-28809,-2038,12854,-6409,,,,681.0,,-18563.0,-6144.0,-10927,-5986,37623,10902,-27440,-65830,-33915.0,-105.0,-6276.0,-710,,2257.0,18143.0,,-34304.0,,292701,,,,,0.0,-42437.0,,,81710.0,,,-121087,74797,,4516,2669,-33615,5871,431,47681.0,2015年01月01日至2015年03月31日,3713711,3381389,-332322,-136032,0.0,257088,289122,,,,-231852.0,-479225,-136032,-431,18308,359165,377473,-266197,5873,0,43227,-225.0,,,,-16396,,,,,425154,,3381389,-4290,-40216,,,0,,26116.0,88181.0
2015-08-11,2,2015,,,10803,81987,-3878,-10284,-97424,0.0,,,-439.0,,-9703.0,-14578.0,-30664,-18036,80051,-8177,-112472,-167780,-75745.0,-11618.0,,-811,,2161.0,29316.0,,-32952.0,,-110364,,,,,0.0,38305.0,,,198977.0,,,-165444,148778,,-861,4693,-78492,17988,15956,136646.0,2015年01月01日至2015年06月30日,3713711,3169269,-544442,-281487,,189546,276923,0.0,,-166377.0,,-560367,-281487,-9024,130533,291231,421764,-377858,6191,83629,134036,-282.0,,,,-37538,,,,,558410,,3169269,-26873,-2632,,,-45009,,232633.0,101412.0
2015-11-10,3,2015,,-1587896.0,-31803,120836,1405,24,236255,,,,2431.0,,-9076.0,109298.0,-9557,-27721,127004,8154,-198766,-259477,-74891.0,-11724.0,-6276.0,-811,,2457.0,20317.0,,-29855.0,,124656,,,,,-88000.0,14339.0,,,-260884.0,,,-231305,220682,,-15659,7060,-122984,27434,111494,323320.0,2015年01月01日至2015年09月30日,3579805,3317050,-262755,-535939,,73822,200789,0.0,0.0,307405.0,,-113426,-535939,-114956,83247,330161,413408,1280026,9505,98905,129186,-265.0,,,,-21787,,,,,736728,,3317050,-31417,150132,,5930.0,-47709,,,109763.0
