date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款增加,其他應收款減少,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,存出保證金增加,存出保證金減少,存貨（增加）減少,已實現銷貨損失（利益）,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,預付投資款增加,預付投資款減少,預付設備款增加,預付設備款減少
2013-05-09,1,2013,11000.0,,-24155,-44083,-176,,,7640,137321,-39684,-6172,,,,,-776,11009,15872,-12709,0.0,,-627,0.0,,-258,,-106931,19983.0,,-36451,218536,2769,178,2275,-3911.0,-10675,20015,0,130,931,-11917,776,,2013年01月01日至2013年03月31日,294024,299532,,5508,13316,,144228,155369,,-139745.0,,-143917,13316,,-54231,185284,131053,0,2661,,0.0,295,0.0,,,142053,299532,0.0,-20604,,,,,,
2013-08-09,2,2013,-79147.0,,-46476,-38422,-119,,,-9264,17699,-9539,-7690,,,,,-1806,20102,21668,-94755,0.0,,-1924,0.0,,16517,,-100410,29897.0,,-53523,170303,-316,87,3171,-7820.0,314921,40127,-10,-47,1958,-23666,1806,,2013年01月01日至2013年06月30日,294024,221617,,-72407,119637,,-916,21154,,-451501.0,,-408080,119637,,-182595,163259,-19336,60000,407441,,4159.0,-122048,-400.0,,,-98483,221617,-210.0,-17033,,,,,,
2013-11-07,3,2013,-22202.0,0.0,-72727,-17583,89,,,-5368,-47260,35522,-9007,,,,,-2746,29826,15029,-115817,0.0,,-2902,,0.0,-32248,,70252,29899.0,,-27675,-48230,-3591,-50,11297,-11760.0,101197,60537,-10,-255,3003,-32943,2746,,2013年01月01日至2013年09月30日,294024,266261,,-27763,139976,,14264,32152,,-175425.0,,-158253,139976,-12619.0,-33937,-51685,-85622,60000,407476,,36098.0,-121166,39107.0,,,-107824,266261,-310.0,-17889,,,-224425.0,,,
2014-03-25,4,2013,-70648.0,0.0,-93691,-1264,126,-281954.0,,-3700,-25482,10785,198,-1733.0,,,,-3874,40208,40271,-50340,0.0,,-3225,,0.0,-26414,,11480,29901.0,,2107,-2249,-6129,45,-1321,-18522.0,506085,80162,-17,-500,4052,-43828,3874,,2013年01月01日至2013年12月31日,294024,753978,27.0,459954,216278,,24398,85273,,0.0,-117010.0,-110800,216278,-12630.0,-31555,-28802,-60357,70000,407786,,404185.0,-122419,-33705.0,,,-131005,753978,-33551.0,-28969,,7000.0,0.0,88133.0,-57534.0,
2014-05-08,1,2014,15982.0,,-21239,-43238,-288,,281954.0,12296,3205,11640,-7979,-39.0,,,-72649.0,-855,10263,5654,-258700,,,-493,,,-47610,,-119619,3.0,,-41037,156873,-2257,112,2459,-4046.0,-46802,19889,-223623,-40,986,-11073,855,,2014年01月01日至2014年03月31日,753978,497334,0.0,-256644,11705,,-285743,-275425,,,-208517.0,70247,11705,,-205023,-98089,-303112,300000,133,,6473.0,915,-4101.0,,,-287130,497334,-100.0,-11075,,,,,-3481.0,
2014-08-07,2,2014,38013.0,,-62771,-35155,244,0.0,203104.0,18643,394,-20727,-6883,,14996.0,-72161.0,,-1999,21284,-2884,-388088,,-667.0,-1106,,,-9136,0.0,-65599,3.0,,-34691,147753,-25690,159,7908,-8057.0,-178098,40076,-13478,-313,1726,-24433,1999,,2014年01月01日至2014年06月30日,753978,716383,,-37595,21073,,-13730,14771,,,-130115.0,157117,21073,-9776.0,-142864,98549,-44315,350000,133,,75548.0,1024,-26091.0,,,-6302,716383,-6067.0,-666,12748.0,,,,-9857.0,
2014-11-06,3,2014,63549.0,1058.0,-107303,-23704,-304,,203104.0,84130,-11816,29535,-7172,-83922.0,,-72061.0,,-3085,33099,3785,-591157,,,-3439,,,-13604,,61591,6.0,,-2202,-133122,-19271,354,10358,-11965.0,-477877,60242,-43479,-427,2512,-34480,3085,,2014年01月01日至2014年09月30日,753978,456808,,-297170,88390,,41571,71268,-90737.0,-46615.0,,135351,88390,-10529.0,11600,-92271,-80671,380000,137,,76316.0,1113,-26860.0,-667.0,,-17122,456808,-8831.0,-5264,12748.0,,0.0,,-7246.0,
2015-03-24,4,2014,67740.0,1057.0,-152647,-3573,-276,0.0,281954.0,-6002,4173,18586,-12985,-88555.0,,-72549.0,,-4430,44868,32228,-778695,,-667.0,-5076,,,-10900,,83595,11.0,,50352,-179756,-12195,71,2069,-18771.0,-579718,80859,-43826,-608,3356,-45339,4430,,2014年度,753978,461575,0.0,-292403,173534,,79842,111836,-90737.0,38618.0,0.0,175245,173534,-10529.0,115500,-244938,-129438,380000,280,5312.0,76317.0,1704,-26522.0,,,-61698,461575,-1614.0,-33706,12748.0,0.0,,0.0,0.0,904.0
2015-05-11,1,2015,,,-45636,-30616,3,,8505.0,0,7605,25164,-9432,0.0,3079.0,0.0,,-1250,11998,-14875,-99045,,,-20343,,,16517,,-235483,0.0,-29912.0,-56193,287382,15530,-2682,1837,,-109558,21179,31545,-125,1796,-10446,1250,30658.0,2015年01月01日至2015年03月31日,461575,515366,,53791,11920,-4137.0,80422,89618,,168350.0,0.0,97802,11920,,-318821,365861,47040,5000,15,,0.0,366,0.0,,-4300.0,77698,515366,0.0,994,,,,,-1769.0,
2015-08-11,2,2015,,1173.0,-91424,-26324,-9,,9440.0,499,-10521,-367,-18337,,2538.0,0.0,,-2362,23076,-11034,-148133,,0.0,-21000,,,8652,,-263795,-29912.0,,-85414,366373,15365,-3566,3361,,-159621,41934,14,-217,4177,-23422,2362,71769.0,2015年01月01日至2015年06月30日,461575,522871,,61296,24416,-20335.0,41745,61781,,,-24558.0,190206,24416,-8128.0,-406398,371994,-34404,336100,116,,0.0,2376,,,-4300.0,37365,522871,-7104.0,15213,0.0,,,,-4555.0,
