date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他金融負債增加（減少）,其他金融資產增加,其他非流動資產增加,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得無形資產,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應收帳款（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司股權（未喪失控制力）,處分投資損失（利益）,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加
2013-04-26,1,2013,460343.0,-1853465.0,-47695,-13033,4623,-1644,,,,,125655.0,,-20.0,-3202,19452,28164,-15844,0,,-510,,,,-2,,468441,-1086726,99941.0,,157662,-62922,293568,1847,-15205,3202,,2013年01月01日至2013年03月31日,559954,869636,136666,309682,468313,,267835,288693,,,580129.0,,76605,468313,,-1251549,611586,-639963,1250000.0,331.0,40072.0,20.0,,-72.0,0.0,-179620,-121751.0,869636,-5653,-199251,,85660,,160,-90151
2013-08-06,2,2013,1010159.0,-3152667.0,1861,-5069,-2272,-186329,,,,,304746.0,,-20.0,-7881,33747,61434,-24398,-8000,,-650,0.0,,,261,,719183,-775240,499686.0,,17735,-123591,575858,3791,-29102,7881,,2013年01月01日至2013年06月30日,559954,1520638,169411,960684,1451975,,1861286,1953329,,,564536.0,,-838445,1451975,,-1056387,547582,-508805,1250000.0,337.0,40072.0,20.0,,-72.0,0.0,501354,-280736.0,1520638,-62941,-199998,0.0,130537,,2062,-139074
2013-11-05,3,2013,1328818.0,-3545733.0,8704,-23514,27120,4927,-417495.0,-440719.0,-443218.0,,444154.0,,60.0,-17333,45654,-29051,-67330,-8000,,-1311,0.0,,,-3017,,1174808,-1560332,269824.0,,828514,-693379,841063,5759,-44042,17333,,2013年01月01日至2013年09月30日,559954,1573195,50833,1013241,2138617,,3340786,3468127,0.0,-442053.0,1080342.0,,-1605115,2138617,0.0,-1965227,1965919,692,1450000.0,323.0,44075.0,20.0,0.0,-75.0,0.0,1329510,,1573195,-83299,-252514,0.0,211257,,-18816,-232294
2014-02-26,4,2013,1753525.0,-3745734.0,79176,-8693,5845,1465,-417495.0,,-238438.0,,639912.0,,80.0,-26279,58252,73913,-424442,-8000,,-1846,0.0,97.0,,-15,,1172024,-1332523,-149900.0,,1369274,-588356,1093908,7839,-58930,26279,,2013年01月01日至2013年12月31日,559954,1732641,-128264,1172687,2712218,,4973447,5120638,0.0,-442053.0,18768.0,,-3286317,2712218,0.0,-1860955,2515850,654895,1450000.0,323.0,44075.0,20.0,0.0,-75.0,0.0,2408420,-613453.0,1732641,-88261,-159651,0.0,267863,,-18220,13628
2014-04-24,1,2014,548881.0,0.0,-121866,-24073,-2363,3353,,,-8032.0,,201512.0,,20.0,-14103,14040,-10583,-48352,-250000,,-892,,-37.0,,3,,-123713,419208,0.0,,-11929,-330244,254999,1828,-14766,14103,,2014年01月01日至2014年03月31日,1732641,3694915,79737,1962274,568484,,1016448,1045925,,,286690.0,,1286653,568484,,89749,-161189,-71440,1000000.0,0.0,0.0,0.0,,0.0,,477441,-205230.0,3694915,-14711,-45429,,56297,,-4827,-37094
2014-08-13,2,2014,997303.0,0.0,-62219,-14745,2008,3189,,,-14214.0,,383848.0,,81.0,-36699,29410,-51488,-71944,-250000,,-12892,,,-37.0,7,,-273250,489277,0.0,,-279252,-163380,509870,3732,-29483,36699,,2014年01月01日至2014年06月30日,1732641,4039471,38599,2306830,1289672,,1460613,1699616,,,61122.0,,1061085,1289672,,-11878,-575481,-587359,1000000.0,13.0,254151.0,-13.0,,-151.0,,409944,-440944.0,4039471,-209520,-65312,,134019,,-11423,-105281
2014-11-12,3,2014,1461970.0,0.0,-32928,-16946,21146,1913,-196468.0,,79609.0,,560243.0,,121.0,-60767,42229,26506,-162115,-250000,,-14538,,,-37.0,-52101,,-313505,-103837,0.0,,-72190,-330843,766360,6406,-43772,60767,,2014年01月01日至2014年09月30日,1732641,3583074,-182218,1850433,1918979,,1972917,2281240,,-49117.0,-572525.0,,181853,1918979,,-697308,-402401,-1099709,1000000.0,13.0,254151.0,-13.0,,-151.0,,362261,-581689.0,3583074,-264551,-4228,,334109,,-1673,-246750
2015-03-10,4,2014,1535081.0,0.0,82215,-8187,32011,-1828,-196468.0,,173549.0,,764385.0,,162.0,-76906,51548,136666,-310607,0,,-17748,,-32.0,,-53822,,-502968,-133786,300000.0,,389048,-499323,1030067,9101,-51979,76906,,2014年度,1732641,3923598,-520360,2190957,2672853,2953258.0,2953258,3306223,,-49117.0,-454027.0,,-399644,2672853,,-782235,-119476,-901711,0.0,569.0,4152.0,-140.0,,-151.0,,633370,-762675.0,3923598,-300986,-49948,,327485,,4459,-372484
2015-04-28,1,2015,,,-225952,-47,-26011,4129,,,-391235.0,-276090.0,94390.0,,42.0,-14606,6249,-40058,-76792,0,,-3240,,0.0,,53415,,65330,231173,-300000.0,,362855,-738309,271508,3077,-5064,14606,233853.0,2015年01月01日至2015年03月31日,3923598,3490869,-17389,-432729,496887,,1098587,1133184,,,0.0,-452949.0,-752949,496887,,-30640,433084,402444,0.0,,,,,,,636297,-9850.0,3490869,-29533,-2740,,0,-106636.0,817,-59015
2015-08-11,2,2015,,,-118717,-7860,-26925,4358,,,-732849.0,,193385.0,,-301195.0,-30736,10625,-90258,-251545,0,,-9078,,,5.0,51182,,539341,-164324,-300000.0,,871592,-1333348,544163,6735,-10665,30736,434192.0,2015年01月01日至2015年06月30日,3923598,3552222,20323,-371376,842123,,1804465,2150397,,,0.0,-372994.0,-752235,842123,,-534623,1408705,874082,0.0,0.0,15523.0,9.0,,-278.0,,1308274,-224657.0,3552222,-335267,-8838,-79246.0,0,-301196.0,1274,-136122
