date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他籌資活動,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益
2013-05-10,1,2013,221760.0,,-1488981.0,-38500,-57064,,-72452,52170,10464,,,-1345.0,4502.0,,,-5111,5151,59304,-428577,,-35276.0,,-3772,,2575.0,826299,-1779142,6062.0,1598791,0.0,-4406.0,-457961,168436,702073,5080,6233,-6166,5111,,,2013年01月01日至2013年03月31日,3474898,3321302,-153596,105359,1607364,1609914,,,163948.0,,-1362303,105359,843,,-1896538,3179333,1282795,,5162,,,,,-720,,,,0,,1504555,6065.0,3321302,-1495,35783,,,
2013-08-08,2,2013,428761.0,8330.0,-1513281.0,-77000,-63065,,-7073,138733,-4406,,11314.0,,,32917.0,,-12330,9644,75031,-530899,,,,-4477,,2575.0,1354067,-2012238,638.0,1831046,,,-511510,372025,1354560,7710,8936,-11008,12330,,,2013年01月01日至2013年06月30日,3474898,4661853,1186955,229647,3084631,3250670,,,115195.0,,-1461197,229647,1687,,-2086144,4678406,2592262,,5724,,,,-32588.0,-57,0.0,,,2163,9483.0,3021023,6065.0,4661853,-167361,32918,,0.0,
2013-11-08,3,2013,547513.0,8330.0,-1513281.0,-115500,-216962,,68512,43545,-4406,,10172.0,,,-1372.0,,-18782,13958,46317,-565995,,,,-5970,,3534.0,1173324,-2076293,464.0,1498709,,,-561027,562401,955280,12783,10883,-14682,18782,41770.0,,2013年01月01日至2013年09月30日,3366323,2524785,-841538,402882,2145424,2392568,,-987772.0,130595.0,,-2472252,402882,1774,-41770.0,-2228685,3670858,1442173,,11089,,,,-16616.0,1859,0.0,,,2169,9507.0,1989686,6065.0,2524785,-293014,-3827,,0.0,
2014-03-17,4,2013,946579.0,8330.0,-1513281.0,-385000,-51976,,112136,-2606,-8500,,,-1195.0,,40354.0,,-28067,18521,74348,-727307,0.0,,-21000.0,-7085,,24789.0,1717666,-2209482,290.0,1788280,,,-662050,964556,955234,18399,12636,-18429,28067,54498.0,,2013年01月01日至2013年12月31日,3366323,4126766,760443,513122,3527290,3760743,,-987772.0,383314.0,,-2179145,513122,1774,-54498.0,-2157532,4458574,2301042,300000.0,16990,,,,18176.0,-384,0.0,,,2166,9492.0,3247621,6065.0,4126766,-297589,-26945,,32356.0,
2014-05-05,1,2014,497720.0,,0.0,0,-163799,,-15596,138377,6,,-252.0,,,-26523.0,,-10112,4477,92585,-224811,,-2431.0,0.0,-4800,,8895.0,-432356,-27053,-174.0,466196,,,-186404,288992,0,3834,1901,-6315,10112,0.0,,2014年01月01日至2014年03月31日,4126766,3968740,-158026,-221433,239770,241888,,0.0,,-357620.0,-303977,-221433,0,0.0,-206616,172217,-34399,45000.0,18265,48444.0,5452.0,,,3102,0.0,,,-5255,,463321,0.0,3968740,-5915,210781,,0.0,
2014-08-08,2,2014,684208.0,7497.0,0.0,-5000,-9758,,-20446,106339,-14,220000.0,697.0,,,-85367.0,,-19549,8660,468,-328749,,-47061.0,,-9441,,9735.0,-24888,511278,-290.0,-462498,,,-382978,465395,205678,4506,3946,-10488,19549,8230.0,,2014年01月01日至2014年06月30日,4126766,4461184,334418,-199957,790391,789652,,,,-343895.0,-73463,-199957,15438,-8230.0,480770,-175369,305401,45000.0,26247,48444.0,5452.0,,,2181,,,,-5255,0.0,989609,0.0,4461184,-16552,217116,,,
2014-11-03,3,2014,809816.0,7497.0,0.0,-10000,-116918,,-14019,69258,-10,218784.0,-55.0,,,-77797.0,,-24619,12917,98487,-445908,,-159625.0,,-9441,,10350.0,-628401,809569,-290.0,-378402,,,-581510,643019,608653,5775,5695,-14705,24619,49279.0,,2014年01月01日至2014年09月30日,4126766,3797667,-329099,34975,1235971,1194231,,-992397.0,,-353729.0,-1082047,34975,40149,-49279.0,678332,-328892,349440,45000.0,36203,48444.0,19117.0,,,2107,,,,-10863,0.0,1159256,0.0,3797667,-17453,184785,130.0,,
2015-03-16,4,2014,885658.0,7497.0,0.0,-20000,-7472,,7457,139136,-2139,215901.0,3583.0,,,2935.0,-16603.0,-36737,16812,267692,-642466,,-162588.0,0.0,-9909,,11438.0,-272599,373888,-290.0,76568,,,-526631,820330,611504,6362,7523,-18429,36450,68680.0,,2014年度,4126766,4815979,689213,214623,2092987,2026334,,-992397.0,,-413360.0,-1144835,214623,64860,-68680.0,371444,554609,926053,50000.0,97020,48444.0,132436.0,-9422.0,,-14336,0.0,,,-55995,0.0,1811711,0.0,4815979,-20048,169164,2380.0,,
2015-05-08,1,2015,,,,-150000,-235831,,6779,-215607,-2790,-9521.0,,-530.0,,15321.0,,-10286,3192,-41146,-133986,,-9598.0,0.0,-2918,,0.0,195223,-974656,0.0,332179,,,87028,134556,-54,-1243,2129,-3253,10455,8417.0,57438.0,2015年01月01日至2015年03月31日,4815979,4023095,-792884,182634,-644220,-654685,,0.0,,-34495.0,-194546,182634,24711,-8417.0,-1206498,311741,-894757,0.0,11588,0.0,41337.0,,,-7780,0.0,165284.0,-65368.0,-13638,0.0,-837319,,4023095,-5154,-418,,,
2015-08-07,2,2015,,0.0,,-330000,-156921,,55854,-202382,-2801,-14722.0,6558.0,,,12973.0,,-23125,5458,-101612,-247965,,-9598.0,,-3026,,1238.0,396433,-931626,0.0,364456,,,363087,261114,-47,-1683,4510,-5944,23322,17994.0,24717.0,2015年01月01日至2015年06月30日,4815979,4723836,-92143,590738,137803,138421,,,,-154495.0,-491421,590738,39318,-17994.0,-1035494,558460,-477034,0.0,295501,62459.0,81929.0,,,-59731,,170814.0,-65368.0,-74236,,-452317,,4723836,-35990,6508,,,-50054.0
