date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融負債增加,其他金融負債減少,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得子公司股權,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付票據增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,生物資產（增加）減少,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付款項（增加）減少
2013-04-23,1,2013,-16508.0,1994.0,-234636,-35245,-19158,-2030,,3697.0,,,274116,,-81751,0.0,-2158.0,-70413.0,-10128,3396,30082,-127492,,-1505333,,-1423,-415330.0,,1798,415800,,-302238,,4997,2327,,-188.0,177740,7281,-909.0,-850475,53619,56048,,0.0,9222,-3199,12304,6097,,2013年01月01日至2013年03月31日,1530278,1900246,369968,842243,,1226024,1222126,,,,-44169.0,-35663,842243,-7075,-560973,957364,396391,698,1179.0,950689,,4,-3777,578.0,115916.0,,379883,-6359,1900246,-5207,-61409,0,,337770
2013-08-13,2,2013,35517.0,7827.0,-256577,16664,-29658,-1847,,2036.0,-1.0,-11360.0,284900,,-256778,,1812.0,-81548.0,-20138,6066,32771,-330158,,-2396645,,-1598,-1393363.0,,2227,-103083,,-329705,,39982,6487,,-378.0,374238,-1532,-341.0,-1014528,108260,162720,0.0,0.0,18388,-5930,21025,10377,,2013年01月01日至2013年06月30日,1530278,1810116,279838,1254980,,924962,1172527,-5139.0,,294994.0,0.0,336633,1254980,-10377,-619310,501340,-117970,1022,1179.0,2564644,,111,-16304,578.0,586395.0,,-82453,-9516,1810116,-262660,-67195,12667,,59319
2013-10-28,3,2013,92907.0,7827.0,-44350,11142,57622,-1951,,3659.0,,-12060.0,287081,,-221335,,113.0,-81548.0,-26827,11721,30883,-676377,,-2933693,,-1717,-1441957.0,,1571,-234383,,62556,,69941,157,,-572.0,-242500,6131,-11.0,-1117845,164325,163489,0.0,0.0,27142,-11334,22166,14983,,2013年01月01日至2013年09月30日,1530278,999673,-530605,1749488,,620580,1113406,-5334.0,-1141414.0,1007992.0,0.0,-64223,1749488,-14983,68108,-797097,-728989,1356,1179.0,3241248,,45,-16936,578.0,696590.0,,-636082,-7866,999673,-503658,-67964,14700,-3829.0,-493691
2014-03-26,4,2013,148124.0,12553.0,295974,-98050,94723,-5408,,20240.0,-208.0,-19444.0,144786,,-250811,,-605.0,-81548.0,-36110,17650,45934,-1046238,,-3736628,,-1717,-1484052.0,,1173,-566388,,121471,,69969,-4660,,-768.0,-346776,-2392,2095.0,-1270527,220758,174323,0.0,0.0,38458,-18022,30861,19290,,2013年01月01日至2013年12月31日,1530278,1359032,-171246,2248277,,1568745,2058038,-3479.0,-1141414.0,540612.0,,-515398,2248277,-19240,514126,-852489,-338363,3255,1179.0,3670791,,477,-18958,578.0,1497479.0,,-190239,4523,1359032,-502132,-78798,23319,-3829.0,-4319
2014-05-05,1,2014,92616.0,2772.0,-344470,25275,-134122,-4376,,7160.0,,,140576,,-71511,,957.0,0.0,-8917,4305,9967,-78834,,-342721,,-4762,-1300159.0,,1011,381175,,-302136,,-1,113027,,-199.0,393207,-40911,-786.0,-174223,71152,6239,,,20739,-4428,13914,5891,,2014年01月01日至2014年03月31日,1359032,1999282,640250,656178,,1187958,1178994,1024.0,,-390412.0,,-383452,656178,-5891,-680865,1111065,430200,2472,0.0,355340,,302,409,0.0,1116713.0,,522816,-12378,1999282,-522,-6239,14788,,349432
2014-08-13,2,2014,168011.0,5537.0,-329491,65294,-133354,6351,,5042.0,,,1569,,-64510,,953.0,0.0,-21286,9168,-7331,-268745,-10000.0,-661657,-2318.0,-10472,-723345.0,,-138,221,,-176430,,1,294320,,-400.0,458804,5972,-326.0,-474820,144465,9870,,,43285,-8209,23999,7383,,2014年01月01日至2014年06月30日,1359032,2257300,898268,1055799,,1387837,1539182,1019.0,,-9743.0,,-7418,1055799,-7383,-353626,668998,315372,4150,0.0,767243,,610,-6581,0.0,478027.0,,483383,-8345,2257300,-167135,-9870,14788,,121467
2014-11-11,3,2014,247323.0,7411.0,-28455,-69483,-143852,4072,,3593.0,,-2860.0,150107,,-45186,,950.0,0.0,-30751,15071,20257,-442775,-10000.0,-1000531,-2318.0,-10472,-870241.0,,472,414295,,-107416,,3,199938,,-591.0,-40437,-9610,2.0,-462887,222014,15233,,,64877,-14682,26117,17730,,2014年01月01日至2014年09月30日,1359032,1778229,419197,1900208,,1911162,2262559,1016.0,-1050101.0,2951.0,,-1049335,1900208,-17730,-86255,201283,115028,5272,0.0,1099410,,572,-7707,0.0,639248.0,,362351,-6472,1778229,-362832,-15233,14788,-2872.0,-113803
2015-03-24,4,2014,343204.0,8464.0,54374,17667,-70794,9361,,10440.0,-529.0,-5828.0,149998,,-48826,,954.0,0.0,-42274,23991,75201,-654506,-10000.0,-1192120,-2318.0,-11494,-1267195.0,,-249,-269516,,386511,,29990,199142,,-758.0,-425059,-11222,2695.0,-568644,302248,27636,,,87522,-21134,40561,18242,,2014年度,1359032,1991558,632526,2570025,,2112108,2458927,982.0,-1050101.0,30009.0,,-986139,2570025,-18242,566937,-1021239,-454302,20344,0.0,1460339,,2141,-8212,0.0,963938.0,,-111098,-4991,1991558,-366246,-27636,22961,-2872.0,-371088
2015-05-08,1,2015,,0.0,-178789,-70803,-55612,1100,,12631.0,,-18892.0,0,,-11682,,0.0,,-10854,5719,-24426,-83507,,-291000,,-6696,,-423500.0,3325,673242,,-546493,,-29982,70939,,-150.0,-179369,8287,,-116725,87020,7314,,,10139,-6528,15952,4130,94198.0,2015年01月01日至2015年03月31日,1991558,3034689,1043131,1214732,218.0,1245692,1269354,0.0,,-43909.0,,-61410,1214732,-4130,-715764,676188,-39576,152,,346413,,1336,4154,,,367857.0,54622,-6027,3034689,-33086,-7314,4803,,236417
2015-08-13,2,2015,,1059.0,-94302,-131914,-40775,-5517,,5465.0,,-8863.0,0,,-41691,,0.0,,-25945,10214,-25667,-165714,0.0,-815706,0.0,-6880,,-1152980.0,7632,517956,-156140.0,-650659,,-10045,-100003,,-285.0,448941,3427,,-1061097,174160,18494,,,22333,-10705,25530,5228,171087.0,2015年01月01日至2015年06月30日,1991558,2358627,367069,1616593,-744.0,1327939,1663605,0.0,,130759.0,,125894,1616593,-5228,-881830,757755,-124075,158,,780551,,1471,141,,,499881.0,47012,4653,2358627,-350491,-18494,4803,,-93632
