date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融資產增加,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得按攤銷後成本衡量之金融資產,取得無形資產,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,持有至到期日金融資產到期還本,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資損失（利益）,處分持有至到期日金融資產,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付投資款增加,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-08,1,2013,5356.0,,-35822,3336.0,,26255,-292,69.0,0.0,,,0.0,,,-3124,,-1066,812,,-8483,,,,,0.0,-53869.0,1002,9518.0,,-76.0,0.0,-61349,155955,-7537.0,1680.0,-2226.0,15564,5332.0,-22182,,-1118.0,-56050,23138,-39446,,482,-1189,151,0.0,,2013年01月01日至2013年03月31日,37460,22979,-14481,22436,,49712.0,49712,52427,,-3647.0,-11788.0,,-8143,22436,0.0,148585,-123950,24635,18822.0,,,-13350,,-3040,0.0,0.0,29991,4216,22979,-1677,-2622,,,,-24982.0,-9320.0,4956.0
2013-08-08,2,2013,26291.0,,398060,-257.0,,43712,-418,120.0,,-3647.0,,-12.0,,,-3124,,-1900,1680,,-12346,,,,,0.0,-79476.0,2546,14028.0,,,22.0,160947,99265,-7537.0,0.0,-4453.0,-257261,5332.0,-16653,-1521.0,-1229.0,-14054,45897,-247313,82000.0,1008,-1675,2085,1360.0,,2013年01月01日至2013年06月30日,37460,31812,-5648,99320,,,280088,323858,,-270925.0,-6685.0,,-271682,99320,-1360.0,576099,-377852,198247,18865.0,0.0,,-13388,,-5926,,,224538,34756,31812,-45540,-2266,,,,-20816.0,-19995.0,9072.0
2013-11-08,3,2013,44747.0,0.0,99087,-7833.0,,28104,-384,-3637.0,,-3647.0,,-4012.0,,,-3124,,-2436,2589,,-26036,-104400.0,-82797.0,,,0.0,,4489,14325.0,,103.0,,379242,43239,-7537.0,,-6682.0,23365,5332.0,-9218,3559.0,-9413.0,-135870,69029,-280177,82000.0,1640,-2869,3070,7018.0,,2013年01月01日至2013年09月30日,37460,50663,13203,178586,,,415704,471179,,-261439.0,0.0,-9188.0,-266631,178586,-7018.0,145831,102015,247846,26733.0,0.0,,-13760,,-7270,,,292593,-16944,50663,-62694,-2516,,,,-4222.0,-28349.0,9295.0
2014-03-19,4,2013,60876.0,0.0,-42025,7656.0,,25920,832,-1542.0,0.0,-3647.0,,-4125.0,,,-3924,0.0,-3036,3523,0.0,-32411,-104400.0,-77620.0,,,-747.0,,2109,10233.0,,,177.0,372978,5365,-7537.0,818.0,-8911.0,58867,5332.0,12654,3559.0,-16698.0,-145211,93763,194602,82000.0,2708,-3468,3513,7018.0,,2013年01月01日至2013年12月31日,37460,42820,5360,287093,,,876441,946865,-456937.0,-261439.0,0.0,-5169.0,-725870,287093,-7018.0,-49372,648268,598896,24599.0,,,-19972,,-10775,,,659772,-21645,42820,-77487,-426,,,,-2545.0,-32885.0,6430.0
2014-05-07,1,2014,21068.0,,-43091,-2081.0,,-10258,155,30.0,0.0,,,0.0,,,-803,,-552,881,,-1879,,,,,-4150.0,0.0,-168,700.0,,784.0,0.0,-77278,97782,0.0,6781.0,-2231.0,-7099,0.0,-12329,,-129.0,-21461,22488,69604,,955,-1212,128,0.0,,2014年01月01日至2014年03月31日,42820,33216,-9604,7533,,31285.0,31285,33403,,-4762.0,-13135.0,,-19428,7533,0.0,69160,-64358,4802,0.0,,,8,,-414,0.0,-1440.0,25870,15745,33216,-1034,-2130,,,,-35360.0,-13973.0,2330.0
2014-08-08,2,2014,44571.0,,86060,-387.0,,-2853,-751,60.0,,-4762.0,,-13.0,,,-1251,,-1132,1857,,-3445,-4240.0,,,,-4314.0,0.0,1466,0.0,-374.0,,834.0,-22154,145448,0.0,-818.0,-5057.0,-197034,0.0,-7857,0.0,-6998.0,-64404,43824,-63460,0.0,2333,-1903,1737,832.0,,2014年01月01日至2014年06月30日,42820,66843,24023,107683,,,106018,110100,,0.0,0.0,-7398.0,-17591,107683,-832.0,268334,-310488,-42154,105.0,0.0,,374,,-1300,,12.0,2417,51099,66843,-4748,-2457,438.0,,,-18892.0,-52105.0,-3604.0
2014-11-11,3,2014,58816.0,,159264,-4230.0,,-10869,-2255,90.0,,-4762.0,,3988.0,,,-1250,,-1674,2795,,-79921,-17439.0,,,,-6004.0,-9924.0,808,9064.0,,832.0,,196051,136556,1059.0,-818.0,-7887.0,-62415,0.0,-17889,0.0,-9431.0,-240254,65840,-161943,0.0,3773,-3129,1919,9397.0,,2014年01月01日至2014年09月30日,42820,36884,-5936,209828,,,471224,487393,,-233722.0,,401.0,-236906,209828,-9397.0,270292,-51543,218749,105.0,,,374,,-2463,,0.0,277565,-2506,36884,-24356,-1678,438.0,,-64000.0,-2940.0,-62653.0,-2963.0
2015-03-25,4,2014,115038.0,0.0,-18955,-3666.0,,-12066,-3137,1618.0,0.0,-4762.0,,-1547.0,,,-2873,0.0,-2271,3808,0.0,-32394,-81440.0,-15483.0,-256198.0,,-6004.0,,3089,10275.0,,,881.0,9252,109962,0.0,11.0,-10718.0,-10154,0.0,12398,0.0,-15745.0,-487081,88716,392560,0.0,5240,-3841,2252,200.0,,2014年度,42820,105375,62555,275528,,,793922,819399,0.0,-233722.0,0.0,-5359.0,-244286,275528,-200.0,61443,367390,428833,505.0,,,-19,,-5717,,,543871,5023,105375,-24088,-274,22666.0,,,-29934.0,-94075.0,-6787.0
2015-05-08,1,2015,,,-21815,,,-14293,25474,,,,-11547.0,,14911.0,0.0,-6501,,-444,1772,,-13969,,,-130838.0,0.0,,,-3644,,,,,-357965,71684,,-722.0,,-38558,,-2316,,,-147122,23739,379857,,816,-1772,444,,19211.0,2015年01月01日至2015年03月31日,105375,54519,-50856,11675,-13987.0,,70391,76557,,0.0,10964.0,0.0,25875,11675,,39179,6492,45671,,,15733.0,0,,-1791,,,64882,18312,54519,-4838,-1237,,,,,,
2015-08-11,2,2015,,,177311,,-11560.0,-23821,50606,,,,,,2644.0,,-24165,,-740,3548,,-23581,,,-193494.0,0.0,,,-3717,,,,,-116086,-19932,,647.0,,-291491,,7170,,,-227495,48347,182131,,1632,-3548,740,2497.0,45630.0,2015年01月01日至2015年06月30日,105375,65569,-39806,144681,-3423.0,,179033,207112,,0.0,6012.0,,8656,144681,-2497.0,184471,-167670,16801,0.0,,25305.0,1,,-2846,,,62431,53689,65569,-27768,-1866,3768.0,,,,,
