date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動資產增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得子公司股權,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金減少,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,已實現銷貨損失（利益）,庫藏股票處分,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券減少,應收帳款（增加）減少,應收款項增加,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預收款項增加（減少）
2013-05-10,1,2013,-2701.0,,-1673.0,-260674,7943,,7575,-13726,,-9533,6157.0,-8123,-4801,3839,37693,-26344,0.0,-7200.0,,,-2232,,-2300.0,21588,-594,38276,205037,,-961.0,,,-798356,-10000.0,522641,,1440,-595.0,74493,37116,-414702,,-16989,18096,-3826,5163,60095,,2013年01月01日至2013年03月31日,1971533,1726954,-628,-244579,164037,,-491227,-486785,,132341,134462,164037,3004.0,-1632,-844067,195946,-648121,6717,3632,395.0,-8,-2487,,,,290.0,-650822,1726954,-616,-35367,0.0,,417.0,,,-112687,207983
2013-08-12,2,2013,-30489.0,333.0,-3346.0,-187285,-8795,,19216,-29422,,8452,6157.0,-59201,-9500,7866,55038,-50142,0.0,-7200.0,,,-15562,,-1854.0,23525,-559,41175,328853,,-1922.0,,,-538093,-212.0,69747,,-23408,-1407.0,45531,74200,-192657,,-39735,36952,-7494,8967,90220,,2013年01月01日至2013年06月30日,1971533,1771647,-741,-199886,387240,,-363005,-313488,,65648,62550,387240,5711.0,-29052,-545806,-124433,-670239,9196,3861,1785.0,1969,-3534,,,,290.0,-700728,1771647,-42023,-76123,3806.0,-15306.0,1468.0,,,-268751,161763
2013-11-12,3,2013,-99196.0,1331.0,-5019.0,-112165,-1482,104491.0,59057,-21434,-472419.0,1503,6157.0,-1044,-14666,12762,37848,-71059,0.0,-7200.0,,,-16445,,-2109.0,51509,-537,21739,187818,0.0,-3843.0,,,-733958,-30190.0,211931,-156424.0,-23277,-2927.0,-35143,111086,55049,0.0,-73100,56254,-12278,13613,42456,,2013年01月01日至2013年09月30日,1971533,1803857,644,-167676,619137,,18758,83550,,305499,-189139,619137,7729.0,-42456,-615966,179575,-436391,11117,3861,1785.0,2382,-6073,,1486.0,,290.0,-535587,1803857,-52514,-148737,5252.0,-30782.0,,-4321.0,,-229030,174027
2014-03-20,4,2013,-194414.0,10010.0,-6692.0,127462,15772,,-1212,-3773,-472419.0,84877,6157.0,3212,-20214,18164,39119,-79651,0.0,-7200.0,,,-27435,,3856.0,99766,-737,19352,213508,0.0,-3843.0,,,46466,-30190.0,-409418,-161028.0,29808,3153.0,42148,147812,-569966,1730.0,-79272,69456,-17740,19029,147989,,2013年01月01日至2013年12月31日,1971533,1934107,-744,-37426,939730,,130203,207309,,199358,-248896,939730,9880.0,-43561,294474,-832481,-538007,1539,3861,11020.0,3128,-9765,,1486.0,,,-732421,1934107,-59366,-279780,9440.0,-30782.0,0.0,-18971.0,,-108412,118605
2014-05-08,1,2014,-61774.0,1529.0,-1673.0,-385370,-10663,,1755,-15793,,-9206,0.0,6774,-5410,5381,26755,-14329,,0.0,,,-2084,,-396.0,76502,-1332,-2808,343978,,0.0,146162.0,,-835852,0.0,439891,-2834.0,-50286,-106.0,35347,36341,-228317,,-11590,13890,-5383,6316,1816,,2014年01月01日至2014年03月31日,1934107,1653472,-1970,-280635,228651,,-615261,-607914,,52865,272524,228651,0.0,-1790,-1141326,366535,-774791,9,0,50164.0,285,-43918,,,,,-836565,1653472,-1964,-52856,,,259.0,,,-112275,78247
2014-08-11,2,2014,-138049.0,2429.0,-38479.0,-277126,-16789,7174.0,9448,-19698,-773.0,-19214,0.0,10693,-10698,7625,2367,-32965,,0.0,,,-3038,,986.0,100246,-301,29036,123343,,0.0,280028.0,,-601784,0.0,453799,48765.0,-3452,-294.0,161226,72073,-139782,,-43891,26725,-7865,11062,78635,,2014年01月01日至2014年06月30日,1934107,1738266,-184,-195841,485815,,-247400,-175400,,-447658,-112034,485815,0.0,-28225,-863750,340584,-523166,11,0,51578.0,284,-44687,,,,0.0,-661215,1738266,-64135,-127484,607.0,-5097.0,8820.0,,-22940.0,-56837,6006
2014-11-11,3,2014,-32774.0,3239.0,-38479.0,-285608,-39589,10023.0,3832,-21491,66652.0,17679,0.0,12907,-16755,9173,25077,-66478,-22940.0,0.0,,,-9943,,822.0,121707,14588,40678,-125433,,0.0,280028.0,,-516422,0.0,426152,48068.0,-11274,-268.0,194983,108327,763261,,-53353,39851,-9125,17430,84651,,2014年01月01日至2014年09月30日,1934107,1932595,-1531,-1512,556345,,332421,423202,-798070.0,30335,-553993,556345,0.0,-34241,-997802,897433,-100369,41,8050,51578.0,698,-43017,,0.0,,0.0,-133143,1932595,-81656,-53886,607.0,-230754.0,,10531.0,,-94193,-199336
2015-03-19,4,2014,-197025.0,3239.0,-38479.0,-63479,-34124,10066.0,5670,-4059,66652.0,-47308,-17176.0,9889,-22971,11175,95071,-83598,-45000.0,0.0,,,-30471,,6760.0,135211,425,5346,-189967,,0.0,280028.0,,160542,0.0,258338,50663.0,2852,-667.0,560907,144885,69410,0.0,-119540,53118,-11354,22973,235367,,2014年度,1934107,2309983,-3127,375876,925553,,543474,653507,-798070.0,-238589,-823576,925553,0.0,-36277,-78278,3257,-75021,360731,17516,51578.0,-229638,-47840,,17092.0,,,-272046,2309983,-98679,-45768,60607.0,-230754.0,,31591.0,,-99193,-180344
2015-05-05,1,2015,,0.0,0.0,-309145,-3000,117.0,-3980,-10607,,26157,-236541.0,9237,-5651,3198,-16307,-29611,,,,,-5064,,0.0,22224,-1142,19776,122627,,,0.0,,-895792,,150170,3867.0,-32494,,-201884,35506,358766,,-14252,13523,-2831,6975,110,-37001.0,2015年01月01日至2015年03月31日,2309983,2042941,-974,-267042,180387,-2323.0,-503106,-498594,,433173,454255,180387,,-110,-1119134,477154,-641980,11951,1334,0.0,-8241,-1115,,,,,-678981,2042941,-1681,-59802,874.0,,43.0,,-10192.0,-108308,92106
2015-08-11,2,2015,,583.0,0.0,-198025,-8326,7487.0,13241,-4255,0.0,24890,244.0,-202,-13035,7237,-40692,-65980,,,-32989.0,,-8317,,46.0,48736,-1127,8358,-38277,,,110450.0,,-593762,,-76583,3609.0,30268,,31111,71018,163009,,-53080,27097,-7108,13086,53656,-69418.0,2015年01月01日至2015年06月30日,2309983,2283882,-1403,-26101,416385,-2932.0,-590608,-484031,,422400,574088,416385,,-7126,-743493,-87505,-830998,11951,1734,13001.0,-7989,-3177,,,,,-900416,2283882,-99469,-90288,874.0,-6371.0,408.0,,0.0,-153341,37985
