date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付投資款增加,預付款項（增加）減少,預付設備款增加
2013-05-10,1,2013,12957.0,-152614,-65586,23086,431,-9174,2506.0,,,900.0,-130,2436,4652,-7118,,-530,-3130,,,0.0,,2798,-155532,-24798,,,-1956,550854,132209,-260.0,-3921,12083,-737.0,-657.0,0.0,1386,-2436,130,,,2013年01月01日至2013年03月31日,380900,357150,-23750,47130,,492903,495470,,,-553640,-517384,47130,321.0,,-91440,526823,435383,188870,29,,-9,0.0,0.0,,448340,1466,357150,-261,,,,,-16469,
2013-08-09,2,2013,27335.0,-116223,-69569,12468,-756,-7808,-637.0,,,7894.0,-281,4475,6470,-12167,,-4927,-1741,,0.0,,,3242,-16255,66074,0.0,,2824,262871,70372,-324.0,1999,24228,-602.0,-289.0,0.0,2615,-4475,281,,,2013年01月01日至2013年06月30日,380900,323781,-57119,77944,,408284,421949,,3102175.0,-3598694,-473872,77944,643.0,,-1739,318409,316670,138870,479,7478.0,-126,0.0,-2478.0,,344005,614,323781,-9471,,,,,-2313,
2013-11-08,3,2013,42913.0,-41025,-103084,10500,304,-9219,-4223.0,,,8677.0,-371,7159,4987,-18796,-2400.0,-10539,-595,965.0,0.0,,,2235,-47086,102123,2350000.0,-2300000.0,-980,131494,65133,-428.0,-12866,36444,,,0.0,4179,-7121,371,958.0,,2013年01月01日至2013年09月30日,380900,379711,-1189,132715,,298962,323210,-185996.0,4723142.0,-4919358,-292272,132715,,-958.0,-4955,152537,147582,80000,479,7478.0,-126,,-2478.0,0.0,190495,-2890,379711,-18456,-341.0,,0.0,,5938,
2014-03-27,4,2013,62404.0,-54721,-56084,22645,-1577,-5880,-893.0,,,8677.0,-1375,10791,8251,-28431,-2400.0,-24894,1022,1168.0,0.0,,,562,-22555,231539,3600000.0,-3550000.0,-991,-239052,29870,-529.0,-37936,49408,,,0.0,6204,-10706,1375,958.0,,2013年01月01日至2013年12月31日,380900,435963,55063,202432,,206058,229033,-185996.0,6491545.0,-6503306,-121310,202432,,-958.0,166656,-202459,-35803,80000,1072,7478.0,-19,,-2478.0,0.0,26601,-5702,435963,-14602,-191.0,,0.0,,13406,
2014-05-12,1,2014,17502.0,-119042,-51757,17130,18970,-595,-1361.0,,,-1216.0,-188,3345,5033,-1718,,-7749,-1598,1903.0,,,,-486,-4212,-298253,1170000.0,-1130000.0,-297,612355,94061,-355.0,-11169,13220,,,,2992,-3621,188,,,2014年01月01日至2014年03月31日,435963,458286,22323,73882,,459644,462668,,1024855.0,-1484201,-431185,73882,,,-333372,704656,371284,105300,0,,0,,,,388786,-1680,458286,409,-269.0,,,,-12722,
2014-08-11,2,2014,36566.0,-171672,662,5733,27484,-371,,0.0,,-18558.0,-769,5523,-829,-3788,,-12863,1131,2564.0,19.0,,,1075,44994,-207833,2670000.0,-2550000.0,-547,182963,76710,-1217.0,-41358,25763,,,,6578,-5769,769,,,2014年01月01日至2014年06月30日,435963,353983,-81980,155159,,285916,310075,,2244833.0,-2610179,-325709,155159,,,-184205,302555,118350,88726,943,0.0,-943,,0.0,,154916,-2754,353983,-19159,-717.0,,,,-7474,-8167.0
2014-11-10,3,2014,54839.0,-208109,-21778,18880,21731,-869,0.0,,,-18464.0,-986,8450,-7,-12350,0.0,-13502,3165,2926.0,-1300.0,,,495,-77363,-75195,4540000.0,-4420000.0,-214,49311,44786,-1260.0,-52351,37466,,,,10302,-8598,986,569.0,,2014年01月01日至2014年09月30日,435963,318880,-117083,247149,,201000,244912,-171404.0,4504833.0,-4609179,-265725,247149,,-569.0,-79120,22044,-57076,96508,1491,0.0,-1350,,0.0,,-2237,-2404,318880,-36869,-1639.0,,,,-12701,-10021.0
2015-03-26,4,2014,73509.0,-210036,69255,19884,9136,-76,-20159.0,,,-22712.0,-1328,11249,9380,-15336,0.0,-19306,1088,3333.0,-1300.0,,,-754,8887,-116619,6360000.0,-6310000.0,547,72770,61088,-3445.0,-56617,49132,,,,13869,-11525,1328,569.0,,2014年度,435963,291197,-144766,319930,,454224,499875,-171404.0,6972833.0,-7235179,-551753,319930,,-569.0,-28601,135037,106436,40000,1491,0.0,-1265,,0.0,,179945,12525,291197,-36023,-1067.0,2400.0,,,-7357,
2015-05-12,1,2015,,-61797,-5812,-7652,13773,201,-3405.0,0.0,,-2732.0,-133,2140,-7936,-2305,,-9866,-564,97.0,,,0.0,305,50981,-107689,1650000.0,-1730000.0,-1296,354548,30726,,-14470,11196,,,,4260,-2205,133,,16016.0,2015年01月01日至2015年03月31日,291197,305042,13845,87731,-35.0,418951,422000,,1492937.0,-1733937,-382700,87731,,,-101115,419368,318253,0,128,,346,,,,334269,-56,305042,-977,-1229.0,,,,-6031,
2015-08-11,2,2015,,-62159,-24956,1976,24937,50,,0.0,-1831.0,,-360,3534,-12128,-12306,-1638.0,-14611,1529,630.0,0.0,,-2189.0,0,22272,66299,2780000.0,-2760000.0,-289,102792,-7025,,-39311,22222,,,,8998,-3575,360,,43293.0,2015年01月01日至2015年06月30日,291197,350981,59784,143703,-2027.0,314752,367885,,3052937.0,-3214937,-203529,143703,,,67833,113056,180889,0,129,,346,,,,224182,3869,350981,-49918,1040.0,5984.0,,,-7009,-6865.0
