date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款減少,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得子公司股權,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分無形資產損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付費用（增加）減少,預收款項增加－處分資產
2013-05-08,1,2013,,313961.0,-166000,-169581,-4959,,,0.0,62,-70211,-1145,,,-18875.0,,,-4332,20509,10863,-122604,,-900.0,,,-889.0,,224541,,-655241,9639,418882,-2602,-129479,255349,4205,24644,-20956,4332,,,2013年01月01日至2013年03月31日,1204562,1054322,21431,-150240,47142,66148,82772,,1253.0,,-97772,47142,,-891252,612921,-278331,67875,12827,,-3361,,,,,35630,246,1054322,,,,,-279.0,,-32105.0,
2013-08-07,2,2013,,613960.0,-226000,-321974,-4856,,-8450.0,-1224.0,62,-60526,-2086,,,-20174.0,,,-7469,38999,-29402,-191910,,-1900.0,,,573.0,,539041,,-1496400,3835,757781,-4913,-193210,512233,3836,51545,-40486,7469,,,2013年01月01日至2013年06月30日,1204562,917432,25056,-287130,1071,-355286,-256512,,308668.0,,290768,1071,,-1880658,1009115,-871543,210000,18239,,-6125,,,,,-257583,1349,917432,-65757.0,,,,-279.0,,-276956.0,
2013-11-05,3,2013,,895749.0,-375140,-522022,-2039,,82341.0,,-1388,49577,-3034,,,-52035.0,,,-9496,59759,-55192,-359921,,-1900.0,0.0,,4117.0,,518853,,-1312003,-2734,907425,3293,-373830,773838,11319,77325,-60801,9496,,,2013年01月01日至2013年09月30日,1204562,851790,12586,-352772,-31305,129126,246804,-191341.0,247225.0,,-52876,-31305,,-1790669,1173029,-617640,268280,35397,,-17984,,,,,278109,1586,851790,-66373.0,,,,-279.0,,-350202.0,
2014-03-21,4,2013,0.0,1161411.0,-375610,-227178,2109,,-52397.0,-27172.0,-9758,-113127,462,,,-46586.0,,560.0,-12843,80361,-46752,-627012,,-1900.0,0.0,,0.0,7682.0,653027,,-1250594,4770,1461356,-591,-582695,1024558,26965,86594,-79934,12843,,,2013年01月01日至2013年12月31日,1204562,1042547,19401,-162015,4367,994535,1141261,-191341.0,0.0,-367472.0,-527103,4367,,-1588163,1563646,-24517,409220,92979,,-36941,,,,,1136894,-4605,1042547,-79635.0,,,0.0,-279.0,-497542.0,,
2014-05-06,1,2014,,299542.0,-504050,-199185,-8632,,144050.0,-3731.0,31,48309,-3024,,,-25199.0,,,-5631,25521,-12906,-64639,,0.0,,1761.0,-2028.0,,289023,,-921791,-4997,468730,11974,-61882,246222,-14,15981,-26427,5631,,,2014年01月01日至2014年03月31日,1042547,1137130,20615,94583,-124529,-21615,-819,,200036.0,,190986,-124529,,-1088620,912788,-175832,495000,29953,,-4927,,,,,123710,700,1137130,,,,,0.0,,2756.0,
2014-08-05,2,2014,,484423.0,-727975,-79374,-7193,,7301.0,-35026.0,186,-25643,-9916,,,-31848.0,,,-10866,48729,-60414,-158962,,0.0,,4183.0,-4507.0,,539150,,-898530,-4097,372971,5184,-80336,479311,-28,31125,-52202,10866,,,2014年01月01日至2014年06月30日,1042547,676444,1860,-366103,-59393,181644,230184,,-412942.0,,-406997,-59393,,-1023258,828412,-194846,733920,114795,,-69919,,,,,289577,1495,676444,-7204.0,,,,0.0,,-61140.0,
2014-11-11,3,2014,,740218.0,-854938,-132590,-4024,,53925.0,-34679.0,551,-32505,-4917,,,-52653.0,,,-16033,68986,18015,-275877,,0.0,,6820.0,-5530.0,,259661,,-253022,-2457,-30537,-436,-184285,705556,-42,43276,-71657,16033,,,2014年01月01日至2014年09月30日,1042547,748824,19065,-293723,15721,275406,350663,-63780.0,-362501.0,,-402859,15721,,-428912,23636,-405276,878360,149224,,-87452,,,,,334942,603,748824,-19633.0,,,,0.0,,-224256.0,
2015-03-16,4,2014,,1007277.0,-1118185,120885,220,,-46210.0,27172.0,-2923,16337,-5960,,,-53585.0,,643.0,-20346,84137,59162,-376355,,0.0,,,,7991.0,93195,,226345,9266,-398919,359,-267696,918012,-57,56750,-87292,20346,,,2014年度,1042547,808617,57195,-233930,112591,878039,998125,-63780.0,,-828055.0,-903435,112591,,372154,-493897,-121743,1106585,157176,,-89114,,,,,885534,5061,808617,-53140.0,,,,0.0,-169437.0,,
2015-05-05,1,2015,,,-93900,-40412,-8828,,100251.0,0.0,3311,385356,242,,-300682.0,-18547.0,,,-2854,11863,-30832,-81982,,,,114.0,-2235.0,,21250,,-806136,-11039,161620,-1176,-376682,203999,-16,24111,-12581,2854,,227466.0,2015年01月01日至2015年03月31日,808617,906046,-9450,97429,43564,257031,266758,,281812.0,,247912,43564,,-483401,479129,-4272,60000,23453,,-317,,,,,223194,-2584,906046,,,,,,,197200.0,
2015-08-06,2,2015,,,-121468,-120940,-4357,,-99646.0,0.0,2798,231034,543,,-595038.0,-32799.0,,,-11272,22210,-66792,-201240,,,,159.0,107.0,,457915,,-1598357,-25321,971684,3713,-352088,396971,-31,41550,-23563,5115,,425470.0,2015年01月01日至2015年06月30日,808617,1282046,-21330,473429,71985,543579,591917,,255898.0,,348730,71985,,-1519397,1613859,94462,214300,37597,,-5906,,,,3088.0,519932,-1999,1282046,-29890.0,,,,,,280224.0,436487.0
