date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他借款減少,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得子公司股權,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收建造合約款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預收款項增加（減少）
2013-05-09,1,2013,1125743.0,13333.0,-1275248,-15538.0,-1900521,,,-432267,-185784.0,-49774.0,,,-172300,-26368.0,,30559,126329,-1975374,,,,,2611,193929,,791043,-415479,170000,-364657,289096,22627.0,-22718.0,-1697779,1033968,-1191374,21849.0,-9446,81767,-17515,29824,,,2013年01月01日至2013年03月31日,20024944,19527039,-497905,2802650,,458864,459808,,445959,614681,2802650,,-2714715,-753870,-3468585,1095579,25159,,389554.0,19825,,,,,-2342842,19527039,-13253,-7173,,,,,-183221,174444
2013-08-08,2,2013,2108895.0,27733.0,-2501871,-131626.0,-788441,326595.0,,-358172,-139792.0,-44664.0,,,-204494,-30550.0,,56199,126329,-3138273,,,0.0,,7102,266548,5405.0,856338,951631,224957,277592,12629,,-81600.0,-2499620,2090007,-3135662,21849.0,-21235,161510,-47368,59077,20681.0,,2013年01月01日至2013年06月30日,20024944,21724815,1699871,6077042,,5043397,6093893,,-962756,-970235,6077042,,500828,-2592872,-2092044,2850544,68752,,444177.0,30375,,,275231.0,-232665.0,16851,21724815,-1082886,-14094,62246.0,-716031.0,,,-249936,281438
2013-11-08,3,2013,3314361.0,27733.0,-4201477,-168058.0,230199,259342.0,,-428579,-113770.0,-93925.0,,,-228100,-30550.0,,91295,49930,-4161132,,,0.0,,20031,302444,23692.0,-136117,479490,156985,-1127797,-204839,,-97193.0,-3490289,3134624,-2055041,21849.0,-78908,272799,-68666,98906,20681.0,,2013年01月01日至2013年09月30日,20024944,18441338,-1583606,9263201,,7615602,9296112,-5042168.0,-582479,-5758849,9263201,,-487251,-2794199,-3281450,4523586,106261,,444177.0,21195,,,275231.0,-232665.0,32911,18441338,-1731431,-21129,100786.0,-747682.0,36883.0,,-135040,141820
2014-03-20,4,2013,4624077.0,34376.0,-5891784,-139864.0,202896,862024.0,184.0,-318265,-99903.0,,,,-492536,,-134915.0,119753,151560,-5228040,,,0.0,-266393.0,58990,249799,-89948.0,-4963,-502609,-85000,-268147,340142,,-95282.0,-5330463,4277453,-1043401,21849.0,-89512,394267,-73699,134213,303510.0,,2013年01月01日至2013年12月31日,20024944,21008243,983299,11292796,,13174462,14884809,-5042168.0,-1060645,-7012260,11292796,-282829.0,-826622,-205442,-1032064,5719314,133374,35508.0,444165.0,56549,-198233.0,-62356.0,275231.0,-233437.0,3592013,21008243,-2074371,1225,296157.0,-761912.0,248325.0,-25593.0,-40979,-63577
2014-05-08,1,2014,151113.0,0.0,-1053931,-5316.0,-327688,-361006.0,,-8460,-139413.0,,,,-64492,,-37094.0,28948,26818,-1970791,,,,-34059.0,5874,157012,-26809.0,753841,-994229,310000,-519088,-272559,,6565.0,-600360,1177566,-958985,0.0,-65126,85012,-21460,39376,,,2014年01月01日至2014年03月31日,21008243,21525674,517431,3716543,,980821,967004,,661353,110152,3716543,,-1932210,-968442,-2900652,24130,45791,,0.0,1415,1450000.0,0.0,,-1028508.0,-2749539,21525674,-4099,-10217,,16904.0,,-6757.0,-121273,41643
2014-08-05,2,2014,1434897.0,4667.0,-1460644,198887.0,2066408,-688150.0,,-395587,-54775.0,,,,-80354,,-81416.0,53739,-43411,-3393665,-200000.0,,,-99165.0,13846,213766,-91973.0,343574,-88040,284942,-132302,-393758,,-16423.0,-2355748,2399051,-1293387,0.0,-91044,173672,-54032,84281,144102.0,,2014年01月01日至2014年06月30日,21008243,24010017,3001774,6851813,,6743865,7531470,,-3842,-1342932,6851813,,1750239,-2505479,-755240,192540,54742,,0.0,19394,1450000.0,0.0,0.0,-1028508.0,679657,24010017,-961956,-19722,0.0,-768581.0,,-4115.0,-78171,-24629
2014-11-06,3,2014,2683713.0,4667.0,-1521735,223976.0,2933448,-1350437.0,218.0,-655709,-36885.0,,,,-225914,,-120981.0,77074,31887,-4884611,-199497.0,,,-198187.0,13968,255699,-146162.0,-73446,1836316,79991,-391506,-504492,,-33344.0,-4096670,3658695,1349686,0.0,-152168,263346,-74479,123257,183958.0,,2014年01月01日至2014年09月30日,21008243,22757695,1749452,10289412,,14279474,15845616,-6938010.0,-207493,-8465239,10289412,-39856.0,4276850,-1404359,2872491,421360,102816,,0.0,32891,1450000.0,0.0,0.0,-1028508.0,5556204,22757695,-1798878,-15375,0.0,-779027.0,0.0,-5373.0,-169961,-31179
2015-03-18,4,2014,4426907.0,4667.0,-1595520,,2193521,-426675.0,218.0,-604661,44574.0,,,,-504823,,-172789.0,102628,198402,-6481842,-199521.0,,,-293650.0,2976,172926,-233655.0,-845666,1350564,95000,-405894,-464065,,-63557.0,-6078257,4950611,432376,0.0,-149227,362705,-102626,173053,184119.0,,2014年度,21008243,22369629,1361386,12609776,,16154211,17944826,-7001773.0,-301037,-8912970,12609776,-40017.0,3011370,-2103227,908143,452380,180349,0.0,0.0,54845,1450000.0,0.0,0.0,-1028508.0,5335050,22369629,-2045161,-87,104279.0,-734946.0,207769.0,31722.0,-194536,-107838
2015-05-05,1,2015,,,-94503,,536508,-648721.0,,39919,,,,-73170.0,-52080,,-37653.0,23878,-67756,-1968992,,,,-76609.0,1983,319793,33773.0,751003,-1646741,-24000,602001,276958,,,-2062422,1244688,-1325620,,-279014,85322,-23563,42400,,1049706.0,2015年01月01日至2015年03月31日,21450797,22594714,1143917,2855786,-5955.0,2492273,2485760,,665017,781822,2855786,,-499433,-920299,-1419732,7540,1486,,,21917,0.0,,,0.0,-370026,22594714,-12324,-8178,,-18855.0,,-3237.0,-13838,14754
2015-08-04,2,2015,,0.0,-148292,,2134882,-889334.0,,-54039,,,,-64765.0,-156316,,-82369.0,49420,-159189,-3087927,0.0,,,-89891.0,1760,318266,15919.0,1025335,177212,-11000,-85445,51192,,,-3235276,2513060,-2375006,,-622734,195334,-48792,83562,486978.0,2034400.0,2015年01月01日至2015年06月30日,21450797,24824267,3373470,5977205,-6535.0,7450655,7979661,,33927,-682720,5977205,-13358.0,2234222,-2266166,-31944,40680,82939,,,27507,0.0,,,0.0,2002456,24824267,-1050754,-20893,,-851536.0,,-13327.0,-24314,14108
