date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得持有至到期日金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預付設備款減少
2013-05-10,1,2013,53476.0,,-17532,-28412,4624,4038,9948,,-2134,222,4507,-75181,0.0,,,0.0,-2323,-46.0,,,,520.0,,,2.0,-426779,263601,-15.0,41070,8861.0,-1741.0,5.0,-77548,38225,-163130,4229,-215,3750,,,2013年01月01日至2013年03月31日,1273594,1082328,-5162,-191266,86962,,-130674,-133777,,-18854,,12449,86962,54,,260631,-534846,-274215,,,,,,,,,-220739,,1082328,-432,,,30783,18042,31247,,
2013-08-07,2,2013,104681.0,13768.0,-12240,-11930,4475,6739,20562,-8192.0,-4281,443,5787,-100089,-49608.0,,,0.0,-4343,-59.0,,,,-4468.0,,-136.0,,-985009,186590,-15.0,87029,13379.0,-3995.0,8.0,-134660,76354,-57973,8157,-425,5897,40.0,,2013年01月01日至2013年06月30日,1273594,706933,-11268,-566661,186217,,-493629,-456051,,-9907,,55841,186217,54,-40.0,196380,-943329,-746949,894.0,,-75.0,4873.0,,,,,-642268,-3000.0,706933,-43050,,0.0,70216,43529,8431,,
2013-11-06,3,2013,168435.0,13768.0,24676,-47406,30658,-5652,24678,-8192.0,-5975,1224,1629,-130712,-49608.0,,,0.0,-4941,-1559.0,,0.0,,2970.0,-13235.0,,149.0,-880682,21241,-15.0,29869,14225.0,5363.0,-2.0,-142192,113822,105902,11817,-1206,6327,12794.0,,2013年01月01日至2013年09月30日,1273594,689088,-3471,-584506,330646,,-190099,-151997,-295369.0,36000,-53854.0,-253844,330646,431,-12794.0,98236,-749314,-651078,13044.0,0.0,-2665.0,4873.0,,0.0,,,-482643,-3000.0,689088,-43223,,7979.0,69644,66259,29067,,
2014-03-18,4,2013,208425.0,13768.0,36313,-1896,19712,5330,8586,-8192.0,-8716,1412,3779,-152460,-49608.0,-57706.0,,0.0,-25946,-1559.0,,-5566.0,,2.0,-16761.0,,137.0,-567843,-48343,-15.0,52833,17072.0,462.0,-1259.0,-223309,149315,-17753,19058,-1394,8130,13100.0,,2013年01月01日至2013年12月31日,1273594,979279,-13932,-294315,500308,,175773,212403,-295369.0,480335,-488409.0,-250558,500308,6209,-13100.0,11994,-508324,-496330,12593.0,0.0,-2656.0,4873.0,0.0,-30421.0,0.0,,-287905,-3000.0,979279,-43366,,14695.0,69644,100319,3471,19499.0,
2014-05-06,1,2014,66668.0,42919.0,-15504,-36900,-21133,1315,16839,,-2323,361,4741,-31434,,-16217.0,,,-16306,-47.0,,552.0,,0.0,,-214.0,0.0,-257643,172370,,60928,-94.0,-2651.0,-274.0,-43742,34837,8410,5157,-122,4358,,,2014年01月01日至2014年03月31日,979279,1232547,-5526,253268,168400,,166691,162748,,183033,-66920.0,125578,168400,4872,,152298,-224618,-72320,,,,,,,,,-5652,,1232547,-293,,4008.0,9465,24730,2017,-22443.0,
2014-08-05,2,2014,125290.0,42919.0,-26382,890,-19722,400,33907,0.0,-3919,867,-1278,-86444,0.0,-16217.0,,,-17621,-71.0,,,,1525.0,,-404.0,,-144039,60923,,3692,174.0,,-552.0,-80831,70393,-419314,9860,-895,4967,0.0,,2014年01月01日至2014年06月30日,979279,839208,-641,-140071,346355,,-127842,-55121,,39385,,69880,346355,9610,0.0,48174,-574940,-526766,0.0,,0.0,0.0,,,,,-401476,0.0,839208,-76793,,8426.0,28970,30694,-16743,-2993.0,
2014-11-05,3,2014,195899.0,42919.0,97768,-33620,35346,862,11314,0.0,-6272,1255,55,-120683,0.0,-16217.0,,,-18822,-20077.0,,1134.0,864.0,25.0,0.0,-409.0,,116685,183968,,-132056,286.0,,-832.0,-146767,106884,4429,14285,-1283,7320,2886.0,,2014年01月01日至2014年09月30日,979279,1461285,6815,482006,578256,,942414,1050842,-357389.0,344781,-330947.0,-313696,578256,14441,-2886.0,327564,-50877,276687,133.0,,-117.0,0.0,,,,,472586,0.0,1461285,-114465,,12638.0,28970,47722,-7463,-16497.0,
2015-03-17,4,2014,194856.0,42919.0,92694,-4804,-10852,990,50432,0.0,-10612,1779,33626,-161877,0.0,-649633.0,,,-37210,-349977.0,,4246.0,864.0,18275.0,0.0,-437.0,0.0,-7517,330844,,-126427,297.0,,-1099.0,-1139792,144403,-46482,18204,-1807,11660,16651.0,,2014年度,979279,1198436,-40833,219157,847776,,1180264,1285162,-357443.0,881070,-426679.0,145059,847776,19272,-16651.0,462019,-219489,242530,133.0,,-117.0,0.0,,0.0,,,437386,0.0,1198436,-114751,,16453.0,28972,58712,-35546,-361.0,0.0
2015-05-07,1,2015,,0.0,-4869,-36736,-13278,-2516,29975,,-7491,1640,-11146,-30656,-43270.0,0.0,,,-17202,,0.0,7551.0,,,,-59886.0,,-275894,55523,,-43042,0.0,,,-76433,37478,-2094,3696,-1640,3359,,52372.0,2015年01月01日至2015年03月31日,1198436,1285325,-6962,86889,241853,-278.0,20457,19107,,495207,-341196.0,154011,241853,2285,,67073,-342191,-275118,,,,,,,,75155.0,-222746,,1285325,-369,,7084.0,0,7091,18091,-574.0,
2015-08-07,2,2015,,0.0,-23169,-1643,-13114,-5383,45779,,-18403,4177,-22391,-70455,-43270.0,0.0,,,-17890,,-309334.0,8375.0,,0.0,-18.0,-60500.0,,-722888,284776,,14802,0.0,,,-501367,76057,119702,7272,-4177,14135,,107265.0,2015年01月01日至2015年06月30日,1198436,1260175,826,61739,420975,-762.0,180895,232763,,1043726,-643975.0,404602,420975,4916,,293510,-588987,-295477,,,,,,,,,-188212,,1260175,-61826,,12274.0,4869,11771,6423,0.0,82.0
