date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得子公司股權,取得採用權益法之投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預收款項增加（減少）
2013-08-13,2,2013,1449578,,-1076400,75884,1291,131006,-1150,10679,138534,,,,,4684,-28032,-16581,100037,208530,-1538764,,,,-59761,-389,,,515,9609,,254246,-231420,3691,-3158,-1295741,1767325,0,,1391,-98778,18665,,,2013年01月01日至2013年06月30日,8325411,10203215,-185251,1877804,1320535,,2992550,3107792,,,1034428,,-27535,1320535,98626,,301631,36048,337679,14826,92252,145572,,-137327,-91520,1787257,-34873,10203215,-35129,0,,,671,-14222,-2438
2013-11-13,3,2013,2304233,,-2177800,-254534,713,147021,-944,3340,63560,,,,,-23231,-42058,-23350,141024,170354,-2580398,,,,-49574,-302,,,609,201032,,119241,-215899,3888,-5505,-2283260,2544980,,,2100,-137971,25351,,,2013年01月01日至2013年09月30日,8325411,8811559,-151344,486148,2114717,,4285316,4434550,,-421427,1143033,,-1686262,2114717,115717,,-168337,183937,15600,18893,174188,145572,,-142413,-91520,2319833,-24788,8811559,-36614,,,-248659,671,-14721,-6804
2014-03-10,4,2013,2393720,,-2227800,-169102,-28776,66062,211,3682,62516,,,,,93955,-56084,-33130,180425,241509,-3251283,,,,-110473,-286,,,611,168486,,66722,-4680,2752,-9562,-1943549,3292144,,,2804,-180525,35162,31813,,2013年01月01日至2013年12月31日,8325411,9718077,-214688,1392666,3351120,,5762535,5927743,,-421427,420199,,-2667829,3351120,191678,-16947,-112308,295211,182903,23801,151093,1062075,,-122027,-723914,2576623,20264,9718077,-51658,,3041,-462316,891,-136,4464
2014-04-29,1,2014,-71134,,-1532516,5407,1768,74329,-1488,8244,-98968,,,,,4612,-14043,-7129,37451,90155,-1096523,,,,-19723,,60,,0,15861,,-28801,-48654,-1303,946,24095,747711,,,727,-36053,7159,0,,2014年01月01日至2014年03月31日,9718077,9710240,-87871,-7837,1522672,,1234817,1264215,,,175552,,-1356904,1522672,84856,,-62646,-124677,-187323,0,5971,1110035,,-497,-812616,-258457,-51384,9710240,-504,,,,,-64454,1174
2014-08-12,2,2014,791163,0,-1580931,100862,10851,86722,-773,1428,-98939,,,,-10963,,-28069,-19522,69373,3959,-1780021,,,,-41122,19,,-579,,-59001,,44309,-227373,-579,277,-675519,1475117,,,1434,-67052,19743,1266,,2014年01月01日至2014年06月30日,9718077,11007070,-16087,1288993,2314828,,2718581,2927278,576746,,246138,,-758028,2314828,162550,,157601,-336314,-178713,0,5971,1110073,,143,-812654,612450,-9935,11007070,-162654,,,,0,-36371,9809
2014-11-12,3,2014,1510145,,-6266361,75252,212,98125,-1561,3036,-86041,,,,,5401,-42099,-30067,100285,91998,-2503515,-209114,,,-9218,,-6,-612,,-188921,,132209,-621818,-356,-770,-1591271,2195346,,,2147,-100438,29638,1266,,2014年01月01日至2014年09月30日,9718077,11868719,-83248,2150642,3502748,,3984492,4307670,576746,-1037544,473464,,-334577,3502748,190901,,281193,-986416,-705223,6000000,6496,1110073,,-1248,-812654,804922,46152,11868719,-253644,,0,-80876,,-185844,25102
2015-03-12,4,2014,2122610,,-6695575,275747,636,61650,-1377,13725,-85933,,,,,-467,-56147,-42687,132652,223041,-3119020,-209114,,,-10542,,-498,,-791,-185262,,118126,-761759,-167,-3834,-2215345,2906085,,,2880,-132554,41749,1266,,2014年度,9718077,13311902,-186375,3593825,4785336,,5842286,6186576,576746,-1037544,981590,,-256157,4785336,228792,0,410089,-1131459,-721370,6000000,3974,1110073,,-39394,-812654,1401240,-16820,13311902,-254751,,0,-80876,0,-158611,22509
2015-05-04,1,2015,,0,-777506,-129135,1322,87159,80,-2544,161979,,,,,4673,-14052,-13797,33413,-22364,-1715168,,,-116000,60,,-19,-606,,-60354,,-189534,628254,1208,,-1827101,730660,,-4118,740,-34015,9975,,792512,2015年01月01日至2015年03月31日,13311902,14294237,13804,982335,882624,-1474,2119522,2144336,,,-510197,,712278,882624,45776,,-328332,797532,469200,2000000,0,0,,26,0,1261712,-32865,14294237,-774,,,,,-20794,25898
2015-08-10,2,2015,,0,-788153,-80140,-272,98452,349,-5525,202386,,,,-7781,,-28095,-31302,66516,-64695,-2522241,,-1444224,-116000,-10,,-38,-525,,-62283,,-236196,752487,1423,,-2642354,1483911,,-12459,1468,-67002,29231,0,1565629,2015年01月01日至2015年06月30日,13311902,12805827,44628,-506075,1623888,-3491,3002921,3890686,0,,,-569532,-801947,1623888,42437,,-290011,991180,701169,2000000,4193,0,,-1465,0,2266798,10927,12805827,-849994,,,,,-1634,24686
2015-11-12,3,2015,,0,-1508153,-124111,421,71000,-2781,8722,128561,,,,,-7803,-42147,-44120,97717,27019,-3619094,0,-1444224,-116000,1049,64,,-580,,-46315,-633737,-243517,918863,-247,,-3725664,2243311,,-20766,2203,-97917,42398,0,2256551,2015年01月01日至2015年09月30日,13311902,9662327,,-3649575,2330434,-8586,4062689,5288941,0,-1999225,-428344,,-4013619,2330434,32053,,-410022,1111978,701956,2000000,6592,0,11221,-1528,-11221,2958507,3767,9662327,-1170733,,,0,,42897,-46718
