date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預收款項增加（減少）
2013-05-10,1,2013,182607.0,,,-127020,-42105,-17395,,,10495.0,2119,,,,,0.0,,-1951.0,-1046.0,,-29.0,-107,15185,6285,-63150,-7796,-1707,,,,-992,,17012,248418,0.0,-40000,-4265,-112559,-34248,,-71807,165483,0,3586,-14335,85,,,2013年01月01日至2013年03月31日,472380,577889,-3531,105509,118409,,348005,368169,,,,,-8003.0,-176974,118409,2350,,213432,-146279,67153,0,1177,1593,249760,,577889,-5914,-216,,,0.0,,-1208,889
2013-08-13,2,2013,372295.0,,0.0,-189040,7395,-56489,,564.0,21609.0,-2701,,,,,2300.0,,-1839.0,-53988.0,,-6482.0,-293,31734,9210,-146610,-7734,13924,,238.0,,0,2104.0,-23280,515676,0.0,-39864,4127,-420799,14782,-1665.0,-202975,325189,0,7544,-29611,336,,,2013年01月01日至2013年06月30日,472380,616216,-6268,143836,315920,,655723,736345,,,-32413.0,,-55204.0,-318122,315920,4700,,544419,-496289,48130,0,2689,2009,420425,0.0,616216,-51347,238,,,0.0,,-10102,-2723
2013-11-12,3,2013,578309.0,,,-356390,59541,42949,,564.0,700.0,-8658,27397.0,,,,,407.0,0.0,-46678.0,,-3174.0,-403,46196,3881,-296103,-10853,9713,,,-20.0,2542,,-306788,447650,0.0,-25000,3808,-413234,-31926,-2506.0,-346190,509788,4502,11519,-43594,424,,,2013年01月01日至2013年09月30日,472380,474514,-3809,2134,536359,,817460,943121,,,-215329.0,,-26685.0,-473017,536359,7050,,547327,-718874,-171547,150000,4338,3075,406762,6113.0,474514,-82491,-1646,,,0.0,,-5719,4624
2014-03-18,4,2013,754173.0,,,-539417,57737,32821,,-13712.0,,-6171,44890.0,,,,0.0,5219.0,,-1096.0,0.0,-3174.0,-674,58738,6995,-473446,-12810,2382,,0.0,-20.0,0,2261.0,-87032,64393,0.0,-25000,1611,-298308,-32525,-4263.0,-493426,680236,4502,15295,-60997,659,,,2013年01月01日至2013年12月31日,472380,465746,-10070,-6634,690348,,1075031,1223429,0.0,,-215329.0,,-70687.0,-595234,690348,9400,,172348,-393440,-221092,250000,5377,4754,533081,4826.0,465746,-88060,-2714,,,,,-6727,3154
2014-05-13,1,2014,194637.0,,,-207972,-62537,10739,,,-3207.0,4758,,,-53145.0,0.0,,,-6904.0,0.0,243.0,,-188,12589,1817,-94654,-1558,2783,,,,0,86.0,-10150,169309,0.0,-5000,377,-45824,-25028,-827.0,-147508,171141,3006,3902,-12254,126,,,2014年01月01日至2014年03月31日,465746,632155,447,166409,174492,,401177,416040,,,,30799.0,0.0,-89077,174492,2350,,114848,-67937,46911,100000,1520,36,241548,,632155,-2735,1577,,,0.0,,-5438,11733
2014-08-12,2,2014,393325.0,,0.0,-375327,-4335,10357,,0.0,2915.0,612,11871.0,0.0,0.0,12016.0,0.0,,0.0,,,,-822,25064,-2451,-233532,-4977,3208,,0.0,-7108.0,-922,0.0,-41486,311722,10000.0,-15000,694,-219850,-17432,-1614.0,-225286,344650,7548,8078,-25599,792,280.0,,2014年01月01日至2014年06月30日,465746,666744,9483,200998,411871,,731843,863773,,,-40516.0,,24843.0,-303108,411871,4700,-280.0,327555,-268978,58577,100000,2129,-63,451902,0.0,666744,-107403,-693,,,,,-8727,6302
2014-11-12,3,2014,574114.0,,,-526467,53612,8475,,0.0,-4925.0,11701,18786.0,,,,,0.0,0.0,730.0,,0.0,-1015,37285,1890,-353233,-8926,5854,,,-4144.0,-2410,,-173530,451697,,-5000,2502,-489627,-8830,-2379.0,-361496,515753,6547,12412,-36507,1025,280.0,,2014年01月01日至2014年09月30日,465746,552618,-1623,86872,716434,,967916,1175785,,,-332105.0,,-6520.0,-521438,716434,7050,-280.0,533171,-647934,-114763,352798,2343,-3,459351,0.0,552618,-172667,-1319,,,,,-2670,13878
2015-03-18,4,2014,784216.0,,,-872714,80692,1392,,0.0,,144,15484.0,,,,0.0,4320.0,,0.0,11249.0,0.0,-1315,49487,8182,-541802,-13735,9420,0.0,,-2689.0,-1575,0.0,-262961,436966,0.0,-5000,-2516,-299639,-26417,-3911.0,-541350,684497,546,16960,-47525,1284,280.0,,2014年度,465746,781769,17354,316023,988707,,1523543,1749992,20000.0,-350.0,-332105.0,,-38942.0,-674352,988707,9700,-280.0,556075,-579006,-22931,553128,4513,144,761285,0.0,781769,-180488,-1751,,,,,7929,29360
2015-05-08,1,2015,,,,0,-137782,9230,0.0,,-5.0,-762,0.0,,337.0,0.0,0.0,,-8717.0,0.0,0.0,,-140,11391,-2343,-236713,-3126,5852,,,,0,-16010.0,-178934,-123008,0.0,0,2692,106483,8238,,-252802,174926,5000,4303,-10040,142,627.0,194008.0,2015年01月01日至2015年03月31日,781769,695897,-9700,-85872,191369,-857.0,61579,75541,,,,66411.0,0.0,107694,191369,7313,-627.0,-251655,-58181,-309836,50000,2710,464,-115828,,695897,-4691,226,8474.0,,0.0,,-7436,-1169
2015-08-11,2,2015,,2.0,0.0,-342857,-74013,11131,,0.0,-3.0,-215,15263.0,0.0,,469.0,0.0,,0.0,,,,-461,23748,-4105,-443519,-8120,5986,,0.0,-10159.0,-10003,0.0,-199787,-215790,,0,7212,173960,34301,,-456539,350207,1991,8332,-22664,509,627.0,403334.0,2015年01月01日至2015年06月30日,781769,661866,-641,-119903,401577,-2934.0,388703,539862,,,,99621.0,,-47962,401577,14570,-627.0,-275602,10553,-265049,250000,4632,1529,138285,0.0,661866,-129631,691,,-44567.0,,,-10828,-5337
