date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他籌資活動,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分按攤銷後成本衡量之金融資產,處分無形資產,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付款項（增加）減少
2013-05-06,1,2013,48974.0,-45274,6684,0.0,-246,-7177,-3094,,-130942,-294,-1418,417,16518,-104439,,,,-3929,-55.0,0,48.0,0.0,,4963.0,-55498,,30088,,,-8194,340248,-758.0,2400.0,-103460,38033,0.0,10152,-417,1418,,2013年01月01日至2013年03月31日,873324,976255,102931,177593,,344825,352070,,,,-155000,-154952,177593,,-21226,146729,125503,0,,42,,,,,0.0,,174477,976255,-8246,2042,,,-2734
2013-08-06,2,2013,85889.0,-17264,15656,0.0,-7249,-9081,-12095,-4277.0,-78750,-288,-2919,283,24966,-217835,,,,-4529,,0,64.0,0.0,,5218.0,-189513,,207213,,0.0,19076,176168,-1566.0,876.0,-214968,69673,0.0,17142,-283,2919,,2013年01月01日至2013年06月30日,873324,1053815,180491,422730,,529989,605856,0.0,,,-155000,-159496,422730,0.0,202652,-105415,97237,1267,,-258,,,,,911.0,,183126,1053815,-78786,2256,,0.0,-6234
2013-11-01,3,2013,138885.0,5868,6178,0.0,-636,-30152,-3754,-4277.0,32851,1608,-4512,589,32253,-356948,,,,-4829,390.0,0,35.0,,,5281.0,-12782,,261115,110000.0,,28778,-432093,31.0,1159.0,-354619,105620,0.0,26404,-589,4512,,2013年01月01日至2013年09月30日,873324,971487,98163,744577,,587880,730982,0.0,-387520.0,,115000,-167351,744577,0.0,296284,-448764,-152480,1487,,17624,,,,,,,-13595,971487,-147614,-8448,,0.0,-9043
2014-03-10,4,2013,196783.0,49282,7782,0.0,-3889,2630,-20262,-4277.0,40885,-501,-7219,1552,10904,-423398,,,,-4987,0.0,-25263,53.0,0.0,0.0,5286.0,-78452,,112051,540000.0,-440000.0,14298,-3353,-376.0,-10233.0,-418087,138489,0.0,33691,-1552,7219,,2013年01月01日至2013年12月31日,873324,2164306,1290982,922495,,1062077,1216947,804384.0,-387520.0,1065000.0,-940000,636088,922495,43470.0,161509,-63840,97669,4653,,22563,,,,,359.0,,294452,2164306,-162089,-9999,0.0,0.0,-12694
2014-04-30,1,2014,36201.0,-30515,-11610,,2037,-11561,-17896,,-108572,913,-4224,146,-5417,-181202,,,,-6576,0.0,0,0.0,-1947.0,,10.0,27001,,-56796,,-100000.0,-9930,229668,199.0,215.0,-180818,35817,0.0,7061,-146,4224,,2014年01月01日至2014年03月31日,2164306,1821069,-343237,187301,,225091,232456,,,,-280000,-382093,187301,,-94989,103943,8954,3094,,1031,,-2331.0,2961.0,,895.0,,45155,1821069,-11589,-2212,,,-3286
2014-08-08,2,2014,76375.0,-484,-8331,,12095,-53574,-27885,-9776.0,-198110,2710,-9226,146,-12207,-311590,,,,-8568,,509,0.0,-1947.0,0.0,-6.0,-54986,,86469,,-100000.0,1133,-10639,-83.0,511.0,-301787,73107,,15437,-146,9226,,2014年01月01日至2014年06月30日,2164306,1609786,-554520,415312,,151343,233883,,,,-280000,-391869,415312,,99724,-357528,-257804,13847,,1872,,-2331.0,2961.0,34.0,1535.0,,-181429,1609786,-91766,-5849,,,-3920
2014-10-30,3,2014,132895.0,17380,-8673,-930.0,-3683,-47818,-72354,-9776.0,163,2500,-10649,146,1658,-418820,,,,-9976,,509,-1947.0,,,1202.0,-44099,,212538,0.0,-100000.0,17048,-705799,-1166.0,-59.0,-409906,110772,,26283,-146,10649,,2014年01月01日至2014年09月30日,2164306,949717,-1214589,789990,,130502,278443,,-544974.0,0.0,-280000,-936843,789990,,243224,-887666,-644442,14088,2961.0,10841,,-2331.0,,34.0,1535.0,,-511547,949717,-158590,-5176,,,-7920
2015-03-16,4,2014,215268.0,26272,-35347,-1857.0,8445,-37475,-61855,-9776.0,-66242,9386,-13029,420,20404,-457086,,,,-22814,,509,0.0,-1947.0,-2007.0,0.0,10584,,84108,0.0,-100000.0,-610,-231951,,-1263.0,-462646,158550,,41093,-420,13029,,2014年度,2164306,1587267,-577039,1076779,,802320,965249,0.0,-544974.0,182530.0,-462530,-937117,1076779,0.0,116952,-443750,-326798,18046,2961.0,18831,,-2331.0,,34.0,77.0,,-111530,1587267,-175958,1839,,,-21464
2015-04-30,1,2015,,-71032,13774,,-3884,28535,-23768,,62199,2555,-1856,0,-3923,-110585,,,,-9072,,344,,0.0,,12.0,-136727,,-89331,,0.0,-3182,167948,,,-118313,46630,,16382,0,1856,66689.0,2015年01月01日至2015年03月31日,1587267,1603665,16398,153496,-2068.0,138634,165241,,,,0,0,153496,,-169497,114553,-54944,1318,0.0,252,,0.0,,,,14.0,11745,1603665,-28463,2382,,,2592
2015-08-07,2,2015,,-60787,7629,,6368,9612,-38623,-8554.0,65418,1040,-5306,0,-9147,-138295,,,,-12659,,12814,,0.0,0.0,25.0,-11176,,-65273,,0.0,-12973,-214858,,,-145545,98197,,33316,0,5306,139896.0,2015年01月01日至2015年06月30日,1587267,1527415,-59852,414758,-3323.0,103394,243752,,,,0,-8554,414758,,-135988,-174914,-310902,1436,,1571,2480.0,-2870.0,0.0,0.0,,1468.0,-171006,1527415,-145664,1134,,,7084
