date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,償還長期借款,其他借款增加,其他借款減少,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他非流動負債增加,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得子公司股權,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,存入保證金增加,存出保證金增加,存貨（增加）減少,已實現銷貨損失（利益）,庫藏股票處分,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,金融資產減損損失,附買回票券及債券負債減少,非控制權益變動,預付款項（增加）減少,預付設備款增加,預付設備款減少,預付費用（增加）減少
2013-05-06,1,2013,577427.0,,,,0.0,,-77445,-32011,-3217.0,-36822,-173,,,-83.0,-110.0,9033.0,-1628,24495,-2961,-475411,,-87671.0,-32106,18480.0,,-8590.0,109.0,-45600,,,94630,18292,-650000.0,,30669,-285181,-5603,5252,211.0,-572375,531797,0.0,-26974,36207,-38746,1579,0.0,,2013年01月01日至2013年03月31日,1397982,1418513,20531,397757,,592981,601230,,0.0,-272741.0,,2886,397757,30172,-404126,-373954,934860,7551,,-1137,,0.0,0.0,,,,203473,1622,1418513,-9828,5634.0,-985.0,,,38186,-40810.0,,,
2013-08-09,2,2013,1157638.0,,,,0.0,,-341,-157276,,-53708,-906,40.0,-63905.0,,,0.0,-3475,49479,41938,-1190508,,-146995.0,-151961,-28657.0,,-16.0,-5.0,-165746,,38483.0,228751,16696,,-650000.0,7380,-612621,-10437,-24775,-16733.0,-1509797,1080203,0.0,-102541,138027,-49419,3456,116281.0,,2013年01月01日至2013年06月30日,1389851,1403131,13280,918355,,1214883,1209828,,0.0,,-147868.0,266256,918355,175493,-1041658,-866165,1084705,8329,,-95,0.0,,,0.0,,,291473,-4745,1403131,-114682,-3960.0,-1847.0,0.0,,-9629,-5992.0,,,
2013-11-11,3,2013,1707027.0,,,,,,82525,-63964,,-46213,-4745,15.0,-65654.0,,,0.0,-7913,75361,27066,-2078065,,-146995.0,-158654,-37823.0,,,,-352893,-2834.0,109013.0,199385,7816,,-310000.0,13434,-365411,-2823,7839,-24859.0,-2405994,1646331,0.0,-170229,182720,-67760,7895,117328.0,,2013年01月01日至2013年09月30日,1389851,1367597,-22254,1321905,,2355656,2395160,,0.0,277279.0,0.0,1018,1321905,232484,-866256,-633772,2114,15543,,-126,0.0,,,0.0,,,1073255,381,1367597,-164727,-16283.0,,0.0,0.0,-9628,,,,-18605.0
2014-03-25,4,2013,2293342.0,16739.0,,0.0,,0.0,237765,-73641,,-51408,-11942,21.0,-192291.0,,,6958.0,-12352,104218,41702,-2622621,-347711.0,-146995.0,-263460,-57075.0,,,,-337657,-3822.0,109013.0,262685,39436,-650000.0,,39760,-707534,-5156,3995,-33523.0,-3349749,2204172,0.0,-242503,197207,-85769,12335,117328.0,,2013年01月01日至2013年12月31日,1389851,1071829,-318022,1698445,,3035952,3086909,-201968.0,0.0,235294.0,,-45927,1698445,492170,-1397048,-904878,904842,28772,,-1377,0.0,,69365.0,39622.0,,,1388464,-2566,1071829,-180620,-13551.0,,14770.0,,-9628,-72822.0,-374474.0,0.0,
2014-05-12,1,2014,574989.0,,,-1141053.0,,,-173151,-1107,,26204,10319,-2309.0,-1769.0,,,,-1810,29030,-12801,-743555,,0.0,-45655,41621.0,,,,61325,-145.0,,138663,-17107,469440.0,0.0,-42292,1406,-6577,1764,-7112.0,-765752,580447,,-85580,52298,-44128,1829,0.0,,2014年01月01日至2014年03月31日,1071829,1329171,257342,480618,,973859,1001742,,,403026.0,0.0,62036,480618,-74303,20438,-53865,374751,22532,6223.0,-1135,,1711.0,,,,,521124,2801,1329171,-29712,173.0,,,,0,-44923.0,-46918.0,0.0,
2014-08-11,2,2014,1130492.0,,,-1098805.0,,,-130444,-41398,,58018,-157518,-2341.0,5999.0,,,,-3969,60714,-41026,-1633185,-357953.0,0.0,-107834,12026.0,,,,106326,-290.0,0.0,79227,-746,640000.0,0.0,29156,-48394,-14357,4311,-14419.0,-1977178,1171940,,-199674,107162,-67377,3988,74394.0,,2014年01月01日至2014年06月30日,1071829,1424796,352967,881166,,1795881,1882699,,,832208.0,0.0,575290,881166,16072,-145031,-128959,638545,41531,6223.0,-7375,,1711.0,,,,,1001533,-2379,1424796,-165200,273.0,,,,-11328,,-295939.0,0.0,
2014-11-11,3,2014,1738529.0,,,-872915.0,,,-164287,-58202,,-13938,-210115,-2313.0,-14822.0,,,,-5612,92664,-29709,-2606033,-357953.0,0.0,-142506,0.0,,,,-40185,-436.0,0.0,239951,4617,605000.0,0.0,-2799,-139920,-23131,19051,-21915.0,-2956110,1775745,36500.0,-281080,164826,-84502,5630,239942.0,,2014年01月01日至2014年09月30日,1071829,1232616,160787,1158570,,2464252,2471452,-650625.0,,800440.0,,682354,1158570,41677,-467324,-425647,1264252,64113,6223.0,-9562,,1711.0,,,17704.0,,1312882,2361,1232616,-252772,273.0,,,,-21343,,-332111.0,,
2015-03-24,4,2014,2313183.0,0.0,,-923725.0,,,555474,-70729,,61597,-408951,-2293.0,-42223.0,,,0.0,-10867,126847,-29193,-3721139,-357953.0,0.0,-291815,0.0,,,,-15135,-581.0,0.0,481703,30621,570000.0,0.0,-62397,-613258,-8153,-79977,-29735.0,-4068639,2395431,36500.0,-422607,224478,-105860,10885,239942.0,,2014年度,1071829,1195358,123529,1200009,,3305791,3316327,-650625.0,,1049609.0,,915570,1200009,1041561,-1238426,-196865,1355888,116306,6461.0,-1265,,1474.0,0.0,0.0,42792.0,,2116318,6591,1195358,-261363,273.0,,0.0,,-21764,,-257744.0,,
2015-04-30,1,2015,,,,-995151.0,,,-494383,-307787,,-40404,-72767,-1111.0,26280.0,,,,-1846,36291,-5395,-1106479,-17073.0,,-46177,,-47442.0,,,7997,-145.0,,-137190,-22357,0.0,-199999.0,41482,108823,10074,115783,,-1076333,643758,,-76851,57173,-51104,1846,307800.0,656078.0,2015年01月01日至2015年03月31日,1195358,1287607,92249,502207,-7599.0,670045,387049,,1200000.0,0.0,-115667.0,503932,502207,-659639,-111597,-771236,700000,30194,0.0,-2302,,0.0,,,,0.0,-115158,1923,1287607,-26650,0.0,,,,-17074,,0.0,93571.0,
2015-08-11,2,2015,,,,-1429050.0,,,-351401,-41111,,-29555,156535,-1139.0,-26990.0,,,,-3118,72737,-9181,-1930580,-17073.0,,-134245,,-4909.0,,,114215,-290.0,,-285950,6513,0.0,-450000.0,80879,245450,481,70578,,-1893831,1297428,,-175541,103953,-64746,3118,54428.0,1306771.0,2015年01月01日至2015年06月30日,1195358,1275576,80218,713457,-13748.0,1838409,1945868,,1200000.0,0.0,-810701.0,144821,713457,-593518,519158,-74360,1754535,50926,0.0,11602,,0.0,,,,0.0,1232411,883,1275576,-165005,0.0,,,,-38144,,0.0,124977.0,
