date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得無形資產,存出保證金增加,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-08-07,2,2013,14185,-6896,3499,105,66965,-15107,,,,-2859,,22164,-10397,,,0,0,,-88161,,-15277,4699,39329,0,-10397,15438,,907,,,,,2013年01月01日至2013年06月30日,333656,454888,121232,107920,109465,108467,,,,,107920,,,-31961,18323,-13638,,,,,57,,547,515,454888,-1339,642,,-3309,0,
2013-11-04,3,2013,20626,-4294,3217,-60,54773,-39303,,,,-3875,,18831,-17934,,,,-228,,-109325,,48361,2112,-7593,0,-18162,24081,,1368,,,,,2013年01月01日至2013年09月30日,333656,395597,61941,169040,132341,131565,,-71069,,-71069,169040,,,6186,-64287,-58101,,,,0,109,,-37475,-630,395597,-2627,-1057,,-5359,,
2014-03-07,4,2013,31638,1003,3567,72,53618,-50609,,-8731,,-5246,,30208,-25738,,,-391085,-1437,-585,-108433,,34666,9463,-44807,0,-427576,32043,,1779,,,,,2013年01月01日至2013年12月31日,333656,416153,82497,207008,130934,130191,420000,-71069,,348931,207008,6590,,-13944,-94511,-108455,0,,0,,219,,-76817,-8539,416153,-3737,-3747,,1544,0,
2014-05-06,1,2014,12582,-6143,-10,-58,-26862,,,-3329,,-6028,,11411,-33560,,,-89064,,,-20682,,-46525,1796,42934,,-26752,8866,-30270,306,,,,,2014年01月01日至2014年03月31日,416153,376154,-39999,51466,-24658,-24738,,,,,51466,,,-52002,-36784,-88786,,,,98960,37,,-76204,-362,376154,-666,9401,,-1894,-1028,-710
2014-08-05,2,2014,13896,-5776,2407,-103,9096,,,,5341,-13342,,2095,-48258,,,-127873,-506,,-4725,,-33697,-9135,39309,,-71404,18785,-170033,634,,,,,2014年01月01日至2014年06月30日,416153,303268,-112885,119668,-43576,-44875,,,,,119668,,,-50497,-127942,-178439,,,,98364,173,,-164543,-1087,303268,-927,7646,,-3996,,-699
2014-11-12,3,2014,19585,-6041,2559,-160,11580,,,-387386,8758,-20757,,4895,-60750,,,-215751,-903,-1700,1349,,-9778,-12769,49764,,-33528,29231,-142507,931,,,,,2014年01月01日至2014年09月30日,416153,300204,-115949,188733,99110,94961,,-186426,,-186426,188733,,,-31960,-81397,-113357,,,,608025,234,,-93772,-2500,300204,-1208,9946,,-4142,,-712
2015-03-20,4,2014,19033,1009,-16324,-19,8219,,,9117,0,-26689,,40882,-78446,,-21273,-606863,-908,-1700,17465,,18996,-13286,-9615,,347973,41001,-57874,1207,,,,,2014年度,416153,843661,427508,254528,225079,219315,0,-186426,,-186426,254528,0,,1966,-56212,-54246,1029,24558,,1001570,-447,-3285,-35213,-3993,843661,-822,7246,,1917,,-741
2015-04-27,1,2015,,-13689,16209,-49,614,,0,0,,-5787,,-4786,-10159,,-11459,-359543,-3017,,76847,,-78572,0,64891,,-372710,12239,-128067,398,,,,1506,2015年01月01日至2015年03月31日,843661,472085,-371576,72455,5920,4750,,,,,72455,,,-93699,24488,-69211,,12504,,0,2,-1045,-67705,-1389,472085,-728,-4301,,-6006,-1036,0
2015-08-07,2,2015,,-9936,18650,-93,-24572,,0,,0,-12024,,-23395,-15453,-773,-11459,-712232,-2988,,98527,,-69387,0,79499,,-11604,24328,-143076,766,,,,16643,2015年01月01日至2015年06月30日,843661,906508,62847,123283,97846,94208,,,,,123283,,,-70988,25270,-45718,,12504,,712232,41,-1045,-29075,-1793,906508,-801,4577,,-3758,-1021,10221
2015-11-04,3,2015,,-7211,19445,-166,2506,,0,0,0,-15374,,-2465,-28509,-773,-11459,-789447,-2991,-19,70798,-118124,-23947,0,32192,,-22931,36823,-127684,1106,,,405,37752,2015年01月01日至2015年09月30日,843661,672970,-170691,190767,200219,194038,,-227390,,-345514,190767,3663,-405,-22801,-11680,-34481,,12504,,789447,74,-1045,3271,-2364,672970,-1282,12910,,-8937,,10887
