date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分無形資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-10,1,2013,6156.0,-23333.0,,,-3563,-16802,,7838.0,,186.0,,79.0,,,-75,4672,15603,-505,-915,-1447,,,-17495,-10696,,-29995.0,4111,147607,-6327,0.0,6975,2111,,957,-4983,115,,2013年01月01日至2013年03月31日,549034,515350,-33684,8670,,68305,73238,,-94758.0,,-124567,8670,-33481,91893,58412,478,,0.0,-62.0,,64568,515350,-65,,-15090,,,
2013-08-08,2,2013,15974.0,-65602.0,,,5163,-54525,0.0,6987.0,,364.0,,,48.0,,-400,9703,19894,-3475,-1153,611,,,-6049,6711,0.0,-29995.0,-4220,-126096,7557,,3149,4208,,1914,11121,438,,2013年01月01日至2013年06月30日,549034,436976,-112058,16617,,-205626,-191322,,100156.0,,70525,16617,-57948,-165965,-223913,553,,0.0,-62.0,189.0,-207939,436976,-25863,,13148,,,
2013-11-08,3,2013,28283.0,-30420.0,,,4050,-12532,-61298.0,,,536.0,,-3613.0,,,-608,15612,10218,-3657,-1608,4146,,,98523,-55948,,-29995.0,-6488,-173042,-1186,,-69434,6339,,2856,-16648,468,,2013年01月01日至2013年09月30日,549034,519482,-29552,25424,,-177661,-135536,-119478.0,356262.0,,207325,25424,-88806,-100437,-189243,553,,0.0,-62.0,189.0,-160960,519482,-25945,,-12200,,,
2014-03-25,4,2013,38427.0,-32240.0,,-46.0,-11253,-734,-40454.0,,-13276.0,,,0.0,-3236.0,,-1062,21857,14983,-3746,-1829,5460,-20.0,,448024,-187326,0.0,-29995.0,-10279,-344364,-3116,-310.0,-49057,8436,,3798,-21289,941,,2013年01月01日至2013年12月31日,549034,499784,-49250,79756,,-93546,-41683,-119478.0,227863.0,,78370,79756,-241408,81542,-159866,615,,0.0,-62.0,200.0,-121439,499784,-31515,,-4946,0.0,-607.0,
2014-05-12,1,2014,7243.0,-6464.0,,-6589.0,-1941,-895,-96470.0,149365.0,46.0,0.0,,-2826.0,4169.0,,-213,6989,7393,-1224,-1183,-2416,,,-27005,23984,,0.0,702,226743,-19041,211.0,52481,1948,,935,-6851,328,,2014年01月01日至2014年03月31日,499784,564925,65141,41018,,187119,193756,,1797722.0,-1979574.0,-181852,41018,16492,129003,145495,0,,,0.0,,152738,564925,-114,,-44256,-794.0,1444.0,
2014-08-08,2,2014,13449.0,,-7113.0,-27028.0,9450,-12650,-226479.0,248380.0,9905.0,,0.0,-3943.0,2808.0,,-641,14010,3349,-2488,-1211,-5688,,,-204018,109251,,0.0,-447,265155,860,416.0,17589,3913,,1855,-14093,757,,2014年01月01日至2014年06月30日,499784,486161,-13623,60598,,172984,186580,,3514267.0,-3721812.0,-207545,60598,111557,976,112533,11,,,0.0,0.0,125982,486161,-260,,-31248,-2168.0,2679.0,
2014-11-10,3,2014,24710.0,9464.0,,-17160.0,2295,-2509,-374658.0,390432.0,9821.0,,0.0,-4551.0,4027.0,,-778,20612,21101,-2488,-1487,-3730,,,-341662,247396,,0.0,4828,83024,2701,617.0,11738,5848,,2757,-19724,884,,2014年01月01日至2014年09月30日,499784,541687,41903,90578,,72260,91457,-70281.0,5029032.0,-5021947.0,-63196,90578,277836,-301667,-23831,11,,,1.0,0.0,879,541687,-357,,-35882,-2420.0,2872.0,13236.0
2015-03-26,4,2014,35762.0,14304.0,,5903.0,19978,-348,-24167.0,,9714.0,,,-3678.0,,,-1254,26804,41684,-3601,-1586,-1203,1329.0,,-199058,121988,,0.0,-472,-85279,77,818.0,-32852,7769,0.0,3646,-27083,1154,,2014年度,499784,543293,43509,175002,,77191,108579,-70281.0,26438.0,,-42514,175002,156616,-258801,-102185,12,,,,0.0,-66423,543293,-5459,,10190,168.0,,
2015-05-12,1,2015,,,-122.0,-6143.0,-1254,-7028,-13937.0,,32.0,,,-1261.0,,-996.0,-137,6247,-7435,-1219,-794,2589,,243.0,-189199,-94556,,,-554,492447,-881,,-15948,1709,,838,-7883,431,10250.0,2015年01月01日至2015年03月31日,543293,621714,78421,12680,221.0,167556,176008,,,-65995.0,-65752,12680,-96265,249343,153078,10,1068.0,,,,163328,621714,-1000,,-39885,,185.0,
2015-08-11,2,2015,,,-5715.0,7880.0,-3779,-8300,,2208.0,32.0,,,-368.0,,-996.0,-560,11632,-17655,-2242,-1218,-1415,,163.0,-349545,-88010,,,2505,580694,14359,,-60,3332,,1688,-13031,738,13681.0,2015年01月01日至2015年06月30日,543293,523500,-19793,-25182,441.0,89726,114577,,,-91967.0,-91804,-25182,-94558,220636,126078,10,1068.0,,,,139759,523500,-12558,,-24484,,482.0,
