date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款減少,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他營業資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工購買庫藏股,存入保證金增加,存入保證金減少,存出保證金增加,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收款項減少,應收票據（增加）減少,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非控制權益變動,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加
2013-05-13,1,2013,30057.0,-781900,121697,34335.0,-79395,,313042,,-4666,39087.0,0.0,-404,17785,,-407483,,0,,-3540,,,,-1564.0,5.0,-6900,0.0,113846,148960.0,,-107509,-3163,,-244,,-342262,4409,,8594,-76143,770,,2013年01月01日至2013年03月31日,2848374,2348039,-500335,-119137,179992,255662,,,40000,,-338065,-119137,,441076,-96334,344742,261264,,,,,,0.0,,374799,2348039,-297,-4825,-327,-6632,
2013-08-02,2,2013,55128.0,-2247284,36216,,635941,,546127,,-3972,12068.0,,-2954,37569,,-602160,,0,,-4890,,194057.0,,-1680.0,-228.0,-49536,0.0,-162207,149006.0,,-305818,-2349,34335.0,120,,-564847,8991,,19889,-152417,2765,,2013年01月01日至2013年06月30日,2848374,1638826,-1209548,156992,725761,904833,,,40000,,-1370462,156992,20400.0,114318,578395,692713,500264,,,,,-24.0,0.0,,747841,1638826,-29420,-4825,-28743,-5781,
2013-11-01,3,2013,89204.0,-3137284,201214,,1723135,18265.0,80407,,-77983,,5825.0,-3289,55335,,-797684,,0,,-5153,,194057.0,,-1743.0,,685203,0.0,-185952,148989.0,,-317524,-632513,,-197,,-862555,13585,,26441,-224627,3453,,2013年01月01日至2013年09月30日,2848374,1980380,-867994,447646,1836223,2094475,,,40000,,-1841662,447646,20400.0,-221855,1779480,1557625,919144,,,,,-24.0,0.0,,1646829,1980380,-37078,-4825,-29069,3852,
2014-03-11,4,2013,30464.0,-4137284,1324207,,2625062,-278219.0,-1059756,,-109872,,-26466.0,-6050,18394,772.0,-1526591,,0,,-10927,14120.0,194058.0,,-2585.0,,871977,0.0,-3569,112406.0,,-9313,185,,-417,,-1925609,18252,,35555,-277115,6295,,2013年01月01日至2013年12月31日,2848374,3012780,164406,849029,4268329,4579283,,,740000,,-2179086,849029,20400.0,251569,3448221,3699790,919144,,,,,,0.0,,3730254,3012780,-40134,-4825,-43741,-48586,
2014-05-07,1,2014,26889.0,0,595017,,175666,34802.0,-155620,,-12224,0.0,26.0,-342,12628,-24.0,-22543,,-153567,-29400.0,0,,,,-2009.0,,-1809,,6433,741.0,0.0,12230,269,,764,,-182932,4240,,11171,-57319,450,,2014年01月01日至2014年03月31日,3012780,3443555,430775,8192,614999,672617,,,0,,-1268,8192,,458060,179476,637536,0,,5.0,,,,,,664425,3443555,-749,0,-839,4586,
2014-08-12,2,2014,49813.0,-300000,625014,,313144,352951.0,-592010,,-36676,0.0,17092.0,-3756,6374,-33.0,-37748,,-320429,-29400.0,-835,,0.0,,6564.0,,-16962,-22574.0,-3,220.0,,-1276,-951,,1161,,-72137,8681,1073.0,20712,-117349,3750,,2014年01月01日至2014年06月30日,3012780,3288313,275533,-43455,163493,292663,,500000.0,0,,184210,-43455,,31725,254580,286305,0,,9.0,,,,,,336118,3288313,-15571,0,-372,-41812,
2014-11-05,3,2014,97461.0,-910000,717854,,314136,204560.0,-477714,,-104277,0.0,43194.0,-4038,12108,-54.0,-96280,,-536205,-29400.0,-1661,,221991.0,,-2658.0,,-34478,-89635.0,72142,206.0,,-33865,-2207,,1161,,-563263,13747,2441.0,30499,-170996,4050,,2014年01月01日至2014年09月30日,3012780,3970408,957628,-197391,216941,401631,,500000.0,0,,1304004,-197391,,278417,223144,501561,1579200,,9.0,,,,,,599022,3970408,-17744,4900,-499,-55468,
2015-03-03,4,2014,-4507550.0,-1140000,933006,,111962,435123.0,-580439,67324.0,-132092,,18094.0,-7802,15692,65.0,-113042,,-926619,-29400.0,-1661,0.0,221991.0,,8313.0,,-45738,-377352.0,7930,,-187.0,66568,-2359,,879,-4547595.0,-840644,19271,3279.0,4770,-235345,7794,,2014年度,3012780,4155290,1142510,5460556,1310872,1556276,-124648.0,500000.0,700000,-700000.0,672217,5460556,,427065,176205,603270,1579200,,11.0,13596.0,455.0,,,,-3904280,4155290,-17853,4900,-13725,44137,-86549.0
2015-05-06,1,2015,,-30192,-141020,,-146218,21782.0,115250,0.0,-21020,,300.0,-280,12409,-12.0,-2780,,-212447,0.0,-435,0.0,16824.0,1618.0,,,-20056,-156288.0,15008,,-404.0,15850,169,,282,0.0,-226726,7099,1046.0,1087,-76353,301,21426.0,2015年01月01日至2015年03月31日,4155290,3969151,-186139,-146626,-347678,-271124,0.0,0.0,840719,-334000.0,388277,-146626,,5088,-151012,-145924,50000,,0.0,0.0,0.0,,,,-124498,3969151,-502,0,-235,14811,-11826.0
2015-08-05,2,2015,,-60386,-198056,,-233380,76524.0,-9784,0.0,-46173,,300.0,-3905,34908,-26.0,-80645,,-341793,0.0,-435,0.0,140771.0,1611.0,,,-17159,-156288.0,9857,445.0,,15962,-452,,282,-308609.0,-404915,14608,1915.0,2461,-161069,3951,-258703.0,2015年01月01日至2015年06月30日,4155290,3650557,-504733,85387,-782664,-607046,,800000.0,840719,-1034000.0,682872,85387,,-182021,-251709,-433730,150000,429.0,-145.0,0.0,0.0,,,,-692433,3650557,-18500,0,-236,-1000,-12822.0
