date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產（增加）減少,其他非流動資產增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付設備款增加
2013-05-13,1,2013,-135871.0,0.0,-300000,-27599,-6788,2512,-4471.0,0.0,,,-399,-5587,12544,20233,-25066,,0.0,,-29481.0,0.0,-1770,6774.0,,0.0,,323.0,47110,-13637,-184.0,0.0,-245,61848,-23515,703.0,-43997,49023,-191374,1293,-12252,5587,,2013年01月01日至2013年03月31日,1235807,1401586,165779,232213,,125577,132260,,357376.0,,63966,232213,0.0,,-38266,74184,35918,,10626.0,,0.0,0,,,0.0,,,-99953,,1401586,-18,0.0,,0.0,,,,
2013-08-13,2,2013,-432965.0,29881.0,-925000,-47160,29113,-3829,22480.0,0.0,,,-28000,-8253,24918,25387,-8917,,-299966.0,-248.0,-29667.0,-27.0,-2396,34889.0,59.0,0.0,0.0,966.0,44143,-36517,199745.0,,1037,-28450,-9330,1422.0,-317614,97637,-541619,1837,-25411,8253,,2013年01月01日至2013年06月30日,1235807,1239851,4044,621979,,62808,161923,,923770.0,,233463,621979,0.0,2054.0,-85047,57956,-27091,,18364.0,,0.0,-7205,,,62.0,0.0,,-460056,,1239851,-81957,0.0,0.0,0.0,0.0,,,
2013-11-12,3,2013,3929.0,67362.0,-925000,-50701,15298,3213,,0.0,28453.0,,-35966,-11235,38774,21042,-18426,,-365928.0,-247.0,-29734.0,-24.0,-2210,42351.0,109.0,0.0,0.0,968.0,-5698,-13408,-188.0,0.0,651,1890,37464,-3334.0,-300077,146739,-832002,2492,-39182,11235,,2013年01月01日至2013年09月30日,1235807,1159202,-76605,1036884,,926459,1054641,-852428.0,1011127.0,,-724029,1036884,0.0,670619.0,-63579,77407,13828,,18727.0,63191.0,0.0,-7275,,,-1973.0,0.0,0.0,17757,,1159202,-100235,0.0,,0.0,0.0,,,
2014-03-28,4,2013,-118032.0,67349.0,-625000,-1283,1559,1861,-20342.0,,,,-39038,-18559,51422,16319,-25172,-40000.0,-434854.0,-247.0,-148613.0,,-3469,43505.0,176.0,,0.0,166.0,43470,-14253,199884.0,,0,-22204,46294,-2715.0,-531748,164960,-1055205,3260,-47581,14518,,2013年01月01日至2013年12月31日,1235807,1076454,-159353,1376116,,1156181,1290380,-852428.0,433758.0,0.0,-800105,1376116,0.0,748559.0,-16481,48777,32296,,16862.0,63191.0,0.0,-6965,,,-2035.0,8608.0,0.0,-85736,-91.0,1076454,-101136,0.0,,0.0,0.0,,,
2014-05-13,1,2014,-568519.0,,0,-3417,3031,5491,22984.0,-17895.0,,,-6206,-1998,12025,884,-1266,-15000.0,,,0.0,,-1165,5323.0,89.0,,-438.0,0.0,-113855,-62250,,-99997.0,-134,50597,33169,793.0,-22501,49730,-628395,1225,-11755,1998,,2014年01月01日至2014年03月31日,1076454,864891,-211563,677098,,17292,27093,,0.0,-112653.0,-207238,677098,,,-77412,-4074,-81486,,409.0,,,59,,,,,,-650005,,864891,-44,,,,,,,
2014-08-13,2,2014,-972873.0,0.0,0,-712,-12816,-10687,34412.0,4248.0,,,-14209,-3961,23733,-4658,-8252,-65206.0,0.0,-147.0,0.0,0.0,-1784,15153.0,90.0,,-729.0,0.0,-377314,28427,199683.0,,-785,-9650,47658,-807.0,-68902,97291,-1088136,2113,-24008,3961,,2014年01月01日至2014年06月30日,1076454,757335,-319119,1184935,,-149821,-85964,,0.0,-310664.0,-95738,1184935,,4108.0,19684,-317710,-298026,,409.0,,19232.0,58,,,-6295.0,,,-1270899,,757335,-43810,,,,,,,
2014-11-12,3,2014,-169577.0,15075.0,0,9095,-7894,-16341,34851.0,8123.0,,,-11243,-5316,35801,5476,-23081,-65156.0,0.0,-147.0,0.0,0.0,-3098,18000.0,2103.0,,-877.0,0.0,-237704,-15978,400271.0,0.0,350,-5026,48511,-2004.0,-65747,142992,-1358965,3089,-35488,5316,,2014年01月01日至2014年09月30日,1076454,881296,-195158,1612989,,1185377,1259395,-854291.0,0.0,-885534.0,-1320264,1612989,,1021771.0,-16755,-167262,-184017,,488.0,0.0,19194.0,431,,,-6282.0,,,-353594,,881296,-43846,,,-813.0,,,,
2015-03-31,4,2014,-173623.0,15075.0,-500000,-6607,1594,996,20328.0,,,,-17733,-8809,46854,20741,-45306,-65305.0,0.0,-398.0,-13500.0,,-3181,18000.0,12257.0,,,-1709.0,-61615,-29098,199959.0,,-187,-7116,638,-1200.0,-103184,167136,-1409172,4169,-48159,12186,,2014年度,1076454,830963,-245491,1768219,,1432055,1512536,-854291.0,-970216.0,,-1595103,1768219,,1027853.0,-35889,-46171,-82060,500000.0,6384.0,0.0,19308.0,18550,,,-5991.0,0.0,,-255683,207.0,830963,-44508,,,-812.0,,-11032.0,,
2015-05-13,1,2015,,,-500000,-14439,2753,5959,9900.0,92.0,,,-8376,-2148,10072,-2084,-8406,-39404.0,,,,,712,0.0,0.0,-1995.0,0.0,137.0,13581,-37941,,-299900.0,-427,13492,16740,,-56049,48552,-246433,1709,-9999,2148,-187535.0,2015年01月01日至2015年03月31日,830963,873128,42165,288830,-896.0,102193,110109,,300000.0,0.0,-1895,288830,,,-47652,56466,8814,500000.0,0.0,,,1,,,,,,-178721,,873128,-65,,,,,,,
2015-08-07,2,2015,,,-500000,-3930,-220,3027,1327.0,184.0,,,-14206,-4370,20616,-5821,-73824,-38974.0,,0.0,,,1254,0.0,-1529.0,,-2350.0,,-503720,201247,-299935.0,,807,23414,-31156,,-128350,99134,-946587,3801,-20579,4370,-826746.0,2015年01月01日至2015年06月30日,830963,814717,-16246,1021458,-191.0,-204238,-114499,,,974303.0,322163,1021458,,0.0,201144,-510355,-309211,100000.0,1004.0,,0.0,-594,,,0.0,,,-1135957,,814717,-73530,,,49324.0,,,,
