date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得子公司股權,取得投資性不動產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,預付款項（增加）減少
2013-05-14,1,2013,,109770.0,,-149225,-29479,,20594,,-9255,-9141,-31570.0,12102.0,,,14082.0,,,,7955.0,,-922,16762,623,-145881,,,,,672,,,,,,-680,,28948,,-1888,,239036,,5553,,-123844,83887,,509.0,-16772,922,,2013年01月01日至2013年03月31日,1042206,992565,-49641,8496,345745,362382,,,,,-253717,-272165,8496,8862,-30122,274238,244116,130777.0,0.0,0.0,0.0,353886,13122,992565,-787,,,,6774
2013-08-13,2,2013,,216189.0,,-300447,4898,,24897,,24202,-11856,-46084.0,33886.0,,,18030.0,,,,-43938.0,0.0,-2538,30862,5827,-203401,,,,,-203,,,,,,-222770,,186490,,-9852,,213846,,8085,,-229309,170343,,,-30785,2538,,2013年01月01日至2013年06月30日,1042206,968325,-73881,117910,465686,544990,,,,,-520372,-316085,117910,17725,171373,39518,210891,504734.0,0.0,0.0,0.0,427080,11719,968325,-51057,,0.0,,-6570
2013-11-12,3,2013,,328589.0,,-1248737,6063,,24255,,-8492,-11519,-49454.0,54754.0,-4650.0,0.0,42437.0,,,-77027.0,,3925.0,-2713,42806,4145,-319021,-28215.0,,,,64,,,,,,-103746,,-17672,,1932,,76975,,21312,,-381826,254980,,,-43813,2713,,2013年01月01日至2013年09月30日,1042206,1374950,332744,270447,476516,614458,800000.0,-360000.0,1000000.0,0.0,-341522,233909,270447,33327,-55273,70695,15422,388818.0,0.0,0.0,0.0,344011,12350,1374950,-96842,-3800.0,0.0,,8664
2014-03-27,4,2013,,433912.0,,-1779425,6677,,25283,,-447723,-6594,387324.0,75754.0,-4650.0,-52019.0,,,,-641482.0,,9813.0,-3761,45972,7105,-324395,-28215.0,,,,-498,,,,,,-89238,,75058,,4716,,106360,,23123,,-1046111,338632,,,-45725,3761,,2013年01月01日至2013年12月31日,1042206,704620,-337586,377486,869311,1008210,800000.0,-360000.0,1000000.0,0.0,-249704,-167891,377486,39249,40361,156451,196812,425888.0,0.0,0.0,0.0,630724,14309,704620,-96935,1200.0,0.0,3305.0,21763
2014-05-06,1,2014,,102030.0,,-20725,-3284,,-1237,,57312,-92183,-3103.0,2732.0,0.0,,43826.0,,,,-2123.0,5887.0,-287,4596,-354,-463587,0.0,,,,-485,,,,-17683.0,19260.0,60645,,-96781,,-4928,,85869,,-2492,,-420307,85944,,,-3663,287,,2014年01月01日至2014年03月31日,704620,770105,65485,45672,151097,154267,0.0,0.0,0.0,,-34226,335049,45672,7175,-52036,58601,6565,390000.0,0.0,0.0,0.0,108595,-1252,770105,206,-800.0,0.0,0.0,5267
2014-08-12,2,2014,,205027.0,,-32982,-1605,,275,,22910,-426,-3985.0,8032.0,,,106470.0,,,0.0,4754.0,11775.0,-916,9685,-5118,-681085,-312000.0,,,,-244,,,,-65770.0,27323.0,-80717,,-51169,,-8371,,17660,,-5904,,-920308,175177,,,-11087,916,,2014年01月01日至2014年06月30日,704620,623324,-81296,141613,194380,244014,,,,6061.0,0,649750,141613,14350,-43235,-59391,-102626,676671.0,,,,102401,-1015,623324,-39463,-4800.0,,,1689
2014-11-11,3,2014,,318582.0,,-50346,-2515,,-1232,,18197,-3241,-10526.0,28141.0,0.0,,100911.0,,,,-150716.0,17662.0,-1079,16420,3233,-701794,-314400.0,,,,123,10941.0,3180.0,,-76434.0,52272.0,-135066,,-93162,,-3797,,126467,,-5401,,-1089161,263731,,,-23503,1079,,2014年01月01日至2014年09月30日,704620,557917,-146703,185924,346210,443495,0.0,-260000.0,0.0,126547.0,0,593015,185924,21525,-94935,33924,-61011,762693.0,1000.0,0.0,-1000.0,257571,-3132,557917,-74861,1200.0,0.0,,24256
2015-03-23,4,2014,,431347.0,,-71433,-902,,295,,45463,-618,-14129.0,77338.0,0.0,,102908.0,,,,-78822.0,23551.0,-1653,23013,6645,-881112,-353400.0,,,,447,14324.0,3471.0,,-128180.0,101322.0,-22140,,-27287,,-8883,,-88652,,-27676,,-1236284,353329,,,-24459,1653,,2014年度,704620,558333,-146287,324408,634233,731984,0.0,-260000.0,0.0,2065114.0,-2138468,449119,324408,28534,638,-24409,-23771,836111.0,1000.0,,3126.0,407576,6376,558333,-74945,1000.0,0.0,0.0,37044
2015-05-12,1,2015,,,,-32636,-2974,,-476,-51.0,14222,-7047,-3123.0,5813.0,,,5212.0,,,-116008.0,,5886.0,-489,10107,-1882,-58115,,,,,407,1130.0,26012.0,,-21174.0,35752.0,-174029,-1134428.0,-18913,-5283.0,-11475,0.0,148753,12443.0,-854,-12795.0,-1288761,97174,,,-8866,489,120376.0,2015年01月01日至2015年03月31日,558333,755270,196937,-62289,-44354,-35941,,,,1579692.0,-447264,1531934,-62289,4187,-30403,-63625,-94028,0.0,,,304.0,26348,-2857,755270,-36,2800.0,405000.0,,-35382
2015-08-04,2,2015,,,,-88846,13583,,-10838,-758.0,14073,3514,-7064.0,-80882.0,,,5289.0,,,,-12383.0,11775.0,-1692,24389,-2653,-207500,0.0,,,,3776,1544.0,26344.0,,-49828.0,46932.0,-51463,-1134428.0,-12034,2147.0,-22131,,5974,-33278.0,129556,-142738.0,-1351870,196359,,,-24021,1692,261386.0,2015年01月01日至2015年06月30日,558333,719628,161295,63366,83775,129715,,,,2568036.0,-1522509,1432043,63366,8375,-2940,-192097,-195037,42474.0,48.0,,304.0,66349,8486,719628,-23611,18100.0,405000.0,,-11184
