date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付建造合約款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分採用權益法之投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少
2013-05-14,1,2013,10035.0,-56.0,-278,67,,1779.0,-20430,-3715.0,-11.0,,1610,13200,-45738,,0.0,,,-27,,0.0,-400.0,0.0,-10755,19081,,1393,-22116,,-7545,-26518,13351,0.0,1035,-1447,,,,2013年01月01日至2013年03月31日,581843,517978,-7358,-63865,-33031,-64598,-63101,,,14107.0,,14051,-33031,1260,,18260,-58365,-40105,0,15033,2565,,4587.0,,-30070,517978,-50.0,,0.0,-2390.0,2414.0
2013-08-13,2,2013,28343.0,-3442.0,11214,-1142,,2866.0,-31956,,-22.0,,3089,19104,-56669,,0.0,,,7256,2.0,0.0,,54.0,-12450,25584,,1001,-66946,,3504,-7210,24951,0.0,2053,-2972,,,,2013年01月01日至2013年06月30日,581843,511026,-9139,-70817,-65359,-106470,-103117,,,27199.0,,23759,-65359,2519,,40665,-106766,-66101,0,10256,5139,,39149.0,,-37758,511026,-381.0,,0.0,-7503.0,2224.0
2013-11-12,3,2013,46855.0,-12772.0,54980,-1088,,690.0,-20748,,-32.0,,4323,12177,-137606,,0.0,,,7933,,0.0,,2367.0,11743,47876,,-656,-107877,-449.0,5101,-82819,36224,0.0,3071,-4577,,,,2013年01月01日至2013年09月30日,581843,389467,-2579,-192376,-70742,-43381,-38112,,,,-65581.0,-78353,-70742,3779,,102890,-117115,-14225,0,15443,-343,0.0,36977.0,,32630,389467,-692.0,,,-5521.0,-3797.0
2014-03-18,4,2013,72247.0,,63492,-2016,,,-17496,960.0,-43.0,-6772.0,5333,67426,-164964,,,,,12316,,0.0,0.0,3270.0,4669,46143,,171,-124901,,5267,-90753,50392,0.0,4051,-5423,6772.0,,,2013年01月01日至2013年12月31日,581843,429871,10546,-151972,-64876,-57425,-50923,,,-72600.0,,-71220,-64876,4511,,110766,-169060,-58294,1380,23248,2796,,40921.0,,13953,429871,-1079.0,,0.0,-10883.0,-34583.0
2014-05-12,1,2014,12618.0,0.0,-808,-381,,,3906,-3346.0,858.0,-1721.0,1065,8270,-1913,,,-17645.0,,6265,,,-147.0,,8773,-23987,-202.0,-1498,28942,1970.0,-5863,-17840,14278,,393,-1065,1721.0,,,2014年01月01日至2014年03月31日,429871,491696,-11254,61825,-13444,8850,9915,,,0.0,,62545,-13444,1113,,-29841,40582,10741,62545,144,807,,,,23359,491696,,,814.0,,3235.0
2014-08-14,2,2014,39847.0,-19293.0,-3445,1200,,,-3474,-3694.0,858.0,-3393.0,2677,-983,-2746,,-305.0,-15302.0,,6607,70.0,,-86.0,0.0,14340,25873,66.0,1,24772,288.0,1359,-14128,28354,,826,-2452,3393.0,,,2014年01月01日至2014年06月30日,429871,556919,-1302,127048,-156,98837,102087,,,0.0,,43322,-156,1689,,18801,43595,62396,62545,918,3374,,,,102243,556919,-798.0,,157.0,,5110.0
2014-11-11,3,2014,48871.0,-29757.0,-939,-649,,-3881.0,-3889,,858.0,-5646.0,4472,6818,-3575,,-483.0,,,8034,70.0,,,-581.0,-17914,3943,-513.0,-373,-30683,647.0,-1169,25347,42100,,1267,-3772,5646.0,,,2014年01月01日至2014年09月30日,429871,511408,-9218,81537,26207,16514,21381,,,,0.0,32858,26207,2265,,-1763,-51934,-53697,62545,1885,4714,,22455.0,,-4826,511408,-1095.0,,,25.0,1723.0
2015-03-30,4,2014,57128.0,,17466,-6424,-15581.0,,11301,-365.0,858.0,-9340.0,5221,25453,-8172,,-482.0,,,6052,70.0,,-963.0,,6012,-8115,-3120.0,-1077,-9195,519.0,-175,12261,55725,,1740,-5081,9340.0,,,2014年度,429871,612373,-19277,182502,47893,108696,115407,12240.0,,0.0,,36092,47893,2841,,4789,5597,10386,23782,2092,5441,,26027.0,,67514,612373,-1630.0,,10390.0,-2523.0,3559.0
2015-05-12,1,2015,,,-8495,2393,-42.0,,-1737,563.0,0.0,-2317.0,1418,-6072,-279,,,,69245.0,125,,,-1399.0,,14534,-36641,-772.0,-739,128968,513.0,-176,70991,13641,,853,-1151,2317.0,,16939.0,2015年01月01日至2015年03月31日,612373,834057,1553,221684,-954,115605,116756,,,,,41160,-954,538,,-46084,146855,100771,41160,1149,819,,,,117710,834057,,,309.0,,2360.0
2015-08-11,2,2015,,-38562.0,-15018,6921,-49.0,,3919,1546.0,0.0,-4809.0,3200,-11048,-1777,-12000.0,0.0,,69444.0,-620,0.0,,-2091.0,,18783,-43000,661.0,165,171734,1508.0,2844,63759,26761,-91863.0,923,-2490,4809.0,,21002.0,2015年01月01日至2015年06月30日,612373,743492,-4787,131119,-14280,55250,64701,,,,,23158,-14280,792,,-55646,113625,57979,61720,5423,722,,,,78981,743492,-6961.0,-1814.0,1234.0,-600.0,-221.0
2015-11-12,3,2015,,-58290.0,-26294,7493,-119.0,,4040,567.0,0.0,-6319.0,4067,-5418,-1884,-12000.0,0.0,,122637.0,-1919,0.0,,2371.0,,24280,-46929,538.0,-535,181629,1464.0,2998,130496,39087,-377240.0,1358,-3796,6319.0,,31966.0,2015年01月01日至2015年09月30日,612373,549277,-4315,-63096,13485,-195624,-181855,,,,,7450,13485,1046,,-72653,-154653,-227306,65740,13172,2093,,,,-195340,549277,-9973.0,-9628.0,6496.0,,683.0
2016-03-23,4,2015,,-89890.0,-44352,7084,-115.0,,17234,-871.0,0.0,-7173.0,5507,5137,-1885,-12000.0,0.0,,,-2029,0.0,,0.0,2696.0,31214,-70797,530.0,-638,212082,1842.0,4757,173626,49982,-596590.0,1772,-5287,7173.0,143.0,28312.0,2015年度,612373,423971,-9260,-188402,17511,-407882,-392682,0.0,-33293.0,98250.0,,40717,17511,740,-143.0,-116128,-322377,-438505,65650,20751,9085,,,156863.0,-410193,423971,-9913.0,-19463.0,3316.0,-4022.0,
2016-05-13,1,2016,,-38709.0,-2994,610,-619.0,,1202,97.0,,-608.0,1659,-9008,-276,,,,,612,,,0.0,41.0,12236,-25417,-1572.0,-88,17570,72.0,863,-144,10010,-66480.0,411,-1683,608.0,,25951.0,2016年01月01日至2016年03月31日,423971,334700,23570,-89271,-1006,-41185,-39502,,,,-225.0,-38934,-1006,191,,-29974,-34473,-64447,0,102,224,,,0.0,-38496,334700,,-9506.0,0.0,-612.0,-546.0
2016-08-09,2,2016,,-68650.0,-8214,351,-783.0,,2934,254.0,,-1233.0,3095,-13614,-416,0.0,,,-298.0,-1117,,,-34.0,,18586,-18600,-1572.0,589,48089,84.0,612,6700,19753,-64370.0,791,-3026,1233.0,,20235.0,2016年01月01日至2016年06月30日,423971,306909,21866,-117062,-2897,-8183,-1986,,,,-33315.0,-101965,-2897,191,,-27543,8219,-19324,0,6998,777,,,0.0,911,306909,-3171.0,-19900.0,0.0,-3988.0,1933.0
2016-11-09,3,2016,,-115909.0,-19083,909,-847.0,,3472,28341.0,,-1669.0,4543,-30175,-1692,0.0,,,,-1041,,,,318.0,25269,-23718,-1572.0,-65,60281,1038.0,636,14787,27935,-159545.0,1115,-4476,1669.0,141.0,52257.0,2016年01月01日至2016年09月30日,423971,298362,51591,-125609,-8064,-47905,-37373,,-13317.0,,-33090.0,-62316,-8064,191,-141.0,-16097,-65469,-81566,100000,14610,8011,,,588.0,-29309,298362,-6056.0,-33341.0,0.0,-4937.0,2471.0
