date,season,year,不影響現金流量之收益費損項目合計,償還特別股負債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他非流動負債增加,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付款項（增加）減少,預付設備款增加
2013-05-06,1,2013,22238.0,,,-44143,38623,1996.0,7250,7123,95,,,,405.0,-8073,702,30031,-7530,,-438,-2163,,-40002,,-90846,-5637,-144,109149,-673,-6013,-7222,30282,606,-712,7969,,2013年01月01日至2013年03月31日,1771147,1881617,110470,122157,114355,114452,,,-26694.0,-26694,122157,-133425,103482,-29943,,341,,99,-7705,1881617,-7354,785.0,-6721,
2013-08-12,2,2013,49857.0,,,-24653,36479,886.0,11956,6552,178,1678.0,,,,-16537,1481,40485,-147753,,-3000,-1012,,-18157,,-60743,-21422,-268,-47385,-1408,-5258,-145604,62134,1402,-162,16537,,2013年01月01日至2013年06月30日,1771147,1803368,32221,241100,112476,164583,,24864.0,,24864,241100,-94952,-31422,-126374,,5149,,2050,-76517,1803368,-68482,339.0,-4809,
2013-11-11,3,2013,76294.0,,,-57631,33787,677.0,13116,7821,241,928.0,,,,-24887,2566,29334,-398681,,-5607,1297,,-62314,-6575.0,-47477,-45785,-391,-47890,353,9819,-398762,92835,2366,-595,24949,,2013年01月01日至2013年09月30日,1771147,1471661,-299486,342142,129817,213679,-300315.0,83493.0,0.0,-59875,342142,-137927,-66830,-204757,163522.0,5526,,1775,-128463,1471661,-108216,342.0,-10011,
2014-03-24,4,2013,100616.0,-182734.0,,-11397,19211,4141.0,4618,8759,329,2357.0,,,,-32962,4774,53609,-551173,,-5008,1948,,-9852,-12540.0,-84298,-44358,-514,-39022,856,12924,-541855,122921,3387,-29079,26874,,2013年01月01日至2013年12月31日,1771147,1412215,-358932,454936,288504,414985,-300315.0,173591.0,0.0,-159190,454936,-135620,-4947,-140567,162808.0,14326,,206,-39951,1412215,-124276,342.0,-4321,
2014-05-07,1,2014,25241.0,,-1491.0,1159,-4237,78.0,4916,-5593,91,-1565.0,,,,-8668,2019,-3124,-13302,,-2351,-650,,-154294,0.0,100799,2141,369,-32791,-129,-451,-20691,31347,1173,-2023,9438,,2014年01月01日至2014年03月31日,1412215,1463026,50811,170916,99118,103700,0.0,0.0,-23001.0,-24492,170916,109475,-201932,-92457,,452,,20,-67216,1463026,-11997,0.0,-2950,-5490.0
2014-08-11,2,2014,50398.0,,-2813.0,58685,-24238,175.0,9059,-4030,190,401.0,,,,-17431,4212,-19215,-37456,,-6796,-1652,,-306611,0.0,231362,-6992,246,-126478,841,0,-59464,62768,2470,-4073,24601,,2014年01月01日至2014年06月30日,1412215,1653017,240802,403060,256178,300151,0.0,66116.0,0.0,63303,403060,292550,-445857,-153307,,569,,31,-102909,1653017,-64501,0.0,14083,-15781.0
2014-11-10,3,2014,77127.0,,-4291.0,7377,-18410,1376.0,13852,-5636,310,769.0,,,,-25482,7057,3500,-51389,,-8927,-5084,,-174802,0.0,17647,895,123,-75758,-500,0,-98889,96499,4091,-6745,36021,,2014年01月01日至2014年09月30日,1412215,1605672,193457,527426,286055,346506,-299315.0,306397.0,0.0,2791,527426,40204,-298251,-258047,0.0,569,,46,-180920,1605672,-89727,0.0,-25290,-39142.0
2015-03-17,4,2014,110050.0,0.0,-5964.0,92856,5945,1693.0,-998,1659,-83,-796.0,,,,-33216,10130,7725,-114122,-63625.0,-9744,-2828,,-221827,0.0,228368,4666,492,-185419,-1263,-455,-187102,129116,5757,-9803,44227,,2014年度,1412215,1597947,185732,709894,648565,731072,-299315.0,21823.0,0.0,-283456,709894,325301,-414173,-88872,0.0,575,,1091,21178,1597947,-116931,0.0,-13710,-186.0
2015-04-29,1,2015,,,-1589.0,-14529,19504,-644.0,-4285,-4011,118,722.0,,,,-7264,1776,-19747,-4611,,-2181,-6186,,13772,,-167171,-7335,-123,82289,820,446,56654,32715,1757,-388,12615,22802.0,2015年01月01日至2015年03月31日,1597947,1701949,104002,129944,40718,58355,,27966.0,0.0,26377,129944,-193325,98934,-94391,,0,63625.0,4,-71589,1701949,-29864,,-13964,-179.0
2015-07-28,2,2015,,,-2507.0,3566,30531,0.0,33216,-5940,234,2307.0,,,,-14054,3517,-25343,-29830,,-3191,-4646,,146664,,-272799,-13107,-226,27575,1889,455,30983,66095,3595,-2969,8845,54532.0,2015年01月01日至2015年06月30日,1597947,1681154,83207,273343,147212,280195,,0.0,-67138.0,-69645,273343,-249116,201436,-47680,,379,63625.0,25,6852,1681154,-138859,,-2045,
