date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,員工購買庫藏股,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付款項（增加）減少,預付設備款增加,預付設備款減少
2013-04-30,1,2013,0.0,201131.0,0.0,,62080,-8844,-820,-1792,,,,,26,-6347,2630,17597,-289791,,-2105,0.0,0.0,-281.0,,-45908,16509,,-1502,259834,9,-1333.0,-288898,201265,2431.0,-99170,3930,-2627,7872,,2013年01月01日至2013年03月31日,3174564,3772443,597879,372429,,760302,755510,,,108878.0,,108878,372429,0.0,77365,104585,181950,,1174,1732,383081,3772443,-453,,456,,
2013-07-31,2,2013,2.0,419937.0,0.0,,135035,681,-812,-1201,,,,,88,-14379,5615,20823,-557702,-300.0,2503,0.0,0.0,-1086.0,,-70365,46353,,-974,56743,-1176,-4726.0,-585738,416011,0.0,-115650,7705,-5481,18017,,2013年01月01日至2013年06月30日,3174564,4011715,837151,800459,,1175333,1274231,,,122634.0,0.0,226733,800459,0.0,174876,-121041,53835,104099.0,2257,2392,473772,4011715,-111434,,9927,0.0,-28907.0
2013-10-31,3,2013,2.0,654876.0,,,152235,-18767,3486,-1736,,,,,183,-22394,8950,12497,-808731,-9427.0,1084,0.0,0.0,-7458.0,,-81555,104696,,-2525,-61468,-12,-8181.0,-843984,639336,,348447,11901,-8785,28077,,2013年01月01日至2013年09月30日,3174564,4154091,979527,1392733,,2296664,2483609,-814535.0,,217146.0,,-485650,1392733,0.0,249711,186289,436000,111739.0,2398,2392,1090876,4154091,-206237,13422.0,1380,-20766.0,
2014-02-26,4,2013,23.0,888944.0,0.0,,181625,-1931,2063,-859,,-700000.0,,-1166.0,240,-31747,13298,16087,-1027874,-19121.0,1032,0.0,0.0,-6467.0,,-118825,71802,,365,89270,-1223,13361.0,-1774522,870203,2083.0,38117,16255,-13093,36882,,2013年01月01日至2013年12月31日,3174564,3839723,665159,1863903,,2850426,3035366,-814535.0,,258421.0,0.0,-426832,1863903,0.0,271299,11220,282519,129282.0,2400,2408,1171463,3839723,-208729,17232.0,7837,-23460.0,0.0
2014-05-08,1,2014,,244291.0,,,-66057,-7563,3968,-86,,,,-925.0,35,-9573,3809,11085,-116457,,2173,,,-1566.0,,19692,-22949,-19994.0,-2948,-33261,40,-1416.0,-140519,239931,-1385.0,-3917,4882,-3606,9963,,2014年01月01日至2014年03月31日,3839723,4191017,351294,370628,,508842,503280,,,-108773.0,,-28114,370628,,-90787,-20852,-111639,100653.0,237,-21,132652,4191017,-795,3055.0,5168,-22733.0,
2014-08-13,2,2014,58.0,491619.0,,,50316,4788,11288,295,,,,-206.0,136,-21818,11529,1964,-243386,-681.0,7953,,,-1897.0,,57373,-13967,,-2770,-259217,-2750,-2820.0,-379448,485297,-865.0,-292795,9768,-7531,21888,,2014年01月01日至2014年06月30日,3839723,6246215,2406492,827966,,692266,868299,,2004000.0,0.0,-12349.0,2091710,827966,,41182,-492468,-451286,100059.0,336,3690,40333,6246215,-190390,-4994.0,44,-133820.0,
2014-10-31,3,2014,58.0,766531.0,,,182628,-20274,1689,815,,,,-1003.0,-112,-33772,23443,9733,-556610,-1191.0,14493,,,-2147.0,,-56332,76591,,-888,-320051,-56,-4886.0,-533025,737346,-8350.0,-285853,14696,-12467,32664,,2014年01月01日至2014年09月30日,3839723,6923462,3083739,1413362,,1446482,1743335,-1140349.0,2004000.0,0.0,-3545.0,2160549,1413362,,246784,-683342,-436558,1300443.0,1775,4669,329973,6923462,-317050,5710.0,-588,0.0,25148.0
2015-02-26,4,2014,-5178.0,1034721.0,,,75126,7029,121,103,,0.0,700000.0,-2471.0,-317,-51333,37700,25733,-924990,-3939.0,5061,,,-4447.0,,-75835,-90812,,8625,-59335,29,-4769.0,-206450,1001311,-32124.0,-485854,19698,-21561,50739,,2014年度,3839723,7614055,3774332,1799961,,1878819,2170842,-1140349.0,2004000.0,0.0,-85493.0,2076230,1799961,,-43833,-620007,-663840,1298072.0,1778,4992,370881,7614055,-321201,22787.0,-3673,0.0,25148.0
2015-05-15,1,2015,-2182.0,,,-2318.0,-106436,-10518,525,-342,,,,276.0,2651,-13151,13785,-3955,-281198,-2082.0,-11999,,,0.0,926.0,73648,-25196,0.0,-3672,16786,-1346,,-282307,262457,-4484.0,-145712,5281,-8602,11738,251288.0,2015年01月01日至2015年03月31日,7614055,7652409,38354,245943,-1774.0,287466,287622,,,39468.0,0.0,37150,245943,,-141037,-68572,-209609,0.0,47,2222,41679,7652409,-3292,-7776.0,-1364,0.0,
2015-08-13,2,2015,-2182.0,,,-144656.0,255,-3838,1792,157,,,,-4197.0,3155,-29044,26664,-8982,-997082,-2167.0,-10889,,,0.0,830.0,84201,77102,0.0,-9647,-297803,-1869,,-997331,527324,-6159.0,-334686,10532,-16445,29931,518469.0,2015年01月01日至2015年06月30日,7614055,6816934,-797121,516680,-4122.0,410979,532498,,0.0,0.0,-57131.0,-201787,516680,,59221,-561872,-502651,0.0,1088,2182,15818,6816934,-135005,-9273.0,-3837,0.0,
