date,season,year,不影響現金流量之收益費損項目合計,償還公司債,其他應付款增加（減少）,其他應收款增加,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,存入保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少
2013-05-14,1,2013,894991.0,,-1774754,,446162,,0,,-40959,-65616,,,,,,2778.0,0.0,-107667,22193,616389,-333472,,,0.0,,0.0,,-489141,,-849472,-14892305,15511035,-172347,0.0,-127772,1040156,,,3861,-13682,118578,59622.0,,2013年01月01日至2013年03月31日,33473474,35261247,1787773,2254767,691754,822361,,621084.0,,607402,2254767,-59622.0,-17582147,15254750,-2327397,0.0,146078,,,-6708,,,-1432406,35261247,-249185,0,,0.0,,,0.0
2013-08-12,2,2013,2100410.0,,-2267212,,68856,,39407,15975.0,120216,-128025,,-367626.0,,-220418.0,,6795.0,,-145727,106555,377294,-967402,,,0.0,,0.0,,1153990,,-866131,-15427317,7847779,9787266,0.0,-937373,2222195,,0.0,7479,-45292,236814,60006.0,,2013年01月01日至2013年06月30日,33473474,36007563,2534089,4028659,4955721,6434466,,,-1816261.0,-1861553,4028659,-60006.0,-18672710,18978107,305397,,270847,10999.0,,-10508,-9994.0,,2405807,36007563,-1478745,0,0.0,,-16379.0,,
2013-11-12,3,2013,3012987.0,,-4496567,,423604,,62357,136990.0,143220,-97236,,,0.0,,-174004.0,8030.0,,-272014,146209,1693237,-1048713,,0.0,0.0,,0.0,,3096055,0.0,-1022153,-11533880,880245,12746355,0.0,-372208,3317071,,0.0,67583,-133249,264062,64227.0,,2013年01月01日至2013年09月30日,33473474,37736307,4262833,5123916,6864733,8413536,-1237016.0,0.0,-2552664.0,-3922929,5123916,-64227.0,-17012846,17289479,276633,,448864,10999.0,,-163292,-9994.0,,3289620,37736307,-1548803,0,0.0,,-16379.0,,
2014-03-27,4,2013,3617993.0,0.0,-2197671,,801480,0.0,0,14843.0,316446,15485,-5656.0,-6197756.0,,-21689.0,,,,-376154,161985,151820,-1710938,0.0,0.0,0.0,-229711.0,0.0,-9201.0,3759605,0.0,-1926796,-15377738,11429808,7075453,0.0,-7350967,4203698,0.0,2646.0,36698,-153415,364530,101808.0,,2013年01月01日至2013年12月31日,33473474,39929559,6456085,8176866,14527617,15700118,-1237016.0,527247.0,,-872385,8176866,-101808.0,-19471877,23377136,3905259,,629890,10999.0,,-249285,-9994.0,,7523252,39929559,-1172501,-33414,0.0,,-16379.0,-298100.0,
2014-05-14,1,2014,832942.0,,-1758207,,547636,0.0,0,41551.0,176382,-74627,-547.0,-198154.0,,,,0.0,,-159672,16666,807059,-222022,,,276.0,-120219.0,0.0,,477683,0.0,-622667,-3198848,6358548,2308796,0.0,-200390,1055717,,6080.0,8619,-25869,130114,0.0,,2014年01月01日至2014年03月31日,39929559,44193630,4264071,441922,5309707,5530564,0.0,,-1626436.0,-1652305,441922,0.0,-5612798,9868498,4255700,,209615,0.0,,-19653,238017.0,,5088642,44193630,-220857,-312832,,,,,
2014-08-12,2,2014,1908465,,-480599,,-305547,,142628,-128422,107170,-128740,-852,-267888,,-779,,,,-380896,37041,98957,-317896,,,-1877842,-326539,0,,142359,0,-705749,-1374064,5937494,-1307784,0,-2063297,1935291,,60549,16702,-38918,328719,0,,2014年01月01日至2014年06月30日,39929559,42784116,2854557,1937022,4685913,5600753,0,,171902,132984,1937022,0,-2817574,4572840,1755266,,256300,0,,-29252,242447,,3663731,42784116,-914840,26583,,,0,,
2014-11-13,3,2014,2650223.0,,2726933,,307090,,915596,-153478.0,-59606,-11508,,-14319022.0,,-26173.0,,,,-641943,58915,1007016,-148905,,-217170.0,-86603.0,-326539.0,0.0,,-2238365,0.0,-828107,3700607,4912188,-7630578,0.0,-13129826,2949955,,122906.0,24640,-70358,533855,102698.0,,2014年01月01日至2014年09月30日,39929559,37593953,-2335606,4744624,7080732,8120023,-1306490.0,4083320.0,0.0,2706472,4744624,-102698.0,5434447,-4709271,725176,,433033,0.0,9404.0,-38511,233712.0,,3375399,37593953,-1039291,43247,,,0.0,,
2015-03-27,4,2014,3225474.0,,6605505,,972799,,192938,-179444.0,449846,-26272,0.0,-23566688.0,,-41825.0,,,,-876365,89682,1663012,-1127165,,-217170.0,,-326539.0,0.0,0.0,-1649142,0.0,311685,6713389,-2336211,-9705140,0.0,-23738820,4009874,,200711.0,37247,-91092,786071,102965.0,,2014年度,39929559,35253120,-4676439,10967913,13933523,15350402,-1306490.0,4863428.0,,3465846,10967913,-102965.0,13424863,-12267848,1157015,,449189,0.0,9404.0,-90985,233712.0,,4382489,35253120,-1416879,-275437,,,0.0,0.0,
2015-05-14,1,2015,,,307564,0.0,-435127,,-52705,4950.0,111764,6532,3762.0,-2500220.0,,,,0.0,,-286142,36609,-385988,-230322,,,0.0,0.0,0.0,,557025,0.0,-822642,-4129272,8017205,-1927643,0.0,-2546421,871162,,48619.0,6782,-81163,215713,,790190.0,2015年01月01日至2015年03月31日,35253120,39426384,4173264,3336948,5278078,5821256,0.0,1908758.0,,1827595,3336948,,-4632868,6326986,1694118,,21113,0.0,,-64615,0.0,,2484308,39426384,-543178,177775,,,,,
2015-08-12,2,2015,,,-201103,0.0,-316203,,-50310,-159813.0,306427,10812,405.0,-151819.0,,-2220.0,,0.0,,-613515,60389,-1435733,-385746,,-760414.0,0.0,-422333.0,0.0,,312137,0.0,-870237,-3683503,7375291,-520583,0.0,-995985,1620423,,116294.0,15068,-102692,570925,,1298359.0,2015年01月01日至2015年06月30日,35253120,48012129,12759009,7248490,9625805,10800479,,5667614.0,,5564922,7248490,,-4903844,7157474,2253630,,205932,0.0,,-147361,0.0,,3551989,48012129,-1174674,247061,,,,,
