date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付投資款減少,預付設備款增加
2013-05-10,1,2013,35581.0,56922,,12000,-34673,-105862.0,0,11161,-12646,2646,100834,-21017,,-47740.0,,,1956,38.0,,,5560.0,-85890,26125,-164346,35613,62.0,-157015,31043,0.0,,-2047,1603,-363,12569,,,2013年01月01日至2013年03月31日,1735761,1751705,2093,15944,210563,,37812,91957,,,34275.0,,34313,210563,,95109,-249296,-154187,0,,225,,,,-118606,1751705,-53782,-453,,,,,,-525
2013-08-09,2,2013,60261.0,73113,0.0,9831,-53773,-38097.0,0,6892,-17090,5313,156647,-45346,,-47740.0,,-1779.0,-295,-1238.0,,,19979.0,-82931,157856,-229866,80684,125.0,-100297,64015,,,-3510,3272,-872,16657,,,2013年01月01日至2013年06月30日,1735761,2134945,271,399184,460053,,359199,475353,,,-15127.0,,-16365,460053,,240925,-285886,-44961,0,,283,,,,15300,2134945,-115282,1110,0.0,,,,,-3971
2013-11-13,3,2013,77314.0,58586,0.0,35148,-63934,-23907.0,0,19474,-39615,6506,162002,-60150,,-47740.0,,-4697.0,6821,-1240.0,0.0,0.0,15845.0,-49763,422177,-585679,59595,187.0,-91883,97826,,,-8712,5227,-1075,38821,,,2013年01月01日至2013年09月30日,1735761,2046546,-12031,310785,751220,,402379,704851,-586000.0,,425527.0,,-161713,751220,,516098,-639781,-123683,1845,,444,,,,-46369,2046546,-301397,1374,0.0,,,,,-11900
2014-03-28,4,2013,117935.0,54858,0.0,29905,-59878,0.0,6246,29050,-43398,6492,218882,-91532,-21284.0,-47740.0,,-11271.0,-5411,0.0,-329.0,0.0,6932.0,-74567,248924,-614807,-25436,-1700.0,-115918,130202,,,-12929,7183,-3626,42243,0.0,,2013年01月01日至2013年12月31日,1735761,1881063,3726,145302,986449,,293000,661683,-586000.0,,335667.0,,-250662,986449,,331987,-774688,-442701,3376,,1646,,,,-324766,1881063,-365057,1374,0.0,,,,,-2888
2014-05-13,1,2014,3199.0,-22983,,-15210,9436,0.0,73249,-24132,-10328,2774,71835,-25489,-6625.0,0.0,,-2502.0,-145,24.0,,-3565.0,0.0,33183,-148346,139130,113640,-621.0,45095,33368,0.0,,-1607,1776,-2489,11405,,,2014年01月01日至2014年03月31日,1881063,2263073,-1537,382010,190590,,210029,302018,,,55027.0,,55051,190590,,-187160,295389,108229,5708,,3030,,,,111428,2263073,-89500,0,,,,,,-7086
2014-08-12,2,2014,33440.0,56024,0.0,13017,-14874,0.0,29017,-28011,-30156,4862,15022,-52385,-9088.0,0.0,,-4034.0,-871,,0.0,,-7726.0,53605,70734,-198960,125720,-894.0,-5795,67309,,,-4748,3612,-4002,30886,,,2014年01月01日至2014年06月30日,1881063,2391397,7466,510334,543742,,450644,681554,,,50463.0,0.0,50463,543742,,138881,-34509,104372,14128,,4795,,,,137812,2391397,-226908,0,9182.0,,,,,-6593
2014-11-07,3,2014,58895.0,110972,0.0,26941,-18679,-108342.0,0,193,-47124,12063,39437,-66207,-9088.0,0.0,,-7277.0,-1373,49.0,0.0,-10184.0,0.0,5582,242332,-456359,65163,-1470.0,-114353,98664,,,-8950,5682,-11503,47496,29640.0,,2014年01月01日至2014年09月30日,1881063,2321842,1998,440779,890472,,569885,923849,-524497.0,,470258.0,,-54190,890472,,378775,-404293,-25518,14320,,5916,,,,33377,2321842,-342461,-1364,15617.0,0.0,-22427.0,,,-4711
2015-03-20,4,2014,65022.0,73569,0.0,680,-20325,-91390.0,0,-43723,-64554,17505,140274,-91051,-9088.0,0.0,-22800.0,-8534.0,2009,50.0,0.0,-17593.0,0.0,33847,165199,-309015,-9175,-1900.0,-164461,131640,,,-16193,7994,-15717,64559,30916.0,,2014年度,1881063,2714813,5475,833750,1243981,,798272,1241883,-524497.0,,584112.0,,59665,1243981,-1276.0,237548,-304668,-67120,28553,,7578,,92.0,-92.0,-2098,2714813,-427894,-312,18971.0,,,-43952.0,,-4173
2015-05-13,1,2015,,-2724,,-10632,-50411,0.0,101873,67,-15449,3707,-62168,-21134,-11000.0,0.0,,-1900.0,-1461,120.0,,-39411.0,0.0,-92528,-302262,367273,77640,,19813,32556,0.0,-184038.0,-1529,2359,-3025,16519,,27440.0,2015年01月01日至2015年03月31日,2714813,2653680,2588,-61133,245028,-465.0,2621,74321,,795850.0,0.0,-817369.0,-21399,245028,,-316083,117936,-198147,540,,880,,,,-170707,2653680,-68675,-432,,4154.0,,-18798.0,,-6876
2015-08-11,2,2015,,13957,0.0,-6098,-6898,0.0,185246,134,-36841,9236,-68830,-36659,-32924.0,0.0,,-2900.0,-5784,2539.0,0.0,-56779.0,,-31185,-284968,592901,46673,,87666,63190,,-178654.0,-3562,4807,-9944,37553,,60364.0,2015年01月01日至2015年06月30日,2714813,3203302,3866,488489,511249,-949.0,568778,716392,,795850.0,0.0,-897514.0,-99125,511249,,-278058,422837,144779,3591,,5623,,,,205143,3203302,-137670,-155,3710.0,16140.0,,,,-9462
