date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款增加,其他應收款（增加）減少,其他應收款－關係人增加,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加
2013-05-08,1,2013,40167.0,-27796,30546,-1197.0,,,,-12783,-9369,,,,,-6803.0,,-1729.0,,-19.0,-1481,6043,17289,-10177,0.0,,,,,14113,,,,-50696,,,89210,0.0,-80000.0,842,-73461,4434.0,42317,3150.0,1026.0,-5763,19120,,2006,-5785,915.0,,,2013年01月01日至2013年03月31日,223015,327021,104006,29904,,78075,82951,,,122201,,14405,29904,,,103308,-90428,12880,,6143,0,385,,0,,,,53047,-4336,327021,-6,,,,,,
2013-08-13,2,2013,95915.0,-98560,129335,-1197.0,,,,-11541,-3996,,,,,-97822.0,,-7292.0,,14726.0,-4639,12007,25545,-22075,-28527.0,,,,,25530,,,,144657,,,235480,0.0,-80000.0,1979,-473441,5816.0,27152,3150.0,2059.0,-43741,44134,,4009,-11778,4161.0,,,2013年01月01日至2013年06月30日,223015,424150,201135,92618,,128066,154559,,,225006,,91265,92618,,,360510,-394484,-33974,44819.0,6436,7717,1286,,-1138,,,,61941,4395,424150,-18876,,,,,,
2013-11-12,3,2013,109846.0,-299166,135678,-1197.0,,-17753.0,,10448,-32948,,,-197401.0,,527.0,,-13464.0,,16080.0,-8184,18956,19572,-26765,-33896.0,,,,,20804,,,,69021,,,116395,0.0,-80000.0,1783,-345855,9170.0,82452,3150.0,-26659.0,-236120,66240,,5979,-18566,7649.0,4137.0,,2013年01月01日至2013年09月30日,223015,466164,243149,101550,,179883,216303,,-80850.0,358847,,279814,101550,,-4137.0,237143,-232236,4907,380983.0,6520,28886,2414,,-8306,,,,114753,695,466164,-29640,0.0,,,,,
2014-03-25,4,2013,85599.0,-306108,113037,-838.0,,4467.0,,22304,-11060,,,66919.0,,-5149.0,,-7073.0,,,-16509,26398,27272,-38640,-38759.0,,,,,-7402,,,,41154,,,14600,0.0,-80000.0,1864,-205861,13012.0,113950,3150.0,-33657.0,30681,88450,,7880,-26025,15204.0,4137.0,,2013年01月01日至2013年12月31日,223015,722949,499934,126056,,245525,282176,,-80850.0,327788,,196456,126056,,-4137.0,116858,-46337,70521,335626.0,6708,41526,3865,0.0,-12946,,,,156120,-452,722949,-29967,0.0,,,,,
2014-05-12,1,2014,32089.0,-35635,7537,-359.0,-41930.0,-8918.0,,42010,-46364,,,,139991.0,3271.0,,-4849.0,,,-3273,8448,-51,-4979,,,,,,-1252,,-726.0,,-33408,,,118386,0.0,0.0,7668,-75737,368.0,-12529,0.0,-4347.0,131800,21792,,1472,-8721,3035.0,,,2014年01月01日至2014年03月31日,722949,857485,134536,31024,,48740,54123,,,21721,,-45953,31024,,,164327,-173317,-8990,,0,44293,271,,4631,,,,23099,-6568,857485,303,-32039.0,,,,,
2014-08-13,2,2014,93869.0,-77370,32269,-359.0,,1388.0,-41201.0,8037,-52588,,0.0,,99296.0,-4670.0,,-24143.0,,,-7930,16893,-9441,-12317,0.0,,,,,32850,,,,-4974,,,148119,,0.0,1234,-129249,-24211.0,-64315,0.0,-1802.0,-50489,43502,,2961,-17263,,,,2014年01月01日至2014年06月30日,722949,803305,80356,38058,,16108,32623,,,233587,,124178,38058,,,179315,-278619,-99304,0.0,0,51938,567,,5026,,,,-5435,-8183,803305,-5952,-32039.0,,,-126240.0,,
2014-11-07,3,2014,132536.0,-220616,32339,256.0,,567.0,-19295.0,-24633,-39133,-4603.0,,,213180.0,-4670.0,,-39448.0,,0.0,-7394,25529,1840,-19174,0.0,,,-126934.0,,38368,,,,-38658,,,55641,0.0,0.0,2982,-90952,29047.0,-71296,0.0,-2845.0,-109217,64900,,4548,-25811,,0.0,,2014年01月01日至2014年09月30日,722949,783109,60160,14703,,-51201,-16254,,-88200.0,315282,,218738,14703,,0.0,56205,-219698,-163493,244311.0,39,51938,1559,,5026,,,,-30957,-7535,783109,-14903,-32039.0,,,-172141.0,,
2015-03-26,4,2014,137079.0,-543479,-22568,-359.0,,-6811.0,,-28052,-9894,,,,243626.0,17105.0,,-65007.0,,,-16624,33467,16299,-46392,0.0,,,-62609.0,,13927,,,,63627,-388552.0,,-57257,0.0,0.0,-2743,110626,29313.0,-38075,0.0,-15277.0,-258476,85868,,6788,-33728,18140.0,0.0,,2014年度,722949,567333,-155616,42419,,184520,212674,,-88200.0,-3743,,-97959,42419,,0.0,-132715,165891,33176,569502.0,8520,51938,8627,,5026,,,,170255,-6459,567333,-12566,-32039.0,,,,,
2015-05-08,1,2015,,-167425,14432,,,-33655.0,,15778,25236,,,,,,,,15597.0,,-338,7076,-10266,-30913,,,,,-14589.0,6073,40.0,,,4606,,,18133,,,2839,-3789,0.0,54712,,,-27103,17809,,1044,-5827,187.0,,38466.0,2015年01月01日至2015年03月31日,567333,605488,38155,39,-1207.0,79773,95132,21070.0,,125880,,-4249,39,,,56194,433,56627,,2802,0,561,,0,,,0.0,95093,6219,605488,-9719,16186.0,6241.0,,,-46677.0,
2015-08-13,2,2015,,-609710,15509,,,-22117.0,,-2085,27611,,,,,,,,38798.0,,-754,12684,-15384,-37865,-50000.0,,,,-12050.0,-1511,40.0,-19438.0,,84326,,,46816,,,-390,-86340,,67383,,,-60284,35350,,2448,-12029,723.0,,42098.0,2015年01月01日至2015年06月30日,567333,475571,-91762,10139,-864.0,69654,112138,363000.0,,145925,,-85748,10139,,,63964,-4063,59901,,3682,16589,-12,,-757,,,0.0,101999,4978,475571,-31178,14997.0,0.0,-5350.0,0.0,-74926.0,
